"plh0196","year","education","n","percent","lower_confidence","upper_confidence"
"People are helpful","2003","lower secondary degree","2991","0.384285328958607","0.373518718079174","0.395051939838041"
"People are helpful","2003","secondary school degree","2001","0.306909420725679","0.295597568016445","0.318221273434914"
"People are helpful","2003","college entrance qualification","1984","0.364763603548811","0.351879383851009","0.377647823246613"
"People are helpful","2003","Other degree","469","0.364642143758221","0.337655111958324","0.391629175558119"
"People are helpful","2003","no degree/no degree yet","343","0.366088346034183","0.334367953717365","0.397808738351"
"People pursue self-interest","2003","lower secondary degree","4850","0.615714671041393","0.604948060161959","0.626481281920826"
"People pursue self-interest","2003","secondary school degree","4385","0.693090579274321","0.681778726565086","0.704402431983555"
"People pursue self-interest","2003","college entrance qualification","3378","0.635236396451189","0.622352176753387","0.648120616148992"
"People pursue self-interest","2003","Other degree","753","0.635357856241779","0.608370824441881","0.662344888041676"
"People pursue self-interest","2003","no degree/no degree yet","543","0.633911653965817","0.602191261649","0.665632046282635"
"People are helpful","2004","lower secondary degree","","","",""
"People are helpful","2004","secondary school degree","","","",""
"People are helpful","2004","college entrance qualification","","","",""
"People are helpful","2004","Other degree","","","",""
"People are helpful","2004","no degree/no degree yet","","","",""
"People pursue self-interest","2004","lower secondary degree","","","",""
"People pursue self-interest","2004","secondary school degree","","","",""
"People pursue self-interest","2004","college entrance qualification","","","",""
"People pursue self-interest","2004","Other degree","","","",""
"People pursue self-interest","2004","no degree/no degree yet","","","",""
"People are helpful","2005","lower secondary degree","","","",""
"People are helpful","2005","secondary school degree","","","",""
"People are helpful","2005","college entrance qualification","","","",""
"People are helpful","2005","Other degree","","","",""
"People are helpful","2005","no degree/no degree yet","","","",""
"People pursue self-interest","2005","lower secondary degree","","","",""
"People pursue self-interest","2005","secondary school degree","","","",""
"People pursue self-interest","2005","college entrance qualification","","","",""
"People pursue self-interest","2005","Other degree","","","",""
"People pursue self-interest","2005","no degree/no degree yet","","","",""
"People are helpful","2006","lower secondary degree","","","",""
"People are helpful","2006","secondary school degree","","","",""
"People are helpful","2006","college entrance qualification","","","",""
"People are helpful","2006","Other degree","","","",""
"People are helpful","2006","no degree/no degree yet","","","",""
"People pursue self-interest","2006","lower secondary degree","","","",""
"People pursue self-interest","2006","secondary school degree","","","",""
"People pursue self-interest","2006","college entrance qualification","","","",""
"People pursue self-interest","2006","Other degree","","","",""
"People pursue self-interest","2006","no degree/no degree yet","","","",""
"People are helpful","2007","lower secondary degree","","","",""
"People are helpful","2007","secondary school degree","","","",""
"People are helpful","2007","college entrance qualification","","","",""
"People are helpful","2007","Other degree","","","",""
"People are helpful","2007","no degree/no degree yet","","","",""
"People pursue self-interest","2007","lower secondary degree","","","",""
"People pursue self-interest","2007","secondary school degree","","","",""
"People pursue self-interest","2007","college entrance qualification","","","",""
"People pursue self-interest","2007","Other degree","","","",""
"People pursue self-interest","2007","no degree/no degree yet","","","",""
"People are helpful","2008","lower secondary degree","2525","0.393647882958711","0.381697082745437","0.405598683171985"
"People are helpful","2008","secondary school degree","1967","0.322806026875185","0.310669346075555","0.334942707674816"
"People are helpful","2008","college entrance qualification","2046","0.38525570441645","0.371841455802792","0.398669953030109"
"People are helpful","2008","Other degree","353","0.362440814373937","0.331645193169157","0.393236435578717"
"People are helpful","2008","no degree/no degree yet","209","0.333846382197661","0.294071239750986","0.373621524644336"
"People pursue self-interest","2008","lower secondary degree","3895","0.606352117041289","0.594401316828015","0.618302917254563"
"People pursue self-interest","2008","secondary school degree","3734","0.677193973124815","0.665057292325184","0.689330653924445"
"People pursue self-interest","2008","college entrance qualification","3010","0.614744295583549","0.601330046969891","0.628158544197208"
"People pursue self-interest","2008","Other degree","583","0.637559185626063","0.606763564421283","0.668354806830843"
"People pursue self-interest","2008","no degree/no degree yet","331","0.666153617802339","0.626378475355664","0.705928760249014"
"People are helpful","2009","lower secondary degree","","","",""
"People are helpful","2009","secondary school degree","","","",""
"People are helpful","2009","college entrance qualification","","","",""
"People are helpful","2009","Other degree","","","",""
"People are helpful","2009","no degree/no degree yet","","","",""
"People pursue self-interest","2009","lower secondary degree","","","",""
"People pursue self-interest","2009","secondary school degree","","","",""
"People pursue self-interest","2009","college entrance qualification","","","",""
"People pursue self-interest","2009","Other degree","","","",""
"People pursue self-interest","2009","no degree/no degree yet","","","",""
"People are helpful","2010","lower secondary degree","","","",""
"People are helpful","2010","secondary school degree","","","",""
"People are helpful","2010","college entrance qualification","","","",""
"People are helpful","2010","Other degree","","","",""
"People are helpful","2010","no degree/no degree yet","","","",""
"People pursue self-interest","2010","lower secondary degree","","","",""
"People pursue self-interest","2010","secondary school degree","","","",""
"People pursue self-interest","2010","college entrance qualification","","","",""
"People pursue self-interest","2010","Other degree","","","",""
"People pursue self-interest","2010","no degree/no degree yet","","","",""
"People are helpful","2011","lower secondary degree","","","",""
"People are helpful","2011","secondary school degree","","","",""
"People are helpful","2011","college entrance qualification","","","",""
"People are helpful","2011","Other degree","","","",""
"People are helpful","2011","no degree/no degree yet","","","",""
"People pursue self-interest","2011","lower secondary degree","","","",""
"People pursue self-interest","2011","secondary school degree","","","",""
"People pursue self-interest","2011","college entrance qualification","","","",""
"People pursue self-interest","2011","Other degree","","","",""
"People pursue self-interest","2011","no degree/no degree yet","","","",""
"People are helpful","2012","lower secondary degree","","","",""
"People are helpful","2012","secondary school degree","","","",""
"People are helpful","2012","college entrance qualification","","","",""
"People are helpful","2012","Other degree","","","",""
"People are helpful","2012","no degree/no degree yet","","","",""
"People pursue self-interest","2012","lower secondary degree","","","",""
"People pursue self-interest","2012","secondary school degree","","","",""
"People pursue self-interest","2012","college entrance qualification","","","",""
"People pursue self-interest","2012","Other degree","","","",""
"People pursue self-interest","2012","no degree/no degree yet","","","",""
"People are helpful","2013","lower secondary degree","3007","0.437979606012693","0.426381864893916","0.44957734713147"
"People are helpful","2013","secondary school degree","3143","0.390456970483841","0.379616526558566","0.401297414409117"
"People are helpful","2013","college entrance qualification","3619","0.477798246965655","0.466290766658848","0.489305727272462"
"People are helpful","2013","Other degree","687","0.448963035341285","0.424265135578252","0.473660935104318"
"People are helpful","2013","no degree/no degree yet","292","0.37615941966967","0.342443556770839","0.409875282568502"
"People pursue self-interest","2013","lower secondary degree","4023","0.562020393987307","0.55042265286853","0.573618135106084"
"People pursue self-interest","2013","secondary school degree","4637","0.609543029516158","0.598702585590883","0.620383473441434"
"People pursue self-interest","2013","college entrance qualification","3619","0.522201753034345","0.510694272727538","0.533709233341152"
"People pursue self-interest","2013","Other degree","871","0.551036964658715","0.526339064895682","0.575734864421748"
