"plh0196","year","migback","sex","n","percent","lower_confidence","upper_confidence"
"People are helpful","2003","no migration background","Male","3110","0.339014401239506","0.329218763065156","0.348810039413856"
"People are helpful","2003","no migration background","Female","3547","0.377221494656917","0.367540443370234","0.3869025459436"
"People are helpful","2003","direct migration background","Male","437","0.338614647310516","0.312380120156718","0.364849174464314"
"People are helpful","2003","direct migration background","Female","527","0.385162368275908","0.359048433144485","0.41127630340733"
"People are helpful","2003","indirect migration background","Male","122","0.278466509269178","0.233038153073509","0.323894865464848"
"People are helpful","2003","indirect migration background","Female","144","0.334601341297585","0.288647123445908","0.380555559149261"
"People pursue self-interest","2003","no migration background","Male","5861","0.660985598760494","0.651189960586144","0.670781236934844"
"People pursue self-interest","2003","no migration background","Female","6082","0.622778505343083","0.6130974540564","0.632459556629767"
"People pursue self-interest","2003","direct migration background","Male","813","0.661385352689484","0.635150825535686","0.687619879843282"
"People pursue self-interest","2003","direct migration background","Female","807","0.614837631724093","0.58872369659267","0.640951566855515"
"People pursue self-interest","2003","indirect migration background","Male","252","0.721533490730822","0.676105134535152","0.766961846926491"
"People pursue self-interest","2003","indirect migration background","Female","261","0.665398658702415","0.619444440850739","0.711352876554092"
"People are helpful","2004","no migration background","Male","","","",""
"People are helpful","2004","no migration background","Female","","","",""
"People are helpful","2004","direct migration background","Male","","","",""
"People are helpful","2004","direct migration background","Female","","","",""
"People are helpful","2004","indirect migration background","Male","","","",""
"People are helpful","2004","indirect migration background","Female","","","",""
"People pursue self-interest","2004","no migration background","Male","","","",""
"People pursue self-interest","2004","no migration background","Female","","","",""
"People pursue self-interest","2004","direct migration background","Male","","","",""
"People pursue self-interest","2004","direct migration background","Female","","","",""
"People pursue self-interest","2004","indirect migration background","Male","","","",""
"People pursue self-interest","2004","indirect migration background","Female","","","",""
"People are helpful","2005","no migration background","Male","","","",""
"People are helpful","2005","no migration background","Female","","","",""
"People are helpful","2005","direct migration background","Male","","","",""
"People are helpful","2005","direct migration background","Female","","","",""
"People are helpful","2005","indirect migration background","Male","","","",""
"People are helpful","2005","indirect migration background","Female","","","",""
"People pursue self-interest","2005","no migration background","Male","","","",""
"People pursue self-interest","2005","no migration background","Female","","","",""
"People pursue self-interest","2005","direct migration background","Male","","","",""
"People pursue self-interest","2005","direct migration background","Female","","","",""
"People pursue self-interest","2005","indirect migration background","Male","","","",""
"People pursue self-interest","2005","indirect migration background","Female","","","",""
"People are helpful","2006","no migration background","Male","","","",""
"People are helpful","2006","no migration background","Female","","","",""
"People are helpful","2006","direct migration background","Male","","","",""
"People are helpful","2006","direct migration background","Female","","","",""
"People are helpful","2006","indirect migration background","Male","","","",""
"People are helpful","2006","indirect migration background","Female","","","",""
"People pursue self-interest","2006","no migration background","Male","","","",""
"People pursue self-interest","2006","no migration background","Female","","","",""
"People pursue self-interest","2006","direct migration background","Male","","","",""
"People pursue self-interest","2006","direct migration background","Female","","","",""
"People pursue self-interest","2006","indirect migration background","Male","","","",""
"People pursue self-interest","2006","indirect migration background","Female","","","",""
"People are helpful","2007","no migration background","Male","","","",""
"People are helpful","2007","no migration background","Female","","","",""
"People are helpful","2007","direct migration background","Male","","","",""
"People are helpful","2007","direct migration background","Female","","","",""
"People are helpful","2007","indirect migration background","Male","","","",""
"People are helpful","2007","indirect migration background","Female","","","",""
"People pursue self-interest","2007","no migration background","Male","","","",""
"People pursue self-interest","2007","no migration background","Female","","","",""
"People pursue self-interest","2007","direct migration background","Male","","","",""
"People pursue self-interest","2007","direct migration background","Female","","","",""
"People pursue self-interest","2007","indirect migration background","Male","","","",""
"People pursue self-interest","2007","indirect migration background","Female","","","",""
"People are helpful","2008","no migration background","Male","2848","0.347466001826121","0.336959277922854","0.357972725729388"
"People are helpful","2008","no migration background","Female","3467","0.396598495525613","0.3862685227805","0.406928468270726"
"People are helpful","2008","direct migration background","Male","297","0.327707059157086","0.296553187785999","0.358860930528173"
"People are helpful","2008","direct migration background","Female","406","0.382300462989511","0.352301318147558","0.412299607831463"
"People are helpful","2008","indirect migration background","Male","123","0.284920443722956","0.238614083508785","0.331226803937126"
"People are helpful","2008","indirect migration background","Female","133","0.289076007108831","0.244313171567203","0.333838842650459"
"People pursue self-interest","2008","no migration background","Male","5042","0.652533998173879","0.642027274270612","0.663040722077146"
"People pursue self-interest","2008","no migration background","Female","5148","0.603401504474387","0.593071531729274","0.6137314772195"
"People pursue self-interest","2008","direct migration background","Male","575","0.672292940842914","0.641139069471827","0.703446812214001"
"People pursue self-interest","2008","direct migration background","Female","602","0.617699537010489","0.587700392168537","0.647698681852442"
"People pursue self-interest","2008","indirect migration background","Male","242","0.715079556277044","0.668773196062874","0.761385916491215"
"People pursue self-interest","2008","indirect migration background","Female","261","0.710923992891169","0.666161157349541","0.755686828432797"
"People are helpful","2009","no migration background","Male","","","",""
"People are helpful","2009","no migration background","Female","","","",""
"People are helpful","2009","direct migration background","Male","","","",""
"People are helpful","2009","direct migration background","Female","","","",""
"People are helpful","2009","indirect migration background","Male","","","",""
"People are helpful","2009","indirect migration background","Female","","","",""
"People pursue self-interest","2009","no migration background","Male","","","",""
"People pursue self-interest","2009","no migration background","Female","","","",""
"People pursue self-interest","2009","direct migration background","Male","","","",""
"People pursue self-interest","2009","direct migration background","Female","","","",""
"People pursue self-interest","2009","indirect migration background","Male","","","",""
"People pursue self-interest","2009","indirect migration background","Female","","","",""
"People are helpful","2010","no migration background","Male","","","",""
"People are helpful","2010","no migration background","Female","","","",""
"People are helpful","2010","direct migration background","Male","","","",""
"People are helpful","2010","direct migration background","Female","","","",""
"People are helpful","2010","indirect migration background","Male","","","",""
"People are helpful","2010","indirect migration background","Female","","","",""
"People pursue self-interest","2010","no migration background","Male","","","",""
"People pursue self-interest","2010","no migration background","Female","","","",""
"People pursue self-interest","2010","direct migration background","Male","","","",""
"People pursue self-interest","2010","direct migration background","Female","","","",""
"People pursue self-interest","2010","indirect migration background","Male","","","",""
"People pursue self-interest","2010","indirect migration background","Female","","","",""
"People are helpful","2011","no migration background","Male","","","",""
"People are helpful","2011","no migration background","Female","","","",""
"People are helpful","2011","direct migration background","Male","","","",""
"People are helpful","2011","direct migration background","Female","","","",""
"People are helpful","2011","indirect migration background","Male","","","",""
"People are helpful","2011","indirect migration background","Female","","","",""
"People pursue self-interest","2011","no migration background","Male","","","",""
"People pursue self-interest","2011","no migration background","Female","","","",""
"People pursue self-interest","2011","direct migration background","Male","","","",""
"People pursue self-interest","2011","direct migration background","Female","","","",""
"People pursue self-interest","2011","indirect migration background","Male","","","",""
"People pursue self-interest","2011","indirect migration background","Female","","","",""
"People are helpful","2012","no migration background","Male","","","",""
"People are helpful","2012","no migration background","Female","","","",""
"People are helpful","2012","direct migration background","Male","","","",""
"People are helpful","2012","direct migration background","Female","","","",""
"People are helpful","2012","indirect migration background","Male","","","",""
"People are helpful","2012","indirect migration background","Female","","","",""
"People pursue self-interest","2012","no migration background","Male","","","",""
"People pursue self-interest","2012","no migration background","Female","","","",""
"People pursue self-interest","2012","direct migration background","Male","","","",""
"People pursue self-interest","2012","direct migration background","Female","","","",""
"People pursue self-interest","2012","indirect migration background","Male","","","",""
"People pursue self-interest","2012","indirect migration background","Female","","","",""
"People are helpful","2013","no migration background","Male","4157","0.414851502675835","0.405050173908961","0.424652831442709"
"People are helpful","2013","no migration background","Female","5329","0.454215098663785","0.445177764153467","0.463252433174103"
"People are helpful","2013","direct migration background","Male","458","0.402208145968525","0.373631107726252","0.430785184210797"
"People are helpful","2013","direct migration background","Female","671","0.454319818179185","0.428805976310165","0.479833660048204"
"People are helpful","2013","indirect migration background","Male","184","0.364178261573577","0.322937949607649","0.405418573539506"
"People are helpful","2013","indirect migration background","Female","253","0.419931834671421","0.381783856973221","0.45807981236962"
"People pursue self-interest","2013","no migration background","Male","5550","0.585148497324165","0.575347168557291","0.594949826091039"
"People pursue self-interest","2013","no migration background","Female","6331","0.545784901336215","0.536747566825897","0.554822235846533"
"People pursue self-interest","2013","direct migration background","Male","673","0.597791854031475","0.569214815789203","0.626368892273748"
"People pursue self-interest","2013","direct migration background","Female","792","0.545680181820816","0.520166339951796","0.571194023689835"
"People pursue self-interest","2013","indirect migration background","Male","339","0.635821738426423","0.594581426460494","0.677062050392351"
"People pursue self-interest","2013","indirect migration background","Female","390","0.580068165328579","0.54192018763038","0.618216143026779"
"People are helpful","2014","no migration background","Male","","","",""
"People are helpful","2014","no migration background","Female","","","",""
"People are helpful","2014","direct migration background","Male","","","",""
"People are helpful","2014","direct migration background","Female","","","",""
"People are helpful","2014","indirect migration background","Male","","","",""
"People are helpful","2014","indirect migration background","Female","","","",""
"People pursue self-interest","2014","no migration background","Male","","","",""
"People pursue self-interest","2014","no migration background","Female","","","",""
"People pursue self-interest","2014","direct migration background","Male","","","",""
"People pursue self-interest","2014","direct migration background","Female","","","",""
"People pursue self-interest","2014","indirect migration background","Male","","","",""
"People pursue self-interest","2014","indirect migration background","Female","","","",""
"People are helpful","2015","no migration background","Male","","","",""
"People are helpful","2015","no migration background","Female","","","",""
"People are helpful","2015","direct migration background","Male","","","",""
"People are helpful","2015","direct migration background","Female","","","",""
"People are helpful","2015","indirect migration background","Male","","","",""
"People are helpful","2015","indirect migration background","Female","","","",""
"People pursue self-interest","2015","no migration background","Male","","","",""
"People pursue self-interest","2015","no migration background","Female","","","",""
"People pursue self-interest","2015","direct migration background","Male","","","",""
"People pursue self-interest","2015","direct migration background","Female","","","",""
"People pursue self-interest","2015","indirect migration background","Male","","","",""
"People pursue self-interest","2015","indirect migration background","Female","","","",""
"People are helpful","2016","no migration background","Male","","","",""
"People are helpful","2016","no migration background","Female","","","",""
"People are helpful","2016","direct migration background","Male","","","",""
"People are helpful","2016","direct migration background","Female","","","",""
"People are helpful","2016","indirect migration background","Male","","","",""
"People are helpful","2016","indirect migration background","Female","","","",""
"People pursue self-interest","2016","no migration background","Male","","","",""
"People pursue self-interest","2016","no migration background","Female","","","",""
"People pursue self-interest","2016","direct migration background","Male","","","",""
"People pursue self-interest","2016","direct migration background","Female","","","",""
"People pursue self-interest","2016","indirect migration background","Male","","","",""
"People pursue self-interest","2016","indirect migration background","Female","","","",""
"People are helpful","2017","no migration background","Male","","","",""
"People are helpful","2017","no migration background","Female","","","",""
"People are helpful","2017","direct migration background","Male","","","",""
"People are helpful","2017","direct migration background","Female","","","",""
"People are helpful","2017","indirect migration background","Male","","","",""
"People are helpful","2017","indirect migration background","Female","","","",""
"People pursue self-interest","2017","no migration background","Male","","","",""
"People pursue self-interest","2017","no migration background","Female","","","",""
"People pursue self-interest","2017","direct migration background","Male","","","",""
"People pursue self-interest","2017","direct migration background","Female","","","",""
"People pursue self-interest","2017","indirect migration background","Male","","","",""
"People pursue self-interest","2017","indirect migration background","Female","","","",""
"People are helpful","2018","no migration background","Male","4107","0.45707208154955","0.446744095401466","0.467400067697634"
"People are helpful","2018","no migration background","Female","4956","0.485527969153973","0.475900702629959","0.495155235677986"
"People are helpful","2018","direct migration background","Male","2034","0.465851624745802","0.450718569004282","0.480984680487323"
"People are helpful","2018","direct migration background","Female","1865","0.465376539130838","0.449388448269764","0.481364629991912"
"People are helpful","2018","indirect migration background","Male","295","0.411439413384183","0.37645377290749","0.446425053860876"
"People are helpful","2018","indirect migration background","Female","351","0.395430048222524","0.363852646741007","0.427007449704041"
"People pursue self-interest","2018","no migration background","Male","4830","0.54292791845045","0.532599932302366","0.553255904598534"
"People pursue self-interest","2018","no migration background","Female","5397","0.514472030846027","0.504844764322014","0.524099297370041"
"People pursue self-interest","2018","direct migration background","Male","2140","0.534148375254198","0.519015319512677","0.549281430995718"
"People pursue self-interest","2018","direct migration background","Female","1874","0.534623460869162","0.518635370008088","0.550611551730236"
"People pursue self-interest","2018","indirect migration background","Male","465","0.588560586615817","0.553574946139124","0.62354622709251"
"People pursue self-interest","2018","indirect migration background","Female","570","0.604569951777476","0.572992550295959","0.636147353258993"
