"plh0196","year","bula_h","n","percent","lower_confidence","upper_confidence","value"
"People are helpful","2003","Schleswig-Holstein","306","0.421084700244134","0.383099188003694","0.459070212484574","1"
"People are helpful","2003","Hamburg","118","0.332701995822833","0.278842529991351","0.386561461654316","1"
"People are helpful","2003","Lower Saxony","672","0.355092267031531","0.333517973240666","0.376666560822396","1"
"People are helpful","2003","Bremen","74","0.378125223242664","0.305865825966249","0.450384620519079","1"
"People are helpful","2003","North Rhine-Westphalia","1708","0.371173302185211","0.357228756120931","0.385117848249492","1"
"People are helpful","2003","Hesse","454","0.298958241116808","0.275618927326289","0.322297554907327","1"
"People are helpful","2003","Rhineland-Palatinate,Saarland","556","0.425741727292287","0.399198131492934","0.452285323091641","1"
"People are helpful","2003","Baden-Württemberg","1107","0.381685953971232","0.363296987146145","0.40007492079632","1"
"People are helpful","2003","Bavaria","1135","0.37743837308477","0.360366086662513","0.394510659507028","1"
"People are helpful","2003","Berlin","267","0.338591378730141","0.306240576409002","0.370942181051279","1"
"People are helpful","2003","Brandenburg","279","0.290436145226177","0.261260014853121","0.319612275599234","1"
"People are helpful","2003","Mecklenburg-Western Pomerania","162","0.304971156322783","0.265551462673983","0.344390849971582","1"
"People are helpful","2003","Saxony","555","0.330057841815693","0.307038388172779","0.353077295458606","1"
"People are helpful","2003","Saxony-Anhalt","246","0.272207787141481","0.243586167316188","0.300829406966774","1"
"People are helpful","2003","Thuringia","248","0.270837039441599","0.242563426162238","0.29911065272096","1"
"People pursue self-interest","2003","Brandenburg","651","0.709563854773823","0.680387724400766","0.738739985146879","2"
"People pursue self-interest","2003","Schleswig-Holstein","343","0.578915299755866","0.540929787515426","0.616900811996306","2"
"People pursue self-interest","2003","Hamburg","176","0.667298004177167","0.613438538345684","0.721157470008649","2"
"People pursue self-interest","2003","Mecklenburg-Western Pomerania","362","0.695028843677217","0.655609150028418","0.734448537326017","2"
"People pursue self-interest","2003","Lower Saxony","1218","0.644907732968469","0.623333439177604","0.666482026759334","2"
"People pursue self-interest","2003","Bremen","99","0.621874776757336","0.549615379480921","0.694134174033751","2"
"People pursue self-interest","2003","North Rhine-Westphalia","2903","0.628826697814789","0.614882151750508","0.642771243879069","2"
"People pursue self-interest","2003","Hesse","1024","0.701041758883192","0.677702445092673","0.724381072673711","2"
"People pursue self-interest","2003","Saxony","1048","0.669942158184307","0.646922704541394","0.692961611827221","2"
"People pursue self-interest","2003","Baden-Württemberg","1574","0.618314046028768","0.59992507920368","0.636703012853855","2"
"People pursue self-interest","2003","Rhineland-Palatinate,Saarland","777","0.574258272707713","0.547714676908359","0.600801868507066","2"
"People pursue self-interest","2003","Bavaria","1962","0.62256162691523","0.605489340492972","0.639633913337487","2"
"People pursue self-interest","2003","Berlin","555","0.661408621269859","0.629057818948721","0.693759423590998","2"
"People pursue self-interest","2003","Saxony-Anhalt","683","0.727792212858519","0.699170593033226","0.756413832683812","2"
"People pursue self-interest","2003","Thuringia","701","0.729162960558401","0.70088934727904","0.757436573837763","2"
"People are helpful","2004","Schleswig-Holstein","","","","","1"
"People are helpful","2004","Hamburg","","","","","1"
"People are helpful","2004","Lower Saxony","","","","","1"
"People are helpful","2004","Bremen","","","","","1"
"People are helpful","2004","North Rhine-Westphalia","","","","","1"
"People are helpful","2004","Hesse","","","","","1"
"People are helpful","2004","Rhineland-Palatinate,Saarland","","","","","1"
"People are helpful","2004","Baden-Württemberg","","","","","1"
"People are helpful","2004","Bavaria","","","","","1"
"People are helpful","2004","Berlin","","","","","1"
"People are helpful","2004","Brandenburg","","","","","1"
"People are helpful","2004","Mecklenburg-Western Pomerania","","","","","1"
"People are helpful","2004","Saxony","","","","","1"
"People are helpful","2004","Saxony-Anhalt","","","","","1"
"People are helpful","2004","Thuringia","","","","","1"
"People pursue self-interest","2004","Hamburg","","","","","2"
"People pursue self-interest","2004","Schleswig-Holstein","","","","","2"
"People pursue self-interest","2004","Lower Saxony","","","","","2"
"People pursue self-interest","2004","Bremen","","","","","2"
"People pursue self-interest","2004","Brandenburg","","","","","2"
"People pursue self-interest","2004","Mecklenburg-Western Pomerania","","","","","2"
"People pursue self-interest","2004","Hesse","","","","","2"
"People pursue self-interest","2004","North Rhine-Westphalia","","","","","2"
"People pursue self-interest","2004","Baden-Württemberg","","","","","2"
"People pursue self-interest","2004","Saxony","","","","","2"
"People pursue self-interest","2004","Rhineland-Palatinate,Saarland","","","","","2"
"People pursue self-interest","2004","Bavaria","","","","","2"
"People pursue self-interest","2004","Berlin","","","","","2"
"People pursue self-interest","2004","Saxony-Anhalt","","","","","2"
"People pursue self-interest","2004","Thuringia","","","","","2"
"People are helpful","2005","Schleswig-Holstein","","","","","1"
"People are helpful","2005","Hamburg","","","","","1"
"People are helpful","2005","Lower Saxony","","","","","1"
"People are helpful","2005","Bremen","","","","","1"
"People are helpful","2005","North Rhine-Westphalia","","","","","1"
"People are helpful","2005","Hesse","","","","","1"
"People are helpful","2005","Rhineland-Palatinate,Saarland","","","","","1"
"People are helpful","2005","Baden-Württemberg","","","","","1"
"People are helpful","2005","Bavaria","","","","","1"
"People are helpful","2005","Berlin","","","","","1"
"People are helpful","2005","Brandenburg","","","","","1"
"People are helpful","2005","Mecklenburg-Western Pomerania","","","","","1"
"People are helpful","2005","Saxony","","","","","1"
"People are helpful","2005","Saxony-Anhalt","","","","","1"
"People are helpful","2005","Thuringia","","","","","1"
"People pursue self-interest","2005","Schleswig-Holstein","","","","","2"
"People pursue self-interest","2005","Brandenburg","","","","","2"
"People pursue self-interest","2005","Lower Saxony","","","","","2"
"People pursue self-interest","2005","Mecklenburg-Western Pomerania","","","","","2"
"People pursue self-interest","2005","Hamburg","","","","","2"
"People pursue self-interest","2005","North Rhine-Westphalia","","","","","2"
"People pursue self-interest","2005","Bremen","","","","","2"
"People pursue self-interest","2005","Hesse","","","","","2"
"People pursue self-interest","2005","Rhineland-Palatinate,Saarland","","","","","2"
"People pursue self-interest","2005","Saxony","","","","","2"
"People pursue self-interest","2005","Baden-Württemberg","","","","","2"
"People pursue self-interest","2005","Bavaria","","","","","2"
"People pursue self-interest","2005","Berlin","","","","","2"
"People pursue self-interest","2005","Saxony-Anhalt","","","","","2"
"People pursue self-interest","2005","Thuringia","","","","","2"
"People are helpful","2006","Hesse","","","","","1"
"People are helpful","2006","Rhineland-Palatinate,Saarland","","","","","1"
"People are helpful","2006","Schleswig-Holstein","","","","","1"
"People are helpful","2006","Hamburg","","","","","1"
"People are helpful","2006","Lower Saxony","","","","","1"
"People are helpful","2006","Bremen","","","","","1"
"People are helpful","2006","North Rhine-Westphalia","","","","","1"
"People are helpful","2006","Baden-Württemberg","","","","","1"
"People are helpful","2006","Bavaria","","","","","1"
"People are helpful","2006","Berlin","","","","","1"
"People are helpful","2006","Brandenburg","","","","","1"
"People are helpful","2006","Mecklenburg-Western Pomerania","","","","","1"
"People are helpful","2006","Saxony","","","","","1"
"People are helpful","2006","Saxony-Anhalt","","","","","1"
"People are helpful","2006","Thuringia","","","","","1"
"People pursue self-interest","2006","Saxony","","","","","2"
"People pursue self-interest","2006","Hamburg","","","","","2"
"People pursue self-interest","2006","Lower Saxony","","","","","2"
"People pursue self-interest","2006","Mecklenburg-Western Pomerania","","","","","2"
"People pursue self-interest","2006","Schleswig-Holstein","","","","","2"
"People pursue self-interest","2006","Bremen","","","","","2"
"People pursue self-interest","2006","Brandenburg","","","","","2"
"People pursue self-interest","2006","North Rhine-Westphalia","","","","","2"
"People pursue self-interest","2006","Hesse","","","","","2"
"People pursue self-interest","2006","Rhineland-Palatinate,Saarland","","","","","2"
"People pursue self-interest","2006","Baden-Württemberg","","","","","2"
"People pursue self-interest","2006","Saxony-Anhalt","","","","","2"
"People pursue self-interest","2006","Bavaria","","","","","2"
"People pursue self-interest","2006","Berlin","","","","","2"
"People pursue self-interest","2006","Thuringia","","","","","2"
"People are helpful","2007","Hesse","","","","","1"
"People are helpful","2007","Rhineland-Palatinate,Saarland","","","","","1"
"People are helpful","2007","Schleswig-Holstein","","","","","1"
"People are helpful","2007","Hamburg","","","","","1"
"People are helpful","2007","Lower Saxony","","","","","1"
"People are helpful","2007","Bremen","","","","","1"
"People are helpful","2007","North Rhine-Westphalia","","","","","1"
"People are helpful","2007","Baden-Württemberg","","","","","1"
"People are helpful","2007","Bavaria","","","","","1"
"People are helpful","2007","Berlin","","","","","1"
"People are helpful","2007","Brandenburg","","","","","1"
"People are helpful","2007","Mecklenburg-Western Pomerania","","","","","1"
"People are helpful","2007","Saxony","","","","","1"
"People are helpful","2007","Saxony-Anhalt","","","","","1"
"People are helpful","2007","Thuringia","","","","","1"
"People pursue self-interest","2007","Mecklenburg-Western Pomerania","","","","","2"
"People pursue self-interest","2007","Schleswig-Holstein","","","","","2"
"People pursue self-interest","2007","Hamburg","","","","","2"
"People pursue self-interest","2007","Lower Saxony","","","","","2"
"People pursue self-interest","2007","Brandenburg","","","","","2"
"People pursue self-interest","2007","Saxony","","","","","2"
"People pursue self-interest","2007","Bremen","","","","","2"
"People pursue self-interest","2007","North Rhine-Westphalia","","","","","2"
"People pursue self-interest","2007","Hesse","","","","","2"
"People pursue self-interest","2007","Rhineland-Palatinate,Saarland","","","","","2"
"People pursue self-interest","2007","Baden-Württemberg","","","","","2"
"People pursue self-interest","2007","Saxony-Anhalt","","","","","2"
"People pursue self-interest","2007","Bavaria","","","","","2"
"People pursue self-interest","2007","Berlin","","","","","2"
"People pursue self-interest","2007","Thuringia","","","","","2"
"People are helpful","2008","Schleswig-Holstein","245","0.394847982898356","0.353733448097409","0.435962517699303","1"
"People are helpful","2008","Hesse","496","0.376427380903738","0.350070448280685","0.40278431352679","1"
"People are helpful","2008","Rhineland-Palatinate,Saarland","499","0.453140383934262","0.423655777019765","0.482624990848759","1"
"People are helpful","2008","Baden-Württemberg","961","0.386218862236795","0.366449455371436","0.405988269102154","1"
"People are helpful","2008","Hamburg","122","0.359097143054602","0.302905574662476","0.415288711446727","1"
"People are helpful","2008","Lower Saxony","693","0.384263718727351","0.361395345695911","0.40713209175879","1"
"People are helpful","2008","Bremen","56","0.381744731353032","0.300689885022149","0.462799577683915","1"
"People are helpful","2008","North Rhine-Westphalia","1529","0.364137650353663","0.349004727139346","0.37927057356798","1"
"People are helpful","2008","Bavaria","974","0.345770982255193","0.327896938682137","0.36364502582825","1"
"People are helpful","2008","Berlin","231","0.336482243453857","0.301702023539233","0.371262463368481","1"
"People are helpful","2008","Brandenburg","249","0.293040155234682","0.261810732766321","0.324269577703042","1"
"People are helpful","2008","Mecklenburg-Western Pomerania","180","0.354441365761658","0.311870030765351","0.397012700757965","1"
"People are helpful","2008","Saxony","485","0.335661959040824","0.311092108395757","0.360231809685891","1"
"People are helpful","2008","Saxony-Anhalt","261","0.336091807672938","0.303621545492662","0.368562069853214","1"
"People are helpful","2008","Thuringia","293","0.337046462725752","0.305743714304019","0.368349211147485","1"
"People pursue self-interest","2008","Hamburg","158","0.640902856945398","0.584711288553273","0.697094425337524","2"
"People pursue self-interest","2008","Lower Saxony","1045","0.615736281272649","0.59286790824121","0.638604654304089","2"
"People pursue self-interest","2008","Schleswig-Holstein","298","0.605152017101644","0.564037482300697","0.646266551902591","2"
"People pursue self-interest","2008","Bremen","82","0.618255268646968","0.537200422316085","0.699310114977851","2"
"People pursue self-interest","2008","North Rhine-Westphalia","2355","0.635862349646337","0.62072942643202","0.650995272860654","2"
"People pursue self-interest","2008","Brandenburg","567","0.706959844765318","0.675730422296958","0.738189267233679","2"
"People pursue self-interest","2008","Mecklenburg-Western Pomerania","305","0.645558634238342","0.602987299242035","0.688129969234649","2"
"People pursue self-interest","2008","Saxony","934","0.664338040959176","0.639768190314109","0.688907891604243","2"
