"plh0196","year","e11102","e11103","n","percent","lower_confidence","upper_confidence","value"
"People are helpful","2003","Not Employed","Full Time","","","","","1"
"People are helpful","2003","Not Employed","Part Time","","","","","1"
"People are helpful","2003","Not Employed","Not Working","3438","0.430289971300208","0.41949562834386","0.441084314256557","1"
"People are helpful","2003","Employed","Full Time","2792","0.299906277477899","0.290341859645173","0.309470695310625","1"
"People are helpful","2003","Employed","Part Time","1657","0.31849844203377","0.305666620074931","0.331330263992609","1"
"People are helpful","2003","Employed","Not Working","","","","","1"
"People pursue self-interest","2003","Not Employed","Full Time","","","","","2"
"People pursue self-interest","2003","Not Employed","Part Time","","","","","2"
"People pursue self-interest","2003","Employed","Part Time","3407","0.68150155796623","0.668669736007391","0.694333379925069","2"
"People pursue self-interest","2003","Employed","Not Working","","","","","2"
"People pursue self-interest","2003","Not Employed","Not Working","4644","0.569710028699792","0.558915685743443","0.58050437165614","2"
"People pursue self-interest","2003","Employed","Full Time","6025","0.700093722522101","0.690529304689375","0.709658140354827","2"
"People are helpful","2004","Not Employed","Full Time","","","","","1"
"People are helpful","2004","Not Employed","Part Time","","","","","1"
"People are helpful","2004","Not Employed","Not Working","","","","","1"
"People are helpful","2004","Employed","Full Time","","","","","1"
"People are helpful","2004","Employed","Part Time","","","","","1"
"People are helpful","2004","Employed","Not Working","","","","","1"
"People pursue self-interest","2004","Not Employed","Full Time","","","","","2"
"People pursue self-interest","2004","Not Employed","Part Time","","","","","2"
"People pursue self-interest","2004","Employed","Part Time","","","","","2"
"People pursue self-interest","2004","Employed","Not Working","","","","","2"
"People pursue self-interest","2004","Not Employed","Not Working","","","","","2"
"People pursue self-interest","2004","Employed","Full Time","","","","","2"
"People are helpful","2005","Not Employed","Full Time","","","","","1"
"People are helpful","2005","Not Employed","Part Time","","","","","1"
"People are helpful","2005","Not Employed","Not Working","","","","","1"
"People are helpful","2005","Employed","Full Time","","","","","1"
"People are helpful","2005","Employed","Part Time","","","","","1"
"People are helpful","2005","Employed","Not Working","","","","","1"
"People pursue self-interest","2005","Not Employed","Full Time","","","","","2"
"People pursue self-interest","2005","Not Employed","Part Time","","","","","2"
"People pursue self-interest","2005","Employed","Part Time","","","","","2"
"People pursue self-interest","2005","Employed","Not Working","","","","","2"
"People pursue self-interest","2005","Not Employed","Not Working","","","","","2"
"People pursue self-interest","2005","Employed","Full Time","","","","","2"
"People are helpful","2006","Not Employed","Full Time","","","","","1"
"People are helpful","2006","Not Employed","Part Time","","","","","1"
"People are helpful","2006","Not Employed","Not Working","","","","","1"
"People are helpful","2006","Employed","Full Time","","","","","1"
"People are helpful","2006","Employed","Part Time","","","","","1"
"People are helpful","2006","Employed","Not Working","","","","","1"
"People pursue self-interest","2006","Employed","Part Time","","","","","2"
"People pursue self-interest","2006","Employed","Not Working","","","","","2"
"People pursue self-interest","2006","Not Employed","Full Time","","","","","2"
"People pursue self-interest","2006","Not Employed","Part Time","","","","","2"
"People pursue self-interest","2006","Not Employed","Not Working","","","","","2"
"People pursue self-interest","2006","Employed","Full Time","","","","","2"
"People are helpful","2007","Not Employed","Full Time","","","","","1"
"People are helpful","2007","Not Employed","Part Time","","","","","1"
"People are helpful","2007","Not Employed","Not Working","","","","","1"
"People are helpful","2007","Employed","Full Time","","","","","1"
"People are helpful","2007","Employed","Part Time","","","","","1"
"People are helpful","2007","Employed","Not Working","","","","","1"
"People pursue self-interest","2007","Employed","Part Time","","","","","2"
"People pursue self-interest","2007","Employed","Not Working","","","","","2"
"People pursue self-interest","2007","Not Employed","Full Time","","","","","2"
"People pursue self-interest","2007","Not Employed","Part Time","","","","","2"
"People pursue self-interest","2007","Not Employed","Not Working","","","","","2"
"People pursue self-interest","2007","Employed","Full Time","","","","","2"
"People are helpful","2008","Not Employed","Full Time","","","","","1"
"People are helpful","2008","Not Employed","Part Time","","","","","1"
"People are helpful","2008","Not Employed","Not Working","3269","0.435884994635825","0.424577046006814","0.447192943264836","1"
"People are helpful","2008","Employed","Full Time","2438","0.307023362921008","0.296512558955071","0.317534166886944","1"
"People are helpful","2008","Employed","Part Time","1567","0.346662214119431","0.332534340607758","0.360790087631105","1"
"People are helpful","2008","Employed","Not Working","","","","","1"
"People pursue self-interest","2008","Employed","Part Time","2792","0.653337785880569","0.639209912368895","0.667465659392242","2"
"People pursue self-interest","2008","Employed","Not Working","","","","","2"
"People pursue self-interest","2008","Not Employed","Full Time","","","","","2"
"People pursue self-interest","2008","Not Employed","Part Time","","","","","2"
"People pursue self-interest","2008","Not Employed","Not Working","4118","0.564115005364175","0.552807056735163","0.575422953993186","2"
"People pursue self-interest","2008","Employed","Full Time","4960","0.692976637078992","0.682465833113056","0.703487441044929","2"
"People are helpful","2009","Not Employed","Full Time","","","","","1"
"People are helpful","2009","Not Employed","Part Time","","","","","1"
"People are helpful","2009","Not Employed","Not Working","","","","","1"
"People are helpful","2009","Employed","Full Time","","","","","1"
"People are helpful","2009","Employed","Part Time","","","","","1"
"People are helpful","2009","Employed","Not Working","","","","","1"
"People pursue self-interest","2009","Employed","Part Time","","","","","2"
"People pursue self-interest","2009","Employed","Not Working","","","","","2"
"People pursue self-interest","2009","Not Employed","Full Time","","","","","2"
"People pursue self-interest","2009","Not Employed","Part Time","","","","","2"
"People pursue self-interest","2009","Not Employed","Not Working","","","","","2"
"People pursue self-interest","2009","Employed","Full Time","","","","","2"
"People are helpful","2010","Not Employed","Not Working","","","","","1"
"People are helpful","2010","Employed","Full Time","","","","","1"
"People are helpful","2010","Not Employed","Full Time","","","","","1"
"People are helpful","2010","Not Employed","Part Time","","","","","1"
"People are helpful","2010","Employed","Part Time","","","","","1"
"People are helpful","2010","Employed","Not Working","","","","","1"
"People pursue self-interest","2010","Not Employed","Full Time","","","","","2"
"People pursue self-interest","2010","Employed","Part Time","","","","","2"
"People pursue self-interest","2010","Employed","Not Working","","","","","2"
"People pursue self-interest","2010","Not Employed","Part Time","","","","","2"
"People pursue self-interest","2010","Not Employed","Not Working","","","","","2"
"People pursue self-interest","2010","Employed","Full Time","","","","","2"
"People are helpful","2011","Not Employed","Not Working","","","","","1"
"People are helpful","2011","Employed","Full Time","","","","","1"
"People are helpful","2011","Employed","Part Time","","","","","1"
"People are helpful","2011","Not Employed","Full Time","","","","","1"
"People are helpful","2011","Not Employed","Part Time","","","","","1"
"People are helpful","2011","Employed","Not Working","","","","","1"
"People pursue self-interest","2011","Not Employed","Full Time","","","","","2"
"People pursue self-interest","2011","Not Employed","Part Time","","","","","2"
"People pursue self-interest","2011","Employed","Part Time","","","","","2"
"People pursue self-interest","2011","Employed","Not Working","","","","","2"
"People pursue self-interest","2011","Not Employed","Not Working","","","","","2"
"People pursue self-interest","2011","Employed","Full Time","","","","","2"
"People are helpful","2012","Not Employed","Not Working","","","","","1"
"People are helpful","2012","Employed","Full Time","","","","","1"
"People are helpful","2012","Employed","Part Time","","","","","1"
"People are helpful","2012","Employed","Not Working","","","","","1"
"People are helpful","2012","Not Employed","Full Time","","","","","1"
"People are helpful","2012","Not Employed","Part Time","","","","","1"
"People pursue self-interest","2012","Not Employed","Full Time","","","","","2"
"People pursue self-interest","2012","Not Employed","Part Time","","","","","2"
"People pursue self-interest","2012","Not Employed","Not Working","","","","","2"
"People pursue self-interest","2012","Employed","Full Time","","","","","2"
"People pursue self-interest","2012","Employed","Part Time","","","","","2"
"People pursue self-interest","2012","Employed","Not Working","","","","","2"
"People are helpful","2013","Not Employed","Not Working","4192","0.504390937882377","0.493844754328312","0.514937121436441","1"
"People are helpful","2013","Employed","Full Time","3824","0.368762630220141","0.359061256505469","0.378464003934813","1"
"People are helpful","2013","Employed","Part Time","3036","0.423243899372452","0.411663092126916","0.434824706617988","1"
"People are helpful","2013","Employed","Not Working","","","","","1"
"People are helpful","2013","Not Employed","Full Time","","","","","1"
"People are helpful","2013","Not Employed","Part Time","","","","","1"
"People pursue self-interest","2013","Not Employed","Full Time","","","","","2"
"People pursue self-interest","2013","Not Employed","Part Time","","","","","2"
"People pursue self-interest","2013","Not Employed","Not Working","4442","0.495609062117623","0.485062878563559","0.506155245671688","2"
"People pursue self-interest","2013","Employed","Full Time","5677","0.631237369779859","0.621535996065187","0.640938743494531","2"
"People pursue self-interest","2013","Employed","Part Time","3956","0.576756100627548","0.565175293382012","0.588336907873083","2"
"People pursue self-interest","2013","Employed","Not Working","","","","","2"
"People are helpful","2014","Not Employed","Not Working","","","","","1"
"People are helpful","2014","Employed","Full Time","","","","","1"
"People are helpful","2014","Employed","Part Time","","","","","1"
"People are helpful","2014","Employed","Not Working","","","","","1"
"People are helpful","2014","Not Employed","Full Time","","","","","1"
"People are helpful","2014","Not Employed","Part Time","","","","","1"
"People pursue self-interest","2014","Not Employed","Full Time","","","","","2"
"People pursue self-interest","2014","Not Employed","Part Time","","","","","2"
"People pursue self-interest","2014","Not Employed","Not Working","","","","","2"
"People pursue self-interest","2014","Employed","Full Time","","","","","2"
"People pursue self-interest","2014","Employed","Part Time","","","","","2"
"People pursue self-interest","2014","Employed","Not Working","","","","","2"
"People are helpful","2015","Not Employed","Not Working","","","","","1"
"People are helpful","2015","Employed","Full Time","","","","","1"
"People are helpful","2015","Employed","Part Time","","","","","1"
"People are helpful","2015","Employed","Not Working","","","","","1"
"People are helpful","2015","Not Employed","Full Time","","","","","1"
"People are helpful","2015","Not Employed","Part Time","","","","","1"
"People pursue self-interest","2015","Not Employed","Full Time","","","","","2"
"People pursue self-interest","2015","Not Employed","Part Time","","","","","2"
"People pursue self-interest","2015","Not Employed","Not Working","","","","","2"
"People pursue self-interest","2015","Employed","Full Time","","","","","2"
"People pursue self-interest","2015","Employed","Part Time","","","","","2"
"People pursue self-interest","2015","Employed","Not Working","","","","","2"
"People are helpful","2016","Not Employed","Not Working","","","","","1"
"People are helpful","2016","Employed","Full Time","","","","","1"
"People are helpful","2016","Not Employed","Full Time","","","","","1"
"People are helpful","2016","Not Employed","Part Time","","","","","1"
"People are helpful","2016","Employed","Part Time","","","","","1"
"People are helpful","2016","Employed","Not Working","","","","","1"
"People pursue self-interest","2016","Not Employed","Full Time","","","","","2"
"People pursue self-interest","2016","Not Employed","Part Time","","","","","2"
"People pursue self-interest","2016","Not Employed","Not Working","","","","","2"
"People pursue self-interest","2016","Employed","Full Time","","","","","2"
"People pursue self-interest","2016","Employed","Part Time","","","","","2"
"People pursue self-interest","2016","Employed","Not Working","","","","","2"
"People are helpful","2017","Not Employed","Not Working","","","","","1"
"People are helpful","2017","Employed","Full Time","","","","","1"
"People are helpful","2017","Not Employed","Full Time","","","","","1"
"People are helpful","2017","Not Employed","Part Time","","","","","1"
"People are helpful","2017","Employed","Part Time","","","","","1"
"People are helpful","2017","Employed","Not Working","","","","","1"
"People pursue self-interest","2017","Not Employed","Full Time","","","","","2"
"People pursue self-interest","2017","Not Employed","Part Time","","","","","2"
"People pursue self-interest","2017","Not Employed","Not Working","","","","","2"
"People pursue self-interest","2017","Employed","Full Time","","","","","2"
"People pursue self-interest","2017","Employed","Part Time","","","","","2"
"People pursue self-interest","2017","Employed","Not Working","","","","","2"
"People are helpful","2018","Not Employed","Not Working","5786","0.524204261666715","0.514978194831938","0.533430328501491","1"
"People are helpful","2018","Employed","Full Time","4287","0.431512415861467","0.42175803035979","0.441266801363144","1"
"People are helpful","2018","Not Employed","Full Time","","","","","1"
"People are helpful","2018","Not Employed","Part Time","","","","","1"
"People are helpful","2018","Employed","Part Time","3535","0.441614452860045","0.430540168217842","0.452688737502248","1"
"People are helpful","2018","Employed","Not Working","","","","","1"
"People pursue self-interest","2018","Not Employed","Full Time","","","","","2"
"People pursue self-interest","2018","Not Employed","Part Time","","","","","2"
"People pursue self-interest","2018","Not Employed","Not Working","5470","0.475795738333285","0.466569671498509","0.485021805168062","2"
"People pursue self-interest","2018","Employed","Full Time","5617","0.568487584138533","0.558733198636856","0.57824196964021","2"
"People pursue self-interest","2018","Employed","Part Time","4189","0.558385547139955","0.547311262497752","0.569459831782158","2"
"People pursue self-interest","2018","Employed","Not Working","","","","","2"
