"plh0196","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence"
"People are helpful","2003","1-pers.-HH","in school","3","","",""
"People are helpful","2003","1-pers.-HH","inadequately","10","","",""
"People are helpful","2003","1-pers.-HH","general elemantary","200","0.466656285229985","0.419447633694751","0.513864936765219"
"People are helpful","2003","1-pers.-HH","middle vocational","638","0.400887579329398","0.376442587013385","0.425332571645411"
"People are helpful","2003","1-pers.-HH","vocational + Abi","69","0.458912069723121","0.384657411622385","0.533166727823858"
"People are helpful","2003","1-pers.-HH","higher vocational","80","0.358209456550486","0.293969330479313","0.422449582621659"
"People are helpful","2003","1-pers.-HH","higher education","218","0.416949709969513","0.37485402028164","0.459045399657386"
"People are helpful","2003","(Married) couple without C. ","in school","","","",""
"People are helpful","2003","(Married) couple without C. ","inadequately","27","","",""
"People are helpful","2003","(Married) couple without C. ","general elemantary","334","0.439928293521916","0.405026291005935","0.474830296037896"
"People are helpful","2003","(Married) couple without C. ","middle vocational","1445","0.375048987247234","0.359714389277856","0.390383585216611"
"People are helpful","2003","(Married) couple without C. ","vocational + Abi","106","0.337502016763993","0.286866394206393","0.388137639321594"
"People are helpful","2003","(Married) couple without C. ","higher vocational","203","0.334986839928258","0.296239699562092","0.373733980294423"
"People are helpful","2003","(Married) couple without C. ","higher education","670","0.404671665181851","0.380829232467691","0.428514097896012"
"People are helpful","2003","Single parent ","in school","32","0.474875115666427","0.356184976165833","0.593565255167021"
"People are helpful","2003","Single parent ","inadequately","10","","",""
"People are helpful","2003","Single parent ","general elemantary","78","0.376928492535596","0.313885968583475","0.439971016487717"
"People are helpful","2003","Single parent ","middle vocational","170","0.294363162532146","0.255779979897432","0.332946345166861"
"People are helpful","2003","Single parent ","vocational + Abi","15","","",""
"People are helpful","2003","Single parent ","higher vocational","15","","",""
"People are helpful","2003","Single parent ","higher education","48","0.396015971994072","0.308874581823384","0.48315736216476"
"People are helpful","2003","Couple + C. LE 16 ","in school","","","",""
"People are helpful","2003","Couple + C. LE 16 ","inadequately","12","","",""
"People are helpful","2003","Couple + C. LE 16 ","general elemantary","91","0.257083544143721","0.208745352931607","0.305421735355835"
"People are helpful","2003","Couple + C. LE 16 ","middle vocational","625","0.278506816230781","0.259642010136078","0.297371622325485"
"People are helpful","2003","Couple + C. LE 16 ","vocational + Abi","85","0.22923125803241","0.184353401443478","0.274109114621341"
"People are helpful","2003","Couple + C. LE 16 ","higher vocational","118","0.266427232304053","0.225535470013806","0.307318994594299"
"People are helpful","2003","Couple + C. LE 16 ","higher education","388","0.357131651278284","0.327507886332741","0.386755416223827"
"People are helpful","2003","Couple + C. GT 16 ","in school","118","0.368597988388285","0.313264745140623","0.423931231635947"
"People are helpful","2003","Couple + C. GT 16 ","inadequately","24","","",""
"People are helpful","2003","Couple + C. GT 16 ","general elemantary","184","0.318924113452599","0.279208462454822","0.358639764450375"
"People are helpful","2003","Couple + C. GT 16 ","middle vocational","615","0.317554366807975","0.296682522731219","0.33842621088473"
"People are helpful","2003","Couple + C. GT 16 ","vocational + Abi","39","0.343105251374352","0.271102111877898","0.415108390870805"
"People are helpful","2003","Couple + C. GT 16 ","higher vocational","61","0.21086693490607","0.158148375260464","0.263585494551677"
"People are helpful","2003","Couple + C. GT 16 ","higher education","230","0.31560629790338","0.280068440621037","0.351144155185723"
"People are helpful","2003","Couple + C. LE and GT 16","in school","88","0.36824407858564","0.306576526893921","0.42991163027736"
"People are helpful","2003","Couple + C. LE and GT 16","inadequately","5","","",""
"People are helpful","2003","Couple + C. LE and GT 16","general elemantary","97","0.326131601809537","0.272635631413907","0.379627572205167"
"People are helpful","2003","Couple + C. LE and GT 16","middle vocational","231","0.296611547980957","0.263768358277245","0.329454737684669"
"People are helpful","2003","Couple + C. LE and GT 16","vocational + Abi","18","","",""
"People are helpful","2003","Couple + C. LE and GT 16","higher vocational","30","0.256494589786646","0.177365470651653","0.335623708921638"
"People are helpful","2003","Couple + C. LE and GT 16","higher education","114","0.405117049908562","0.347616089707174","0.462618010109951"
"People pursue self-interest","2003","1-pers.-HH","in school","1","","",""
"People pursue self-interest","2003","1-pers.-HH","inadequately","14","","",""
"People pursue self-interest","2003","1-pers.-HH","general elemantary","229","0.533343714770015","0.486135063234781","0.580552366305249"
"People pursue self-interest","2003","1-pers.-HH","middle vocational","906","0.599112420670602","0.574667428354589","0.623557412986615"
"People pursue self-interest","2003","1-pers.-HH","vocational + Abi","104","0.541087930276879","0.466833272176142","0.615342588377615"
"People pursue self-interest","2003","1-pers.-HH","higher vocational","134","0.641790543449514","0.577550417378341","0.706030669520687"
"People pursue self-interest","2003","1-pers.-HH","higher education","309","0.583050290030487","0.540954600342614","0.625145979718361"
"People pursue self-interest","2003","(Married) couple without C. ","in school","2","","",""
"People pursue self-interest","2003","(Married) couple without C. ","inadequately","42","0.567229446349335","0.450324797632225","0.684134095066445"
"People pursue self-interest","2003","(Married) couple without C. ","general elemantary","443","0.560071706478084","0.525169703962104","0.594973708994065"
"People pursue self-interest","2003","(Married) couple without C. ","middle vocational","2384","0.624951012752766","0.609616414783389","0.640285610722144"
"People pursue self-interest","2003","(Married) couple without C. ","vocational + Abi","229","0.662497983236007","0.611862360678406","0.713133605793607"
"People pursue self-interest","2003","(Married) couple without C. ","higher vocational","367","0.665013160071742","0.626266019705577","0.703760300437908"
"People pursue self-interest","2003","(Married) couple without C. ","higher education","958","0.595328334818149","0.571485902103988","0.619170767532309"
"People pursue self-interest","2003","Single parent ","in school","36","0.525124884333573","0.406434744832979","0.643815023834167"
"People pursue self-interest","2003","Single parent ","inadequately","14","","",""
"People pursue self-interest","2003","Single parent ","general elemantary","149","0.623071507464404","0.560028983512283","0.686114031416525"
"People pursue self-interest","2003","Single parent ","middle vocational","366","0.705636837467854","0.667053654833139","0.744220020102568"
"People pursue self-interest","2003","Single parent ","vocational + Abi","28","","",""
"People pursue self-interest","2003","Single parent ","higher vocational","35","0.71151499265662","0.585936073577471","0.837093911735768"
"People pursue self-interest","2003","Single parent ","higher education","73","0.603984028005928","0.51684263783524","0.691125418176616"
"People pursue self-interest","2003","Couple + C. LE 16 ","in school","","","",""
"People pursue self-interest","2003","Couple + C. LE 16 ","inadequately","27","","",""
"People pursue self-interest","2003","Couple + C. LE 16 ","general elemantary","223","0.742916455856279","0.694578264644165","0.791254647068393"
