"plh0196","year","regtyp","sex","n","percent","lower_confidence","upper_confidence","value"
"People are helpful","2003","Urban Area","Male","2547","0.343274164813843","0.332218349530076","0.354329980097609","1"
"People are helpful","2003","Urban Area","Female","2922","0.381955975374999","0.371056218268751","0.392855732481247","1"
"People are helpful","2003","Rural Area","Male","1122","0.323315636571832","0.307841694816492","0.338789578327171","1"
"People are helpful","2003","Rural Area","Female","1296","0.365697334964822","0.350251479958649","0.381143189970995","1"
"People pursue self-interest","2003","Rural Area","Female","2439","0.634302665035178","0.618856810029005","0.649748520041351","2"
"People pursue self-interest","2003","Urban Area","Male","4538","0.656725835186157","0.645670019902391","0.667781650469924","2"
"People pursue self-interest","2003","Urban Area","Female","4711","0.618044024625001","0.607144267518753","0.628943781731249","2"
"People pursue self-interest","2003","Rural Area","Male","2388","0.676684363428169","0.661210421672829","0.692158305183508","2"
"People are helpful","2004","Urban Area","Male","","","","","1"
"People are helpful","2004","Urban Area","Female","","","","","1"
"People are helpful","2004","Rural Area","Male","","","","","1"
"People are helpful","2004","Rural Area","Female","","","","","1"
"People pursue self-interest","2004","Urban Area","Female","","","","","2"
"People pursue self-interest","2004","Rural Area","Male","","","","","2"
"People pursue self-interest","2004","Rural Area","Female","","","","","2"
"People pursue self-interest","2004","Urban Area","Male","","","","","2"
"People are helpful","2005","Urban Area","Female","","","","","1"
"People are helpful","2005","Rural Area","Male","","","","","1"
"People are helpful","2005","Rural Area","Female","","","","","1"
"People are helpful","2005","Urban Area","Male","","","","","1"
"People pursue self-interest","2005","Urban Area","Male","","","","","2"
"People pursue self-interest","2005","Urban Area","Female","","","","","2"
"People pursue self-interest","2005","Rural Area","Male","","","","","2"
"People pursue self-interest","2005","Rural Area","Female","","","","","2"
"People are helpful","2006","Urban Area","Female","","","","","1"
"People are helpful","2006","Rural Area","Male","","","","","1"
"People are helpful","2006","Rural Area","Female","","","","","1"
"People are helpful","2006","Urban Area","Male","","","","","1"
"People pursue self-interest","2006","Urban Area","Male","","","","","2"
"People pursue self-interest","2006","Urban Area","Female","","","","","2"
"People pursue self-interest","2006","Rural Area","Male","","","","","2"
"People pursue self-interest","2006","Rural Area","Female","","","","","2"
"People are helpful","2007","Urban Area","Female","","","","","1"
"People are helpful","2007","Urban Area","Male","","","","","1"
"People are helpful","2007","Rural Area","Male","","","","","1"
"People are helpful","2007","Rural Area","Female","","","","","1"
"People pursue self-interest","2007","Urban Area","Female","","","","","2"
"People pursue self-interest","2007","Rural Area","Male","","","","","2"
"People pursue self-interest","2007","Rural Area","Female","","","","","2"
"People pursue self-interest","2007","Urban Area","Male","","","","","2"
"People are helpful","2008","Urban Area","Female","2739","0.398726109186885","0.386967610241945","0.410484608131825","1"
"People are helpful","2008","Rural Area","Female","1267","0.371344409101293","0.354997639147329","0.387691179055256","1"
"People are helpful","2008","Urban Area","Male","2226","0.347773070818578","0.335718142924315","0.35982799871284","1"
"People are helpful","2008","Rural Area","Male","1042","0.329115666280579","0.312656620231492","0.345574712329666","1"
"People pursue self-interest","2008","Urban Area","Female","3922","0.601273890813115","0.589515391868175","0.613032389758055","2"
"People pursue self-interest","2008","Rural Area","Male","2089","0.670884333719421","0.654425287670334","0.687343379768508","2"
"People pursue self-interest","2008","Rural Area","Female","2089","0.628655590898707","0.612308820944744","0.64500236085267","2"
"People pursue self-interest","2008","Urban Area","Male","3770","0.652226929181422","0.64017200128716","0.664281857075685","2"
"People are helpful","2009","Urban Area","Female","","","","","1"
"People are helpful","2009","Rural Area","Female","","","","","1"
"People are helpful","2009","Urban Area","Male","","","","","1"
"People are helpful","2009","Rural Area","Male","","","","","1"
"People pursue self-interest","2009","Urban Area","Female","","","","","2"
"People pursue self-interest","2009","Urban Area","Male","","","","","2"
"People pursue self-interest","2009","Rural Area","Male","","","","","2"
"People pursue self-interest","2009","Rural Area","Female","","","","","2"
"People are helpful","2010","Urban Area","Female","","","","","1"
"People are helpful","2010","Rural Area","Female","","","","","1"
"People are helpful","2010","Urban Area","Male","","","","","1"
"People are helpful","2010","Rural Area","Male","","","","","1"
"People pursue self-interest","2010","Urban Area","Female","","","","","2"
"People pursue self-interest","2010","Rural Area","Female","","","","","2"
"People pursue self-interest","2010","Urban Area","Male","","","","","2"
"People pursue self-interest","2010","Rural Area","Male","","","","","2"
"People are helpful","2011","Urban Area","Female","","","","","1"
"People are helpful","2011","Rural Area","Female","","","","","1"
"People are helpful","2011","Urban Area","Male","","","","","1"
"People are helpful","2011","Rural Area","Male","","","","","1"
"People pursue self-interest","2011","Urban Area","Female","","","","","2"
"People pursue self-interest","2011","Rural Area","Female","","","","","2"
"People pursue self-interest","2011","Urban Area","Male","","","","","2"
"People pursue self-interest","2011","Rural Area","Male","","","","","2"
"People are helpful","2012","Urban Area","Male","","","","","1"
"People are helpful","2012","Urban Area","Female","","","","","1"
"People are helpful","2012","Rural Area","Female","","","","","1"
"People are helpful","2012","Rural Area","Male","","","","","1"
"People pursue self-interest","2012","Urban Area","Female","","","","","2"
"People pursue self-interest","2012","Rural Area","Female","","","","","2"
"People pursue self-interest","2012","Urban Area","Male","","","","","2"
"People pursue self-interest","2012","Rural Area","Male","","","","","2"
"People are helpful","2013","Rural Area","Female","2239","0.450875349997201","0.436907662915586","0.464843037078816","1"
"People are helpful","2013","Urban Area","Male","3058","0.407711388226266","0.396377144928023","0.41904563152451","1"
"People are helpful","2013","Urban Area","Female","4014","0.454382570886153","0.444032871500866","0.464732270271439","1"
"People are helpful","2013","Rural Area","Male","1741","0.420696006143329","0.405658169030324","0.435733843256334","1"
"People pursue self-interest","2013","Urban Area","Female","4877","0.545617429113847","0.535267729728561","0.555967128499134","2"
"People pursue self-interest","2013","Rural Area","Female","2636","0.549124650002799","0.535156962921184","0.563092337084414","2"
"People pursue self-interest","2013","Urban Area","Male","4163","0.592288611773734","0.580954368475491","0.603622855071978","2"
"People pursue self-interest","2013","Rural Area","Male","2399","0.579303993856671","0.564266156743666","0.594341830969676","2"
"People are helpful","2014","Rural Area","Female","","","","","1"
"People are helpful","2014","Urban Area","Male","","","","","1"
"People are helpful","2014","Urban Area","Female","","","","","1"
"People are helpful","2014","Rural Area","Male","","","","","1"
"People pursue self-interest","2014","Urban Area","Male","","","","","2"
"People pursue self-interest","2014","Urban Area","Female","","","","","2"
"People pursue self-interest","2014","Rural Area","Female","","","","","2"
"People pursue self-interest","2014","Rural Area","Male","","","","","2"
"People are helpful","2015","Urban Area","Male","","","","","1"
"People are helpful","2015","Urban Area","Female","","","","","1"
"People are helpful","2015","Rural Area","Male","","","","","1"
"People are helpful","2015","Rural Area","Female","","","","","1"
"People pursue self-interest","2015","Rural Area","Female","","","","","2"
"People pursue self-interest","2015","Urban Area","Male","","","","","2"
"People pursue self-interest","2015","Urban Area","Female","","","","","2"
"People pursue self-interest","2015","Rural Area","Male","","","","","2"
"People are helpful","2016","Urban Area","Male","","","","","1"
"People are helpful","2016","Urban Area","Female","","","","","1"
"People are helpful","2016","Rural Area","Male","","","","","1"
"People are helpful","2016","Rural Area","Female","","","","","1"
"People pursue self-interest","2016","Rural Area","Female","","","","","2"
"People pursue self-interest","2016","Urban Area","Male","","","","","2"
"People pursue self-interest","2016","Urban Area","Female","","","","","2"
"People pursue self-interest","2016","Rural Area","Male","","","","","2"
"People are helpful","2017","Rural Area","Female","","","","","1"
"People are helpful","2017","Urban Area","Male","","","","","1"
"People are helpful","2017","Urban Area","Female","","","","","1"
"People are helpful","2017","Rural Area","Male","","","","","1"
"People pursue self-interest","2017","Urban Area","Male","","","","","2"
"People pursue self-interest","2017","Urban Area","Female","","","","","2"
"People pursue self-interest","2017","Rural Area","Male","","","","","2"
"People pursue self-interest","2017","Rural Area","Female","","","","","2"
"People are helpful","2018","Urban Area","Female","4774","0.479490658458506","0.469657700748369","0.489323616168644","1"
"People are helpful","2018","Rural Area","Male","2139","0.446527776520732","0.432321293080506","0.460734259960957","1"
"People are helpful","2018","Rural Area","Female","2398","0.472196636326204","0.45849134424143","0.485901928410979","1"
"People are helpful","2018","Urban Area","Male","4297","0.459912498929658","0.449710056684612","0.470114941174703","1"
"People pursue self-interest","2018","Urban Area","Male","4870","0.540087501070342","0.529885058825297","0.550289943315387","2"
"People pursue self-interest","2018","Urban Area","Female","5142","0.520509341541494","0.510676383831356","0.530342299251631","2"
"People pursue self-interest","2018","Rural Area","Male","2565","0.553472223479268","0.539265740039043","0.567678706919494","2"
"People pursue self-interest","2018","Rural Area","Female","2699","0.527803363673796","0.514098071589021","0.541508655758571","2"
