"plh0196","year","e11103","n","percent","lower_confidence","upper_confidence"
"People are helpful","2003","Full Time","2792","0.299906277477899","0.290341859645173","0.309470695310625"
"People are helpful","2003","Part Time","1657","0.31849844203377","0.305666620074931","0.331330263992609"
"People are helpful","2003","Not Working","3438","0.430289971300208","0.41949562834386","0.441084314256557"
"People pursue self-interest","2003","Full Time","6025","0.700093722522101","0.690529304689375","0.709658140354827"
"People pursue self-interest","2003","Part Time","3407","0.68150155796623","0.668669736007391","0.694333379925069"
"People pursue self-interest","2003","Not Working","4644","0.569710028699792","0.558915685743443","0.58050437165614"
"People are helpful","2004","Full Time","","","",""
"People are helpful","2004","Part Time","","","",""
"People are helpful","2004","Not Working","","","",""
"People pursue self-interest","2004","Full Time","","","",""
"People pursue self-interest","2004","Part Time","","","",""
"People pursue self-interest","2004","Not Working","","","",""
"People are helpful","2005","Full Time","","","",""
"People are helpful","2005","Part Time","","","",""
"People are helpful","2005","Not Working","","","",""
"People pursue self-interest","2005","Full Time","","","",""
"People pursue self-interest","2005","Part Time","","","",""
"People pursue self-interest","2005","Not Working","","","",""
"People are helpful","2006","Full Time","","","",""
"People are helpful","2006","Part Time","","","",""
"People are helpful","2006","Not Working","","","",""
"People pursue self-interest","2006","Full Time","","","",""
"People pursue self-interest","2006","Part Time","","","",""
"People pursue self-interest","2006","Not Working","","","",""
"People are helpful","2007","Full Time","","","",""
"People are helpful","2007","Part Time","","","",""
"People are helpful","2007","Not Working","","","",""
"People pursue self-interest","2007","Full Time","","","",""
"People pursue self-interest","2007","Part Time","","","",""
"People pursue self-interest","2007","Not Working","","","",""
"People are helpful","2008","Full Time","2438","0.307023362921008","0.296512558955071","0.317534166886944"
"People are helpful","2008","Part Time","1567","0.346662214119431","0.332534340607758","0.360790087631105"
"People are helpful","2008","Not Working","3269","0.435884994635825","0.424577046006814","0.447192943264836"
"People pursue self-interest","2008","Full Time","4960","0.692976637078992","0.682465833113056","0.703487441044929"
"People pursue self-interest","2008","Part Time","2792","0.653337785880569","0.639209912368895","0.667465659392242"
"People pursue self-interest","2008","Not Working","4118","0.564115005364175","0.552807056735163","0.575422953993186"
"People are helpful","2009","Full Time","","","",""
"People are helpful","2009","Part Time","","","",""
"People are helpful","2009","Not Working","","","",""
"People pursue self-interest","2009","Full Time","","","",""
"People pursue self-interest","2009","Part Time","","","",""
"People pursue self-interest","2009","Not Working","","","",""
"People are helpful","2010","Full Time","","","",""
"People are helpful","2010","Part Time","","","",""
"People are helpful","2010","Not Working","","","",""
"People pursue self-interest","2010","Full Time","","","",""
"People pursue self-interest","2010","Part Time","","","",""
"People pursue self-interest","2010","Not Working","","","",""
"People are helpful","2011","Full Time","","","",""
"People are helpful","2011","Part Time","","","",""
"People are helpful","2011","Not Working","","","",""
"People pursue self-interest","2011","Full Time","","","",""
"People pursue self-interest","2011","Part Time","","","",""
"People pursue self-interest","2011","Not Working","","","",""
"People are helpful","2012","Full Time","","","",""
"People are helpful","2012","Part Time","","","",""
"People are helpful","2012","Not Working","","","",""
"People pursue self-interest","2012","Full Time","","","",""
"People pursue self-interest","2012","Part Time","","","",""
"People pursue self-interest","2012","Not Working","","","",""
"People are helpful","2013","Full Time","3824","0.368762630220141","0.359061256505469","0.378464003934813"
"People are helpful","2013","Part Time","3036","0.423243899372452","0.411663092126916","0.434824706617988"
"People are helpful","2013","Not Working","4192","0.504390937882377","0.493844754328312","0.514937121436441"
"People pursue self-interest","2013","Full Time","5677","0.631237369779859","0.621535996065187","0.640938743494531"
"People pursue self-interest","2013","Part Time","3956","0.576756100627548","0.565175293382012","0.588336907873083"
"People pursue self-interest","2013","Not Working","4442","0.495609062117623","0.485062878563559","0.506155245671688"
"People are helpful","2014","Full Time","","","",""
"People are helpful","2014","Part Time","","","",""
"People are helpful","2014","Not Working","","","",""
"People pursue self-interest","2014","Full Time","","","",""
"People pursue self-interest","2014","Part Time","","","",""
"People pursue self-interest","2014","Not Working","","","",""
"People are helpful","2015","Full Time","","","",""
"People are helpful","2015","Part Time","","","",""
"People are helpful","2015","Not Working","","","",""
"People pursue self-interest","2015","Full Time","","","",""
"People pursue self-interest","2015","Part Time","","","",""
"People pursue self-interest","2015","Not Working","","","",""
"People are helpful","2016","Full Time","","","",""
"People are helpful","2016","Part Time","","","",""
"People are helpful","2016","Not Working","","","",""
"People pursue self-interest","2016","Full Time","","","",""
"People pursue self-interest","2016","Part Time","","","",""
"People pursue self-interest","2016","Not Working","","","",""
"People are helpful","2017","Full Time","","","",""
"People are helpful","2017","Part Time","","","",""
"People are helpful","2017","Not Working","","","",""
"People pursue self-interest","2017","Full Time","","","",""
"People pursue self-interest","2017","Part Time","","","",""
"People pursue self-interest","2017","Not Working","","","",""
"People are helpful","2018","Full Time","4287","0.431512415861467","0.42175803035979","0.441266801363144"
"People are helpful","2018","Part Time","3535","0.441614452860045","0.430540168217842","0.452688737502248"
"People are helpful","2018","Not Working","5786","0.524204261666715","0.514978194831938","0.533430328501491"
"People pursue self-interest","2018","Full Time","5617","0.568487584138533","0.558733198636856","0.57824196964021"
"People pursue self-interest","2018","Part Time","4189","0.558385547139955","0.547311262497752","0.569459831782158"
"People pursue self-interest","2018","Not Working","5470","0.475795738333285","0.466569671498509","0.485021805168062"
