"ple0005","year","migback","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Strong","2002","no migration background","(0) in school","5","","",""
"Strong","2002","no migration background","(1a) inadequately completed","22","","",""
"Strong","2002","no migration background","(1b) general elementary school","441","0.310486249984758","0.287148860789698","0.333823639179818"
"Strong","2002","no migration background","(1c) basic vocational qualification","1163","0.216346767068091","0.205675273365204","0.227018260770978"
"Strong","2002","no migration background","(2b) intermediate general qualification","35","0.10041069702746","0.0745786661321836","0.126242727922737"
"Strong","2002","no migration background","(2a) intermediate vocational","481","0.111887288463359","0.103183660287294","0.120590916639424"
"Strong","2002","no migration background","(2c_gen) general maturity certificate","10","","",""
"Strong","2002","no migration background","(2c_voc) vocational maturity certificate","106","0.108356912897668","0.0909790652784819","0.125734760516854"
"Strong","2002","no migration background","(3a) lower tertiary education","173","0.12888575442633","0.112905882906667","0.144865625945993"
"Strong","2002","no migration background","(3b) higher tertiary education","148","0.0742769335547085","0.0637882849277698","0.0847655821816473"
"Strong","2002","direct migration background","(0) in school","","","",""
"Strong","2002","direct migration background","(1a) inadequately completed","47","0.223616075784863","0.166438888755559","0.280793262814166"
"Strong","2002","direct migration background","(1b) general elementary school","118","0.206429226399563","0.175338131120669","0.237520321678456"
"Strong","2002","direct migration background","(1c) basic vocational qualification","120","0.151681755497486","0.12666790083076","0.176695610164212"
"Strong","2002","direct migration background","(2b) intermediate general qualification","7","","",""
"Strong","2002","direct migration background","(2a) intermediate vocational","19","","",""
"Strong","2002","direct migration background","(2c_gen) general maturity certificate","5","","",""
"Strong","2002","direct migration background","(2c_voc) vocational maturity certificate","35","0.125275384555898","0.0884255289509137","0.162125240160882"
"Strong","2002","direct migration background","(3a) lower tertiary education","7","","",""
"Strong","2002","direct migration background","(3b) higher tertiary education","28","","",""
"Strong","2002","indirect migration background","(0) in school","3","","",""
"Strong","2002","indirect migration background","(1a) inadequately completed","1","","",""
"Strong","2002","indirect migration background","(1b) general elementary school","7","","",""
"Strong","2002","indirect migration background","(1c) basic vocational qualification","7","","",""
"Strong","2002","indirect migration background","(2b) intermediate general qualification","2","","",""
"Strong","2002","indirect migration background","(2a) intermediate vocational","6","","",""
"Strong","2002","indirect migration background","(2c_gen) general maturity certificate","","","",""
"Strong","2002","indirect migration background","(2c_voc) vocational maturity certificate","4","","",""
"Strong","2002","indirect migration background","(3a) lower tertiary education","1","","",""
"Strong","2002","indirect migration background","(3b) higher tertiary education","3","","",""
"A little","2002","no migration background","(0) in school","50","0.118250237743442","0.0895126104082098","0.146987865078674"
"A little","2002","no migration background","(1a) inadequately completed","31","0.322637449410455","0.220197094029342","0.425077804791569"
"A little","2002","no migration background","(1b) general elementary school","567","0.385945856416223","0.361391636465195","0.410500076367251"
"A little","2002","no migration background","(1c) basic vocational qualification","2322","0.410151077184893","0.397403420276749","0.422898734093036"
"A little","2002","no migration background","(2b) intermediate general qualification","121","0.232406825141036","0.196104335479246","0.268709314802825"
"A little","2002","no migration background","(2a) intermediate vocational","1777","0.354493370479488","0.341285575339839","0.367701165619136"
"A little","2002","no migration background","(2c_gen) general maturity certificate","122","0.21115243234264","0.18017968258161","0.24212518210367"
"A little","2002","no migration background","(2c_voc) vocational maturity certificate","354","0.296745121138701","0.271205154823211","0.32228508745419"
"A little","2002","no migration background","(3a) lower tertiary education","612","0.362136825829975","0.339215835581022","0.385057816078929"
"A little","2002","no migration background","(3b) higher tertiary education","785","0.339196517922844","0.320259400807717","0.358133635037971"
"A little","2002","direct migration background","(0) in school","4","","",""
"A little","2002","direct migration background","(1a) inadequately completed","83","0.392089550009347","0.325094078869576","0.459085021149118"
