"ple0005","year","migback","sampreg","n","percent","lower_confidence","upper_confidence"
"Strong","2002","no migration background","West Germany","1849","0.163216870138469","0.157132417709808","0.169301322567129"
"Strong","2002","no migration background","East Germany","742","0.161367104756705","0.151463264963757","0.171270944549652"
"Strong","2002","direct migration background","West Germany","359","0.143289375874753","0.130049130831746","0.15652962091776"
"Strong","2002","direct migration background","East Germany","29","","",""
"Strong","2002","indirect migration background","West Germany","34","0.0539607094677135","0.0378336261193064","0.0700877928161206"
"Strong","2002","indirect migration background","East Germany","1","","",""
"A little","2002","no migration background","West Germany","4666","0.346924946545314","0.339088271629964","0.354761621460664"
"A little","2002","no migration background","East Germany","2105","0.409255044809316","0.39601750778542","0.422492581833212"
"A little","2002","direct migration background","West Germany","903","0.353979606328836","0.335908523103391","0.37205068955428"
"A little","2002","direct migration background","East Germany","65","0.550309772635466","0.459389755629756","0.641229789641175"
"A little","2002","indirect migration background","West Germany","147","0.247733845493391","0.216920358237758","0.278547332749024"
"A little","2002","indirect migration background","East Germany","8","","",""
"Not at all","2002","no migration background","West Germany","7657","0.489858183316218","0.481627930705998","0.498088435926437"
"Not at all","2002","no migration background","East Germany","2453","0.42937785043398","0.416051713006034","0.442703987861925"
"Not at all","2002","direct migration background","West Germany","1428","0.502731017796411","0.483836514614579","0.521625520978244"
"Not at all","2002","direct migration background","East Germany","21","","",""
"Not at all","2002","indirect migration background","West Germany","573","0.698305445038895","0.665543561035266","0.731067329042524"
"Not at all","2002","indirect migration background","East Germany","15","","",""
"Strong","2003","no migration background","West Germany","","","",""
"Strong","2003","no migration background","East Germany","","","",""
"Strong","2003","direct migration background","West Germany","","","",""
"Strong","2003","direct migration background","East Germany","","","",""
"Strong","2003","indirect migration background","West Germany","","","",""
"Strong","2003","indirect migration background","East Germany","","","",""
"A little","2003","no migration background","West Germany","","","",""
"A little","2003","no migration background","East Germany","","","",""
"A little","2003","direct migration background","West Germany","","","",""
"A little","2003","direct migration background","East Germany","","","",""
"A little","2003","indirect migration background","West Germany","","","",""
"A little","2003","indirect migration background","East Germany","","","",""
"Not at all","2003","no migration background","West Germany","","","",""
"Not at all","2003","no migration background","East Germany","","","",""
"Not at all","2003","direct migration background","West Germany","","","",""
"Not at all","2003","direct migration background","East Germany","","","",""
"Not at all","2003","indirect migration background","West Germany","","","",""
"Not at all","2003","indirect migration background","East Germany","","","",""
"Strong","2004","no migration background","West Germany","1746","0.169308231225276","0.162908889536368","0.175707572914185"
"Strong","2004","no migration background","East Germany","729","0.173161262954429","0.162774410672881","0.183548115235977"
"Strong","2004","direct migration background","West Germany","339","0.158016639149223","0.143543713111708","0.172489565186738"
"Strong","2004","direct migration background","East Germany","28","","",""
"Strong","2004","indirect migration background","West Germany","20","","",""
"Strong","2004","indirect migration background","East Germany","2","","",""
"A little","2004","no migration background","West Germany","4372","0.348305707650445","0.340175931940698","0.356435483360192"
"A little","2004","no migration background","East Germany","1979","0.393602454637151","0.380191620481559","0.407013288792743"
"A little","2004","direct migration background","West Germany","845","0.348629999111024","0.329721832007276","0.367538166214771"
"A little","2004","direct migration background","East Germany","54","0.495591691856159","0.398083629056247","0.593099754656071"
"A little","2004","indirect migration background","West Germany","144","0.221446607993314","0.192194556621364","0.250698659365265"
"A little","2004","indirect migration background","East Germany","13","","",""
"Not at all","2004","no migration background","West Germany","7075","0.482386061124279","0.47385944587914","0.490912676369417"
"Not at all","2004","no migration background","East Germany","2390","0.43323628240842","0.41963400568441","0.44683855913243"
"Not at all","2004","direct migration background","West Germany","1256","0.493353361739753","0.47351595918415","0.513190764295356"
"Not at all","2004","direct migration background","East Germany","19","","",""
"Not at all","2004","indirect migration background","West Germany","610","0.757910381630891","0.727733481780571","0.788087281481211"
"Not at all","2004","indirect migration background","East Germany","20","","",""
"Strong","2005","no migration background","West Germany","","","",""
"Strong","2005","no migration background","East Germany","","","",""
"Strong","2005","direct migration background","West Germany","","","",""
"Strong","2005","direct migration background","East Germany","","","",""
"Strong","2005","indirect migration background","West Germany","","","",""
"Strong","2005","indirect migration background","East Germany","","","",""
"A little","2005","no migration background","West Germany","","","",""
"A little","2005","no migration background","East Germany","","","",""
"A little","2005","direct migration background","West Germany","","","",""
"A little","2005","direct migration background","East Germany","","","",""
"A little","2005","indirect migration background","West Germany","","","",""
"A little","2005","indirect migration background","East Germany","","","",""
"Not at all","2005","no migration background","West Germany","","","",""
"Not at all","2005","no migration background","East Germany","","","",""
"Not at all","2005","direct migration background","West Germany","","","",""
"Not at all","2005","direct migration background","East Germany","","","",""
"Not at all","2005","indirect migration background","West Germany","","","",""
"Not at all","2005","indirect migration background","East Germany","","","",""
"Strong","2006","no migration background","West Germany","1944","0.163334746371374","0.157137782108693","0.169531710634056"
"Strong","2006","no migration background","East Germany","761","0.174237199658583","0.163867536959763","0.184606862357404"
"Strong","2006","direct migration background","West Germany","374","0.17179205087087","0.156288753038681","0.187295348703059"
"Strong","2006","direct migration background","East Germany","31","0.281184404810975","0.19792305637745","0.3644457532445"
"Strong","2006","indirect migration background","West Germany","38","0.0432254669577897","0.0289629154988279","0.0574880184167515"
"Strong","2006","indirect migration background","East Germany","3","","",""
"A little","2006","no migration background","West Germany","4561","0.349276804404468","0.341284963124247","0.357268645684689"
"A little","2006","no migration background","East Germany","2140","0.412354136786014","0.398896786682986","0.425811486889042"
"A little","2006","direct migration background","West Germany","776","0.338399807630618","0.318952220496797","0.357847394764438"
"A little","2006","direct migration background","East Germany","54","0.392896962562168","0.302446744498988","0.483347180625349"
"A little","2006","indirect migration background","West Germany","141","0.216252749397764","0.187379782822035","0.245125715973492"
"A little","2006","indirect migration background","East Germany","9","","",""
"Not at all","2006","no migration background","West Germany","7165","0.487388449224158","0.479009382593139","0.495767515855177"
"Not at all","2006","no migration background","East Germany","2239","0.413408663555403","0.39994621240091","0.426871114709895"
"Not at all","2006","direct migration background","West Germany","1124","0.489808141498512","0.469261888921259","0.510354394075766"
"Not at all","2006","direct migration background","East Germany","27","","",""
"Not at all","2006","indirect migration background","West Germany","602","0.740521783644447","0.709779088015961","0.771264479272932"
"Not at all","2006","indirect migration background","East Germany","28","","",""
"Strong","2007","no migration background","West Germany","","","",""
"Strong","2007","no migration background","East Germany","","","",""
"Strong","2007","direct migration background","West Germany","","","",""
"Strong","2007","direct migration background","East Germany","","","",""
"Strong","2007","indirect migration background","West Germany","","","",""
"Strong","2007","indirect migration background","East Germany","","","",""
"A little","2007","no migration background","West Germany","","","",""
"A little","2007","no migration background","East Germany","","","",""
"A little","2007","direct migration background","West Germany","","","",""
"A little","2007","direct migration background","East Germany","","","",""
"A little","2007","indirect migration background","West Germany","","","",""
"A little","2007","indirect migration background","East Germany","","","",""
"Not at all","2007","no migration background","West Germany","","","",""
"Not at all","2007","no migration background","East Germany","","","",""
"Not at all","2007","direct migration background","West Germany","","","",""
"Not at all","2007","direct migration background","East Germany","","","",""
"Not at all","2007","indirect migration background","West Germany","","","",""
"Not at all","2007","indirect migration background","East Germany","","","",""
"Strong","2008","no migration background","West Germany","1702","0.164076930330179","0.157458724875066","0.170695135785292"
"Strong","2008","no migration background","East Germany","689","0.155024691022448","0.144635436094856","0.165413945950039"
"Strong","2008","direct migration background","West Germany","317","0.175304237534184","0.157883536215056","0.192724938853312"
"Strong","2008","direct migration background","East Germany","21","","",""
"Strong","2008","indirect migration background","West Germany","33","0.058946160394282","0.0418491835650928","0.0760431372234711"
"Strong","2008","indirect migration background","East Germany","2","","",""
"A little","2008","no migration background","West Germany","4112","0.357810602637107","0.349244337804657","0.366376867469558"
"A little","2008","no migration background","East Germany","1873","0.418067236028026","0.40390859966864","0.432225872387411"
"A little","2008","direct migration background","West Germany","618","0.356561177349086","0.334615792353796","0.378506562344377"
"A little","2008","direct migration background","East Germany","46","0.546499864790883","0.438084877948051","0.654914851633714"
"A little","2008","indirect migration background","West Germany","147","0.199515158723261","0.170505085036174","0.228525232410349"
"A little","2008","indirect migration background","East Germany","12","","",""
"Not at all","2008","no migration background","West Germany","6215","0.478112467032714","0.469185851629191","0.487039082436237"
"Not at all","2008","no migration background","East Germany","2100","0.426908072949527","0.412709611534955","0.441106534364099"
"Not at all","2008","direct migration background","West Germany","895","0.46813458511673","0.445272871232401","0.49099629900106"
"Not at all","2008","direct migration background","East Germany","14","","",""
"Not at all","2008","indirect migration background","West Germany","549","0.741538680882457","0.709759038179271","0.773318323585642"
"Not at all","2008","indirect migration background","East Germany","29","","",""
"Strong","2009","no migration background","West Germany","","","",""
"Strong","2009","no migration background","East Germany","","","",""
"Strong","2009","direct migration background","West Germany","","","",""
"Strong","2009","direct migration background","East Germany","","","",""
"Strong","2009","indirect migration background","West Germany","","","",""
"Strong","2009","indirect migration background","East Germany","","","",""
"A little","2009","no migration background","West Germany","","","",""
"A little","2009","no migration background","East Germany","","","",""
"A little","2009","direct migration background","West Germany","","","",""
"A little","2009","direct migration background","East Germany","","","",""
"A little","2009","indirect migration background","West Germany","","","",""
"A little","2009","indirect migration background","East Germany","","","",""
"Not at all","2009","no migration background","West Germany","","","",""
"Not at all","2009","no migration background","East Germany","","","",""
"Not at all","2009","direct migration background","West Germany","","","",""
"Not at all","2009","direct migration background","East Germany","","","",""
"Not at all","2009","indirect migration background","West Germany","","","",""
"Not at all","2009","indirect migration background","East Germany","","","",""
"Strong","2010","no migration background","West Germany","1509","0.167074298741482","0.159948168843291","0.174200428639674"
"Strong","2010","no migration background","East Germany","655","0.183822371462103","0.171869515951922","0.195775226972285"
"Strong","2010","direct migration background","West Germany","246","0.193039384693065","0.172445716269698","0.213633053116431"
"Strong","2010","direct migration background","East Germany","17","","",""
