"ple0005","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence"
"Strong","2002","1-pers.-HH","in school","","","",""
"Strong","2002","1-pers.-HH","inadequately","9","","",""
"Strong","2002","1-pers.-HH","general elemantary","181","0.424878785965883","0.37905335617207","0.470704215759697"
"Strong","2002","1-pers.-HH","middle vocational","319","0.208327054617879","0.1884341516743","0.228219957561458"
"Strong","2002","1-pers.-HH","vocational + Abi","23","","",""
"Strong","2002","1-pers.-HH","higher vocational","42","0.214669765218355","0.16028996181249","0.26904956862422"
"Strong","2002","1-pers.-HH","higher education","52","0.114404109710332","0.0872025486647821","0.141605670755883"
"Strong","2002","(Married) couple without C. ","in school","","","",""
"Strong","2002","(Married) couple without C. ","inadequately","26","","",""
"Strong","2002","(Married) couple without C. ","general elemantary","244","0.318853273012261","0.286779249690851","0.350927296333671"
"Strong","2002","(Married) couple without C. ","middle vocational","824","0.22367421801198","0.21065768415975","0.23669075186421"
"Strong","2002","(Married) couple without C. ","vocational + Abi","43","0.135327258590347","0.0992836248630644","0.171370892317631"
"Strong","2002","(Married) couple without C. ","higher vocational","105","0.211931147406602","0.17852751891942","0.245334775893784"
"Strong","2002","(Married) couple without C. ","higher education","198","0.139779412038947","0.12321284379196","0.156345980285935"
"Strong","2002","Single parent ","in school","","","",""
"Strong","2002","Single parent ","inadequately","4","","",""
"Strong","2002","Single parent ","general elemantary","34","0.13246147523797","0.089662955514085","0.175259994961856"
"Strong","2002","Single parent ","middle vocational","48","0.0793909520294252","0.0568991255745799","0.10188277848427"
"Strong","2002","Single parent ","vocational + Abi","5","","",""
"Strong","2002","Single parent ","higher vocational","5","","",""
"Strong","2002","Single parent ","higher education","12","","",""
"Strong","2002","Couple + C. LE 16 ","in school","","","",""
"Strong","2002","Couple + C. LE 16 ","inadequately","4","","",""
"Strong","2002","Couple + C. LE 16 ","general elemantary","14","","",""
"Strong","2002","Couple + C. LE 16 ","middle vocational","128","0.0546191034674275","0.045533643893093","0.063704563041762"
"Strong","2002","Couple + C. LE 16 ","vocational + Abi","11","","",""
"Strong","2002","Couple + C. LE 16 ","higher vocational","21","","",""
"Strong","2002","Couple + C. LE 16 ","higher education","30","0.0313720878774359","0.0211811269468554","0.0415630488080165"
"Strong","2002","Couple + C. GT 16 ","in school","4","","",""
"Strong","2002","Couple + C. GT 16 ","inadequately","17","","",""
"Strong","2002","Couple + C. GT 16 ","general elemantary","66","0.12204261261702","0.0952642134099392","0.148821011824101"
"Strong","2002","Couple + C. GT 16 ","middle vocational","192","0.114367097509402","0.100237831793616","0.128496363225189"
"Strong","2002","Couple + C. GT 16 ","vocational + Abi","13","","",""
