"ple0005","year","education","sex","n","percent","lower_confidence","upper_confidence"
"Strong","2002","lower secondary degree","Male","731","0.189953215615962","0.177867848013505","0.20203858321842"
"Strong","2002","lower secondary degree","Female","1008","0.260368449597009","0.247244383779358","0.27349251541466"
"Strong","2002","secondary school degree","Male","237","0.0870747112487956","0.0767811715680278","0.0973682509295633"
"Strong","2002","secondary school degree","Female","392","0.134180477651061","0.123364664558827","0.144996290743294"
"Strong","2002","college entrance qualification","Male","172","0.0651497540779995","0.0563711670069667","0.0739283411490322"
"Strong","2002","college entrance qualification","Female","179","0.100277649704016","0.0886307867153939","0.111924512692639"
"Strong","2002","Other degree","Male","89","0.129505759434102","0.103411376839171","0.155600142029032"
"Strong","2002","Other degree","Female","116","0.189025782300638","0.159641171052691","0.218410393548585"
"Strong","2002","no degree/no degree yet","Male","34","0.0986266615944942","0.0703794406451895","0.126873882543799"
"Strong","2002","no degree/no degree yet","Female","44","0.130820748477073","0.10068593255663","0.160955564397517"
"A little","2002","lower secondary degree","Male","1511","0.391416853096117","0.376379852737085","0.40645385345515"
"A little","2002","lower secondary degree","Female","1772","0.416592206683239","0.401848448792384","0.431335964574093"
"A little","2002","secondary school degree","Male","910","0.319422525195197","0.302400052051883","0.33644499833851"
"A little","2002","secondary school degree","Female","1393","0.370349741525897","0.355026292223943","0.385673190827851"
"A little","2002","college entrance qualification","Male","829","0.276435093355555","0.260526472086702","0.292343714624408"
"A little","2002","college entrance qualification","Female","772","0.316579417034835","0.298543509356975","0.334615324712696"
"A little","2002","Other degree","Male","242","0.396521200027375","0.358503683085088","0.434538716969662"
"A little","2002","Other degree","Female","236","0.343413816988646","0.307776035906299","0.379051598070993"
"A little","2002","no degree/no degree yet","Male","67","0.194136870657509","0.156664526516914","0.231609214798104"
"A little","2002","no degree/no degree yet","Female","112","0.243655421671448","0.205291460600447","0.282019382742449"
"Not at all","2002","lower secondary degree","Male","1805","0.41862993128792","0.403430653185163","0.433829209390677"
"Not at all","2002","lower secondary degree","Female","1515","0.323039343719752","0.309053910266409","0.337024777173096"
"Not at all","2002","secondary school degree","Male","1735","0.593502763556008","0.575570245605207","0.611435281506808"
"Not at all","2002","secondary school degree","Female","2030","0.495469780823043","0.479604308801965","0.511335252844121"
"Not at all","2002","college entrance qualification","Male","2035","0.658415152566445","0.641545877702149","0.675284427430741"
"Not at all","2002","college entrance qualification","Female","1604","0.583142933261149","0.564025317375864","0.602260549146433"
"Not at all","2002","Other degree","Male","305","0.473973040538523","0.435166908726552","0.512779172350494"
"Not at all","2002","Other degree","Female","330","0.467560400710716","0.430114012209741","0.505006789211691"
"Not at all","2002","no degree/no degree yet","Male","327","0.707236467747997","0.664127560034466","0.750345375461528"
"Not at all","2002","no degree/no degree yet","Female","325","0.625523829851478","0.582271493096757","0.6687761666062"
"Strong","2003","lower secondary degree","Male","","","",""
"Strong","2003","lower secondary degree","Female","","","",""
"Strong","2003","secondary school degree","Male","","","",""
"Strong","2003","secondary school degree","Female","","","",""
"Strong","2003","college entrance qualification","Male","","","",""
"Strong","2003","college entrance qualification","Female","","","",""
"Strong","2003","Other degree","Male","","","",""
"Strong","2003","Other degree","Female","","","",""
"Strong","2003","no degree/no degree yet","Male","","","",""
"Strong","2003","no degree/no degree yet","Female","","","",""
"A little","2003","lower secondary degree","Male","","","",""
"A little","2003","lower secondary degree","Female","","","",""
"A little","2003","secondary school degree","Male","","","",""
"A little","2003","secondary school degree","Female","","","",""
"A little","2003","college entrance qualification","Male","","","",""
"A little","2003","college entrance qualification","Female","","","",""
"A little","2003","Other degree","Male","","","",""
"A little","2003","Other degree","Female","","","",""
