"year","e11102","migback","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","Employed","direct migration background","38.7","40","2090","30","40","40","40","60","38.43","38.97","4","72","40","40"
"1984","Employed","indirect migration background","36.73","40","51","25","30","40","42","50","34.81","38.65","20","60","40","40"
"1984","Employed","no migration background","37.79","40","3992","24","40","40","41","60","37.52","38.06","1","80","40","40"
"1984","Not Employed","direct migration background","35.97","40","49","10","40","40","40","50","33.34","38.6","10","55","40","40"
"1984","Not Employed","indirect migration background","","","","","","","","","","","","","",""
"1984","Not Employed","no migration background","34.32","40","95","10","32","40","40","45","32.01","36.63","0","45","40","40"
"1985","Employed","direct migration background","38.16","40","1753","30","40","40","40","56","37.87","38.45","5","72","40","40"
"1985","Employed","indirect migration background","38.01","40","56","25","40","40","40","50","36.65","39.37","20","50","40","40"
"1985","Employed","no migration background","37.21","40","3595","23","40","40","40","49","36.95","37.47","1","74","40","40"
"1985","Not Employed","direct migration background","36.31","40","47","20","38","40","45","54","33.06","39.56","2","54","40","40"
"1985","Not Employed","indirect migration background","","","","","","","","","","","","","",""
"1985","Not Employed","no migration background","33.44","40","70","12","25","40","40","48","30.85","36.03","4","48","39","40"
"1986","Employed","direct migration background","37.74","40","1672","30","39","40","40","48","37.47","38.01","5","60","40","40"
"1986","Employed","indirect migration background","37.49","40","78","25","38","40","40","50","36.13","38.85","20","66","40","40"
"1986","Employed","no migration background","37.25","40","3487","25","39","40","40","48","37","37.5","2","76","40","40"
"1986","Not Employed","direct migration background","36.71","40","35","15","36","40","40","56","33.72","39.7","10","56","40","40"
"1986","Not Employed","indirect migration background","","","","","","","","","","","","","",""
"1986","Not Employed","no migration background","33.81","40","64","15","32","40","40","56","30.8","36.82","4","60","39","40"
"1987","Employed","direct migration background","37.58","40","1667","30","38","40","40","48","37.3","37.86","4","80","40","40"
"1987","Employed","indirect migration background","37.8","40","80","30","38.5","40","40","45","36.72","38.88","17","48","39","40"
"1987","Employed","no migration background","37","40","3506","24","38","40","40","50","36.75","37.25","2","72","40","40"
