"year","migback","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","direct migration background","East Germany","","","","","","","","","","","","","",""
"1984","direct migration background","West Germany","38.64","40","2139","30","40","40","40","60","38.37","38.91","4","72","40","40"
"1984","indirect migration background","East Germany","","","","","","","","","","","","","",""
"1984","indirect migration background","West Germany","36.86","40","58","25","30","40","42","50","35.17","38.55","20","60","40","40"
"1984","no migration background","East Germany","","","","","","","","","","","","","",""
"1984","no migration background","West Germany","37.71","40","4087","24","40","40","41","60","37.44","37.98","0","80","40","40"
"1985","direct migration background","East Germany","","","","","","","","","","","","","",""
"1985","direct migration background","West Germany","38.11","40","1800","30","40","40","40","56","37.81","38.41","2","72","40","40"
"1985","indirect migration background","East Germany","","","","","","","","","","","","","",""
"1985","indirect migration background","West Germany","38.44","40","58","25","40","40","45","50","37.11","39.77","20","50","40","40"
"1985","no migration background","East Germany","","","","","","","","","","","","","",""
"1985","no migration background","West Germany","37.14","40","3665","22","40","40","40","48","36.88","37.4","1","74","40","40"
"1986","direct migration background","East Germany","","","","","","","","","","","","","",""
"1986","direct migration background","West Germany","37.72","40","1707","30","39","40","40","48","37.45","37.99","5","60","40","40"
"1986","indirect migration background","East Germany","","","","","","","","","","","","","",""
"1986","indirect migration background","West Germany","37.56","40","82","25","38","40","40","50","36.14","38.98","18","66","40","40"
"1986","no migration background","East Germany","","","","","","","","","","","","","",""
"1986","no migration background","West Germany","37.18","40","3551","25","39","40","40","48","36.93","37.43","2","76","40","40"
"1987","direct migration background","East Germany","","","","","","","","","","","","","",""
"1987","direct migration background","West Germany","37.59","40","1696","30","38","40","40","48","37.3","37.88","2","80","40","40"
"1987","indirect migration background","East Germany","","","","","","","","","","","","","",""
"1987","indirect migration background","West Germany","37.84","40","81","30","38.5","40","40","48","36.74","38.94","17","49","39","40"
"1987","no migration background","East Germany","","","","","","","","","","","","","",""
"1987","no migration background","West Germany","36.93","40","3554","24","38","40","40","50","36.67","37.19","1","72","40","40"
"1988","direct migration background","East Germany","","","","","","","","","","","","","",""
"1988","direct migration background","West Germany","37.19","40","1575","30","38","40","40","48","36.88","37.5","2","70","40","40"
"1988","indirect migration background","East Germany","","","","","","","","","","","","","",""
"1988","indirect migration background","West Germany","35.99","40","104","20","38","40","40","40","34.67","37.31","4","40","38.5","40"
"1988","no migration background","East Germany","","","","","","","","","","","","","",""
"1988","no migration background","West Germany","36.67","40","3376","24","38","40","40","49","36.4","36.94","2","72","40","40"
"1989","direct migration background","East Germany","","","","","","","","","","","","","",""
"1989","direct migration background","West Germany","36.88","39","1548","26","37.5","40","40","48","36.57","37.19","2","66","38.5","39"
