"year","e11103","hgtyp1hh","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","Full Time","(Married) couple without C.","40.42","40","1006","40","40","40","42","60","40.16","40.68","8","80","40","40"
"1984","Full Time","1-pers.-HH","40.2","40","457","40","40","40","40","60","39.79","40.61","8","66","40","40"
"1984","Full Time","Couple + C. GT 16 ","40.32","40","814","40","40","40","41","56","40.05","40.59","11","70","40","40"
"1984","Full Time","Couple + C. LE 16","40.72","40","1402","40","40","40","45","60","40.46","40.98","8","75","40","40"
"1984","Full Time","Couple + C. LE and GT 16","40.7","40","706","40","40","40","42","65","40.35","41.05","3","80","40","40"
"1984","Full Time","Single parent","39.98","40","213","40","40","40","42","65","39.38","40.58","9","72","40","40"
"1984","Not Working","(Married) couple without C.","","","","","","","","","","","","","",""
"1984","Not Working","1-pers.-HH","","","","","","","","","","","","","",""
"1984","Not Working","Couple + C. GT 16 ","37.5","40","36","25","40","40","40","44","34.65","40.35","6","55","40","40"
"1984","Not Working","Couple + C. LE 16","27.43","32.5","31","9","10","40","40","40","22.17","32.69","3","48","18","40"
"1984","Not Working","Couple + C. LE and GT 16","36.07","40","38","20","40","40","40","45","33.81","38.33","10","50","40","40"
"1984","Not Working","Single parent","","","","","","","","","","","","","",""
"1984","Part Time","(Married) couple without C.","28.87","26.8","209","16","20","40","40","60","27.41","30.33","5","60","25","35"
"1984","Part Time","1-pers.-HH","30.14","38","86","10","20","40","40","50","27.48","32.8","4","65","36","40"
"1984","Part Time","Couple + C. GT 16 ","30.3","30.25","253","16","20","40","40","45","28.98","31.62","8","70","28","40"
"1984","Part Time","Couple + C. LE 16","25.62","24","366","10","20","40","40","60","24.38","26.86","1","77","24","25"
"1984","Part Time","Couple + C. LE and GT 16","31.19","40","217","12","20","40","40","46","29.68","32.7","5","60","35","40"
"1984","Part Time","Single parent","31.41","32","70","18","25","40","40","55","28.83","33.99","5","56","30","40"
"1985","Full Time","(Married) couple without C.","39.76","40","883","40","40","40","40","50","39.55","39.97","12","66","40","40"
