"plh0112","year","age_gr","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Very important","1990","16-34 y.","(0) in school","26","","",""
"Very important","1990","16-34 y.","(1a) inadequately completed","5","","",""
"Very important","1990","16-34 y.","(1b) general elementary school","44","0.127577993404309","0.0904400000936993","0.164715986714919"
"Very important","1990","16-34 y.","(1c) basic vocational qualification","68","0.095842992025743","0.0742050776158848","0.117480906435601"
"Very important","1990","16-34 y.","(2b) intermediate general qualification","55","0.286714740547973","0.225695963574363","0.347733517521583"
"Very important","1990","16-34 y.","(2a) intermediate vocational","64","0.120293180669907","0.0937271706145464","0.146859190725267"
"Very important","1990","16-34 y.","(2c_gen) general maturity certificate","55","0.264757742526682","0.207488659138655","0.322026825914709"
"Very important","1990","16-34 y.","(2c_voc) vocational maturity certificate","38","0.224841684193756","0.162988411012371","0.286694957375141"
"Very important","1990","16-34 y.","(3a) lower tertiary education","13","","",""
"Very important","1990","16-34 y.","(3b) higher tertiary education","33","0.291568542314525","0.209911459275539","0.373225625353512"
"Very important","1990","35-65 y.","(0) in school","","","",""
"Very important","1990","35-65 y.","(1a) inadequately completed","3","","",""
"Very important","1990","35-65 y.","(1b) general elementary school","78","0.114332733680807","0.090640715111919","0.138024752249694"
"Very important","1990","35-65 y.","(1c) basic vocational qualification","160","0.101325551536465","0.0867476886648107","0.115903414408119"
"Very important","1990","35-65 y.","(2b) intermediate general qualification","8","","",""
"Very important","1990","35-65 y.","(2a) intermediate vocational","64","0.128455768120907","0.0997523008396762","0.157159235402137"
"Very important","1990","35-65 y.","(2c_gen) general maturity certificate","2","","",""
"Very important","1990","35-65 y.","(2c_voc) vocational maturity certificate","14","","",""
"Very important","1990","35-65 y.","(3a) lower tertiary education","13","","",""
"Very important","1990","35-65 y.","(3b) higher tertiary education","56","0.196494906964715","0.149360642577578","0.243629171351852"
"Very important","1990","66 and older","(0) in school","","","",""
"Very important","1990","66 and older","(1a) inadequately completed","","","",""
"Very important","1990","66 and older","(1b) general elementary school","20","","",""
"Very important","1990","66 and older","(1c) basic vocational qualification","30","0.0677090884177074","0.0432096224891464","0.0922085543462683"
"Very important","1990","66 and older","(2b) intermediate general qualification","2","","",""
"Very important","1990","66 and older","(2a) intermediate vocational","9","","",""
"Very important","1990","66 and older","(2c_gen) general maturity certificate","","","",""
"Very important","1990","66 and older","(2c_voc) vocational maturity certificate","5","","",""
"Very important","1990","66 and older","(3a) lower tertiary education","5","","",""
"Very important","1990","66 and older","(3b) higher tertiary education","4","","",""
"Important","1990","16-34 y.","(0) in school","55","0.510394676600789","0.416977253745059","0.603812099456519"
"Important","1990","16-34 y.","(1a) inadequately completed","13","","",""
"Important","1990","16-34 y.","(1b) general elementary school","126","0.414669641157402","0.359826933353627","0.469512348961178"
"Important","1990","16-34 y.","(1c) basic vocational qualification","289","0.413599182623856","0.377399862822427","0.449798502425284"
"Important","1990","16-34 y.","(2b) intermediate general qualification","85","0.380227654177351","0.314727124717391","0.44572818363731"
"Important","1990","16-34 y.","(2a) intermediate vocational","217","0.348574727239141","0.309659721471288","0.387489733006995"
"Important","1990","16-34 y.","(2c_gen) general maturity certificate","114","0.499469540892697","0.434568684512089","0.564370397273305"
