"plh0112","year","sampreg","sex","n","percent","lower_confidence","upper_confidence"
"Very important","1990","West Germany","Male","421","0.123109478292583","0.11210423503956","0.134114721545605"
"Very important","1990","West Germany","Female","468","0.122747703278043","0.112199892196828","0.133295514359259"
"Very important","1990","East Germany","Male","","","",""
"Very important","1990","East Germany","Female","","","",""
"Important","1990","West Germany","Male","1342","0.390651251503543","0.374309116844854","0.406993386162232"
"Important","1990","West Germany","Female","1402","0.370705565113449","0.355180447577878","0.38623068264902"
"Important","1990","East Germany","Male","","","",""
"Important","1990","East Germany","Female","","","",""
"Less important","1990","West Germany","Male","1345","0.390858025468081","0.374514340094715","0.407201710841446"
"Less important","1990","West Germany","Female","1419","0.373433513073153","0.357885187551222","0.388981838595084"
"Less important","1990","East Germany","Male","","","",""
"Less important","1990","East Germany","Female","","","",""
"Quite unimportant","1990","West Germany","Male","316","0.0953812447357937","0.0855423684518007","0.105220121019787"
"Quite unimportant","1990","West Germany","Female","429","0.133113218535355","0.122194160335169","0.14403227673554"
"Quite unimportant","1990","East Germany","Male","","","",""
"Quite unimportant","1990","East Germany","Female","","","",""
"Very important","1991","West Germany","Male","","","",""
"Very important","1991","West Germany","Female","","","",""
"Very important","1991","East Germany","Male","","","",""
"Very important","1991","East Germany","Female","","","",""
"Important","1991","West Germany","Male","","","",""
"Important","1991","West Germany","Female","","","",""
"Important","1991","East Germany","Male","","","",""
"Important","1991","East Germany","Female","","","",""
"Less important","1991","West Germany","Male","","","",""
"Less important","1991","West Germany","Female","","","",""
"Less important","1991","East Germany","Male","","","",""
"Less important","1991","East Germany","Female","","","",""
"Quite unimportant","1991","West Germany","Male","","","",""
"Quite unimportant","1991","West Germany","Female","","","",""
"Quite unimportant","1991","East Germany","Male","","","",""
"Quite unimportant","1991","East Germany","Female","","","",""
"Very important","1992","West Germany","Male","432","0.133918645494089","0.122360183737373","0.145477107250805"
"Very important","1992","West Germany","Female","454","0.122509898643716","0.111926668863304","0.133093128424128"
"Very important","1992","East Germany","Male","207","0.115550064304708","0.101152804996155","0.129947323613261"
"Very important","1992","East Germany","Female","221","0.11124206362902","0.0977617122616593","0.12472241499638"
"Important","1992","West Germany","Male","1256","0.37482177627723","0.358392648769138","0.391250903785322"
"Important","1992","West Germany","Female","1393","0.375405957337115","0.359775883806635","0.391036030867594"
"Important","1992","East Germany","Male","774","0.406539554875386","0.384418522246843","0.428660587503929"
"Important","1992","East Germany","Female","865","0.402537232823297","0.381512358941322","0.423562106705272"
"Less important","1992","West Germany","Male","1316","0.384427083166384","0.367917089291462","0.400937077041305"
"Less important","1992","West Germany","Female","1384","0.363542610454615","0.348016100377506","0.379069120531724"
"Less important","1992","East Germany","Male","774","0.390961754365874","0.368985811161928","0.41293769756982"
"Less important","1992","East Germany","Female","838","0.381333942360936","0.360510341803457","0.402157542918415"
"Quite unimportant","1992","West Germany","Male","331","0.106832495062296","0.0963487050214722","0.117316285103121"
"Quite unimportant","1992","West Germany","Female","456","0.138541533564555","0.127390408429931","0.149692658699178"
