"plh0112","year","migback","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Important","1990","no migration background","West Germany","2536","0.378383368640131","0.36672082458785","0.390045912692411","2"
"Important","1990","no migration background","East Germany","","","","","2"
"Important","1990","direct migration background","East Germany","","","","","2"
"Important","1990","direct migration background","West Germany","187","0.412062912377818","0.366279959697621","0.457845865058016","2"
"Important","1990","indirect migration background","West Germany","21","","","","2"
"Important","1990","indirect migration background","East Germany","","","","","2"
"Less important","1990","direct migration background","East Germany","","","","","3"
"Less important","1990","no migration background","East Germany","","","","","3"
"Less important","1990","no migration background","West Germany","2590","0.384008337882097","0.372312705507896","0.395703970256299","3"
"Less important","1990","direct migration background","West Germany","157","0.347616237407223","0.303320880555642","0.391911594258803","3"
"Less important","1990","indirect migration background","West Germany","17","","","","3"
"Less important","1990","indirect migration background","East Germany","","","","","3"
"Quite unimportant","1990","no migration background","West Germany","706","0.117273932995075","0.109536806705639","0.125011059284511","4"
"Quite unimportant","1990","no migration background","East Germany","","","","","4"
"Quite unimportant","1990","direct migration background","West Germany","36","0.090769979381507","0.0640482471552994","0.117491711607715","4"
"Quite unimportant","1990","direct migration background","East Germany","","","","","4"
"Quite unimportant","1990","indirect migration background","West Germany","3","","","","4"
"Quite unimportant","1990","indirect migration background","East Germany","","","","","4"
"Very important","1990","no migration background","West Germany","811","0.120334360482697","0.11251052686525","0.128158194100144","1"
"Very important","1990","no migration background","East Germany","","","","","1"
"Very important","1990","direct migration background","West Germany","64","0.149550870833452","0.116378596411243","0.182723145255661","1"
"Very important","1990","direct migration background","East Germany","","","","","1"
"Very important","1990","indirect migration background","West Germany","14","","","","1"
"Very important","1990","indirect migration background","East Germany","","","","","1"
"Important","1991","no migration background","East Germany","","","","","2"
"Important","1991","no migration background","West Germany","","","","","2"
"Important","1991","direct migration background","West Germany","","","","","2"
"Important","1991","direct migration background","East Germany","","","","","2"
"Important","1991","indirect migration background","West Germany","","","","","2"
"Important","1991","indirect migration background","East Germany","","","","","2"
"Less important","1991","no migration background","West Germany","","","","","3"
"Less important","1991","no migration background","East Germany","","","","","3"
"Less important","1991","direct migration background","West Germany","","","","","3"
"Less important","1991","direct migration background","East Germany","","","","","3"
"Less important","1991","indirect migration background","West Germany","","","","","3"
"Less important","1991","indirect migration background","East Germany","","","","","3"
"Quite unimportant","1991","no migration background","East Germany","","","","","4"
"Quite unimportant","1991","no migration background","West Germany","","","","","4"
"Quite unimportant","1991","direct migration background","West Germany","","","","","4"
"Quite unimportant","1991","direct migration background","East Germany","","","","","4"
"Quite unimportant","1991","indirect migration background","West Germany","","","","","4"
"Quite unimportant","1991","indirect migration background","East Germany","","","","","4"
"Very important","1991","no migration background","West Germany","","","","","1"
"Very important","1991","no migration background","East Germany","","","","","1"
"Very important","1991","direct migration background","West Germany","","","","","1"
