"plh0112","year","age_gr","migback","n","percent","lower_confidence","upper_confidence"
"Very important","1990","16-34 y.","no migration background","386","0.164861139096225","0.150213146095756","0.179509132096694"
"Very important","1990","16-34 y.","direct migration background","18","","",""
"Very important","1990","16-34 y.","indirect migration background","9","","",""
"Very important","1990","35-65 y.","no migration background","359","0.113696501805508","0.102720162813664","0.124672840797351"
"Very important","1990","35-65 y.","direct migration background","37","0.152314119327889","0.108211380809478","0.1964168578463"
"Very important","1990","35-65 y.","indirect migration background","5","","",""
"Very important","1990","66 and older","no migration background","66","0.0609290757474488","0.045837105982482","0.0760210455124155"
"Very important","1990","66 and older","direct migration background","9","","",""
"Very important","1990","66 and older","indirect migration background","","","",""
"Important","1990","16-34 y.","no migration background","1009","0.404378923555826","0.385004940583036","0.423752906528617"
"Important","1990","16-34 y.","direct migration background","53","0.426984878178401","0.340617028435497","0.513352727921304"
"Important","1990","16-34 y.","indirect migration background","15","","",""
"Important","1990","35-65 y.","no migration background","1239","0.390980057723975","0.374107310963345","0.407852804484604"
"Important","1990","35-65 y.","direct migration background","119","0.457650559832621","0.396502230225685","0.518798889439557"
"Important","1990","35-65 y.","indirect migration background","5","","",""
"Important","1990","66 and older","no migration background","288","0.301791336884126","0.272829211101838","0.330753462666414"
"Important","1990","66 and older","direct migration background","15","","",""
"Important","1990","66 and older","indirect migration background","1","","",""
"Less important","1990","16-34 y.","no migration background","942","0.383096945296378","0.363905731921389","0.402288158671366"
"Less important","1990","16-34 y.","direct migration background","51","0.389572120690911","0.304424222265839","0.474720019115983"
"Less important","1990","16-34 y.","indirect migration background","8","","",""
"Less important","1990","35-65 y.","no migration background","1303","0.397759775248047","0.38083635891057","0.414683191585524"
"Less important","1990","35-65 y.","direct migration background","82","0.320769181211447","0.263478628772452","0.378059733650443"
"Less important","1990","35-65 y.","indirect migration background","6","","",""
"Less important","1990","66 and older","no migration background","345","0.350581811184962","0.320476622840522","0.380686999529402"
"Less important","1990","66 and older","direct migration background","24","","",""
"Less important","1990","66 and older","indirect migration background","3","","",""
"Quite unimportant","1990","16-34 y.","no migration background","128","0.0476629920515714","0.0392524185452097","0.0560735655579331"
"Quite unimportant","1990","16-34 y.","direct migration background","4","","",""
"Quite unimportant","1990","16-34 y.","indirect migration background","","","",""
"Quite unimportant","1990","35-65 y.","no migration background","312","0.0975636652224707","0.0873037193789131","0.107823611066028"
"Quite unimportant","1990","35-65 y.","direct migration background","17","","",""
"Quite unimportant","1990","35-65 y.","indirect migration background","2","","",""
"Quite unimportant","1990","66 and older","no migration background","266","0.286697776183463","0.258165699308257","0.315229853058669"
"Quite unimportant","1990","66 and older","direct migration background","15","","",""
"Quite unimportant","1990","66 and older","indirect migration background","1","","",""
"Very important","1991","16-34 y.","no migration background","","","",""
"Very important","1991","16-34 y.","direct migration background","","","",""
"Very important","1991","16-34 y.","indirect migration background","","","",""
"Very important","1991","35-65 y.","no migration background","","","",""
"Very important","1991","35-65 y.","direct migration background","","","",""
"Very important","1991","35-65 y.","indirect migration background","","","",""
"Very important","1991","66 and older","no migration background","","","",""
"Very important","1991","66 and older","direct migration background","","","",""
"Very important","1991","66 and older","indirect migration background","","","",""
"Important","1991","16-34 y.","no migration background","","","",""
"Important","1991","16-34 y.","direct migration background","","","",""
"Important","1991","16-34 y.","indirect migration background","","","",""
"Important","1991","35-65 y.","no migration background","","","",""
"Important","1991","35-65 y.","direct migration background","","","",""
"Important","1991","35-65 y.","indirect migration background","","","",""
"Important","1991","66 and older","no migration background","","","",""
"Important","1991","66 and older","direct migration background","","","",""
"Important","1991","66 and older","indirect migration background","","","",""
"Less important","1991","16-34 y.","no migration background","","","",""
"Less important","1991","16-34 y.","direct migration background","","","",""
"Less important","1991","16-34 y.","indirect migration background","","","",""
"Less important","1991","35-65 y.","no migration background","","","",""
"Less important","1991","35-65 y.","direct migration background","","","",""
"Less important","1991","35-65 y.","indirect migration background","","","",""
"Less important","1991","66 and older","no migration background","","","",""
"Less important","1991","66 and older","direct migration background","","","",""
"Less important","1991","66 and older","indirect migration background","","","",""
"Quite unimportant","1991","16-34 y.","no migration background","","","",""
"Quite unimportant","1991","16-34 y.","direct migration background","","","",""
"Quite unimportant","1991","16-34 y.","indirect migration background","","","",""
"Quite unimportant","1991","35-65 y.","no migration background","","","",""
"Quite unimportant","1991","35-65 y.","direct migration background","","","",""
"Quite unimportant","1991","35-65 y.","indirect migration background","","","",""
"Quite unimportant","1991","66 and older","no migration background","","","",""
"Quite unimportant","1991","66 and older","direct migration background","","","",""
"Quite unimportant","1991","66 and older","indirect migration background","","","",""
"Very important","1992","16-34 y.","no migration background","544","0.158742283894311","0.147064792983269","0.170419774805354"
"Very important","1992","16-34 y.","direct migration background","18","","",""
"Very important","1992","16-34 y.","indirect migration background","13","","",""
"Very important","1992","35-65 y.","no migration background","571","0.116984636944557","0.108308848850091","0.125660425039023"
"Very important","1992","35-65 y.","direct migration background","54","0.171717431024152","0.132036687078124","0.21139817497018"
"Very important","1992","35-65 y.","indirect migration background","3","","",""
"Very important","1992","66 and older","no migration background","100","0.0747944931788313","0.0605710636697736","0.089017922687889"
"Very important","1992","66 and older","direct migration background","11","","",""
"Very important","1992","66 and older","indirect migration background","","","",""
"Important","1992","16-34 y.","no migration background","1491","0.396430568801763","0.380799600540517","0.412061537063008"
"Important","1992","16-34 y.","direct migration background","69","0.561913291580537","0.475623201669007","0.648203381492067"
"Important","1992","16-34 y.","indirect migration background","24","","",""
"Important","1992","35-65 y.","no migration background","2087","0.392527483217002","0.379346168107795","0.40570879832621"
"Important","1992","35-65 y.","direct migration background","148","0.44020139837538","0.387970804107128","0.492431992643632"
"Important","1992","35-65 y.","indirect migration background","7","","",""
"Important","1992","66 and older","no migration background","432","0.31420179656205","0.289102999219531","0.339300593904569"
"Important","1992","66 and older","direct migration background","29","","",""
"Important","1992","66 and older","indirect migration background","1","","",""
"Less important","1992","16-34 y.","no migration background","1516","0.390327216482386","0.374738817365157","0.405915615599616"
"Less important","1992","16-34 y.","direct migration background","37","0.248893362344816","0.173695812912545","0.324090911777088"
"Less important","1992","16-34 y.","indirect migration background","18","","",""
"Less important","1992","35-65 y.","no migration background","2138","0.391184053092087","0.378010771631758","0.404357334552415"
"Less important","1992","35-65 y.","direct migration background","124","0.327291064102071","0.277920961929767","0.376661166274376"
"Less important","1992","35-65 y.","indirect migration background","8","","",""
"Less important","1992","66 and older","no migration background","433","0.332156760419873","0.306690849035551","0.357622671804196"
"Less important","1992","66 and older","direct migration background","36","0.357867548616264","0.265290581893339","0.450444515339188"
"Less important","1992","66 and older","indirect migration background","2","","",""
"Quite unimportant","1992","16-34 y.","no migration background","211","0.0544999308215397","0.0472460994834252","0.0617537621596541"
"Quite unimportant","1992","16-34 y.","direct migration background","3","","",""
"Quite unimportant","1992","16-34 y.","indirect migration background","2","","",""
"Quite unimportant","1992","35-65 y.","no migration background","476","0.0993038267463542","0.0912308715661242","0.107376781926584"
"Quite unimportant","1992","35-65 y.","direct migration background","21","","",""
"Quite unimportant","1992","35-65 y.","indirect migration background","2","","",""
"Quite unimportant","1992","66 and older","no migration background","349","0.278846949839245","0.254600560202859","0.303093339475632"
"Quite unimportant","1992","66 and older","direct migration background","27","","",""
"Quite unimportant","1992","66 and older","indirect migration background","1","","",""
"Very important","1993","16-34 y.","no migration background","","","",""
"Very important","1993","16-34 y.","direct migration background","","","",""
"Very important","1993","16-34 y.","indirect migration background","","","",""
"Very important","1993","35-65 y.","no migration background","","","",""
"Very important","1993","35-65 y.","direct migration background","","","",""
"Very important","1993","35-65 y.","indirect migration background","","","",""
"Very important","1993","66 and older","no migration background","","","",""
"Very important","1993","66 and older","direct migration background","","","",""
"Very important","1993","66 and older","indirect migration background","","","",""
"Important","1993","16-34 y.","no migration background","","","",""
"Important","1993","16-34 y.","direct migration background","","","",""
"Important","1993","16-34 y.","indirect migration background","","","",""
"Important","1993","35-65 y.","no migration background","","","",""
"Important","1993","35-65 y.","direct migration background","","","",""
"Important","1993","35-65 y.","indirect migration background","","","",""
"Important","1993","66 and older","no migration background","","","",""
"Important","1993","66 and older","direct migration background","","","",""
"Important","1993","66 and older","indirect migration background","","","",""
"Less important","1993","16-34 y.","no migration background","","","",""
"Less important","1993","16-34 y.","direct migration background","","","",""
"Less important","1993","16-34 y.","indirect migration background","","","",""
"Less important","1993","35-65 y.","no migration background","","","",""
"Less important","1993","35-65 y.","direct migration background","","","",""
"Less important","1993","35-65 y.","indirect migration background","","","",""
"Less important","1993","66 and older","no migration background","","","",""
"Less important","1993","66 and older","direct migration background","","","",""
"Less important","1993","66 and older","indirect migration background","","","",""
"Quite unimportant","1993","16-34 y.","no migration background","","","",""
"Quite unimportant","1993","16-34 y.","direct migration background","","","",""
"Quite unimportant","1993","16-34 y.","indirect migration background","","","",""
"Quite unimportant","1993","35-65 y.","no migration background","","","",""
"Quite unimportant","1993","35-65 y.","direct migration background","","","",""
"Quite unimportant","1993","35-65 y.","indirect migration background","","","",""
"Quite unimportant","1993","66 and older","no migration background","","","",""
"Quite unimportant","1993","66 and older","direct migration background","","","",""
"Quite unimportant","1993","66 and older","indirect migration background","","","",""
"Very important","1994","16-34 y.","no migration background","","","",""
"Very important","1994","16-34 y.","direct migration background","","","",""
"Very important","1994","16-34 y.","indirect migration background","","","",""
"Very important","1994","35-65 y.","no migration background","","","",""
"Very important","1994","35-65 y.","direct migration background","","","",""
"Very important","1994","35-65 y.","indirect migration background","","","",""
"Very important","1994","66 and older","no migration background","","","",""
"Very important","1994","66 and older","direct migration background","","","",""
"Very important","1994","66 and older","indirect migration background","","","",""
"Important","1994","16-34 y.","no migration background","","","",""
"Important","1994","16-34 y.","direct migration background","","","",""
"Important","1994","16-34 y.","indirect migration background","","","",""
"Important","1994","35-65 y.","no migration background","","","",""
"Important","1994","35-65 y.","direct migration background","","","",""
"Important","1994","35-65 y.","indirect migration background","","","",""
"Important","1994","66 and older","no migration background","","","",""
"Important","1994","66 and older","direct migration background","","","",""
"Important","1994","66 and older","indirect migration background","","","",""
"Less important","1994","16-34 y.","no migration background","","","",""
"Less important","1994","16-34 y.","direct migration background","","","",""
"Less important","1994","16-34 y.","indirect migration background","","","",""
"Less important","1994","35-65 y.","no migration background","","","",""
"Less important","1994","35-65 y.","direct migration background","","","",""
"Less important","1994","35-65 y.","indirect migration background","","","",""
"Less important","1994","66 and older","no migration background","","","",""
"Less important","1994","66 and older","direct migration background","","","",""
"Less important","1994","66 and older","indirect migration background","","","",""
"Quite unimportant","1994","16-34 y.","no migration background","","","",""
"Quite unimportant","1994","16-34 y.","direct migration background","","","",""
"Quite unimportant","1994","16-34 y.","indirect migration background","","","",""
"Quite unimportant","1994","35-65 y.","no migration background","","","",""
"Quite unimportant","1994","35-65 y.","direct migration background","","","",""
"Quite unimportant","1994","35-65 y.","indirect migration background","","","",""
"Quite unimportant","1994","66 and older","no migration background","","","",""
"Quite unimportant","1994","66 and older","direct migration background","","","",""
"Quite unimportant","1994","66 and older","indirect migration background","","","",""
"Very important","1995","16-34 y.","no migration background","403","0.119434565844457","0.10868918149799","0.130179950190924"
"Very important","1995","16-34 y.","direct migration background","56","0.189972366315665","0.150055515598653","0.229889217032677"
"Very important","1995","16-34 y.","indirect migration background","19","","",""
"Very important","1995","35-65 y.","no migration background","388","0.0829039585948296","0.075373917269834","0.0904339999198252"
"Very important","1995","35-65 y.","direct migration background","71","0.136339049480964","0.109218885819908","0.16345921314202"
"Very important","1995","35-65 y.","indirect migration background","5","","",""
"Very important","1995","66 and older","no migration background","103","0.0742245851170225","0.0600348771911885","0.0884142930428565"
"Very important","1995","66 and older","direct migration background","13","","",""
"Very important","1995","66 and older","indirect migration background","","","",""
"Important","1995","16-34 y.","no migration background","1376","0.391945731999838","0.375770137165168","0.408121326834507"
"Important","1995","16-34 y.","direct migration background","178","0.461448051607048","0.41072138258349","0.512174720630606"
"Important","1995","16-34 y.","indirect migration background","58","0.559316891973906","0.468970405838387","0.649663378109426"
"Important","1995","35-65 y.","no migration background","1875","0.363598503016161","0.350462024629802","0.376734981402521"
"Important","1995","35-65 y.","direct migration background","233","0.373489037566819","0.335258201121193","0.411719874012445"
"Important","1995","35-65 y.","indirect migration background","8","","",""
"Important","1995","66 and older","no migration background","371","0.290612997831745","0.26603503541421","0.315190960249281"
"Important","1995","66 and older","direct migration background","56","0.387623693829823","0.311169706692731","0.464077680966915"
"Important","1995","66 and older","indirect migration background","2","","",""
"Less important","1995","16-34 y.","no migration background","1488","0.424577879925198","0.408200362196227","0.440955397654169"
"Less important","1995","16-34 y.","direct migration background","121","0.313934017180462","0.26670996304707","0.361158071313855"
"Less important","1995","16-34 y.","indirect migration background","33","0.251211300756913","0.172285622410123","0.330136979103702"
