"plh0112","year","regtyp","sex","n","percent","lower_confidence","upper_confidence"
"Very important","1990","Urban Area","Male","339","0.129770446888223","0.116914968244915","0.142625925531532"
"Very important","1990","Urban Area","Female","381","0.130185001364395","0.117888768416383","0.142481234312406"
"Very important","1990","Rural Area","Male","82","0.101221291209336","0.0803072949605276","0.122135287458144"
"Very important","1990","Rural Area","Female","87","0.0972534737097637","0.0772278723172676","0.11727907510226"
"Important","1990","Urban Area","Male","1052","0.400951291111027","0.382203059349366","0.419699522872688"
"Important","1990","Urban Area","Female","1118","0.381583665766807","0.363833045881845","0.399334285651769"
"Important","1990","Rural Area","Male","290","0.356804943619579","0.323587861379326","0.390022025859832"
"Important","1990","Rural Area","Female","284","0.333416647538326","0.301554799282987","0.365278495793666"
"Less important","1990","Urban Area","Male","1005","0.37964194592829","0.361077083083434","0.398206808773145"
"Less important","1990","Urban Area","Female","1060","0.359622147075994","0.342086591636756","0.377157702515232"
"Less important","1990","Rural Area","Male","340","0.427714474163573","0.39340942421504","0.462019524112107"
"Less important","1990","Rural Area","Female","359","0.420777337577012","0.387411730081303","0.454142945072721"
"Quite unimportant","1990","Urban Area","Male","229","0.0896363160724597","0.0787085120179047","0.100564120127015"
"Quite unimportant","1990","Urban Area","Female","318","0.128609185792804","0.11637653316446","0.140841838421148"
"Quite unimportant","1990","Rural Area","Male","87","0.114259291007512","0.0922009032618888","0.136317678753134"
"Quite unimportant","1990","Rural Area","Female","111","0.148552541174898","0.124516161102705","0.172588921247091"
"Very important","1991","Urban Area","Male","","","",""
"Very important","1991","Urban Area","Female","","","",""
"Very important","1991","Rural Area","Male","","","",""
"Very important","1991","Rural Area","Female","","","",""
"Important","1991","Urban Area","Male","","","",""
"Important","1991","Urban Area","Female","","","",""
"Important","1991","Rural Area","Male","","","",""
"Important","1991","Rural Area","Female","","","",""
"Less important","1991","Urban Area","Male","","","",""
"Less important","1991","Urban Area","Female","","","",""
"Less important","1991","Rural Area","Male","","","",""
"Less important","1991","Rural Area","Female","","","",""
"Quite unimportant","1991","Urban Area","Male","","","",""
"Quite unimportant","1991","Urban Area","Female","","","",""
"Quite unimportant","1991","Rural Area","Male","","","",""
"Quite unimportant","1991","Rural Area","Female","","","",""
"Very important","1992","Urban Area","Male","417","0.13633513218358","0.124403056421241","0.148267207945918"
"Very important","1992","Urban Area","Female","466","0.134142091533789","0.122946966644092","0.145337216423486"
"Very important","1992","Rural Area","Male","215","0.115305748163318","0.101294078034778","0.129317418291858"
"Very important","1992","Rural Area","Female","204","0.0894079991246941","0.0773611198782644","0.101454878371124"
"Important","1992","Urban Area","Male","1260","0.394169502508584","0.377177030656958","0.41116197436021"
"Important","1992","Urban Area","Female","1412","0.390717064805441","0.374689638481059","0.406744491129822"
"Important","1992","Rural Area","Male","747","0.355307463685975","0.334310992563971","0.376303934807978"
"Important","1992","Rural Area","Female","821","0.359914869170499","0.339650027375012","0.380179710965986"
"Less important","1992","Urban Area","Male","1227","0.37296693267206","0.356151042188411","0.389782823155708"
"Less important","1992","Urban Area","Female","1295","0.345999780327315","0.330373703664438","0.361625856990191"
"Less important","1992","Rural Area","Male","839","0.41283543705207","0.391236308683507","0.434434565420633"
"Less important","1992","Rural Area","Female","898","0.413199684375871","0.392409917774179","0.433989450977563"
"Quite unimportant","1992","Urban Area","Male","273","0.0965284326357766","0.0862595224442741","0.106797342827279"
"Quite unimportant","1992","Urban Area","Female","387","0.129141063333456","0.118124930158949","0.140157196507962"
"Quite unimportant","1992","Rural Area","Male","195","0.116551351098637","0.10247412343873","0.130628578758544"
"Quite unimportant","1992","Rural Area","Female","232","0.137477447328936","0.122938752746083","0.15201614191179"
"Very important","1993","Urban Area","Male","","","",""
"Very important","1993","Urban Area","Female","","","",""
"Very important","1993","Rural Area","Male","","","",""
"Very important","1993","Rural Area","Female","","","",""
"Important","1993","Urban Area","Male","","","",""
