"plh0112","year","hgtyp1hh","migback","n","percent","lower_confidence","upper_confidence"
"Very important","1990","1-pers.-HH","no migration background","115","0.121842839291137","0.0999810857336386","0.143704592848635"
"Very important","1990","1-pers.-HH","direct migration background","10","","",""
"Very important","1990","1-pers.-HH","indirect migration background","3","","",""
"Very important","1990","(Married) couple without C. ","no migration background","243","0.124899783895422","0.109887339819407","0.139912227971438"
"Very important","1990","(Married) couple without C. ","direct migration background","27","","",""
"Very important","1990","(Married) couple without C. ","indirect migration background","2","","",""
"Very important","1990","Single parent ","no migration background","46","0.114894998319611","0.0822245189137596","0.147565477725463"
"Very important","1990","Single parent ","direct migration background","4","","",""
"Very important","1990","Single parent ","indirect migration background","1","","",""
"Very important","1990","Couple + C. LE 16 ","no migration background","93","0.0700775926096949","0.0565796471819071","0.0835755380374827"
"Very important","1990","Couple + C. LE 16 ","direct migration background","4","","",""
"Very important","1990","Couple + C. LE 16 ","indirect migration background","2","","",""
"Very important","1990","Couple + C. GT 16 ","no migration background","219","0.15154668954352","0.132935440120601","0.17015793896644"
"Very important","1990","Couple + C. GT 16 ","direct migration background","13","","",""
"Very important","1990","Couple + C. GT 16 ","indirect migration background","6","","",""
"Very important","1990","Couple + C. LE and GT 16","no migration background","46","0.111176451197622","0.0802154726976836","0.142137429697561"
"Very important","1990","Couple + C. LE and GT 16","direct migration background","5","","",""
"Very important","1990","Couple + C. LE and GT 16","indirect migration background","","","",""
"Important","1990","1-pers.-HH","no migration background","339","0.388305108869033","0.3557324775006","0.420877740237466"
"Important","1990","1-pers.-HH","direct migration background","20","","",""
"Important","1990","1-pers.-HH","indirect migration background","1","","",""
"Important","1990","(Married) couple without C. ","no migration background","749","0.394028645571766","0.371839958322504","0.416217332821029"
"Important","1990","(Married) couple without C. ","direct migration background","55","0.374416779664762","0.296966559083273","0.451867000246251"
"Important","1990","(Married) couple without C. ","indirect migration background","3","","",""
"Important","1990","Single parent ","no migration background","127","0.352285022573792","0.303346978486489","0.401223066661096"
"Important","1990","Single parent ","direct migration background","9","","",""
"Important","1990","Single parent ","indirect migration background","2","","",""
"Important","1990","Couple + C. LE 16 ","no migration background","468","0.333947192674823","0.309009977384845","0.358884407964801"
"Important","1990","Couple + C. LE 16 ","direct migration background","38","0.407038106220856","0.302597458872164","0.511478753569548"
"Important","1990","Couple + C. LE 16 ","indirect migration background","1","","",""
"Important","1990","Couple + C. GT 16 ","no migration background","583","0.411827877638371","0.386283318175446","0.437372437101296"
"Important","1990","Couple + C. GT 16 ","direct migration background","41","0.480983026380736","0.373493858548728","0.588472194212745"
"Important","1990","Couple + C. GT 16 ","indirect migration background","8","","",""
"Important","1990","Couple + C. LE and GT 16","no migration background","157","0.381401415716234","0.333560871727874","0.429241959704594"
"Important","1990","Couple + C. LE and GT 16","direct migration background","17","","",""
"Important","1990","Couple + C. LE and GT 16","indirect migration background","6","","",""
"Less important","1990","1-pers.-HH","no migration background","265","0.30654161293545","0.275727207880674","0.337356017990227"
"Less important","1990","1-pers.-HH","direct migration background","14","","",""
"Less important","1990","1-pers.-HH","indirect migration background","3","","",""
"Less important","1990","(Married) couple without C. ","no migration background","650","0.34878660145286","0.327145307506727","0.370427895398994"
"Less important","1990","(Married) couple without C. ","direct migration background","51","0.320515285815505","0.245833158496771","0.395197413134239"
"Less important","1990","(Married) couple without C. ","indirect migration background","5","","",""
"Less important","1990","Single parent ","no migration background","157","0.433455401264961","0.382686611635971","0.484224190893952"
"Less important","1990","Single parent ","direct migration background","4","","",""
"Less important","1990","Single parent ","indirect migration background","","","",""
"Less important","1990","Couple + C. LE 16 ","no migration background","706","0.52354750597937","0.497139076486536","0.549955935472204"
"Less important","1990","Couple + C. LE 16 ","direct migration background","37","0.463507353293702","0.357496866381248","0.569517840206155"
"Less important","1990","Couple + C. LE 16 ","indirect migration background","5","","",""
"Less important","1990","Couple + C. GT 16 ","no migration background","518","0.3643676674145","0.339389461897781","0.38934587293122"
"Less important","1990","Couple + C. GT 16 ","direct migration background","26","","",""
"Less important","1990","Couple + C. GT 16 ","indirect migration background","2","","",""
"Less important","1990","Couple + C. LE and GT 16","no migration background","158","0.41758506238083","0.369012699819947","0.466157424941713"
"Less important","1990","Couple + C. LE and GT 16","direct migration background","10","","",""
"Less important","1990","Couple + C. LE and GT 16","indirect migration background","2","","",""
"Quite unimportant","1990","1-pers.-HH","no migration background","141","0.18331043890438","0.157450888718717","0.209169989090042"
"Quite unimportant","1990","1-pers.-HH","direct migration background","5","","",""
"Quite unimportant","1990","1-pers.-HH","indirect migration background","","","",""
"Quite unimportant","1990","(Married) couple without C. ","no migration background","221","0.132284969079951","0.11690039512191","0.147669543037992"
"Quite unimportant","1990","(Married) couple without C. ","direct migration background","17","","",""
"Quite unimportant","1990","(Married) couple without C. ","indirect migration background","1","","",""
"Quite unimportant","1990","Single parent ","no migration background","36","0.0993645778416355","0.0687168800797555","0.130012275603516"
"Quite unimportant","1990","Single parent ","direct migration background","2","","",""
"Quite unimportant","1990","Single parent ","indirect migration background","","","",""
"Quite unimportant","1990","Couple + C. LE 16 ","no migration background","107","0.0724277087361116","0.0587226474717637","0.0861327700004595"
"Quite unimportant","1990","Couple + C. LE 16 ","direct migration background","6","","",""
"Quite unimportant","1990","Couple + C. LE 16 ","indirect migration background","","","",""
"Quite unimportant","1990","Couple + C. GT 16 ","no migration background","106","0.0722577654036079","0.0588194677733486","0.0856960630338673"
"Quite unimportant","1990","Couple + C. GT 16 ","direct migration background","3","","",""
"Quite unimportant","1990","Couple + C. GT 16 ","indirect migration background","1","","",""
"Quite unimportant","1990","Couple + C. LE and GT 16","no migration background","35","0.0898370707053142","0.0616734905994096","0.118000650811219"
"Quite unimportant","1990","Couple + C. LE and GT 16","direct migration background","1","","",""
"Quite unimportant","1990","Couple + C. LE and GT 16","indirect migration background","1","","",""
"Very important","1991","1-pers.-HH","no migration background","","","",""
"Very important","1991","1-pers.-HH","direct migration background","","","",""
"Very important","1991","1-pers.-HH","indirect migration background","","","",""
"Very important","1991","(Married) couple without C. ","no migration background","","","",""
"Very important","1991","(Married) couple without C. ","direct migration background","","","",""
"Very important","1991","(Married) couple without C. ","indirect migration background","","","",""
"Very important","1991","Single parent ","no migration background","","","",""
"Very important","1991","Single parent ","direct migration background","","","",""
"Very important","1991","Single parent ","indirect migration background","","","",""
