"plh0112","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence"
"Very important","1990","in school","Urban Area","22","","",""
"Very important","1990","in school","Rural Area","4","","",""
"Very important","1990","inadequately","Urban Area","7","","",""
"Very important","1990","inadequately","Rural Area","3","","",""
"Very important","1990","general elemantary","Urban Area","165","0.129274798757832","0.110323789668027","0.148225807847636"
"Very important","1990","general elemantary","Rural Area","39","0.0890805657316305","0.0620300992668545","0.116131032196406"
"Very important","1990","middle vocational","Urban Area","340","0.115018938847138","0.103560184451393","0.126477693242883"
"Very important","1990","middle vocational","Rural Area","78","0.0844400119981217","0.066374721882206","0.102505302114037"
"Very important","1990","vocational + Abi","Urban Area","29","","",""
"Very important","1990","vocational + Abi","Rural Area","8","","",""
"Very important","1990","higher vocational","Urban Area","47","0.127830080538403","0.0946062799430323","0.161053881133774"
"Very important","1990","higher vocational","Rural Area","11","","",""
"Very important","1990","higher education","Urban Area","102","0.179033933602535","0.147252574375615","0.210815292829455"
"Very important","1990","higher education","Rural Area","22","","",""
"Important","1990","in school","Urban Area","42","0.504794870831922","0.397232818860635","0.612356922803209"
"Important","1990","in school","Rural Area","13","","",""
"Important","1990","inadequately","Urban Area","18","","",""
"Important","1990","inadequately","Rural Area","9","","",""
"Important","1990","general elemantary","Urban Area","402","0.324262984675714","0.29782231867991","0.350703650671517"
"Important","1990","general elemantary","Rural Area","127","0.277763099610256","0.235230649310759","0.320295549909752"
"Important","1990","middle vocational","Urban Area","1214","0.408360548850148","0.390706830378893","0.426014267321404"
"Important","1990","middle vocational","Rural Area","330","0.356566983588556","0.325446264069922","0.387687703107189"
"Important","1990","vocational + Abi","Urban Area","71","0.393250889639485","0.320250815940605","0.466250963338366"
"Important","1990","vocational + Abi","Rural Area","11","","",""
"Important","1990","higher vocational","Urban Area","156","0.385270192934366","0.336846593398914","0.433693792469817"
"Important","1990","higher vocational","Rural Area","42","0.4325871929729","0.340002723078174","0.525171662867626"
"Important","1990","higher education","Urban Area","243","0.439190408706119","0.398049268199391","0.480331549212848"
"Important","1990","higher education","Rural Area","37","0.383706419036961","0.287428120285956","0.479984717787966"
"Less important","1990","in school","Urban Area","19","","",""
"Less important","1990","in school","Rural Area","10","","",""
"Less important","1990","inadequately","Urban Area","18","","",""
"Less important","1990","inadequately","Rural Area","9","","",""
"Less important","1990","general elemantary","Urban Area","430","0.359195606520573","0.33209599308478","0.386295219956367"
"Less important","1990","general elemantary","Rural Area","166","0.384718433997043","0.338517395094584","0.430919472899502"
"Less important","1990","middle vocational","Urban Area","1162","0.378039085018939","0.360623597237924","0.395454572799954"
"Less important","1990","middle vocational","Rural Area","415","0.458159671378107","0.425787525620908","0.490531817135306"
"Less important","1990","vocational + Abi","Urban Area","62","0.363001059237423","0.291137757177263","0.434864361297584"
"Less important","1990","vocational + Abi","Rural Area","12","","",""
"Less important","1990","higher vocational","Urban Area","153","0.389438963040426","0.340919445758715","0.437958480322138"
"Less important","1990","higher vocational","Rural Area","47","0.380038934156585","0.289330430612009","0.470747437701161"
"Less important","1990","higher education","Urban Area","189","0.338586110814284","0.299356553100796","0.377815668527772"
"Less important","1990","higher education","Rural Area","37","0.374216556673272","0.278407053823636","0.470026059522908"
"Quite unimportant","1990","in school","Urban Area","","","",""
"Quite unimportant","1990","in school","Rural Area","","","",""
"Quite unimportant","1990","inadequately","Urban Area","9","","",""
"Quite unimportant","1990","inadequately","Rural Area","2","","",""
"Quite unimportant","1990","general elemantary","Urban Area","207","0.187266610045881","0.165230289900511","0.209302930191252"
"Quite unimportant","1990","general elemantary","Rural Area","94","0.24843790066107","0.207404770081861","0.289471031240279"
"Quite unimportant","1990","middle vocational","Urban Area","262","0.0985814272837746","0.087874951324904","0.109287903242645"
"Quite unimportant","1990","middle vocational","Rural Area","87","0.100833333035216","0.0812696978470563","0.120396968223375"
"Quite unimportant","1990","vocational + Abi","Urban Area","10","","",""
"Quite unimportant","1990","vocational + Abi","Rural Area","2","","",""
"Quite unimportant","1990","higher vocational","Urban Area","32","0.0974607634868052","0.0679500181433191","0.126971508830291"
"Quite unimportant","1990","higher vocational","Rural Area","10","","",""
"Quite unimportant","1990","higher education","Urban Area","25","","",""
"Quite unimportant","1990","higher education","Rural Area","2","","",""
"Very important","1991","in school","Urban Area","","","",""
"Very important","1991","in school","Rural Area","","","",""
"Very important","1991","inadequately","Urban Area","","","",""
"Very important","1991","inadequately","Rural Area","","","",""
"Very important","1991","general elemantary","Urban Area","","","",""
"Very important","1991","general elemantary","Rural Area","","","",""
"Very important","1991","middle vocational","Urban Area","","","",""
"Very important","1991","middle vocational","Rural Area","","","",""
"Very important","1991","vocational + Abi","Urban Area","","","",""
"Very important","1991","vocational + Abi","Rural Area","","","",""
"Very important","1991","higher vocational","Urban Area","","","",""
"Very important","1991","higher vocational","Rural Area","","","",""
"Very important","1991","higher education","Urban Area","","","",""
"Very important","1991","higher education","Rural Area","","","",""
"Important","1991","in school","Urban Area","","","",""
"Important","1991","in school","Rural Area","","","",""
"Important","1991","inadequately","Urban Area","","","",""
"Important","1991","inadequately","Rural Area","","","",""
"Important","1991","general elemantary","Urban Area","","","",""
"Important","1991","general elemantary","Rural Area","","","",""
"Important","1991","middle vocational","Urban Area","","","",""
"Important","1991","middle vocational","Rural Area","","","",""
"Important","1991","vocational + Abi","Urban Area","","","",""
"Important","1991","vocational + Abi","Rural Area","","","",""
"Important","1991","higher vocational","Urban Area","","","",""
"Important","1991","higher vocational","Rural Area","","","",""
"Important","1991","higher education","Urban Area","","","",""
"Important","1991","higher education","Rural Area","","","",""
"Less important","1991","in school","Urban Area","","","",""
"Less important","1991","in school","Rural Area","","","",""
"Less important","1991","inadequately","Urban Area","","","",""
"Less important","1991","inadequately","Rural Area","","","",""
"Less important","1991","general elemantary","Urban Area","","","",""
"Less important","1991","general elemantary","Rural Area","","","",""
"Less important","1991","middle vocational","Urban Area","","","",""
"Less important","1991","middle vocational","Rural Area","","","",""
"Less important","1991","vocational + Abi","Urban Area","","","",""
"Less important","1991","vocational + Abi","Rural Area","","","",""
"Less important","1991","higher vocational","Urban Area","","","",""
"Less important","1991","higher vocational","Rural Area","","","",""
"Less important","1991","higher education","Urban Area","","","",""
"Less important","1991","higher education","Rural Area","","","",""
"Quite unimportant","1991","in school","Urban Area","","","",""
"Quite unimportant","1991","in school","Rural Area","","","",""
