"plh0112","year","e11102","migback","n","percent","lower_confidence","upper_confidence"
"Very important","1990","Not Employed","no migration background","248","0.0966714467447968","0.0848709125119767","0.108471980977617"
"Very important","1990","Not Employed","direct migration background","22","","",""
"Very important","1990","Not Employed","indirect migration background","5","","",""
"Very important","1990","Employed","no migration background","563","0.136101453989607","0.125772997646917","0.146429910332298"
"Very important","1990","Employed","direct migration background","42","0.168924578154117","0.123727249346965","0.214121906961269"
"Very important","1990","Employed","indirect migration background","9","","",""
"Important","1990","Not Employed","no migration background","812","0.332468867082361","0.313656608245931","0.351281125918792"
"Important","1990","Not Employed","direct migration background","66","0.344225875047811","0.274817682827662","0.413634067267959"
"Important","1990","Not Employed","indirect migration background","7","","",""
"Important","1990","Employed","no migration background","1724","0.408977159726181","0.394168207783898","0.423786111668464"
"Important","1990","Employed","direct migration background","121","0.46547531052719","0.405305542425434","0.525645078628946"
"Important","1990","Employed","indirect migration background","14","","",""
"Less important","1990","Not Employed","no migration background","920","0.375348713896741","0.356012743329427","0.394684684464055"
"Less important","1990","Not Employed","direct migration background","68","0.386472755869035","0.315336958026563","0.457608553711507"
"Less important","1990","Not Employed","indirect migration background","8","","",""
"Less important","1990","Employed","no migration background","1670","0.389778426157115","0.375088306210967","0.404468546103262"
"Less important","1990","Employed","direct migration background","89","0.317022038184099","0.26089214709082","0.373151929277378"
"Less important","1990","Employed","indirect migration background","9","","",""
"Quite unimportant","1990","Not Employed","no migration background","429","0.195510972276101","0.179673884588129","0.211348059964074"
"Quite unimportant","1990","Not Employed","direct migration background","24","","",""
"Quite unimportant","1990","Not Employed","indirect migration background","3","","",""
"Quite unimportant","1990","Employed","no migration background","277","0.0651429601270969","0.0577097054944689","0.0725762147597249"
"Quite unimportant","1990","Employed","direct migration background","12","","",""
"Quite unimportant","1990","Employed","indirect migration background","","","",""
"Very important","1991","Not Employed","no migration background","","","",""
"Very important","1991","Not Employed","direct migration background","","","",""
"Very important","1991","Not Employed","indirect migration background","","","",""
"Very important","1991","Employed","no migration background","","","",""
"Very important","1991","Employed","direct migration background","","","",""
"Very important","1991","Employed","indirect migration background","","","",""
"Important","1991","Not Employed","no migration background","","","",""
"Important","1991","Not Employed","direct migration background","","","",""
"Important","1991","Not Employed","indirect migration background","","","",""
"Important","1991","Employed","no migration background","","","",""
"Important","1991","Employed","direct migration background","","","",""
"Important","1991","Employed","indirect migration background","","","",""
"Less important","1991","Not Employed","no migration background","","","",""
"Less important","1991","Not Employed","direct migration background","","","",""
"Less important","1991","Not Employed","indirect migration background","","","",""
"Less important","1991","Employed","no migration background","","","",""
"Less important","1991","Employed","direct migration background","","","",""
"Less important","1991","Employed","indirect migration background","","","",""
