"plh0204_h","year","education","migback","n","percent","lower_confidence","upper_confidence"
"0 Not at all Willing to take risks","2004","lower secondary degree","no migration background","828","0.14092238033115","0.132556593654792","0.149288167007509"
"0 Not at all Willing to take risks","2004","lower secondary degree","direct migration background","82","0.146369699704485","0.119299719193685","0.173439680215286"
"0 Not at all Willing to take risks","2004","lower secondary degree","indirect migration background","21","","",""
"0 Not at all Willing to take risks","2004","secondary school degree","no migration background","263","0.0544236823239851","0.0485970588960654","0.0602503057519049"
"0 Not at all Willing to take risks","2004","secondary school degree","direct migration background","21","","",""
"0 Not at all Willing to take risks","2004","secondary school degree","indirect migration background","12","","",""
"0 Not at all Willing to take risks","2004","college entrance qualification","no migration background","118","0.0331845277523973","0.0281646992935585","0.0382043562112362"
"0 Not at all Willing to take risks","2004","college entrance qualification","direct migration background","22","","",""
"0 Not at all Willing to take risks","2004","college entrance qualification","indirect migration background","4","","",""
"0 Not at all Willing to take risks","2004","Other degree","no migration background","10","","",""
"0 Not at all Willing to take risks","2004","Other degree","direct migration background","215","0.185995894848112","0.162527623072795","0.209464166623429"
"0 Not at all Willing to take risks","2004","Other degree","indirect migration background","1","","",""
"0 Not at all Willing to take risks","2004","no degree/no degree yet","no migration background","26","","",""
"0 Not at all Willing to take risks","2004","no degree/no degree yet","direct migration background","67","0.27205650163866","0.215037638670803","0.329075364606517"
"0 Not at all Willing to take risks","2004","no degree/no degree yet","indirect migration background","5","","",""
"1","2004","lower secondary degree","no migration background","456","0.0700637488558055","0.0639264980317559","0.0762009996798551"
"1","2004","lower secondary degree","direct migration background","53","0.0766400380149141","0.0562677026740396","0.0970123733557886"
"1","2004","lower secondary degree","indirect migration background","15","","",""
"1","2004","secondary school degree","no migration background","208","0.040598819230949","0.0355297114936134","0.0456679269682847"
"1","2004","secondary school degree","direct migration background","12","","",""
"1","2004","secondary school degree","indirect migration background","12","","",""
"1","2004","college entrance qualification","no migration background","130","0.0299477416036714","0.0251710317327169","0.034724451474626"
"1","2004","college entrance qualification","direct migration background","7","","",""
"1","2004","college entrance qualification","indirect migration background","5","","",""
"1","2004","Other degree","no migration background","9","","",""
"1","2004","Other degree","direct migration background","86","0.0984521149935786","0.080483150252626","0.116421079734531"
"1","2004","Other degree","indirect migration background","","","",""
"1","2004","no degree/no degree yet","no migration background","11","","",""
"1","2004","no degree/no degree yet","direct migration background","19","","",""
"1","2004","no degree/no degree yet","indirect migration background","3","","",""
"2","2004","lower secondary degree","no migration background","777","0.118695028282294","0.11091860355469","0.126471453009898"
"2","2004","lower secondary degree","direct migration background","90","0.118277545496999","0.0935463823044261","0.143008708689572"
"2","2004","lower secondary degree","indirect migration background","27","","",""
"2","2004","secondary school degree","no migration background","542","0.0957736263573673","0.0882151154025062","0.103332137312228"
"2","2004","secondary school degree","direct migration background","24","","",""
"2","2004","secondary school degree","indirect migration background","24","","",""
"2","2004","college entrance qualification","no migration background","383","0.072051094086073","0.0648045392726491","0.0792976488994969"
"2","2004","college entrance qualification","direct migration background","33","0.136504086706107","0.0966448818232962","0.176363291588919"
"2","2004","college entrance qualification","indirect migration background","15","","",""
"2","2004","Other degree","no migration background","11","","",""
"2","2004","Other degree","direct migration background","131","0.12463397251925","0.104712144128543","0.144555800909956"
"2","2004","Other degree","indirect migration background","2","","",""
"2","2004","no degree/no degree yet","no migration background","25","","",""
"2","2004","no degree/no degree yet","direct migration background","33","0.138474270086649","0.0942196281915019","0.182728911981796"
"2","2004","no degree/no degree yet","indirect migration background","5","","",""
