"plh0204_h","year","age_gr","e11103","n","percent","lower_confidence","upper_confidence","value"
"0 Not at all Willing to take risks","2004","16-34 y.","Full Time","65","0.0298977823468094","0.0229362179951279","0.0368593466984909","0"
"0 Not at all Willing to take risks","2004","16-34 y.","Part Time","53","0.0303786399825419","0.0220417102450266","0.0387155697200571","0"
"0 Not at all Willing to take risks","2004","16-34 y.","Not Working","87","0.0736133340467561","0.0611186147323444","0.0861080533611678","0"
"0 Not at all Willing to take risks","2004","35-65 y.","Full Time","236","0.0462024850902908","0.0409319145874521","0.0514730555931295","0"
"0 Not at all Willing to take risks","2004","35-65 y.","Part Time","225","0.0817563769401313","0.0722616878045334","0.0912510660757292","0"
"0 Not at all Willing to take risks","2004","35-65 y.","Not Working","356","0.135495313791335","0.123083703639318","0.147906923943352","0"
"0 Not at all Willing to take risks","2004","66 and older","Full Time","3","","","","0"
"0 Not at all Willing to take risks","2004","66 and older","Part Time","20","","","","0"
"0 Not at all Willing to take risks","2004","66 and older","Not Working","679","0.207200711946308","0.193870102579639","0.220531321312977","0"
"1","2004","16-34 y.","Full Time","52","0.0220247051938535","0.0160254463643615","0.0280239640233456","1"
"1","2004","16-34 y.","Not Working","48","0.0306467964553284","0.0223999923263946","0.0388936005842622","1"
"1","2004","35-65 y.","Not Working","197","0.0702436370796373","0.0609759707894988","0.0795113033697758","1"
"1","2004","66 and older","Full Time","3","","","","1"
"1","2004","16-34 y.","Part Time","54","0.0333606551968682","0.0246375640470824","0.0420837463466539","1"
"1","2004","35-65 y.","Full Time","170","0.0310278952520728","0.0266744943625679","0.0353812961415777","1"
"1","2004","35-65 y.","Part Time","166","0.0650309141455028","0.0564861608909946","0.0735756674000109","1"
"1","2004","66 and older","Part Time","10","","","","1"
"1","2004","66 and older","Not Working","335","0.0935786664560576","0.0839995326414553","0.10315780027066","1"
"10 Very willing to take risks","2004","16-34 y.","Not Working","23","","","","10"
"10 Very willing to take risks","2004","16-34 y.","Full Time","31","0.0125943067241962","0.00803589496878775","0.0171527184796046","10"
"10 Very willing to take risks","2004","35-65 y.","Part Time","24","","","","10"
"10 Very willing to take risks","2004","35-65 y.","Not Working","22","","","","10"
