"plh0204_h","year","migback","pgcasmin","n","percent","lower_confidence","upper_confidence"
"0 Not at all Willing to take risks","2004","no migration background","(0) in school","11","","",""
"0 Not at all Willing to take risks","2004","no migration background","(1a) inadequately completed","15","","",""
"0 Not at all Willing to take risks","2004","no migration background","(1b) general elementary school","252","0.209100837822612","0.187137737377939","0.231063938267285"
"0 Not at all Willing to take risks","2004","no migration background","(1c) basic vocational qualification","580","0.123017591258484","0.114100464545413","0.131934717971555"
"0 Not at all Willing to take risks","2004","no migration background","(2b) intermediate general qualification","25","","",""
"0 Not at all Willing to take risks","2004","no migration background","(2a) intermediate vocational","219","0.0561680877569767","0.0495981497641499","0.0627380257498034"
"0 Not at all Willing to take risks","2004","no migration background","(2c_gen) general maturity certificate","8","","",""
"0 Not at all Willing to take risks","2004","no migration background","(2c_voc) vocational maturity certificate","50","0.0502053673956855","0.0379469002202847","0.0624638345710864"
"0 Not at all Willing to take risks","2004","no migration background","(3a) lower tertiary education","40","0.029032983963202","0.0208189092590096","0.0372470586673944"
"0 Not at all Willing to take risks","2004","no migration background","(3b) higher tertiary education","46","0.0274585348619598","0.020737560054183","0.0341795096697366"
"0 Not at all Willing to take risks","2004","direct migration background","(0) in school","4","","",""
"0 Not at all Willing to take risks","2004","direct migration background","(1a) inadequately completed","63","0.330138738545331","0.259859905301131","0.400417571789531"
"0 Not at all Willing to take risks","2004","direct migration background","(1b) general elementary school","145","0.246682007657115","0.211230734996192","0.282133280318039"
"0 Not at all Willing to take risks","2004","direct migration background","(1c) basic vocational qualification","100","0.14505161857135","0.119364775700484","0.170738461442216"
"0 Not at all Willing to take risks","2004","direct migration background","(2b) intermediate general qualification","3","","",""
"0 Not at all Willing to take risks","2004","direct migration background","(2a) intermediate vocational","13","","",""
"0 Not at all Willing to take risks","2004","direct migration background","(2c_gen) general maturity certificate","14","","",""
"0 Not at all Willing to take risks","2004","direct migration background","(2c_voc) vocational maturity certificate","36","0.128665581367556","0.0895862463616147","0.167744916373497"
"0 Not at all Willing to take risks","2004","direct migration background","(3a) lower tertiary education","9","","",""
"0 Not at all Willing to take risks","2004","direct migration background","(3b) higher tertiary education","20","","",""
"0 Not at all Willing to take risks","2004","indirect migration background","(0) in school","4","","",""
"0 Not at all Willing to take risks","2004","indirect migration background","(1a) inadequately completed","1","","",""
"0 Not at all Willing to take risks","2004","indirect migration background","(1b) general elementary school","9","","",""
