"plh0204_h","year","migback","regtyp","n","percent","lower_confidence","upper_confidence","value"
"0 Not at all Willing to take risks","2004","no migration background","Urban Area","824","0.0856684323795555","0.0805930315523177","0.0907438332067933","0"
"0 Not at all Willing to take risks","2004","no migration background","Rural Area","437","0.0949844980669132","0.0879056961649983","0.102063299968828","0"
"0 Not at all Willing to take risks","2004","direct migration background","Urban Area","348","0.161218163199885","0.145426242691091","0.17701008370868","0"
"0 Not at all Willing to take risks","2004","direct migration background","Rural Area","64","0.139972966824797","0.107627375760742","0.172318557888853","0"
"0 Not at all Willing to take risks","2004","indirect migration background","Urban Area","40","0.0649217826327003","0.0465243310646208","0.0833192342007798","0"
"0 Not at all Willing to take risks","2004","indirect migration background","Rural Area","11","","","","0"
"1","2004","indirect migration background","Urban Area","28","","","","1"
"1","2004","direct migration background","Urban Area","154","0.0813516553781993","0.0696118390666041","0.0930914716897945","1"
"1","2004","no migration background","Rural Area","309","0.0539033681278887","0.0484510513121645","0.0593556849436129","1"
"1","2004","direct migration background","Rural Area","26","","","","1"
"1","2004","no migration background","Urban Area","511","0.0497028493840447","0.04576164972983","0.0536440490382595","1"
"1","2004","indirect migration background","Rural Area","7","","","","1"
"10 Very willing to take risks","2004","direct migration background","Urban Area","24","","","","10"
"10 Very willing to take risks","2004","no migration background","Rural Area","71","0.0123946276713447","0.00972338189654268","0.0150658734461468","10"
"10 Very willing to take risks","2004","indirect migration background","Urban Area","16","","","","10"
"10 Very willing to take risks","2004","indirect migration background","Rural Area","3","","","","10"
"10 Very willing to take risks","2004","no migration background","Urban Area","87","0.00764883141497117","0.00606889970296557","0.00922876312697677","10"
"10 Very willing to take risks","2004","direct migration background","Rural Area","7","","","","10"
"2","2004","direct migration background","Urban Area","263","0.125144332673369","0.110934883130367","0.139353782216371","2"
"2","2004","direct migration background","Rural Area","49","0.10254038869185","0.0742595755375424","0.130821201846157","2"
"2","2004","indirect migration background","Rural Area","11","","","","2"
"2","2004","no migration background","Rural Area","645","0.0994700897093277","0.0922440439142799","0.106696135504375","2"
"2","2004","indirect migration background","Urban Area","66","0.0834755472844007","0.0628222143595587","0.104128880209243","2"
"2","2004","no migration background","Urban Area","1106","0.0997468399747663","0.0943125854048736","0.105181094544659","2"
"3","2004","no migration background","Rural Area","828","0.121662714192362","0.11377021049928","0.129555217885444","3"
"3","2004","direct migration background","Rural Area","57","0.123358863872061","0.0927016234480147","0.154016104296106","3"
"3","2004","direct migration background","Urban Area","252","0.120777761426567","0.106783619435431","0.134771903417704","3"
"3","2004","no migration background","Urban Area","1524","0.127650366412507","0.121598847381249","0.133701885443765","3"
"3","2004","indirect migration background","Urban Area","79","0.127284693527129","0.10239824826105","0.152171138793208","3"
"3","2004","indirect migration background","Rural Area","7","","","","3"
"4","2004","direct migration background","Urban Area","193","0.0925084977193063","0.0800657712595929","0.10495122417902","4"
"4","2004","direct migration background","Rural Area","42","0.11271965753157","0.0832369600236375","0.142202355039503","4"
"4","2004","indirect migration background","Rural Area","7","","","","4"
"4","2004","no migration background","Rural Area","717","0.102221980851985","0.0949078619866986","0.109536099717271","4"
"4","2004","indirect migration background","Urban Area","59","0.0755224882324796","0.0557925920153272","0.095252384449632","4"
"4","2004","no migration background","Urban Area","1294","0.105494244954981","0.0999234902896681","0.111064999620294","4"
"5","2004","direct migration background","Urban Area","369","0.187528896871747","0.170766291639985","0.204291502103508","5"
"5","2004","no migration background","Rural Area","1512","0.230586755264926","0.220417189907136","0.240756320622716","5"
"5","2004","direct migration background","Rural Area","83","0.177310294817328","0.141704395153667","0.21291619448099","5"
"5","2004","indirect migration background","Urban Area","137","0.188627921567639","0.15941658026943","0.217839262865849","5"
"5","2004","indirect migration background","Rural Area","20","","","","5"
"5","2004","no migration background","Urban Area","2589","0.22506031267228","0.217486902309123","0.232633723035437","5"
"6","2004","direct migration background","Urban Area","181","0.0897302330363435","0.0774570301597147","0.102003435912972","6"
"6","2004","indirect migration background","Rural Area","22","","","","6"
"6","2004","indirect migration background","Urban Area","84","0.121685590778579","0.0972747318254083","0.14609644973175","6"
"6","2004","no migration background","Rural Area","757","0.108534250061056","0.101024229608808","0.116044270513304","6"
"6","2004","direct migration background","Rural Area","38","0.0912836825655637","0.0644334720138968","0.118133893117231","6"
"6","2004","no migration background","Urban Area","1279","0.102918955827608","0.0974087020027741","0.108429209652441","6"
"7","2004","no migration background","Rural Area","752","0.102497019708999","0.0951741897061324","0.109819849711865","7"
"7","2004","direct migration background","Rural Area","46","0.0985206484069731","0.0707376906305061","0.12630360618344","7"
"7","2004","indirect migration background","Urban Area","97","0.140894801602565","0.11491659667052","0.16687300653461","7"
"7","2004","indirect migration background","Rural Area","8","","","","7"
"7","2004","direct migration background","Urban Area","148","0.0644873861507642","0.0539394943319842","0.0750352779695442","7"
"7","2004","no migration background","Urban Area","1397","0.110812230705229","0.105119788001307","0.116504673409151","7"
"8","2004","no migration background","Rural Area","454","0.0603243594512044","0.0545760422178747","0.0660726766845341","8"
"8","2004","direct migration background","Urban Area","117","0.0550867925880486","0.0452891146639266","0.0648844705121706","8"
"8","2004","indirect migration background","Urban Area","63","0.112704869114575","0.089092265932498","0.136317472296652","8"
"8","2004","indirect migration background","Rural Area","12","","","","8"
"8","2004","direct migration background","Rural Area","23","","","","8"
"8","2004","no migration background","Urban Area","861","0.069359568829168","0.0647522079591772","0.0739669296991589","8"
"9","2004","indirect migration background","Rural Area","3","","","","9"
"9","2004","no migration background","Urban Area","209","0.0159373674448895","0.0136663119727964","0.0182084229169826","9"
"9","2004","direct migration background","Urban Area","34","0.0109689659924969","0.0064960446541616","0.0154418873308322","9"
"9","2004","direct migration background","Rural Area","7","","","","9"
"9","2004","indirect migration background","Urban Area","20","","","","9"
"9","2004","no migration background","Rural Area","108","0.0134203368939933","0.0106422030049218","0.0161984707830648","9"
"0 Not at all Willing to take risks","2005","direct migration background","Urban Area","","","","","0"
"0 Not at all Willing to take risks","2005","direct migration background","Rural Area","","","","","0"
"0 Not at all Willing to take risks","2005","indirect migration background","Urban Area","","","","","0"
"0 Not at all Willing to take risks","2005","indirect migration background","Rural Area","","","","","0"
"0 Not at all Willing to take risks","2005","no migration background","Rural Area","","","","","0"
"0 Not at all Willing to take risks","2005","no migration background","Urban Area","","","","","0"
"1","2005","indirect migration background","Urban Area","","","","","1"
"1","2005","direct migration background","Rural Area","","","","","1"
"1","2005","no migration background","Rural Area","","","","","1"
"1","2005","direct migration background","Urban Area","","","","","1"
"1","2005","no migration background","Urban Area","","","","","1"
"1","2005","indirect migration background","Rural Area","","","","","1"
"10 Very willing to take risks","2005","direct migration background","Urban Area","","","","","10"
"10 Very willing to take risks","2005","no migration background","Rural Area","","","","","10"
"10 Very willing to take risks","2005","indirect migration background","Rural Area","","","","","10"
"10 Very willing to take risks","2005","no migration background","Urban Area","","","","","10"
"10 Very willing to take risks","2005","direct migration background","Rural Area","","","","","10"
"10 Very willing to take risks","2005","indirect migration background","Urban Area","","","","","10"
"2","2005","no migration background","Rural Area","","","","","2"
"2","2005","direct migration background","Urban Area","","","","","2"
"2","2005","direct migration background","Rural Area","","","","","2"
"2","2005","indirect migration background","Urban Area","","","","","2"
"2","2005","indirect migration background","Rural Area","","","","","2"
"2","2005","no migration background","Urban Area","","","","","2"
"3","2005","direct migration background","Urban Area","","","","","3"
"3","2005","direct migration background","Rural Area","","","","","3"
"3","2005","no migration background","Rural Area","","","","","3"
"3","2005","indirect migration background","Urban Area","","","","","3"
"3","2005","indirect migration background","Rural Area","","","","","3"
"3","2005","no migration background","Urban Area","","","","","3"
"4","2005","no migration background","Rural Area","","","","","4"
"4","2005","direct migration background","Urban Area","","","","","4"
"4","2005","direct migration background","Rural Area","","","","","4"
"4","2005","indirect migration background","Urban Area","","","","","4"
"4","2005","indirect migration background","Rural Area","","","","","4"
"4","2005","no migration background","Urban Area","","","","","4"
"5","2005","direct migration background","Urban Area","","","","","5"
"5","2005","direct migration background","Rural Area","","","","","5"
"5","2005","indirect migration background","Urban Area","","","","","5"
"5","2005","indirect migration background","Rural Area","","","","","5"
"5","2005","no migration background","Rural Area","","","","","5"
"5","2005","no migration background","Urban Area","","","","","5"
"6","2005","no migration background","Rural Area","","","","","6"
"6","2005","direct migration background","Urban Area","","","","","6"
"6","2005","no migration background","Urban Area","","","","","6"
"6","2005","direct migration background","Rural Area","","","","","6"
"6","2005","indirect migration background","Rural Area","","","","","6"
"6","2005","indirect migration background","Urban Area","","","","","6"
"7","2005","indirect migration background","Urban Area","","","","","7"
"7","2005","indirect migration background","Rural Area","","","","","7"
"7","2005","no migration background","Rural Area","","","","","7"
"7","2005","no migration background","Urban Area","","","","","7"
"7","2005","direct migration background","Urban Area","","","","","7"
"7","2005","direct migration background","Rural Area","","","","","7"
"8","2005","direct migration background","Urban Area","","","","","8"
"8","2005","no migration background","Urban Area","","","","","8"
"8","2005","no migration background","Rural Area","","","","","8"
"8","2005","indirect migration background","Rural Area","","","","","8"
"8","2005","direct migration background","Rural Area","","","","","8"
"8","2005","indirect migration background","Urban Area","","","","","8"
"9","2005","indirect migration background","Urban Area","","","","","9"
"9","2005","no migration background","Urban Area","","","","","9"
"9","2005","no migration background","Rural Area","","","","","9"
"9","2005","direct migration background","Urban Area","","","","","9"
"9","2005","direct migration background","Rural Area","","","","","9"
"9","2005","indirect migration background","Rural Area","","","","","9"
"0 Not at all Willing to take risks","2006","no migration background","Urban Area","537","0.0553621460776031","0.0512547384156776","0.0594695537395286","0"
"0 Not at all Willing to take risks","2006","no migration background","Rural Area","292","0.0518954316259696","0.0466391215165196","0.0571517417354196","0"
"0 Not at all Willing to take risks","2006","direct migration background","Urban Area","183","0.0942326318843574","0.0812456284191158","0.107219635349599","0"
"0 Not at all Willing to take risks","2006","direct migration background","Rural Area","41","0.0969917335021614","0.0687556089292041","0.125227858075119","0"
"0 Not at all Willing to take risks","2006","indirect migration background","Urban Area","17","","","","0"
"0 Not at all Willing to take risks","2006","indirect migration background","Rural Area","8","","","","0"
"1","2006","direct migration background","Urban Area","117","0.0545076834424679","0.0444161346297255","0.0645992322552103","1"
"1","2006","indirect migration background","Urban Area","15","","","","1"
"1","2006","direct migration background","Rural Area","22","","","","1"
"1","2006","no migration background","Rural Area","265","0.045575500945745","0.0406332498017289","0.0505177520897611","1"
"1","2006","no migration background","Urban Area","433","0.0400110108163748","0.0364909386630955","0.0435310829696541","1"
"1","2006","indirect migration background","Rural Area","3","","","","1"
"10 Very willing to take risks","2006","no migration background","Rural Area","90","0.0141731528896287","0.0113720964970809","0.0169742092821764","10"
"10 Very willing to take risks","2006","direct migration background","Urban Area","40","0.021106292359626","0.0147166918810693","0.0274958928381826","10"
"10 Very willing to take risks","2006","indirect migration background","Urban Area","19","","","","10"
"10 Very willing to take risks","2006","indirect migration background","Rural Area","","","","","10"
"10 Very willing to take risks","2006","no migration background","Urban Area","138","0.014509349474683","0.0123616233350042","0.0166570756143617","10"
"10 Very willing to take risks","2006","direct migration background","Rural Area","7","","","","10"
"2","2006","no migration background","Rural Area","611","0.091012548209782","0.0841967319088682","0.0978283645106958","2"
"2","2006","direct migration background","Urban Area","200","0.103978628629325","0.0904101489832219","0.117547108275428","2"
"2","2006","indirect migration background","Urban Area","54","0.0598211423676451","0.0422652999671237","0.0773769847681666","2"
"2","2006","indirect migration background","Rural Area","9","","","","2"
"2","2006","no migration background","Urban Area","1016","0.0872187915900997","0.0821510197265853","0.0922865634536141","2"
"2","2006","direct migration background","Rural Area","43","0.0711570993904457","0.0466285357776802","0.0956856630032112","2"
"3","2006","direct migration background","Urban Area","227","0.114836248460804","0.100663591702921","0.129008905218686","3"
"3","2006","direct migration background","Rural Area","44","0.0971937259926056","0.0689313763086647","0.125456075676546","3"
"3","2006","no migration background","Rural Area","861","0.126610861540685","0.118730835164656","0.134490887916713","3"
"3","2006","indirect migration background","Rural Area","15","","","","3"
"3","2006","no migration background","Urban Area","1441","0.117633806701161","0.111847263713039","0.123420349689283","3"
"3","2006","indirect migration background","Urban Area","60","0.0737065139208444","0.0543638483738325","0.0930491794678564","3"
"4","2006","direct migration background","Urban Area","199","0.11626417128035","0.102015179293686","0.130513163267015","4"
"4","2006","no migration background","Rural Area","699","0.0999371478517696","0.0928301171752729","0.107044178528266","4"
"4","2006","no migration background","Urban Area","1252","0.104039605010298","0.0985559208681533","0.109523289152443","4"
"4","2006","indirect migration background","Urban Area","53","0.0766382688450802","0.0569459045798402","0.0963306331103202","4"
"4","2006","direct migration background","Rural Area","50","0.113040351513233","0.0828296683365147","0.143251034689952","4"
"4","2006","indirect migration background","Rural Area","8","","","","4"
"5","2006","indirect migration background","Urban Area","164","0.236920864260213","0.205445154954352","0.268396573566075","5"
"5","2006","indirect migration background","Rural Area","27","","","","5"
"5","2006","direct migration background","Urban Area","355","0.181303021664573","0.164176700829129","0.198429342500017","5"
"5","2006","no migration background","Rural Area","1704","0.246311307122202","0.236101290004371","0.256521324240033","5"
"5","2006","no migration background","Urban Area","2806","0.239475351402373","0.231810288297068","0.247140414507679","5"
"5","2006","direct migration background","Rural Area","83","0.216980150643032","0.177653382797466","0.256306918488598","5"
"6","2006","direct migration background","Rural Area","51","0.123178535570421","0.0918229460655213","0.154534125075321","6"
"6","2006","no migration background","Rural Area","828","0.121876330536303","0.114124115293071","0.129628545779536","6"
"6","2006","direct migration background","Urban Area","215","0.107543659682248","0.0937720135117391","0.121315305852757","6"
"6","2006","no migration background","Urban Area","1424","0.1110891182519","0.105445033205016","0.116733203298784","6"
"6","2006","indirect migration background","Urban Area","87","0.132625258571242","0.107517636124698","0.157732881017786","6"
"6","2006","indirect migration background","Rural Area","9","","","","6"
"7","2006","indirect migration background","Urban Area","112","0.172717605150023","0.144735249183876","0.20069996111617","7"
"7","2006","indirect migration background","Rural Area","21","","","","7"
"7","2006","no migration background","Rural Area","818","0.105762599621023","0.0984750626799018","0.113050136562144","7"
"7","2006","direct migration background","Urban Area","208","0.0991548781671657","0.0858692507493903","0.112440505584941","7"
"7","2006","direct migration background","Rural Area","38","0.096434573328116","0.0682709809676711","0.124598165688561","7"
"7","2006","no migration background","Urban Area","1556","0.125487193782657","0.119537269095447","0.131437118469867","7"
"8","2006","direct migration background","Rural Area","35","0.0926614840295347","0.0649967713134053","0.120326196745664","8"
"8","2006","no migration background","Urban Area","1063","0.0870260916055631","0.0819633868531993","0.092088796357927","8"
"8","2006","direct migration background","Urban Area","155","0.0773720360259624","0.0654950763996001","0.0892489956523246","8"
"8","2006","no migration background","Rural Area","535","0.0773877107559312","0.0710558127118013","0.0837196088000611","8"
"8","2006","indirect migration background","Urban Area","88","0.117454476262383","0.0936207236794516","0.141288228845314","8"
"8","2006","indirect migration background","Rural Area","13","","","","8"
"9","2006","no migration background","Urban Area","242","0.0181475352872869","0.0157500242226736","0.0205450463519002","9"
"9","2006","no migration background","Rural Area","138","0.0194574089009613","0.0161842730578329","0.0227305447440897","9"
"9","2006","direct migration background","Urban Area","45","0.0297007484031206","0.0221544060237404","0.0372470907825008","9"
"9","2006","direct migration background","Rural Area","8","","","","9"
"9","2006","indirect migration background","Urban Area","32","0.0348267410075676","0.0212546069530414","0.0483988750620938","9"
"9","2006","indirect migration background","Rural Area","5","","","","9"
"0 Not at all Willing to take risks","2007","direct migration background","Urban Area","","","","","0"
"0 Not at all Willing to take risks","2007","direct migration background","Rural Area","","","","","0"
"0 Not at all Willing to take risks","2007","indirect migration background","Urban Area","","","","","0"
"0 Not at all Willing to take risks","2007","indirect migration background","Rural Area","","","","","0"
"0 Not at all Willing to take risks","2007","no migration background","Urban Area","","","","","0"
"0 Not at all Willing to take risks","2007","no migration background","Rural Area","","","","","0"
"1","2007","indirect migration background","Urban Area","","","","","1"
"1","2007","no migration background","Rural Area","","","","","1"
"1","2007","direct migration background","Urban Area","","","","","1"
"1","2007","direct migration background","Rural Area","","","","","1"
"1","2007","no migration background","Urban Area","","","","","1"
"1","2007","indirect migration background","Rural Area","","","","","1"
"10 Very willing to take risks","2007","indirect migration background","Rural Area","","","","","10"
"10 Very willing to take risks","2007","indirect migration background","Urban Area","","","","","10"
"10 Very willing to take risks","2007","no migration background","Rural Area","","","","","10"
"10 Very willing to take risks","2007","direct migration background","Urban Area","","","","","10"
"10 Very willing to take risks","2007","no migration background","Urban Area","","","","","10"
"10 Very willing to take risks","2007","direct migration background","Rural Area","","","","","10"
"2","2007","indirect migration background","Rural Area","","","","","2"
"2","2007","direct migration background","Urban Area","","","","","2"
"2","2007","direct migration background","Rural Area","","","","","2"
"2","2007","indirect migration background","Urban Area","","","","","2"
"2","2007","no migration background","Rural Area","","","","","2"
"2","2007","no migration background","Urban Area","","","","","2"
"3","2007","indirect migration background","Rural Area","","","","","3"
"3","2007","indirect migration background","Urban Area","","","","","3"
