"plh0204_h","year","migback","pgisced97","n","percent","lower_confidence","upper_confidence"
"0 Not at all Willing to take risks","2004","no migration background","in school","11","","",""
"0 Not at all Willing to take risks","2004","no migration background","inadequately","18","","",""
"0 Not at all Willing to take risks","2004","no migration background","general elemantary","272","0.181168463914851","0.163260634102074","0.199076293727628"
"0 Not at all Willing to take risks","2004","no migration background","middle vocational","761","0.0972710055346367","0.0913188097635242","0.103223201305749"
"0 Not at all Willing to take risks","2004","no migration background","vocational + Abi","39","0.0539771778684478","0.0390977194529233","0.0688566362839724"
"0 Not at all Willing to take risks","2004","no migration background","higher vocational","62","0.0430439447057572","0.0326333942591925","0.0534544951523219"
"0 Not at all Willing to take risks","2004","no migration background","higher education","86","0.028186201009624","0.0229758616590118","0.0333965403602362"
"0 Not at all Willing to take risks","2004","direct migration background","in school","4","","",""
"0 Not at all Willing to take risks","2004","direct migration background","inadequately","59","0.365904685016144","0.289580243892294","0.442229126139993"
"0 Not at all Willing to take risks","2004","direct migration background","general elemantary","148","0.230552852596503","0.197237949648489","0.263867755544518"
"0 Not at all Willing to take risks","2004","direct migration background","middle vocational","125","0.126634459115238","0.105386009105833","0.147882909124644"
"0 Not at all Willing to take risks","2004","direct migration background","vocational + Abi","29","","",""
"0 Not at all Willing to take risks","2004","direct migration background","higher vocational","15","","",""
"0 Not at all Willing to take risks","2004","direct migration background","higher education","29","","",""
"0 Not at all Willing to take risks","2004","indirect migration background","in school","4","","",""
"0 Not at all Willing to take risks","2004","indirect migration background","inadequately","2","","",""
"0 Not at all Willing to take risks","2004","indirect migration background","general elemantary","9","","",""
"0 Not at all Willing to take risks","2004","indirect migration background","middle vocational","23","","",""
"0 Not at all Willing to take risks","2004","indirect migration background","vocational + Abi","1","","",""
"0 Not at all Willing to take risks","2004","indirect migration background","higher vocational","1","","",""
"0 Not at all Willing to take risks","2004","indirect migration background","higher education","3","","",""
"1","2004","no migration background","in school","6","","",""
"1","2004","no migration background","inadequately","5","","",""
"1","2004","no migration background","general elemantary","141","0.0847320175120372","0.0717840295807041","0.0976800054433703"
"1","2004","no migration background","middle vocational","469","0.0539965901757319","0.0494567942884694","0.0585363860629944"
"1","2004","no migration background","vocational + Abi","28","","",""
"1","2004","no migration background","higher vocational","55","0.0377766656137398","0.0279970583064274","0.0475562729210522"
"1","2004","no migration background","higher education","111","0.0329833198571733","0.0273609375561005","0.038605702158246"
"1","2004","direct migration background","in school","1","","",""
"1","2004","direct migration background","inadequately","18","","",""
"1","2004","direct migration background","general elemantary","63","0.110208605857598","0.0854391902502014","0.134978021464995"
"1","2004","direct migration background","middle vocational","62","0.0815145435465449","0.0640319052754888","0.0989971818176011"
"1","2004","direct migration background","vocational + Abi","13","","",""
"1","2004","direct migration background","higher vocational","6","","",""
"1","2004","direct migration background","higher education","14","","",""
"1","2004","indirect migration background","in school","3","","",""
"1","2004","indirect migration background","inadequately","","","",""
"1","2004","indirect migration background","general elemantary","13","","",""
"1","2004","indirect migration background","middle vocational","12","","",""
"1","2004","indirect migration background","vocational + Abi","3","","",""
"1","2004","indirect migration background","higher vocational","3","","",""
"1","2004","indirect migration background","higher education","1","","",""
"2","2004","no migration background","in school","21","","",""
"2","2004","no migration background","inadequately","4","","",""
"2","2004","no migration background","general elemantary","202","0.128895174741818","0.113315516860519","0.144474832623117"
"2","2004","no migration background","middle vocational","971","0.101728042522938","0.0956560521641644","0.107800032881712"
"2","2004","no migration background","vocational + Abi","67","0.083993211599408","0.0657289268297669","0.102257496369049"
"2","2004","no migration background","higher vocational","150","0.101092411160347","0.0856295995727816","0.116555222747913"
"2","2004","no migration background","higher education","327","0.0821405621851352","0.0734963955308307","0.0907847288394397"
"2","2004","direct migration background","in school","2","","",""
"2","2004","direct migration background","inadequately","28","","",""
"2","2004","direct migration background","general elemantary","100","0.160623110945705","0.131579779861266","0.189666442030144"
"2","2004","direct migration background","middle vocational","104","0.0988271991717119","0.0797596198969916","0.117894778446432"
"2","2004","direct migration background","vocational + Abi","24","","",""
"2","2004","direct migration background","higher vocational","15","","",""
"2","2004","direct migration background","higher education","38","0.130937209700165","0.0960426288957407","0.16583179050459"
"2","2004","indirect migration background","in school","5","","",""
"2","2004","indirect migration background","inadequately","","","",""
"2","2004","indirect migration background","general elemantary","19","","",""
"2","2004","indirect migration background","middle vocational","32","0.138823745206901","0.10129040696548","0.176357083448322"
"2","2004","indirect migration background","vocational + Abi","2","","",""
"2","2004","indirect migration background","higher vocational","6","","",""
"2","2004","indirect migration background","higher education","9","","",""
"3","2004","no migration background","in school","50","0.0873025091324547","0.0623344872572232","0.112270531007686"
"3","2004","no migration background","inadequately","7","","",""
"3","2004","no migration background","general elemantary","219","0.116750574007828","0.101820032084748","0.131681115930909"
"3","2004","no migration background","middle vocational","1207","0.126352225042949","0.119678528684644","0.133025921401253"
"3","2004","no migration background","vocational + Abi","127","0.129730838472564","0.107606023891173","0.151855653053955"
"3","2004","no migration background","higher vocational","196","0.120154245954129","0.103476225752079","0.13683226615618"
"3","2004","no migration background","higher education","528","0.140532329341753","0.129591276846448","0.151473381837058"
"3","2004","direct migration background","in school","2","","",""
"3","2004","direct migration background","inadequately","12","","",""
"3","2004","direct migration background","general elemantary","77","0.126628766893537","0.100324298097359","0.152933235689715"
"3","2004","direct migration background","middle vocational","130","0.133056624162982","0.11135626630101","0.154756982024954"
