"plh0204_h","year","bula_h","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"0 Not at all Willing to take risks","2004","Schleswig-Holstein","in school","","","","","0"
"0 Not at all Willing to take risks","2004","Schleswig-Holstein","inadequately","3","","","","0"
"0 Not at all Willing to take risks","2004","Schleswig-Holstein","general elemantary","10","","","","0"
"0 Not at all Willing to take risks","2004","Schleswig-Holstein","middle vocational","23","","","","0"
"0 Not at all Willing to take risks","2004","Schleswig-Holstein","vocational + Abi","4","","","","0"
"0 Not at all Willing to take risks","2004","Schleswig-Holstein","higher vocational","5","","","","0"
"0 Not at all Willing to take risks","2004","Schleswig-Holstein","higher education","","","","","0"
"0 Not at all Willing to take risks","2004","Hamburg","in school","","","","","0"
"0 Not at all Willing to take risks","2004","Hamburg","inadequately","","","","","0"
"0 Not at all Willing to take risks","2004","Hamburg","general elemantary","","","","","0"
"0 Not at all Willing to take risks","2004","Hamburg","middle vocational","9","","","","0"
"0 Not at all Willing to take risks","2004","Hamburg","vocational + Abi","","","","","0"
"0 Not at all Willing to take risks","2004","Hamburg","higher vocational","","","","","0"
"0 Not at all Willing to take risks","2004","Hamburg","higher education","1","","","","0"
"0 Not at all Willing to take risks","2004","Lower Saxony","in school","","","","","0"
"0 Not at all Willing to take risks","2004","Lower Saxony","inadequately","11","","","","0"
"0 Not at all Willing to take risks","2004","Lower Saxony","general elemantary","47","0.181560179900446","0.134522930683648","0.228597429117244","0"
"0 Not at all Willing to take risks","2004","Lower Saxony","middle vocational","92","0.112599869517843","0.0927786899082408","0.132421049127446","0"
"0 Not at all Willing to take risks","2004","Lower Saxony","vocational + Abi","7","","","","0"
"0 Not at all Willing to take risks","2004","Lower Saxony","higher vocational","7","","","","0"
"0 Not at all Willing to take risks","2004","Lower Saxony","higher education","9","","","","0"
"0 Not at all Willing to take risks","2004","Bremen","in school","","","","","0"
"0 Not at all Willing to take risks","2004","Bremen","inadequately","","","","","0"
"0 Not at all Willing to take risks","2004","Bremen","general elemantary","3","","","","0"
"0 Not at all Willing to take risks","2004","Bremen","middle vocational","12","","","","0"
"0 Not at all Willing to take risks","2004","Bremen","vocational + Abi","2","","","","0"
"0 Not at all Willing to take risks","2004","Bremen","higher vocational","","","","","0"
"0 Not at all Willing to take risks","2004","Bremen","higher education","1","","","","0"
"0 Not at all Willing to take risks","2004","North Rhine-Westphalia","in school","5","","","","0"
"0 Not at all Willing to take risks","2004","North Rhine-Westphalia","inadequately","26","","","","0"
"0 Not at all Willing to take risks","2004","North Rhine-Westphalia","general elemantary","76","0.16584859778115","0.135124988200876","0.196572207361423","0"
"0 Not at all Willing to take risks","2004","North Rhine-Westphalia","middle vocational","203","0.0969536624202904","0.0846004638262886","0.109306861014292","0"
"0 Not at all Willing to take risks","2004","North Rhine-Westphalia","vocational + Abi","15","","","","0"
"0 Not at all Willing to take risks","2004","North Rhine-Westphalia","higher vocational","18","","","","0"
"0 Not at all Willing to take risks","2004","North Rhine-Westphalia","higher education","27","","","","0"
"0 Not at all Willing to take risks","2004","Hesse","in school","2","","","","0"
"0 Not at all Willing to take risks","2004","Hesse","inadequately","7","","","","0"
"0 Not at all Willing to take risks","2004","Hesse","general elemantary","43","0.267321906999757","0.203720679527728","0.330923134471787","0"
"0 Not at all Willing to take risks","2004","Hesse","middle vocational","62","0.124117352568546","0.0989055081075102","0.149329197029582","0"
"0 Not at all Willing to take risks","2004","Hesse","vocational + Abi","9","","","","0"
"0 Not at all Willing to take risks","2004","Hesse","higher vocational","2","","","","0"
"0 Not at all Willing to take risks","2004","Hesse","higher education","6","","","","0"
"0 Not at all Willing to take risks","2004","Rhineland-Palatinate,Saarland","in school","1","","","","0"
"0 Not at all Willing to take risks","2004","Rhineland-Palatinate,Saarland","inadequately","8","","","","0"
"0 Not at all Willing to take risks","2004","Rhineland-Palatinate,Saarland","general elemantary","60","0.274111951525368","0.215697151994604","0.332526751056132","0"
"0 Not at all Willing to take risks","2004","Rhineland-Palatinate,Saarland","middle vocational","93","0.15030078447427","0.123180239864961","0.17742132908358","0"
"0 Not at all Willing to take risks","2004","Rhineland-Palatinate,Saarland","vocational + Abi","5","","","","0"
"0 Not at all Willing to take risks","2004","Rhineland-Palatinate,Saarland","higher vocational","9","","","","0"
"0 Not at all Willing to take risks","2004","Rhineland-Palatinate,Saarland","higher education","6","","","","0"
"0 Not at all Willing to take risks","2004","Baden-Württemberg","in school","4","","","","0"
"0 Not at all Willing to take risks","2004","Baden-Württemberg","inadequately","14","","","","0"
"0 Not at all Willing to take risks","2004","Baden-Württemberg","general elemantary","72","0.143038666767116","0.110061641050935","0.176015692483296","0"
"0 Not at all Willing to take risks","2004","Baden-Württemberg","middle vocational","83","0.0804709926529719","0.0651122040138208","0.095829781292123","0"
"0 Not at all Willing to take risks","2004","Baden-Württemberg","vocational + Abi","12","","","","0"
"0 Not at all Willing to take risks","2004","Baden-Württemberg","higher vocational","4","","","","0"
"0 Not at all Willing to take risks","2004","Baden-Württemberg","higher education","14","","","","0"
"0 Not at all Willing to take risks","2004","Bavaria","in school","1","","","","0"
"0 Not at all Willing to take risks","2004","Bavaria","inadequately","5","","","","0"
"0 Not at all Willing to take risks","2004","Bavaria","general elemantary","67","0.223705545181877","0.181471380732627","0.265939709631128","0"
"0 Not at all Willing to take risks","2004","Bavaria","middle vocational","150","0.121779090381185","0.105648685243602","0.137909495518768","0"
"0 Not at all Willing to take risks","2004","Bavaria","vocational + Abi","11","","","","0"
"0 Not at all Willing to take risks","2004","Bavaria","higher vocational","13","","","","0"
"0 Not at all Willing to take risks","2004","Bavaria","higher education","12","","","","0"
"0 Not at all Willing to take risks","2004","Berlin","in school","4","","","","0"
"0 Not at all Willing to take risks","2004","Berlin","inadequately","1","","","","0"
"0 Not at all Willing to take risks","2004","Berlin","general elemantary","13","","","","0"
"0 Not at all Willing to take risks","2004","Berlin","middle vocational","29","","","","0"
"0 Not at all Willing to take risks","2004","Berlin","vocational + Abi","3","","","","0"
"0 Not at all Willing to take risks","2004","Berlin","higher vocational","5","","","","0"
"0 Not at all Willing to take risks","2004","Berlin","higher education","16","","","","0"
"0 Not at all Willing to take risks","2004","Brandenburg","in school","","","","","0"
"0 Not at all Willing to take risks","2004","Brandenburg","inadequately","1","","","","0"
"0 Not at all Willing to take risks","2004","Brandenburg","general elemantary","14","","","","0"
"0 Not at all Willing to take risks","2004","Brandenburg","middle vocational","25","","","","0"
"0 Not at all Willing to take risks","2004","Brandenburg","vocational + Abi","1","","","","0"
"0 Not at all Willing to take risks","2004","Brandenburg","higher vocational","3","","","","0"
"0 Not at all Willing to take risks","2004","Brandenburg","higher education","7","","","","0"
"0 Not at all Willing to take risks","2004","Mecklenburg-Western Pomerania","in school","","","","","0"
"0 Not at all Willing to take risks","2004","Mecklenburg-Western Pomerania","inadequately","","","","","0"
"0 Not at all Willing to take risks","2004","Mecklenburg-Western Pomerania","general elemantary","6","","","","0"
"0 Not at all Willing to take risks","2004","Mecklenburg-Western Pomerania","middle vocational","17","","","","0"
"0 Not at all Willing to take risks","2004","Mecklenburg-Western Pomerania","vocational + Abi","","","","","0"
"0 Not at all Willing to take risks","2004","Mecklenburg-Western Pomerania","higher vocational","3","","","","0"
"0 Not at all Willing to take risks","2004","Mecklenburg-Western Pomerania","higher education","3","","","","0"
"0 Not at all Willing to take risks","2004","Saxony","in school","","","","","0"
"0 Not at all Willing to take risks","2004","Saxony","inadequately","1","","","","0"
"0 Not at all Willing to take risks","2004","Saxony","general elemantary","8","","","","0"
"0 Not at all Willing to take risks","2004","Saxony","middle vocational","44","0.0576406338292633","0.0419449935980899","0.0733362740604367","0"
"0 Not at all Willing to take risks","2004","Saxony","vocational + Abi","","","","","0"
"0 Not at all Willing to take risks","2004","Saxony","higher vocational","3","","","","0"
"0 Not at all Willing to take risks","2004","Saxony","higher education","6","","","","0"
"0 Not at all Willing to take risks","2004","Saxony-Anhalt","in school","2","","","","0"
"0 Not at all Willing to take risks","2004","Saxony-Anhalt","inadequately","1","","","","0"
"0 Not at all Willing to take risks","2004","Saxony-Anhalt","general elemantary","5","","","","0"
"0 Not at all Willing to take risks","2004","Saxony-Anhalt","middle vocational","31","0.0622572113903794","0.0400069207359797","0.0845075020447791","0"
"0 Not at all Willing to take risks","2004","Saxony-Anhalt","vocational + Abi","","","","","0"
"0 Not at all Willing to take risks","2004","Saxony-Anhalt","higher vocational","2","","","","0"
"0 Not at all Willing to take risks","2004","Saxony-Anhalt","higher education","7","","","","0"
"0 Not at all Willing to take risks","2004","Thuringia","in school","","","","","0"
"0 Not at all Willing to take risks","2004","Thuringia","inadequately","1","","","","0"
"0 Not at all Willing to take risks","2004","Thuringia","general elemantary","5","","","","0"
"0 Not at all Willing to take risks","2004","Thuringia","middle vocational","36","0.0582648049108598","0.0390348523784168","0.0774947574433028","0"
"0 Not at all Willing to take risks","2004","Thuringia","vocational + Abi","","","","","0"
"0 Not at all Willing to take risks","2004","Thuringia","higher vocational","4","","","","0"
"0 Not at all Willing to take risks","2004","Thuringia","higher education","3","","","","0"
"1","2004","Lower Saxony","inadequately","","","","","1"
"1","2004","Brandenburg","vocational + Abi","","","","","1"
"1","2004","Lower Saxony","vocational + Abi","7","","","","1"
"1","2004","Mecklenburg-Western Pomerania","in school","","","","","1"
"1","2004","Hamburg","higher vocational","","","","","1"
"1","2004","Hamburg","higher education","","","","","1"
"1","2004","Lower Saxony","in school","","","","","1"
"1","2004","Lower Saxony","general elemantary","21","","","","1"
"1","2004","Lower Saxony","middle vocational","65","0.0702765144114741","0.0542483858740117","0.0863046429489365","1"
"1","2004","Brandenburg","higher vocational","4","","","","1"
"1","2004","Brandenburg","higher education","14","","","","1"
"1","2004","Mecklenburg-Western Pomerania","inadequately","1","","","","1"
"1","2004","Mecklenburg-Western Pomerania","general elemantary","2","","","","1"
"1","2004","Hamburg","general elemantary","2","","","","1"
"1","2004","Hamburg","middle vocational","2","","","","1"
"1","2004","Hamburg","vocational + Abi","","","","","1"
"1","2004","Berlin","higher vocational","","","","","1"
"1","2004","Schleswig-Holstein","higher education","2","","","","1"
"1","2004","Hamburg","in school","","","","","1"
"1","2004","Hamburg","inadequately","","","","","1"
"1","2004","Berlin","higher education","9","","","","1"
"1","2004","Brandenburg","in school","","","","","1"
"1","2004","Brandenburg","inadequately","","","","","1"
"1","2004","Brandenburg","general elemantary","5","","","","1"
"1","2004","Brandenburg","middle vocational","25","","","","1"
"1","2004","Schleswig-Holstein","middle vocational","7","","","","1"
"1","2004","Schleswig-Holstein","vocational + Abi","2","","","","1"
"1","2004","Schleswig-Holstein","higher vocational","1","","","","1"
"1","2004","Bavaria","higher education","16","","","","1"
"1","2004","Berlin","in school","","","","","1"
"1","2004","Berlin","inadequately","","","","","1"
"1","2004","Berlin","general elemantary","5","","","","1"
"1","2004","Berlin","middle vocational","14","","","","1"
"1","2004","Berlin","vocational + Abi","1","","","","1"
"1","2004","Schleswig-Holstein","in school","","","","","1"
"1","2004","Schleswig-Holstein","inadequately","","","","","1"
"1","2004","Schleswig-Holstein","general elemantary","4","","","","1"
"1","2004","Lower Saxony","higher vocational","3","","","","1"
"1","2004","Lower Saxony","higher education","11","","","","1"
"1","2004","Bremen","in school","","","","","1"
"1","2004","Bremen","inadequately","","","","","1"
"1","2004","Bremen","general elemantary","2","","","","1"
"1","2004","Bremen","middle vocational","3","","","","1"
"1","2004","Bremen","vocational + Abi","1","","","","1"
"1","2004","Bremen","higher vocational","","","","","1"
"1","2004","Bremen","higher education","","","","","1"
"1","2004","North Rhine-Westphalia","in school","6","","","","1"
"1","2004","North Rhine-Westphalia","inadequately","13","","","","1"
"1","2004","North Rhine-Westphalia","general elemantary","55","0.104115702257852","0.0788879839893931","0.129343420526311","1"
"1","2004","North Rhine-Westphalia","middle vocational","123","0.0623740270676952","0.0522778024817488","0.0724702516536417","1"
"1","2004","North Rhine-Westphalia","vocational + Abi","12","","","","1"
"1","2004","North Rhine-Westphalia","higher vocational","15","","","","1"
"1","2004","North Rhine-Westphalia","higher education","27","","","","1"
"1","2004","Hesse","in school","","","","","1"
"1","2004","Hesse","inadequately","","","","","1"
"1","2004","Hesse","general elemantary","16","","","","1"
"1","2004","Hesse","middle vocational","33","0.0598877717866824","0.0417441353666406","0.0780314082067242","1"
"1","2004","Hesse","vocational + Abi","6","","","","1"
"1","2004","Hesse","higher vocational","3","","","","1"
"1","2004","Hesse","higher education","9","","","","1"
"1","2004","Rhineland-Palatinate,Saarland","in school","1","","","","1"
"1","2004","Rhineland-Palatinate,Saarland","inadequately","2","","","","1"
"1","2004","Rhineland-Palatinate,Saarland","general elemantary","19","","","","1"
"1","2004","Rhineland-Palatinate,Saarland","middle vocational","42","0.0776947866255855","0.0573797109255058","0.0980098623256651","1"
"1","2004","Rhineland-Palatinate,Saarland","vocational + Abi","","","","","1"
