"plh0175","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1985","in school","Urban Area","2","","","","0"
"0 Completely dissatisfied","1985","in school","Rural Area","1","","","","0"
"0 Completely dissatisfied","1985","inadequately","Urban Area","29","","","","0"
"0 Completely dissatisfied","1985","inadequately","Rural Area","3","","","","0"
"0 Completely dissatisfied","1985","general elemantary","Urban Area","69","0.0300870581566268","0.0231026546977724","0.0370714616154811","0"
"0 Completely dissatisfied","1985","general elemantary","Rural Area","28","","","","0"
"0 Completely dissatisfied","1985","middle vocational","Urban Area","92","0.0241593123349725","0.0194234760684848","0.0288951486014602","0"
"0 Completely dissatisfied","1985","middle vocational","Rural Area","32","0.0291702597014589","0.0192164667035508","0.039124052699367","0"
"0 Completely dissatisfied","1985","vocational + Abi","Urban Area","8","","","","0"
"0 Completely dissatisfied","1985","vocational + Abi","Rural Area","2","","","","0"
"0 Completely dissatisfied","1985","higher vocational","Urban Area","7","","","","0"
"0 Completely dissatisfied","1985","higher vocational","Rural Area","4","","","","0"
"0 Completely dissatisfied","1985","higher education","Urban Area","9","","","","0"
"0 Completely dissatisfied","1985","higher education","Rural Area","","","","","0"
"1 on Scale 1 to 10","1985","higher education","Urban Area","3","","","","1"
"1 on Scale 1 to 10","1985","inadequately","Rural Area","3","","","","1"
"1 on Scale 1 to 10","1985","in school","Urban Area","","","","","1"
"1 on Scale 1 to 10","1985","middle vocational","Urban Area","52","0.0135008094961979","0.00994127500999679","0.017060343982399","1"
"1 on Scale 1 to 10","1985","higher education","Rural Area","","","","","1"
"1 on Scale 1 to 10","1985","higher vocational","Urban Area","3","","","","1"
"1 on Scale 1 to 10","1985","higher vocational","Rural Area","1","","","","1"
"1 on Scale 1 to 10","1985","in school","Rural Area","2","","","","1"
"1 on Scale 1 to 10","1985","inadequately","Urban Area","16","","","","1"
"1 on Scale 1 to 10","1985","general elemantary","Urban Area","40","0.0191659542919216","0.0135601740439023","0.024771734539941","1"
"1 on Scale 1 to 10","1985","general elemantary","Rural Area","5","","","","1"
"1 on Scale 1 to 10","1985","middle vocational","Rural Area","7","","","","1"
"1 on Scale 1 to 10","1985","vocational + Abi","Urban Area","5","","","","1"
"1 on Scale 1 to 10","1985","vocational + Abi","Rural Area","","","","","1"
"10 Completely satisfied","1985","in school","Urban Area","20","","","","10"
"10 Completely satisfied","1985","in school","Rural Area","5","","","","10"
"10 Completely satisfied","1985","inadequately","Urban Area","64","0.103284051656785","0.0812226306462227","0.125345472667347","10"
"10 Completely satisfied","1985","general elemantary","Urban Area","264","0.122256334352959","0.108862879568092","0.135649789137825","10"
"10 Completely satisfied","1985","general elemantary","Rural Area","77","0.0985707806941001","0.0764887512405683","0.120652810147632","10"
"10 Completely satisfied","1985","middle vocational","Urban Area","472","0.124412798304956","0.114232812665011","0.1345927839449","10"
"10 Completely satisfied","1985","middle vocational","Rural Area","127","0.115253419374935","0.0963655366775385","0.134141302072332","10"
"10 Completely satisfied","1985","vocational + Abi","Urban Area","22","","","","10"
"10 Completely satisfied","1985","vocational + Abi","Rural Area","3","","","","10"
