"ple0081_h","year","e11103","education","n","percent","lower_confidence","upper_confidence"
"Yes","2002","Full Time","lower secondary degree","1206","0.46319026219155","0.444034435027423","0.482346089355677"
"Yes","2002","Full Time","secondary school degree","1278","0.382998667678716","0.366629821306239","0.399367514051194"
"Yes","2002","Full Time","college entrance qualification","792","0.286776996900093","0.270544732855393","0.303009260944793"
"Yes","2002","Full Time","Other degree","182","0.359159228301582","0.316593824056476","0.401724632546688"
"Yes","2002","Full Time","no degree/no degree yet","34","0.503959976826914","0.390042957142604","0.617876996511225"
"Yes","2002","Part Time","lower secondary degree","649","0.43204883319245","0.407443701088395","0.456653965296505"
"Yes","2002","Part Time","secondary school degree","584","0.351090355940471","0.32856585872016","0.373614853160783"
"Yes","2002","Part Time","college entrance qualification","370","0.275182167786709","0.251804635648809","0.298559699924609"
"Yes","2002","Part Time","Other degree","90","0.283879181494734","0.234784380067131","0.332973982922337"
"Yes","2002","Part Time","no degree/no degree yet","67","0.38572410439191","0.314215514114929","0.457232694668891"
"Yes","2002","Not Working","lower secondary degree","806","0.177916163598174","0.166371971438355","0.189460355757994"
"Yes","2002","Not Working","secondary school degree","413","0.233555282477376","0.212817652358052","0.2542929125967"
"Yes","2002","Not Working","college entrance qualification","231","0.193304827535322","0.171227412166682","0.215382242903963"
"Yes","2002","Not Working","Other degree","124","0.209937775751161","0.174797983906324","0.245077567595999"
"Yes","2002","Not Working","no degree/no degree yet","143","0.225902301094267","0.194095333459976","0.257709268728557"
"No","2002","Full Time","lower secondary degree","1397","0.53680973780845","0.517653910644323","0.555965564972578"
"No","2002","Full Time","secondary school degree","2110","0.617001332321284","0.600632485948806","0.633370178693761"
"No","2002","Full Time","college entrance qualification","2190","0.713223003099907","0.696990739055207","0.729455267144607"
"No","2002","Full Time","Other degree","306","0.640840771698418","0.598275367453312","0.683406175943524"
"No","2002","Full Time","no degree/no degree yet","40","0.496040023173086","0.382123003488775","0.609957042857396"
"No","2002","Part Time","lower secondary degree","908","0.56795116680755","0.543346034703495","0.592556298911605"
"No","2002","Part Time","secondary school degree","1141","0.648909644059529","0.626385146839217","0.67143414127984"
"No","2002","Part Time","college entrance qualification","1032","0.724817832213291","0.701440300075391","0.748195364351191"
"No","2002","Part Time","Other degree","234","0.716120818505266","0.667026017077663","0.765215619932869"
"No","2002","Part Time","no degree/no degree yet","111","0.61427589560809","0.542767305331109","0.685784485885071"
"No","2002","Not Working","lower secondary degree","3410","0.822083836401826","0.810539644242006","0.833628028561645"
"No","2002","Not Working","secondary school degree","1186","0.766444717522624","0.7457070874033","0.787182347641948"
"No","2002","Not Working","college entrance qualification","998","0.806695172464678","0.784617757096037","0.828772587833318"
"No","2002","Not Working","Other degree","392","0.790062224248839","0.754922432404001","0.825202016093676"
"No","2002","Not Working","no degree/no degree yet","521","0.774097698905733","0.742290731271443","0.805904666540024"
"Yes","2003","Full Time","lower secondary degree","","","",""
"Yes","2003","Full Time","secondary school degree","","","",""
"Yes","2003","Full Time","college entrance qualification","","","",""
"Yes","2003","Full Time","Other degree","","","",""
"Yes","2003","Full Time","no degree/no degree yet","","","",""
"Yes","2003","Part Time","lower secondary degree","","","",""
"Yes","2003","Part Time","secondary school degree","","","",""
"Yes","2003","Part Time","college entrance qualification","","","",""
"Yes","2003","Part Time","Other degree","","","",""
"Yes","2003","Part Time","no degree/no degree yet","","","",""
"Yes","2003","Not Working","lower secondary degree","","","",""
"Yes","2003","Not Working","secondary school degree","","","",""
"Yes","2003","Not Working","college entrance qualification","","","",""
"Yes","2003","Not Working","Other degree","","","",""
"Yes","2003","Not Working","no degree/no degree yet","","","",""
"No","2003","Full Time","lower secondary degree","","","",""
"No","2003","Full Time","secondary school degree","","","",""
"No","2003","Full Time","college entrance qualification","","","",""
"No","2003","Full Time","Other degree","","","",""
"No","2003","Full Time","no degree/no degree yet","","","",""
"No","2003","Part Time","lower secondary degree","","","",""
"No","2003","Part Time","secondary school degree","","","",""
"No","2003","Part Time","college entrance qualification","","","",""
"No","2003","Part Time","Other degree","","","",""
"No","2003","Part Time","no degree/no degree yet","","","",""
"No","2003","Not Working","lower secondary degree","","","",""
"No","2003","Not Working","secondary school degree","","","",""
"No","2003","Not Working","college entrance qualification","","","",""
"No","2003","Not Working","Other degree","","","",""
"No","2003","Not Working","no degree/no degree yet","","","",""
"Yes","2004","Full Time","lower secondary degree","985","0.454984907389435","0.433994396646303","0.475975418132567"
"Yes","2004","Full Time","secondary school degree","1116","0.379652744146941","0.362370140952491","0.396935347341392"
"Yes","2004","Full Time","college entrance qualification","702","0.300630210433239","0.283331393874729","0.317929026991749"
"Yes","2004","Full Time","Other degree","121","0.325380310255611","0.279694371923968","0.371066248587255"
"Yes","2004","Full Time","no degree/no degree yet","26","","",""
"Yes","2004","Part Time","lower secondary degree","596","0.399306931020396","0.374185093762177","0.424428768278615"
