"ple0081_h","year","education","migback","n","percent","lower_confidence","upper_confidence"
"Yes","2002","lower secondary degree","no migration background","2231","0.293958236123136","0.283572088242733","0.304344384003538"
"Yes","2002","lower secondary degree","direct migration background","283","0.384869290039951","0.349500417198341","0.420238162881561"
"Yes","2002","lower secondary degree","indirect migration background","147","0.627157327219581","0.568152262012019","0.686162392427142"
"Yes","2002","secondary school degree","no migration background","2092","0.335016733568486","0.32328596623805","0.346747500898922"
"Yes","2002","secondary school degree","direct migration background","83","0.267489665541971","0.215641970105913","0.319337360978029"
"Yes","2002","secondary school degree","indirect migration background","100","0.426950779504202","0.360524006084199","0.493377552924205"
"Yes","2002","college entrance qualification","no migration background","1252","0.258710606821497","0.246714052177082","0.270707161465913"
"Yes","2002","college entrance qualification","direct migration background","88","0.263919397308881","0.214615954654561","0.313222839963202"
"Yes","2002","college entrance qualification","indirect migration background","53","0.277921609713314","0.213714869684842","0.342128349741786"
"Yes","2002","Other degree","no migration background","31","0.254094813308444","0.171605836668174","0.336583789948715"
"Yes","2002","Other degree","direct migration background","361","0.2867467309567","0.261201727211136","0.312291734702264"
"Yes","2002","Other degree","indirect migration background","4","","",""
"Yes","2002","no degree/no degree yet","no migration background","140","0.25335102057439","0.217551589199177","0.289150451949603"
"Yes","2002","no degree/no degree yet","direct migration background","79","0.325425392518937","0.268474290740257","0.382376494297617"
"Yes","2002","no degree/no degree yet","indirect migration background","25","","",""
"No","2002","lower secondary degree","no migration background","5160","0.706041763876864","0.695655615996462","0.716427911757267"
"No","2002","lower secondary degree","direct migration background","444","0.615130709960049","0.579761837118439","0.650499582801659"
"No","2002","lower secondary degree","indirect migration background","111","0.372842672780419","0.313837607572858","0.431847737987981"
"No","2002","secondary school degree","no migration background","4127","0.664983266431514","0.653252499101078","0.67671403376195"
"No","2002","secondary school degree","direct migration background","197","0.732510334458029","0.680662639021971","0.784358029894087"
"No","2002","secondary school degree","indirect migration background","113","0.573049220495798","0.506622447075795","0.639475993915801"
"No","2002","college entrance qualification","no migration background","3867","0.741289393178503","0.729292838534088","0.753285947822918"
"No","2002","college entrance qualification","direct migration background","219","0.736080602691118","0.686777160036798","0.785384045345439"
"No","2002","college entrance qualification","indirect migration background","134","0.722078390286686","0.657871650258214","0.786285130315158"
"No","2002","Other degree","no migration background","76","0.745905186691556","0.663416210051285","0.828394163331826"
"No","2002","Other degree","direct migration background","843","0.7132532690433","0.687708265297736","0.738798272788864"
"No","2002","Other degree","indirect migration background","13","","",""
"No","2002","no degree/no degree yet","no migration background","427","0.74664897942561","0.710849548050397","0.782448410800823"
"No","2002","no degree/no degree yet","direct migration background","181","0.674574607481063","0.617623505702383","0.731525709259743"
"No","2002","no degree/no degree yet","indirect migration background","64","0.701026228836988","0.605913910821725","0.796138546852251"
"Yes","2003","lower secondary degree","no migration background","","","",""
"Yes","2003","lower secondary degree","direct migration background","","","",""
"Yes","2003","lower secondary degree","indirect migration background","","","",""
"Yes","2003","secondary school degree","no migration background","","","",""
"Yes","2003","secondary school degree","direct migration background","","","",""
"Yes","2003","secondary school degree","indirect migration background","","","",""
"Yes","2003","college entrance qualification","no migration background","","","",""
"Yes","2003","college entrance qualification","direct migration background","","","",""
"Yes","2003","college entrance qualification","indirect migration background","","","",""
"Yes","2003","Other degree","no migration background","","","",""
"Yes","2003","Other degree","direct migration background","","","",""
"Yes","2003","Other degree","indirect migration background","","","",""
"Yes","2003","no degree/no degree yet","no migration background","","","",""
"Yes","2003","no degree/no degree yet","direct migration background","","","",""
"Yes","2003","no degree/no degree yet","indirect migration background","","","",""
"No","2003","lower secondary degree","no migration background","","","",""
"No","2003","lower secondary degree","direct migration background","","","",""
"No","2003","lower secondary degree","indirect migration background","","","",""
"No","2003","secondary school degree","no migration background","","","",""
"No","2003","secondary school degree","direct migration background","","","",""
"No","2003","secondary school degree","indirect migration background","","","",""
"No","2003","college entrance qualification","no migration background","","","",""
"No","2003","college entrance qualification","direct migration background","","","",""
"No","2003","college entrance qualification","indirect migration background","","","",""
"No","2003","Other degree","no migration background","","","",""
"No","2003","Other degree","direct migration background","","","",""
"No","2003","Other degree","indirect migration background","","","",""
"No","2003","no degree/no degree yet","no migration background","","","",""
"No","2003","no degree/no degree yet","direct migration background","","","",""
"No","2003","no degree/no degree yet","indirect migration background","","","",""
"Yes","2004","lower secondary degree","no migration background","1958","0.288042012847022","0.277174246919805","0.298909778774239"
"Yes","2004","lower secondary degree","direct migration background","233","0.348707540178653","0.312294760069356","0.38512032028795"
"Yes","2004","lower secondary degree","indirect migration background","138","0.519801970412355","0.45799458422228","0.581609356602431"
"Yes","2004","secondary school degree","no migration background","1904","0.331504227734599","0.319423420044147","0.34358503542505"
"Yes","2004","secondary school degree","direct migration background","78","0.314999457099036","0.257647508107527","0.372351406090546"
"Yes","2004","secondary school degree","indirect migration background","96","0.43786631135605","0.370280817548964","0.505451805163136"
"Yes","2004","college entrance qualification","no migration background","1163","0.256938425314716","0.244709176219878","0.269167674409555"
"Yes","2004","college entrance qualification","direct migration background","80","0.248008242410967","0.197693590699206","0.298322894122729"
"Yes","2004","college entrance qualification","indirect migration background","48","0.3243265151801","0.258111399407432","0.390541630952767"
"Yes","2004","Other degree","no migration background","33","0.230192161290089","0.152231500862395","0.308152821717783"
"Yes","2004","Other degree","direct migration background","287","0.274415810767266","0.247629188156023","0.301202433378508"
"Yes","2004","Other degree","indirect migration background","5","","",""
"Yes","2004","no degree/no degree yet","no migration background","158","0.303897424749219","0.266466183888713","0.341328665609725"
"Yes","2004","no degree/no degree yet","direct migration background","68","0.264817631701342","0.208760534807506","0.320874728595178"
"Yes","2004","no degree/no degree yet","indirect migration background","28","","",""
"No","2004","lower secondary degree","no migration background","4712","0.711957987152978","0.701090221225761","0.722825753080195"
"No","2004","lower secondary degree","direct migration background","425","0.651292459821347","0.61487967971205","0.687705239930644"
"No","2004","lower secondary degree","indirect migration background","113","0.480198029587645","0.418390643397569","0.54200541577772"
"No","2004","secondary school degree","no migration background","3929","0.668495772265402","0.65641496457495","0.680576579955853"
"No","2004","secondary school degree","direct migration background","174","0.685000542900964","0.627648593909454","0.742352491892473"
"No","2004","secondary school degree","indirect migration background","111","0.56213368864395","0.494548194836864","0.629719182451037"
"No","2004","college entrance qualification","no migration background","3741","0.743061574685284","0.730832325590445","0.755290823780122"
"No","2004","college entrance qualification","direct migration background","203","0.751991757589032","0.701677105877271","0.802306409300794"
"No","2004","college entrance qualification","indirect migration background","144","0.6756734848199","0.609458369047233","0.741888600592568"
"No","2004","Other degree","no migration background","79","0.769807838709911","0.691847178282217","0.847768499137605"
"No","2004","Other degree","direct migration background","779","0.725584189232734","0.698797566621492","0.752370811843977"
"No","2004","Other degree","indirect migration background","13","","",""
"No","2004","no degree/no degree yet","no migration background","422","0.696102575250781","0.658671334390275","0.733533816111287"
"No","2004","no degree/no degree yet","direct migration background","170","0.735182368298658","0.679125271404822","0.791239465192494"
"No","2004","no degree/no degree yet","indirect migration background","63","0.704212104008858","0.610440933608868","0.797983274408847"
"Yes","2005","lower secondary degree","no migration background","","","",""
