"ple0081_h","year","education","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Yes","2002","lower secondary degree","1-pers.-HH","372","0.268159311344002","0.244297202899175","0.292021419788828"
"Yes","2002","lower secondary degree","(Married) couple without C. ","722","0.210607503147579","0.196887962271779","0.22432704402338"
"Yes","2002","lower secondary degree","Single parent ","197","0.544789972832467","0.494916550948907","0.594663394716026"
"Yes","2002","lower secondary degree","Couple + C. LE 16 ","628","0.499197573654959","0.471859621931412","0.526535525378507"
"Yes","2002","lower secondary degree","Couple + C. GT 16 ","403","0.345245956622141","0.317991079367937","0.372500833876344"
"Yes","2002","lower secondary degree","Couple + C. LE and GT 16","239","0.501500267075109","0.45667713583965","0.546323398310567"
"Yes","2002","secondary school degree","1-pers.-HH","300","0.34349379798589","0.310358684984007","0.376628910987773"
"Yes","2002","secondary school degree","(Married) couple without C. ","527","0.273034892240111","0.252678301840411","0.293391482639812"
"Yes","2002","secondary school degree","Single parent ","185","0.482570423971043","0.432720969056542","0.532419878885543"
"Yes","2002","secondary school degree","Couple + C. LE 16 ","574","0.331254912803155","0.308966411055527","0.353543414550783"
"Yes","2002","secondary school degree","Couple + C. GT 16 ","397","0.336283422321317","0.309685920765961","0.362880923876672"
"Yes","2002","secondary school degree","Couple + C. LE and GT 16","235","0.393828243195564","0.355149786983551","0.432506699407577"
"Yes","2002","college entrance qualification","1-pers.-HH","258","0.342004930946502","0.308520077279332","0.375489784613671"
"Yes","2002","college entrance qualification","(Married) couple without C. ","393","0.201833875013097","0.182904093675417","0.220763656350777"
"Yes","2002","college entrance qualification","Single parent ","58","0.33463843750924","0.267894128273527","0.401382746744954"
"Yes","2002","college entrance qualification","Couple + C. LE 16 ","307","0.227269910612443","0.20511144892202","0.249428372302866"
"Yes","2002","college entrance qualification","Couple + C. GT 16 ","250","0.270211406708506","0.242756786846081","0.297666026570932"
"Yes","2002","college entrance qualification","Couple + C. LE and GT 16","96","0.234045351222498","0.192656192186393","0.275434510258602"
"Yes","2002","Other degree","1-pers.-HH","35","0.3204188632165","0.228498826497044","0.412338899935956"
"Yes","2002","Other degree","(Married) couple without C. ","92","0.223486283614538","0.182194873453962","0.264777693775115"
"Yes","2002","Other degree","Single parent ","25","","",""
"Yes","2002","Other degree","Couple + C. LE 16 ","109","0.296595414898152","0.246937186179121","0.346253643617183"
"Yes","2002","Other degree","Couple + C. GT 16 ","66","0.279366521888156","0.222121663283251","0.336611380493062"
"Yes","2002","Other degree","Couple + C. LE and GT 16","56","0.404127214498739","0.322253523034419","0.486000905963058"
"Yes","2002","no degree/no degree yet","1-pers.-HH","11","","",""
"Yes","2002","no degree/no degree yet","(Married) couple without C. ","28","","",""
"Yes","2002","no degree/no degree yet","Single parent ","29","","",""
"Yes","2002","no degree/no degree yet","Couple + C. LE 16 ","26","","",""
"Yes","2002","no degree/no degree yet","Couple + C. GT 16 ","68","0.211613546855271","0.167275087259145","0.255952006451397"
"Yes","2002","no degree/no degree yet","Couple + C. LE and GT 16","65","0.213722260915144","0.165447394965269","0.26199712686502"
"No","2002","lower secondary degree","1-pers.-HH","952","0.731840688655998","0.707978580211172","0.755702797100825"
"No","2002","lower secondary degree","(Married) couple without C. ","2671","0.789392496852421","0.77567295597662","0.803112037728221"
"No","2002","lower secondary degree","Single parent ","186","0.455210027167534","0.405336605283974","0.505083449051093"
"No","2002","lower secondary degree","Couple + C. LE 16 ","657","0.500802426345041","0.473464474621493","0.528140378068588"
"No","2002","lower secondary degree","Couple + C. GT 16 ","766","0.654754043377859","0.627499166123656","0.682008920632063"
"No","2002","lower secondary degree","Couple + C. LE and GT 16","239","0.498499732924891","0.453676601689433","0.54332286416035"
"No","2002","secondary school degree","1-pers.-HH","489","0.65650620201411","0.623371089012227","0.689641315015993"
"No","2002","secondary school degree","(Married) couple without C. ","1313","0.726965107759889","0.706608517360188","0.747321698159589"
"No","2002","secondary school degree","Single parent ","201","0.517429576028957","0.467580121114457","0.567279030943458"
