"ple0081_h","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence"
"Yes","2002","1-pers.-HH","in school","2","","",""
"Yes","2002","1-pers.-HH","inadequately","9","","",""
"Yes","2002","1-pers.-HH","general elemantary","109","0.219380411745552","0.181017375198322","0.257743448292782"
"Yes","2002","1-pers.-HH","middle vocational","564","0.337106907082085","0.313972867118674","0.360240947045496"
"Yes","2002","1-pers.-HH","vocational + Abi","71","0.35659748566639","0.288667437488361","0.424527533844418"
"Yes","2002","1-pers.-HH","higher vocational","59","0.220378610376682","0.165606012050434","0.275151208702931"
"Yes","2002","1-pers.-HH","higher education","162","0.311759357929551","0.272248993410977","0.351269722448124"
"Yes","2002","(Married) couple without C. ","in school","2","","",""
"Yes","2002","(Married) couple without C. ","inadequately","19","","",""
"Yes","2002","(Married) couple without C. ","general elemantary","165","0.18859509555256","0.161705341512695","0.215484849592424"
"Yes","2002","(Married) couple without C. ","middle vocational","1007","0.242112776198175","0.22875756470707","0.25546798768928"
"Yes","2002","(Married) couple without C. ","vocational + Abi","99","0.216423845027796","0.173095059762396","0.259752630293196"
"Yes","2002","(Married) couple without C. ","higher vocational","132","0.219534262655252","0.185730509208838","0.253338016101665"
"Yes","2002","(Married) couple without C. ","higher education","340","0.192433167481827","0.173632967569721","0.211233367393934"
"Yes","2002","Single parent ","in school","19","","",""
"Yes","2002","Single parent ","inadequately","13","","",""
"Yes","2002","Single parent ","general elemantary","119","0.480139999809151","0.417194084467206","0.543085915151095"
"Yes","2002","Single parent ","middle vocational","280","0.521641566707151","0.480194499599663","0.563088633814638"
"Yes","2002","Single parent ","vocational + Abi","17","","",""
"Yes","2002","Single parent ","higher vocational","18","","",""
"Yes","2002","Single parent ","higher education","29","","",""
"Yes","2002","Couple + C. LE 16 ","in school","","","",""
"Yes","2002","Couple + C. LE 16 ","inadequately","24","","",""
"Yes","2002","Couple + C. LE 16 ","general elemantary","189","0.567144612138842","0.514008083765153","0.620281140512532"
"Yes","2002","Couple + C. LE 16 ","middle vocational","957","0.3958592719724","0.376346952492667","0.415371591452132"
"Yes","2002","Couple + C. LE 16 ","vocational + Abi","100","0.291409686661284","0.243598122587392","0.339221250735176"
