"ple0081_h","year","education","pgisced97","n","percent","lower_confidence","upper_confidence"
"Yes","2002","lower secondary degree","in school","","","",""
"Yes","2002","lower secondary degree","inadequately","","","",""
"Yes","2002","lower secondary degree","general elemantary","597","0.29364445075156","0.272958245361468","0.314330656141652"
"Yes","2002","lower secondary degree","middle vocational","1895","0.323348769955269","0.311270153307146","0.335427386603391"
"Yes","2002","lower secondary degree","vocational + Abi","9","","",""
"Yes","2002","lower secondary degree","higher vocational","126","0.236277903175108","0.19983675335705","0.272719052993166"
"Yes","2002","lower secondary degree","higher education","34","0.17775518517917","0.124638218801531","0.230872151556808"
"Yes","2002","secondary school degree","in school","","","",""
"Yes","2002","secondary school degree","inadequately","","","",""
"Yes","2002","secondary school degree","general elemantary","275","0.404007743375725","0.366514734267346","0.441500752484103"
"Yes","2002","secondary school degree","middle vocational","1624","0.350059849611511","0.336216987621139","0.363902711601883"
"Yes","2002","secondary school degree","vocational + Abi","10","","",""
"Yes","2002","secondary school degree","higher vocational","214","0.269366535350753","0.238092786496066","0.30064028420544"
"Yes","2002","secondary school degree","higher education","152","0.221696084371017","0.190543695304518","0.252848473437516"
"Yes","2002","college entrance qualification","in school","","","",""
"Yes","2002","college entrance qualification","inadequately","","","",""
"Yes","2002","college entrance qualification","general elemantary","","","",""
"Yes","2002","college entrance qualification","middle vocational","250","0.306675657217614","0.274762572616144","0.338588741819085"
"Yes","2002","college entrance qualification","vocational + Abi","286","0.291170818966141","0.262522163408554","0.319819474523728"
"Yes","2002","college entrance qualification","higher vocational","107","0.268652314023391","0.223789171033581","0.313515457013201"
"Yes","2002","college entrance qualification","higher education","750","0.234016588769013","0.219929658722412","0.248103518815613"
"Yes","2002","Other degree","in school","","","",""
"Yes","2002","Other degree","inadequately","17","","",""
"Yes","2002","Other degree","general elemantary","103","0.23773100704916","0.196169373380927","0.279292640717393"
"Yes","2002","Other degree","middle vocational","160","0.329164180929503","0.286407546999448","0.371920814859559"
"Yes","2002","Other degree","vocational + Abi","54","0.352070534061583","0.274330845784451","0.429810222338715"
"Yes","2002","Other degree","higher vocational","19","","",""
"Yes","2002","Other degree","higher education","43","0.19736162255397","0.143402328140947","0.251320916966994"
"Yes","2002","no degree/no degree yet","in school","138","0.232977264116725","0.199621845293778","0.266332682939672"
"Yes","2002","no degree/no degree yet","inadequately","90","0.379355539718353","0.318965278591847","0.439745800844859"
"Yes","2002","no degree/no degree yet","general elemantary","","","",""
"Yes","2002","no degree/no degree yet","middle vocational","15","","",""
"Yes","2002","no degree/no degree yet","vocational + Abi","","","",""
"Yes","2002","no degree/no degree yet","higher vocational","1","","",""
"Yes","2002","no degree/no degree yet","higher education","","","",""
"No","2002","lower secondary degree","in school","","","",""
"No","2002","lower secondary degree","inadequately","","","",""
"No","2002","lower secondary degree","general elemantary","1265","0.70635554924844","0.685669343858348","0.727041754638532"
"No","2002","lower secondary degree","middle vocational","3866","0.676651230044731","0.664572613396609","0.688729846692854"
"No","2002","lower secondary degree","vocational + Abi","23","","",""
"No","2002","lower secondary degree","higher vocational","396","0.763722096824892","0.727280947006834","0.80016324664295"
"No","2002","lower secondary degree","higher education","165","0.82224481482083","0.769127848443192","0.875361781198469"
"No","2002","secondary school degree","in school","","","",""
"No","2002","secondary school degree","inadequately","","","",""
"No","2002","secondary school degree","general elemantary","383","0.595992256624275","0.558499247515897","0.633485265732654"
"No","2002","secondary school degree","middle vocational","2937","0.649940150388489","0.636097288398118","0.663783012378861"
"No","2002","secondary school degree","vocational + Abi","27","","",""
"No","2002","secondary school degree","higher vocational","559","0.730633464649247","0.69935971579456","0.761907213503934"
"No","2002","secondary school degree","higher education","531","0.778303915628983","0.747151526562484","0.809456304695482"
"No","2002","college entrance qualification","in school","","","",""
"No","2002","college entrance qualification","inadequately","","","",""
"No","2002","college entrance qualification","general elemantary","","","",""
"No","2002","college entrance qualification","middle vocational","552","0.693324342782386","0.661411258180915","0.725237427383856"
"No","2002","college entrance qualification","vocational + Abi","680","0.708829181033859","0.680180525476272","0.737477836591446"
"No","2002","college entrance qualification","higher vocational","268","0.731347685976609","0.686484542986799","0.776210828966419"
"No","2002","college entrance qualification","higher education","2720","0.765983411230987","0.751896481184387","0.780070341277588"
"No","2002","Other degree","in school","","","",""
"No","2002","Other degree","inadequately","20","","",""
"No","2002","Other degree","general elemantary","300","0.76226899295084","0.720707359282607","0.803830626619073"
"No","2002","Other degree","middle vocational","304","0.670835819070497","0.628079185140441","0.713592453000552"
"No","2002","Other degree","vocational + Abi","91","0.647929465938417","0.570189777661285","0.725669154215549"
"No","2002","Other degree","higher vocational","51","0.724331946853369","0.619652574322239","0.829011319384498"
"No","2002","Other degree","higher education","166","0.80263837744603","0.748679083033006","0.856597671859053"
"No","2002","no degree/no degree yet","in school","479","0.767022735883275","0.733667317060328","0.800378154706222"
"No","2002","no degree/no degree yet","inadequately","158","0.620644460281647","0.560254199155141","0.681034721408153"
"No","2002","no degree/no degree yet","general elemantary","","","",""
"No","2002","no degree/no degree yet","middle vocational","29","","",""
"No","2002","no degree/no degree yet","vocational + Abi","","","",""
"No","2002","no degree/no degree yet","higher vocational","4","","",""
"No","2002","no degree/no degree yet","higher education","2","","",""
"Yes","2003","lower secondary degree","in school","","","",""
"Yes","2003","lower secondary degree","inadequately","","","",""
"Yes","2003","lower secondary degree","general elemantary","","","",""
"Yes","2003","lower secondary degree","middle vocational","","","",""
"Yes","2003","lower secondary degree","vocational + Abi","","","",""
"Yes","2003","lower secondary degree","higher vocational","","","",""
"Yes","2003","lower secondary degree","higher education","","","",""
"Yes","2003","secondary school degree","in school","","","",""
"Yes","2003","secondary school degree","inadequately","","","",""
"Yes","2003","secondary school degree","general elemantary","","","",""
"Yes","2003","secondary school degree","middle vocational","","","",""
