"ple0081_h","year","education","sex","n","percent","lower_confidence","upper_confidence"
"Yes","2002","lower secondary degree","Male","1561","0.377876221435645","0.362969421462645","0.392783021408644"
"Yes","2002","lower secondary degree","Female","1100","0.244665856429152","0.231834724902935","0.257496987955369"
"Yes","2002","secondary school degree","Male","1118","0.39215642796474","0.374340815155898","0.409972040773581"
"Yes","2002","secondary school degree","Female","1157","0.288254765699393","0.273904187752586","0.302605343646201"
"Yes","2002","college entrance qualification","Male","830","0.290364442057497","0.27424680900203","0.306482075112965"
"Yes","2002","college entrance qualification","Female","563","0.222238856423365","0.206152677944259","0.238325034902471"
"Yes","2002","Other degree","Male","258","0.377564040320141","0.34006473461498","0.415063346025301"
"Yes","2002","Other degree","Female","138","0.192637518406976","0.163126054538669","0.222148982275284"
"Yes","2002","no degree/no degree yet","Male","127","0.316252732873514","0.272300716026175","0.360204749720854"
"Yes","2002","no degree/no degree yet","Female","117","0.249256945828547","0.210797833825226","0.287716057831868"
"No","2002","lower secondary degree","Male","2503","0.622123778564355","0.607216978591356","0.637030578537355"
"No","2002","lower secondary degree","Female","3212","0.755334143570848","0.742503012044631","0.768165275097065"
"No","2002","secondary school degree","Male","1767","0.607843572035261","0.590027959226419","0.625659184844102"
"No","2002","secondary school degree","Female","2670","0.711745234300607","0.697394656353799","0.726095812247414"
"No","2002","college entrance qualification","Male","2217","0.709635557942503","0.693517924887035","0.72575319099797"
"No","2002","college entrance qualification","Female","2003","0.777761143576635","0.761674965097529","0.793847322055741"
"No","2002","Other degree","Male","384","0.622435959679859","0.584936653974699","0.65993526538502"
"No","2002","Other degree","Female","548","0.807362481593024","0.777851017724716","0.836873945461332"
"No","2002","no degree/no degree yet","Male","303","0.683747267126486","0.639795250279146","0.727699283973825"
"No","2002","no degree/no degree yet","Female","369","0.750743054171453","0.712283942168132","0.789202166174774"
"Yes","2003","lower secondary degree","Male","","","",""
"Yes","2003","lower secondary degree","Female","","","",""
"Yes","2003","secondary school degree","Male","","","",""
"Yes","2003","secondary school degree","Female","","","",""
"Yes","2003","college entrance qualification","Male","","","",""
"Yes","2003","college entrance qualification","Female","","","",""
"Yes","2003","Other degree","Male","","","",""
"Yes","2003","Other degree","Female","","","",""
"Yes","2003","no degree/no degree yet","Male","","","",""
"Yes","2003","no degree/no degree yet","Female","","","",""
"No","2003","lower secondary degree","Male","","","",""
"No","2003","lower secondary degree","Female","","","",""
"No","2003","secondary school degree","Male","","","",""
"No","2003","secondary school degree","Female","","","",""
"No","2003","college entrance qualification","Male","","","",""
"No","2003","college entrance qualification","Female","","","",""
"No","2003","Other degree","Male","","","",""
"No","2003","Other degree","Female","","","",""
"No","2003","no degree/no degree yet","Male","","","",""
"No","2003","no degree/no degree yet","Female","","","",""
"Yes","2004","lower secondary degree","Male","1362","0.366314533841047","0.350760810353709","0.381868257328385"
"Yes","2004","lower secondary degree","Female","967","0.237270176685556","0.223906904017294","0.250633449353818"
"Yes","2004","secondary school degree","Male","1009","0.385231979473641","0.366831418734274","0.403632540213008"
"Yes","2004","secondary school degree","Female","1069","0.292856747506992","0.278001606630283","0.307711888383701"
"Yes","2004","college entrance qualification","Male","741","0.28305977656679","0.266569998987805","0.299549554145775"
"Yes","2004","college entrance qualification","Female","550","0.229143140648976","0.212707805117089","0.245578476180863"
"Yes","2004","Other degree","Male","206","0.341631893842673","0.302901630898264","0.380362156787082"
"Yes","2004","Other degree","Female","119","0.202406781893123","0.170779963664123","0.234033600122123"
"Yes","2004","no degree/no degree yet","Male","129","0.330943137631304","0.286153931222976","0.375732344039632"
"Yes","2004","no degree/no degree yet","Female","125","0.24850539778822","0.21004550513602","0.286965290440419"
"No","2004","lower secondary degree","Male","2324","0.633685466158953","0.618131742671615","0.649239189646291"
"No","2004","lower secondary degree","Female","2926","0.762729823314444","0.749366550646182","0.776093095982706"
"No","2004","secondary school degree","Male","1678","0.614768020526359","0.596367459786992","0.633168581265726"
"No","2004","secondary school degree","Female","2536","0.707143252493008","0.692288111616299","0.721998393369717"
"No","2004","college entrance qualification","Male","2126","0.71694022343321","0.700450445854225","0.733430001012195"
"No","2004","college entrance qualification","Female","1962","0.770856859351024","0.754421523819137","0.787292194882911"
"No","2004","Other degree","Male","370","0.658368106157327","0.619637843212918","0.697098369101736"
"No","2004","Other degree","Female","501","0.797593218106877","0.765966399877877","0.829220036335877"
"No","2004","no degree/no degree yet","Male","295","0.669056862368696","0.624267655960368","0.713846068777024"
"No","2004","no degree/no degree yet","Female","360","0.75149460221178","0.713034709559581","0.78995449486398"
"Yes","2005","lower secondary degree","Male","","","",""
