"ple0081_h","year","migback","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Yes","2002","no migration background","(0) in school","107","0.220135807458254","0.183260805055032","0.257010809861476"
"Yes","2002","no migration background","(1a) inadequately completed","33","0.355196721981167","0.250976096689635","0.4594173472727"
"Yes","2002","no migration background","(1b) general elementary school","439","0.264599734760951","0.242409147354599","0.286790322167302"
"Yes","2002","no migration background","(1c) basic vocational qualification","1772","0.303667398446184","0.291772471847712","0.315562325044655"
"Yes","2002","no migration background","(2b) intermediate general qualification","225","0.429508644565833","0.3869628236449","0.472054465486766"
"Yes","2002","no migration background","(2a) intermediate vocational","1734","0.34065200880723","0.327582109924698","0.353721907689763"
"Yes","2002","no migration background","(2c_gen) general maturity certificate","210","0.314437830707164","0.279281664618146","0.349593996796181"
"Yes","2002","no migration background","(2c_voc) vocational maturity certificate","358","0.27783774642373","0.252845601684224","0.302829891163236"
"Yes","2002","no migration background","(3a) lower tertiary education","406","0.25531116941169","0.234540909107247","0.276081429716133"
"Yes","2002","no migration background","(3b) higher tertiary education","463","0.20308461832649","0.187039824392651","0.21912941226033"
"Yes","2002","direct migration background","(0) in school","11","","",""
"Yes","2002","direct migration background","(1a) inadequately completed","68","0.351901480296535","0.286686774039861","0.417116186553209"
"Yes","2002","direct migration background","(1b) general elementary school","206","0.303355679591437","0.268177141553297","0.338534217629577"
"Yes","2002","direct migration background","(1c) basic vocational qualification","290","0.358371923966971","0.3249336990878","0.391810148846142"
"Yes","2002","direct migration background","(2b) intermediate general qualification","19","","",""
"Yes","2002","direct migration background","(2a) intermediate vocational","51","0.281079455388342","0.212696314244044","0.34946259653264"
"Yes","2002","direct migration background","(2c_gen) general maturity certificate","54","0.333139846361228","0.254784007304548","0.411495685417908"
"Yes","2002","direct migration background","(2c_voc) vocational maturity certificate","102","0.329024455254909","0.276971743758613","0.381077166751205"
"Yes","2002","direct migration background","(3a) lower tertiary education","26","","",""
"Yes","2002","direct migration background","(3b) higher tertiary education","67","0.209247460735225","0.163596642392316","0.254898279078133"
"Yes","2002","indirect migration background","(0) in school","20","","",""
"Yes","2002","indirect migration background","(1a) inadequately completed","5","","",""
"Yes","2002","indirect migration background","(1b) general elementary school","69","0.600021486022119","0.514140936063034","0.685902035981203"
"Yes","2002","indirect migration background","(1c) basic vocational qualification","78","0.631226152384957","0.550728892549913","0.711723412220001"
"Yes","2002","indirect migration background","(2b) intermediate general qualification","34","0.386843466137908","0.280120862779345","0.493566069496471"
"Yes","2002","indirect migration background","(2a) intermediate vocational","65","0.456347178923436","0.37072526668738","0.541969091159492"
"Yes","2002","indirect migration background","(2c_gen) general maturity certificate","24","","",""
"Yes","2002","indirect migration background","(2c_voc) vocational maturity certificate","16","","",""
"Yes","2002","indirect migration background","(3a) lower tertiary education","4","","",""
"Yes","2002","indirect migration background","(3b) higher tertiary education","14","","",""
"No","2002","no migration background","(0) in school","378","0.779864192541746","0.742989190138524","0.816739194944968"
"No","2002","no migration background","(1a) inadequately completed","48","0.644803278018832","0.5405826527273","0.749023903310365"
"No","2002","no migration background","(1b) general elementary school","1079","0.735400265239049","0.713209677832698","0.757590852645401"
"No","2002","no migration background","(1c) basic vocational qualification","3969","0.696332601553816","0.684437674955345","0.708227528152288"
"No","2002","no migration background","(2b) intermediate general qualification","295","0.570491355434167","0.527945534513234","0.6130371763551"
"No","2002","no migration background","(2a) intermediate vocational","3317","0.65934799119277","0.646278092310237","0.672417890075302"
"No","2002","no migration background","(2c_gen) general maturity certificate","460","0.685562169292837","0.650406003203819","0.720718335381854"
"No","2002","no migration background","(2c_voc) vocational maturity certificate","876","0.72216225357627","0.697170108836764","0.747154398315776"
"No","2002","no migration background","(3a) lower tertiary education","1287","0.74468883058831","0.723918570283867","0.765459090892753"
"No","2002","no migration background","(3b) higher tertiary education","1952","0.79691538167351","0.78087058773967","0.812960175607349"
