"ple0081_h","year","migback","pgisced97","n","percent","lower_confidence","upper_confidence"
"Yes","2002","no migration background","in school","107","0.220562544960195","0.183623817656177","0.257501272264214"
"Yes","2002","no migration background","inadequately","39","0.415755500203706","0.310981157225111","0.5205298431823"
"Yes","2002","no migration background","general elemantary","649","0.294509687164418","0.274567640674632","0.314451733654204"
"Yes","2002","no migration background","middle vocational","3417","0.325899969467264","0.316846874671247","0.33495306426328"
"Yes","2002","no migration background","vocational + Abi","260","0.283903001412439","0.254313572546515","0.313492430278363"
"Yes","2002","no migration background","higher vocational","412","0.253108665304075","0.231456337201891","0.27476099340626"
"Yes","2002","no migration background","higher education","869","0.227343247807127","0.21452681379937","0.240159681814884"
"Yes","2002","direct migration background","in school","11","","",""
"Yes","2002","direct migration background","inadequately","63","0.359720188125266","0.291299962940865","0.428140413309668"
"Yes","2002","direct migration background","general elemantary","223","0.302106804177674","0.268426677167898","0.33578693118745"
"Yes","2002","direct migration background","middle vocational","379","0.350562773635249","0.321366602650301","0.379758944620197"
"Yes","2002","direct migration background","vocational + Abi","86","0.340956589931982","0.282078329154668","0.399834850709296"
"Yes","2002","direct migration background","higher vocational","41","0.278798234094055","0.209317963729324","0.348278504458785"
"Yes","2002","direct migration background","higher education","93","0.218190565195821","0.177562955194501","0.25881817519714"
"Yes","2002","indirect migration background","in school","20","","",""
"Yes","2002","indirect migration background","inadequately","5","","",""
"Yes","2002","indirect migration background","general elemantary","103","0.520541913259234","0.451648836251952","0.589434990266516"
"Yes","2002","indirect migration background","middle vocational","152","0.518241262441996","0.463917829783855","0.572564695100137"
"Yes","2002","indirect migration background","vocational + Abi","13","","",""
"Yes","2002","indirect migration background","higher vocational","18","","",""
"Yes","2002","indirect migration background","higher education","18","","",""
"No","2002","no migration background","in school","377","0.779437455039805","0.742498727735786","0.816376182343823"
"No","2002","no migration background","inadequately","46","0.584244499796294","0.479470156817699","0.689018842774888"
"No","2002","no migration background","general elemantary","1358","0.705490312835582","0.685548266345796","0.725432359325368"
"No","2002","no migration background","middle vocational","6880","0.674100030532736","0.66504693573672","0.683153125328753"
"No","2002","no migration background","vocational + Abi","632","0.716096998587561","0.686507569721637","0.745686427453485"
"No","2002","no migration background","higher vocational","1137","0.746891334695925","0.72523900659374","0.768543662798109"
"No","2002","no migration background","higher education","3239","0.772656752192873","0.759840318185116","0.78547318620063"
"No","2002","direct migration background","in school","42","0.755008001839964","0.639220446837304","0.870795556842624"
"No","2002","direct migration background","inadequately","126","0.640279811874734","0.571859586690333","0.708700037059135"
"No","2002","direct migration background","general elemantary","491","0.697893195822326","0.66421306881255","0.731573322832102"
"No","2002","direct migration background","middle vocational","647","0.649437226364751","0.620241055379803","0.678633397349699"
"No","2002","direct migration background","vocational + Abi","163","0.659043410068018","0.600165149290704","0.717921670845332"
"No","2002","direct migration background","higher vocational","119","0.721201765905945","0.651721495541214","0.790682036270676"
"No","2002","direct migration background","higher education","304","0.781809434804179","0.74118182480286","0.822437044805499"
"No","2002","indirect migration background","in school","60","0.720541437110601","0.622210248490711","0.818872625730492"
"No","2002","indirect migration background","inadequately","6","","",""
"No","2002","indirect migration background","general elemantary","99","0.479458086740766","0.410565009733484","0.548351163748048"
"No","2002","indirect migration background","middle vocational","173","0.481758737558004","0.427435304899863","0.536082170216145"
"No","2002","indirect migration background","vocational + Abi","26","","",""
"No","2002","indirect migration background","higher vocational","23","","",""
"No","2002","indirect migration background","higher education","48","0.764565121106448","0.662207834297065","0.866922407915831"
"Yes","2003","no migration background","in school","","","",""
"Yes","2003","no migration background","inadequately","","","",""
"Yes","2003","no migration background","general elemantary","","","",""
"Yes","2003","no migration background","middle vocational","","","",""
"Yes","2003","no migration background","vocational + Abi","","","",""
"Yes","2003","no migration background","higher vocational","","","",""
"Yes","2003","no migration background","higher education","","","",""
"Yes","2003","direct migration background","in school","","","",""
"Yes","2003","direct migration background","inadequately","","","",""
"Yes","2003","direct migration background","general elemantary","","","",""
"Yes","2003","direct migration background","middle vocational","","","",""
"Yes","2003","direct migration background","vocational + Abi","","","",""
"Yes","2003","direct migration background","higher vocational","","","",""
"Yes","2003","direct migration background","higher education","","","",""
"Yes","2003","indirect migration background","in school","","","",""
"Yes","2003","indirect migration background","inadequately","","","",""
"Yes","2003","indirect migration background","general elemantary","","","",""
"Yes","2003","indirect migration background","middle vocational","","","",""
"Yes","2003","indirect migration background","vocational + Abi","","","",""
"Yes","2003","indirect migration background","higher vocational","","","",""
"Yes","2003","indirect migration background","higher education","","","",""
"No","2003","no migration background","in school","","","",""
"No","2003","no migration background","inadequately","","","",""
"No","2003","no migration background","general elemantary","","","",""
"No","2003","no migration background","middle vocational","","","",""
"No","2003","no migration background","vocational + Abi","","","",""
"No","2003","no migration background","higher vocational","","","",""
"No","2003","no migration background","higher education","","","",""
"No","2003","direct migration background","in school","","","",""
"No","2003","direct migration background","inadequately","","","",""
"No","2003","direct migration background","general elemantary","","","",""
"No","2003","direct migration background","middle vocational","","","",""
"No","2003","direct migration background","vocational + Abi","","","",""
"No","2003","direct migration background","higher vocational","","","",""
"No","2003","direct migration background","higher education","","","",""
"No","2003","indirect migration background","in school","","","",""
"No","2003","indirect migration background","inadequately","","","",""
"No","2003","indirect migration background","general elemantary","","","",""
"No","2003","indirect migration background","middle vocational","","","",""
"No","2003","indirect migration background","vocational + Abi","","","",""
"No","2003","indirect migration background","higher vocational","","","",""
"No","2003","indirect migration background","higher education","","","",""
"Yes","2004","no migration background","in school","120","0.272767762625265","0.233532318454184","0.312003206796346"
"Yes","2004","no migration background","inadequately","40","0.440749232525055","0.335204222637967","0.546294242412143"
"Yes","2004","no migration background","general elemantary","546","0.297119223107757","0.275931122660106","0.318307323555407"
"Yes","2004","no migration background","middle vocational","3107","0.319028139610736","0.309679014651529","0.328377264569943"
"Yes","2004","no migration background","vocational + Abi","248","0.271440023403825","0.242223893655869","0.30065615315178"
"Yes","2004","no migration background","higher vocational","387","0.252976592226235","0.230700797753075","0.275252386699394"
