"ple0081_h","year","e11103","sex","n","percent","lower_confidence","upper_confidence","value"
"No","2002","Full Time","Male","3953","0.593794774331046","0.581807332429465","0.605782216232627","2"
"No","2002","Full Time","Female","2121","0.663172994225225","0.646657727179411","0.679688261271039","2"
"No","2002","Not Working","Male","2362","0.748920212801542","0.733855757828212","0.763984667774871","2"
"No","2002","Part Time","Male","911","0.575733678575331","0.551065561499474","0.600401795651188","2"
"No","2002","Part Time","Female","2544","0.666052732775089","0.65087069554091","0.681234770009268","2"
"No","2002","Not Working","Female","4198","0.837188381729339","0.827076662643522","0.847300100815155","2"
"Yes","2002","Full Time","Male","2495","0.406205225668954","0.394217783767373","0.418192667570535","1"
"Yes","2002","Full Time","Female","1025","0.336827005774775","0.320311738728961","0.353342272820589","1"
"Yes","2002","Part Time","Male","631","0.424266321424669","0.399598204348812","0.448934438500526","1"
"Yes","2002","Part Time","Female","1163","0.333947267224911","0.318765229990732","0.34912930445909","1"
"Yes","2002","Not Working","Male","821","0.251079787198459","0.236015332225129","0.266144242171788","1"
"Yes","2002","Not Working","Female","923","0.162811618270661","0.152699899184845","0.172923337356478","1"
"No","2003","Full Time","Male","","","","","2"
"No","2003","Full Time","Female","","","","","2"
"No","2003","Not Working","Male","","","","","2"
"No","2003","Not Working","Female","","","","","2"
"No","2003","Part Time","Male","","","","","2"
"No","2003","Part Time","Female","","","","","2"
"Yes","2003","Full Time","Male","","","","","1"
"Yes","2003","Full Time","Female","","","","","1"
"Yes","2003","Part Time","Male","","","","","1"
"Yes","2003","Part Time","Female","","","","","1"
"Yes","2003","Not Working","Male","","","","","1"
"Yes","2003","Not Working","Female","","","","","1"
"No","2004","Full Time","Male","3558","0.606273846957336","0.593530874451509","0.619016819463164","2"
"No","2004","Full Time","Female","1905","0.653060454584693","0.635473540573376","0.670647368596009","2"
"No","2004","Not Working","Male","2435","0.74605521081845","0.731113702949177","0.760996718687724","2"
"No","2004","Not Working","Female","4014","0.827940701086039","0.817412474618151","0.838468927553928","2"
"No","2004","Part Time","Male","891","0.582019494172664","0.557059226368422","0.606979761976907","2"
"No","2004","Part Time","Female","2474","0.691168987213456","0.675915023268524","0.706422951158389","2"
"Yes","2004","Full Time","Male","2089","0.393726153042664","0.380983180536836","0.406469125548491","1"
"Yes","2004","Full Time","Female","909","0.346939545415308","0.329352631403991","0.364526459426624","1"
"Yes","2004","Part Time","Male","609","0.417980505827336","0.393020238023093","0.442940773631578","1"
