"ple0081_h","year","e11102","education","n","percent","lower_confidence","upper_confidence"
"Yes","2002","Not Employed","lower secondary degree","806","0.177916163598174","0.166371971438355","0.189460355757994"
"Yes","2002","Not Employed","secondary school degree","413","0.233555282477376","0.212817652358052","0.2542929125967"
"Yes","2002","Not Employed","college entrance qualification","231","0.193304827535322","0.171227412166682","0.215382242903963"
"Yes","2002","Not Employed","Other degree","124","0.209937775751161","0.174797983906324","0.245077567595999"
"Yes","2002","Not Employed","no degree/no degree yet","143","0.225902301094267","0.194095333459976","0.257709268728557"
"Yes","2002","Employed","lower secondary degree","1855","0.451242043548323","0.43612048276702","0.466363604329626"
"Yes","2002","Employed","secondary school degree","1862","0.372581755339119","0.359329202069783","0.385834308608454"
"Yes","2002","Employed","college entrance qualification","1162","0.28294304495272","0.269609698741912","0.296276391163529"
"Yes","2002","Employed","Other degree","272","0.328513346586462","0.296208678882723","0.3608180142902"
"Yes","2002","Employed","no degree/no degree yet","101","0.430148731471533","0.369021052824403","0.491276410118663"
"No","2002","Not Employed","lower secondary degree","3410","0.822083836401826","0.810539644242006","0.833628028561645"
"No","2002","Not Employed","secondary school degree","1186","0.766444717522624","0.7457070874033","0.787182347641948"
"No","2002","Not Employed","college entrance qualification","998","0.806695172464678","0.784617757096037","0.828772587833318"
"No","2002","Not Employed","Other degree","392","0.790062224248839","0.754922432404001","0.825202016093676"
"No","2002","Not Employed","no degree/no degree yet","521","0.774097698905733","0.742290731271443","0.805904666540024"
"No","2002","Employed","lower secondary degree","2305","0.548757956451677","0.533636395670374","0.56387951723298"
"No","2002","Employed","secondary school degree","3251","0.627418244660881","0.614165691391546","0.640670797930217"
"No","2002","Employed","college entrance qualification","3222","0.71705695504728","0.703723608836471","0.730390301258088"
"No","2002","Employed","Other degree","540","0.671486653413538","0.6391819857098","0.703791321117277"
"No","2002","Employed","no degree/no degree yet","151","0.569851268528467","0.508723589881337","0.630978947175597"
