"pli0080","year","age_gr","education","n","percent","lower_confidence","upper_confidence"
"Daily","1990","16-34 y.","lower secondary degree","173","0.0985947719895741","0.0831325833606461","0.114056960618502"
"Daily","1990","16-34 y.","secondary school degree","67","0.0702059224588362","0.0534392868202202","0.0869725580974522"
"Daily","1990","16-34 y.","college entrance qualification","52","0.0826854987152142","0.0610420380442803","0.104328959386148"
"Daily","1990","16-34 y.","Other degree","25","","",""
"Daily","1990","16-34 y.","no degree/no degree yet","57","0.156612680144042","0.116090216078568","0.197135144209517"
"Daily","1990","35-65 y.","lower secondary degree","48","0.0197402214651703","0.014114824369574","0.0253656185607666"
"Daily","1990","35-65 y.","secondary school degree","10","","",""
"Daily","1990","35-65 y.","college entrance qualification","9","","",""
"Daily","1990","35-65 y.","Other degree","58","0.087670333327642","0.0675502659571565","0.107790400698128"
"Daily","1990","35-65 y.","no degree/no degree yet","60","0.11076612424251","0.0835814214085128","0.137950827076506"
"Daily","1990","66 and older","lower secondary degree","35","0.0493960454154352","0.0340204578490211","0.0647716329818493"
"Daily","1990","66 and older","secondary school degree","3","","",""
"Daily","1990","66 and older","college entrance qualification","3","","",""
"Daily","1990","66 and older","Other degree","","","",""
"Daily","1990","66 and older","no degree/no degree yet","2","","",""
"Min 1x per week","1990","16-34 y.","lower secondary degree","720","0.49455374706709","0.468622212007162","0.520485282127019"
"Min 1x per week","1990","16-34 y.","secondary school degree","493","0.536239264891499","0.503513337896389","0.56896519188661"
"Min 1x per week","1990","16-34 y.","college entrance qualification","385","0.625215030662859","0.587173438396596","0.663256622929123"
"Min 1x per week","1990","16-34 y.","Other degree","145","0.517945158033661","0.454990115528387","0.580900200538936"
"Min 1x per week","1990","16-34 y.","no degree/no degree yet","174","0.57143486357576","0.516257539182029","0.626612187969491"
"Min 1x per week","1990","35-65 y.","lower secondary degree","677","0.286437584068595","0.268155000498359","0.304720167638831"
"Min 1x per week","1990","35-65 y.","secondary school degree","214","0.342004858765427","0.304694470173924","0.379315247356929"
"Min 1x per week","1990","35-65 y.","college entrance qualification","174","0.362197546122071","0.319510170547145","0.404884921696998"
"Min 1x per week","1990","35-65 y.","Other degree","402","0.503976030984058","0.468406062891811","0.539545999076304"
"Min 1x per week","1990","35-65 y.","no degree/no degree yet","271","0.498829255799173","0.455519880012031","0.542138631586315"
"Min 1x per week","1990","66 and older","lower secondary degree","242","0.341533997386242","0.307885205892564","0.37518278887992"
"Min 1x per week","1990","66 and older","secondary school degree","50","0.310812036105188","0.241033397017853","0.380590675192523"
"Min 1x per week","1990","66 and older","college entrance qualification","31","0.359398010124845","0.262911129927736","0.455884890321954"
"Min 1x per week","1990","66 and older","Other degree","5","","",""
"Min 1x per week","1990","66 and older","no degree/no degree yet","6","","",""
"Min 1x per month","1990","16-34 y.","lower secondary degree","318","0.243330170591141","0.221074782268091","0.26558555891419"
"Min 1x per month","1990","16-34 y.","secondary school degree","210","0.250581710733046","0.222143485299688","0.279019936166404"
"Min 1x per month","1990","16-34 y.","college entrance qualification","124","0.206187851843802","0.174393988288944","0.23798171539866"
"Min 1x per month","1990","16-34 y.","Other degree","40","0.232305082312604","0.179098655198861","0.285511509426348"
"Min 1x per month","1990","16-34 y.","no degree/no degree yet","44","0.14837497873847","0.108740477940223","0.188009479536717"
"Min 1x per month","1990","35-65 y.","lower secondary degree","865","0.36628063671581","0.34679735763504","0.38576391579658"
"Min 1x per month","1990","35-65 y.","secondary school degree","238","0.369889018498434","0.331918499428248","0.40785953756862"
"Min 1x per month","1990","35-65 y.","college entrance qualification","200","0.414531655216071","0.370778017151835","0.458285293280307"
"Min 1x per month","1990","35-65 y.","Other degree","187","0.265537629572647","0.234119884238242","0.296955374907052"
"Min 1x per month","1990","35-65 y.","no degree/no degree yet","107","0.210110244206651","0.174822819457979","0.245397668955324"
"Min 1x per month","1990","66 and older","lower secondary degree","215","0.265474937405645","0.234142015590504","0.296807859220786"
"Min 1x per month","1990","66 and older","secondary school degree","56","0.264993417074079","0.198455700037072","0.331531134111086"
"Min 1x per month","1990","66 and older","college entrance qualification","27","","",""
"Min 1x per month","1990","66 and older","Other degree","1","","",""
"Min 1x per month","1990","66 and older","no degree/no degree yet","3","","",""
"Rarely","1990","16-34 y.","lower secondary degree","195","0.148829823937284","0.130369591274434","0.167290056600134"
"Rarely","1990","16-34 y.","secondary school degree","116","0.136360439132012","0.11384003792284","0.158880840341183"
"Rarely","1990","16-34 y.","college entrance qualification","58","0.0823498456042578","0.0607464079298038","0.103953283278712"
"Rarely","1990","16-34 y.","Other degree","23","","",""
"Rarely","1990","16-34 y.","no degree/no degree yet","27","","",""
"Rarely","1990","35-65 y.","lower secondary degree","696","0.297274106972903","0.278790866994324","0.315757346951482"
"Rarely","1990","35-65 y.","secondary school degree","148","0.253684680792176","0.219462270776803","0.287907090807549"
"Rarely","1990","35-65 y.","college entrance qualification","97","0.187524865913699","0.152857720566278","0.22219201126112"
"Rarely","1990","35-65 y.","Other degree","85","0.11913742796528","0.0960909061101801","0.14218394982038"
"Rarely","1990","35-65 y.","no degree/no degree yet","60","0.137813587059413","0.107955655635094","0.167671518483732"
"Rarely","1990","66 and older","lower secondary degree","204","0.249514742046518","0.218810031339231","0.280219452753806"
"Rarely","1990","66 and older","secondary school degree","53","0.353471927873543","0.281398380786449","0.425545474960637"
"Rarely","1990","66 and older","college entrance qualification","29","","",""
"Rarely","1990","66 and older","Other degree","2","","",""
"Rarely","1990","66 and older","no degree/no degree yet","4","","",""
"Never","1990","16-34 y.","lower secondary degree","22","","",""
"Never","1990","16-34 y.","secondary school degree","6","","",""
"Never","1990","16-34 y.","college entrance qualification","3","","",""
"Never","1990","16-34 y.","Other degree","9","","",""
"Never","1990","16-34 y.","no degree/no degree yet","7","","",""
"Never","1990","35-65 y.","lower secondary degree","63","0.0302674507775221","0.0233392495755162","0.037195651979528"
