"pli0080","year","pgcasmin","sex","n","percent","lower_confidence","upper_confidence"
"Daily","1990","(0) in school","Male","30","0.265214461885738","0.175008949366603","0.355419974404874"
"Daily","1990","(0) in school","Female","9","","",""
"Daily","1990","(1a) inadequately completed","Male","43","0.11064333190946","0.0746636540253391","0.146623009793581"
"Daily","1990","(1a) inadequately completed","Female","39","0.130350897772741","0.0971897512266579","0.163512044318825"
"Daily","1990","(1b) general elementary school","Male","97","0.102407137675139","0.0809087336355006","0.123905541714777"
"Daily","1990","(1b) general elementary school","Female","95","0.0535409311257426","0.041659743992067","0.0654221182594182"
"Daily","1990","(1c) basic vocational qualification","Male","85","0.0355215451945171","0.027148023599744","0.0438950667892901"
"Daily","1990","(1c) basic vocational qualification","Female","52","0.0333125306040665","0.0237221949788207","0.0429028662293124"
"Daily","1990","(2b) intermediate general qualification","Male","19","","",""
"Daily","1990","(2b) intermediate general qualification","Female","18","","",""
"Daily","1990","(2a) intermediate vocational","Male","15","","",""
"Daily","1990","(2a) intermediate vocational","Female","27","","",""
"Daily","1990","(2c_gen) general maturity certificate","Male","21","","",""
"Daily","1990","(2c_gen) general maturity certificate","Female","18","","",""
"Daily","1990","(2c_voc) vocational maturity certificate","Male","9","","",""
"Daily","1990","(2c_voc) vocational maturity certificate","Female","6","","",""
"Daily","1990","(3a) lower tertiary education","Male","5","","",""
"Daily","1990","(3a) lower tertiary education","Female","1","","",""
"Daily","1990","(3b) higher tertiary education","Male","7","","",""
"Daily","1990","(3b) higher tertiary education","Female","10","","",""
"Min 1x per week","1990","(0) in school","Male","39","0.422466199255746","0.321531878548137","0.523400519963355"
"Min 1x per week","1990","(0) in school","Female","43","0.720997276843017","0.6151707412677","0.826823812418334"
"Min 1x per week","1990","(1a) inadequately completed","Male","152","0.523805382757695","0.466521310379834","0.581089455135556"
"Min 1x per week","1990","(1a) inadequately completed","Female","220","0.491105038259692","0.441866883563862","0.540343192955522"
"Min 1x per week","1990","(1b) general elementary school","Male","345","0.352680184832461","0.318799561462579","0.386560808202344"
"Min 1x per week","1990","(1b) general elementary school","Female","533","0.337548013057259","0.312589946450346","0.362506079664172"
"Min 1x per week","1990","(1c) basic vocational qualification","Male","668","0.325987032876609","0.304781448595061","0.347192617158158"
"Min 1x per week","1990","(1c) basic vocational qualification","Female","547","0.399373715564736","0.373199187792","0.425548243337473"
"Min 1x per week","1990","(2b) intermediate general qualification","Male","67","0.522233865005349","0.432862649460235","0.611605080550464"
"Min 1x per week","1990","(2b) intermediate general qualification","Female","130","0.50893621618272","0.445556575635037","0.572315856730403"
"Min 1x per week","1990","(2a) intermediate vocational","Male","211","0.378670422500266","0.337413907790507","0.419926937210025"
"Min 1x per week","1990","(2a) intermediate vocational","Female","323","0.419383372814265","0.38368483735678","0.45508190827175"
"Min 1x per week","1990","(2c_gen) general maturity certificate","Male","126","0.628996608996419","0.563504641202795","0.694488576790043"
"Min 1x per week","1990","(2c_gen) general maturity certificate","Female","79","0.546132272027233","0.461519515728561","0.630745028325906"
"Min 1x per week","1990","(2c_voc) vocational maturity certificate","Male","106","0.443116948255573","0.379057486982918","0.507176409528228"
"Min 1x per week","1990","(2c_voc) vocational maturity certificate","Female","99","0.507984779121353","0.43515258015085","0.580816978091856"
"Min 1x per week","1990","(3a) lower tertiary education","Male","70","0.40256289046984","0.329272534004527","0.475853246935154"
"Min 1x per week","1990","(3a) lower tertiary education","Female","26","","",""
"Min 1x per week","1990","(3b) higher tertiary education","Male","124","0.409130707878593","0.353307253458959","0.464954162298227"
"Min 1x per week","1990","(3b) higher tertiary education","Female","85","0.534469091923245","0.458127409830554","0.610810774015936"
"Min 1x per month","1990","(0) in school","Male","14","","",""
"Min 1x per month","1990","(0) in school","Female","11","","",""
"Min 1x per month","1990","(1a) inadequately completed","Male","49","0.165334522723246","0.122726177900613","0.207942867545879"
"Min 1x per month","1990","(1a) inadequately completed","Female","81","0.166036174737316","0.129386049414057","0.202686300060574"
"Min 1x per month","1990","(1b) general elementary school","Male","155","0.245231079237915","0.214724313235849","0.275737845239982"
"Min 1x per month","1990","(1b) general elementary school","Female","379","0.301064103085611","0.276853025519281","0.325275180651942"
"Min 1x per month","1990","(1c) basic vocational qualification","Male","610","0.328493888129272","0.307246547204342","0.349741229054203"
"Min 1x per month","1990","(1c) basic vocational qualification","Female","434","0.32562749748996","0.300583859839205","0.350671135140714"
"Min 1x per month","1990","(2b) intermediate general qualification","Male","22","","",""
"Min 1x per month","1990","(2b) intermediate general qualification","Female","50","0.244072651356647","0.189616276268572","0.298529026444722"
"Min 1x per month","1990","(2a) intermediate vocational","Male","189","0.340481911170199","0.300176699312363","0.380787123028035"
"Min 1x per month","1990","(2a) intermediate vocational","Female","227","0.299208464728571","0.266081516983587","0.332335412473555"
"Min 1x per month","1990","(2c_gen) general maturity certificate","Male","36","0.150967690605375","0.102430005205649","0.199505376005101"
"Min 1x per month","1990","(2c_gen) general maturity certificate","Female","24","","",""
"Min 1x per month","1990","(2c_voc) vocational maturity certificate","Male","63","0.295573401720914","0.236730694013344","0.354416109428485"
"Min 1x per month","1990","(2c_voc) vocational maturity certificate","Female","52","0.310432917744207","0.243029650640172","0.377836184848242"
"Min 1x per month","1990","(3a) lower tertiary education","Male","63","0.35230058710298","0.280912243923825","0.423688930282136"
"Min 1x per month","1990","(3a) lower tertiary education","Female","27","","",""
"Min 1x per month","1990","(3b) higher tertiary education","Male","106","0.370548806640509","0.315715593061171","0.425382020219847"
"Min 1x per month","1990","(3b) higher tertiary education","Female","46","0.280256487660435","0.211519122004341","0.348993853316529"
"Rarely","1990","(0) in school","Male","9","","",""
"Rarely","1990","(0) in school","Female","4","","",""
"Rarely","1990","(1a) inadequately completed","Male","37","0.144445949691838","0.104124784346158","0.184767115037518"
"Rarely","1990","(1a) inadequately completed","Female","42","0.142376501955842","0.107959899668991","0.176793104242694"
"Rarely","1990","(1b) general elementary school","Male","137","0.260387561290061","0.229269421169345","0.291505701410778"
"Rarely","1990","(1b) general elementary school","Female","308","0.246771756406014","0.224016748948682","0.269526763863347"
"Rarely","1990","(1c) basic vocational qualification","Male","461","0.275614265232953","0.255400289251586","0.295828241214321"
"Rarely","1990","(1c) basic vocational qualification","Female","277","0.210208764914113","0.188433245956705","0.231984283871522"
"Rarely","1990","(2b) intermediate general qualification","Male","8","","",""
"Rarely","1990","(2b) intermediate general qualification","Female","39","0.172872595585263","0.124932552283341","0.220812638887186"
"Rarely","1990","(2a) intermediate vocational","Male","108","0.233768507571045","0.197770883981225","0.269766131160864"
