"pli0080","year","hgtyp1hh","sex","n","percent","lower_confidence","upper_confidence"
"Daily","1990","1-pers.-HH","Male","44","0.0863085736161953","0.0593878521509994","0.113229295081391"
"Daily","1990","1-pers.-HH","Female","45","0.0637582950541794","0.0445112037931643","0.0830053863151944"
"Daily","1990","(Married) couple without C. ","Male","35","0.0257256685882951","0.0165835717546929","0.0348677654218972"
"Daily","1990","(Married) couple without C. ","Female","31","0.0212873801722909","0.0129667182543375","0.0296080420902443"
"Daily","1990","Single parent ","Male","24","","",""
"Daily","1990","Single parent ","Female","19","","",""
"Daily","1990","Couple + C. LE 16 ","Male","47","0.0278418473700912","0.0178189011156095","0.0378647936245729"
"Daily","1990","Couple + C. LE 16 ","Female","62","0.0551681893003867","0.0413653525540207","0.0689710260467527"
"Daily","1990","Couple + C. GT 16 ","Male","101","0.0576326291982003","0.0441221948232854","0.0711430635731152"
"Daily","1990","Couple + C. GT 16 ","Female","68","0.0551595636682401","0.0403351150438741","0.069984012292606"
"Daily","1990","Couple + C. LE and GT 16","Male","58","0.109605407330361","0.0810573590663575","0.138153455594365"
"Daily","1990","Couple + C. LE and GT 16","Female","44","0.0751318887261571","0.050158454840917","0.100105322611397"
"Min 1x per week","1990","1-pers.-HH","Male","213","0.48433328742865","0.436424336827948","0.532242238029351"
"Min 1x per week","1990","1-pers.-HH","Female","288","0.455433524621101","0.416201500510029","0.494665548732173"
"Min 1x per week","1990","(Married) couple without C. ","Male","442","0.33875154440448","0.311421217352071","0.36608187145689"
"Min 1x per week","1990","(Married) couple without C. ","Female","468","0.363561925165964","0.335832782136137","0.391291068195791"
"Min 1x per week","1990","Single parent ","Male","86","0.476184809909843","0.403626157212335","0.548743462607351"
"Min 1x per week","1990","Single parent ","Female","130","0.460761056726904","0.402376554395213","0.519145559058596"
"Min 1x per week","1990","Couple + C. LE 16 ","Male","406","0.340307794729541","0.311441932082466","0.369173657376616"
"Min 1x per week","1990","Couple + C. LE 16 ","Female","498","0.428317107124435","0.398400864856896","0.458233349391975"
"Min 1x per week","1990","Couple + C. GT 16 ","Male","476","0.374148976319341","0.346095754873929","0.402202197764753"
"Min 1x per week","1990","Couple + C. GT 16 ","Female","380","0.359577336790925","0.328415833233516","0.390738840348333"
"Min 1x per week","1990","Couple + C. LE and GT 16","Male","196","0.355566792620317","0.311822768943211","0.399310816297422"
"Min 1x per week","1990","Couple + C. LE and GT 16","Female","197","0.431685902326765","0.384760894449492","0.478610910204039"
"Min 1x per month","1990","1-pers.-HH","Male","77","0.195554293887109","0.157531677557082","0.233576910217136"
"Min 1x per month","1990","1-pers.-HH","Female","154","0.245651600809772","0.211739979616676","0.279563222002867"
"Min 1x per month","1990","(Married) couple without C. ","Male","384","0.350059514048136","0.322515350420602","0.37760367767567"
"Min 1x per month","1990","(Married) couple without C. ","Female","373","0.345708620326012","0.318292255050874","0.373124985601151"
"Min 1x per month","1990","Single parent ","Male","37","0.228491779387001","0.167493446475095","0.289490112298907"
"Min 1x per month","1990","Single parent ","Female","58","0.246374454152572","0.19590312771124","0.296845780593904"
"Min 1x per month","1990","Couple + C. LE 16 ","Male","370","0.391235377666079","0.36150354508055","0.420967210251608"
"Min 1x per month","1990","Couple + C. LE 16 ","Female","312","0.321652069739615","0.293411974289205","0.349892165190026"
"Min 1x per month","1990","Couple + C. GT 16 ","Male","282","0.273297192485953","0.247461448044486","0.299132936927421"
"Min 1x per month","1990","Couple + C. GT 16 ","Female","253","0.314042214969523","0.283903022417643","0.344181407521403"
"Min 1x per month","1990","Couple + C. LE and GT 16","Male","115","0.288504940908382","0.247101946965679","0.329907934851086"
"Min 1x per month","1990","Couple + C. LE and GT 16","Female","108","0.287858228948218","0.244964010303075","0.330752447593362"
"Rarely","1990","1-pers.-HH","Male","66","0.180586380722118","0.143709512094986","0.21746324934925"
"Rarely","1990","1-pers.-HH","Female","97","0.168789572287626","0.139282164112833","0.198296980462418"
"Rarely","1990","(Married) couple without C. ","Male","254","0.250646155367979","0.225619901538222","0.275672409197736"
"Rarely","1990","(Married) couple without C. ","Female","255","0.244173035658176","0.219408555498662","0.268937515817691"
"Rarely","1990","Single parent ","Male","25","","",""
"Rarely","1990","Single parent ","Female","63","0.220128100159646","0.171597187999475","0.268659012319817"
"Rarely","1990","Couple + C. LE 16 ","Male","198","0.231795959755179","0.206087909481802","0.257504010028555"
"Rarely","1990","Couple + C. LE 16 ","Female","162","0.177853110276091","0.154735008342255","0.200971212209927"
"Rarely","1990","Couple + C. GT 16 ","Male","259","0.273294093109015","0.247458440071295","0.299129746146734"
"Rarely","1990","Couple + C. GT 16 ","Female","189","0.243408206159456","0.215541391850565","0.271275020468347"
"Rarely","1990","Couple + C. LE and GT 16","Male","83","0.228669548441305","0.190290554953001","0.267048541929609"
"Rarely","1990","Couple + C. LE and GT 16","Female","67","0.179599335215997","0.143233667115913","0.215965003316081"
"Never","1990","1-pers.-HH","Male","18","","",""
"Never","1990","1-pers.-HH","Female","35","0.066367007227322","0.0467574865279324","0.0859765279267117"
"Never","1990","(Married) couple without C. ","Male","37","0.0348171175911101","0.0242313327121643","0.0454029024700558"
"Never","1990","(Married) couple without C. ","Female","29","","",""
"Never","1990","Single parent ","Male","10","","",""
"Never","1990","Single parent ","Female","10","","",""
"Never","1990","Couple + C. LE 16 ","Male","14","","",""
"Never","1990","Couple + C. LE 16 ","Female","17","","",""
"Never","1990","Couple + C. GT 16 ","Male","25","","",""
"Never","1990","Couple + C. GT 16 ","Female","21","","",""
"Never","1990","Couple + C. LE and GT 16","Male","8","","",""
"Never","1990","Couple + C. LE and GT 16","Female","12","","",""
"Daily","1991","1-pers.-HH","Male","","","",""
"Daily","1991","1-pers.-HH","Female","","","",""
"Daily","1991","(Married) couple without C. ","Male","","","",""
"Daily","1991","(Married) couple without C. ","Female","","","",""
"Daily","1991","Single parent ","Male","","","",""
"Daily","1991","Single parent ","Female","","","",""
"Daily","1991","Couple + C. LE 16 ","Male","","","",""
"Daily","1991","Couple + C. LE 16 ","Female","","","",""
"Daily","1991","Couple + C. GT 16 ","Male","","","",""
"Daily","1991","Couple + C. GT 16 ","Female","","","",""
"Daily","1991","Couple + C. LE and GT 16","Male","","","",""
"Daily","1991","Couple + C. LE and GT 16","Female","","","",""
"Min 1x per week","1991","1-pers.-HH","Male","","","",""
"Min 1x per week","1991","1-pers.-HH","Female","","","",""
"Min 1x per week","1991","(Married) couple without C. ","Male","","","",""
"Min 1x per week","1991","(Married) couple without C. ","Female","","","",""
"Min 1x per week","1991","Single parent ","Male","","","",""
"Min 1x per week","1991","Single parent ","Female","","","",""
"Min 1x per week","1991","Couple + C. LE 16 ","Male","","","",""
"Min 1x per week","1991","Couple + C. LE 16 ","Female","","","",""
"Min 1x per week","1991","Couple + C. GT 16 ","Male","","","",""
"Min 1x per week","1991","Couple + C. GT 16 ","Female","","","",""
"Min 1x per week","1991","Couple + C. LE and GT 16","Male","","","",""
"Min 1x per week","1991","Couple + C. LE and GT 16","Female","","","",""
"Min 1x per month","1991","1-pers.-HH","Male","","","",""
"Min 1x per month","1991","1-pers.-HH","Female","","","",""
"Min 1x per month","1991","(Married) couple without C. ","Male","","","",""
"Min 1x per month","1991","(Married) couple without C. ","Female","","","",""
"Min 1x per month","1991","Single parent ","Male","","","",""
"Min 1x per month","1991","Single parent ","Female","","","",""
"Min 1x per month","1991","Couple + C. LE 16 ","Male","","","",""
"Min 1x per month","1991","Couple + C. LE 16 ","Female","","","",""
"Min 1x per month","1991","Couple + C. GT 16 ","Male","","","",""
"Min 1x per month","1991","Couple + C. GT 16 ","Female","","","",""
"Min 1x per month","1991","Couple + C. LE and GT 16","Male","","","",""
"Min 1x per month","1991","Couple + C. LE and GT 16","Female","","","",""
"Rarely","1991","1-pers.-HH","Male","","","",""
"Rarely","1991","1-pers.-HH","Female","","","",""
"Rarely","1991","(Married) couple without C. ","Male","","","",""
"Rarely","1991","(Married) couple without C. ","Female","","","",""
"Rarely","1991","Single parent ","Male","","","",""
"Rarely","1991","Single parent ","Female","","","",""
