"pli0080","year","bula_h","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","Schleswig-Holstein","in school","2","","","","1"
"Daily","1990","Schleswig-Holstein","inadequately","","","","","1"
"Daily","1990","Schleswig-Holstein","general elemantary","5","","","","1"
"Daily","1990","Schleswig-Holstein","middle vocational","5","","","","1"
"Daily","1990","Schleswig-Holstein","vocational + Abi","2","","","","1"
"Daily","1990","Schleswig-Holstein","higher vocational","1","","","","1"
"Daily","1990","Schleswig-Holstein","higher education","1","","","","1"
"Daily","1990","Hamburg","in school","","","","","1"
"Daily","1990","Hamburg","inadequately","1","","","","1"
"Daily","1990","Hamburg","general elemantary","3","","","","1"
"Daily","1990","Hamburg","middle vocational","3","","","","1"
"Daily","1990","Hamburg","vocational + Abi","","","","","1"
"Daily","1990","Hamburg","higher vocational","1","","","","1"
"Daily","1990","Hamburg","higher education","","","","","1"
"Daily","1990","Lower Saxony","in school","4","","","","1"
"Daily","1990","Lower Saxony","inadequately","3","","","","1"
"Daily","1990","Lower Saxony","general elemantary","18","","","","1"
"Daily","1990","Lower Saxony","middle vocational","21","","","","1"
"Daily","1990","Lower Saxony","vocational + Abi","","","","","1"
"Daily","1990","Lower Saxony","higher vocational","3","","","","1"
"Daily","1990","Lower Saxony","higher education","4","","","","1"
"Daily","1990","Bremen","in school","","","","","1"
"Daily","1990","Bremen","inadequately","1","","","","1"
"Daily","1990","Bremen","general elemantary","5","","","","1"
"Daily","1990","Bremen","middle vocational","5","","","","1"
"Daily","1990","Bremen","vocational + Abi","","","","","1"
"Daily","1990","Bremen","higher vocational","","","","","1"
"Daily","1990","Bremen","higher education","1","","","","1"
"Daily","1990","North Rhine-Westphalia","in school","12","","","","1"
"Daily","1990","North Rhine-Westphalia","inadequately","19","","","","1"
"Daily","1990","North Rhine-Westphalia","general elemantary","60","0.0666044968903992","0.0470255785127766","0.0861834152680217","1"
"Daily","1990","North Rhine-Westphalia","middle vocational","58","0.0480070017381839","0.0360403672896761","0.0599736361866917","1"
"Daily","1990","North Rhine-Westphalia","vocational + Abi","3","","","","1"
"Daily","1990","North Rhine-Westphalia","higher vocational","1","","","","1"
"Daily","1990","North Rhine-Westphalia","higher education","2","","","","1"
"Daily","1990","Hesse","in school","10","","","","1"
"Daily","1990","Hesse","inadequately","8","","","","1"
"Daily","1990","Hesse","general elemantary","26","","","","1"
"Daily","1990","Hesse","middle vocational","29","","","","1"
"Daily","1990","Hesse","vocational + Abi","3","","","","1"
"Daily","1990","Hesse","higher vocational","","","","","1"
"Daily","1990","Hesse","higher education","3","","","","1"
"Daily","1990","Rhineland-Palatinate,Saarland","in school","1","","","","1"
"Daily","1990","Rhineland-Palatinate,Saarland","inadequately","4","","","","1"
"Daily","1990","Rhineland-Palatinate,Saarland","general elemantary","19","","","","1"
"Daily","1990","Rhineland-Palatinate,Saarland","middle vocational","16","","","","1"
"Daily","1990","Rhineland-Palatinate,Saarland","vocational + Abi","1","","","","1"
"Daily","1990","Rhineland-Palatinate,Saarland","higher vocational","","","","","1"
"Daily","1990","Rhineland-Palatinate,Saarland","higher education","3","","","","1"
"Daily","1990","Baden-Württemberg","in school","5","","","","1"
"Daily","1990","Baden-Württemberg","inadequately","29","","","","1"
"Daily","1990","Baden-Württemberg","general elemantary","52","0.0772665434582578","0.0542055319518154","0.1003275549647","1"
"Daily","1990","Baden-Württemberg","middle vocational","52","0.0450468114896424","0.0306655239061646","0.0594280990731202","1"
"Daily","1990","Baden-Württemberg","vocational + Abi","2","","","","1"
"Daily","1990","Baden-Württemberg","higher vocational","1","","","","1"
"Daily","1990","Baden-Württemberg","higher education","4","","","","1"
"Daily","1990","Bavaria","in school","2","","","","1"
"Daily","1990","Bavaria","inadequately","4","","","","1"
"Daily","1990","Bavaria","general elemantary","29","","","","1"
"Daily","1990","Bavaria","middle vocational","25","","","","1"
"Daily","1990","Bavaria","vocational + Abi","2","","","","1"
"Daily","1990","Bavaria","higher vocational","4","","","","1"
"Daily","1990","Bavaria","higher education","4","","","","1"
"Daily","1990","Berlin","in school","3","","","","1"
"Daily","1990","Berlin","inadequately","3","","","","1"
"Daily","1990","Berlin","general elemantary","10","","","","1"
"Daily","1990","Berlin","middle vocational","10","","","","1"
"Daily","1990","Berlin","vocational + Abi","","","","","1"
"Daily","1990","Berlin","higher vocational","1","","","","1"
"Daily","1990","Berlin","higher education","1","","","","1"
"Daily","1990","Brandenburg","in school","","","","","1"
"Daily","1990","Brandenburg","inadequately","","","","","1"
