"pli0080","year","pgisced97","sex","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","in school","Male","30","0.265214461885738","0.175008949366603","0.355419974404874","1"
"Daily","1990","in school","Female","9","","","","1"
"Daily","1990","inadequately","Male","34","0.106386953610473","0.0689086129946263","0.14386529422632","1"
"Daily","1990","inadequately","Female","38","0.127106266455443","0.0934828697322694","0.160729663178617","1"
"Daily","1990","general elemantary","Male","114","0.108857671965233","0.0881256528937937","0.129589691036672","1"
"Daily","1990","general elemantary","Female","113","0.0553685581967479","0.0441869837837103","0.0665501326097856","1"
"Daily","1990","middle vocational","Male","129","0.0389908968970224","0.0313492847240436","0.0466325090700011","1"
"Daily","1990","middle vocational","Female","95","0.0391144779952732","0.0307970038273382","0.0474319521632083","1"
"Daily","1990","vocational + Abi","Male","8","","","","1"
"Daily","1990","vocational + Abi","Female","5","","","","1"
"Daily","1990","higher vocational","Male","6","","","","1"
"Daily","1990","higher vocational","Female","6","","","","1"
"Daily","1990","higher education","Male","12","","","","1"
"Daily","1990","higher education","Female","11","","","","1"
"Min 1x per month","1990","in school","Male","14","","","","3"
"Min 1x per month","1990","in school","Female","11","","","","3"
"Min 1x per month","1990","inadequately","Male","45","0.211463496678798","0.161828268466403","0.261098724891192","3"
"Min 1x per month","1990","inadequately","Female","78","0.203333001786954","0.162705532985609","0.243960470588298","3"
"Min 1x per month","1990","general elemantary","Male","172","0.235930068245727","0.207668468356723","0.264191668134731","3"
"Min 1x per month","1990","general elemantary","Female","424","0.290648320460943","0.268448223965955","0.312848416955931","3"
"Min 1x per month","1990","middle vocational","Male","761","0.311649668270893","0.293365394022402","0.329933942519384","3"
"Min 1x per month","1990","middle vocational","Female","638","0.312048164451687","0.292169980761629","0.331926348141746","3"
"Min 1x per month","1990","vocational + Abi","Male","44","0.268563966725233","0.201343441323288","0.335784492127178","3"
"Min 1x per month","1990","vocational + Abi","Female","37","0.324270832131309","0.242859191588223","0.405682472674395","3"
"Min 1x per month","1990","higher vocational","Male","104","0.365553975128225","0.309346169239371","0.421761781017078","3"
"Min 1x per month","1990","higher vocational","Female","72","0.280582833028247","0.222644893319621","0.338520772736872","3"
"Min 1x per month","1990","higher education","Male","169","0.363564410681484","0.320076647257487","0.407052174105482","3"
"Min 1x per month","1990","higher education","Female","73","0.321557421252054","0.261062882946173","0.382051959557936","3"
"Min 1x per week","1990","inadequately","Male","139","0.521125988742997","0.460404359290551","0.581847618195443","2"
"Min 1x per week","1990","in school","Male","39","0.422466199255746","0.321531878548137","0.523400519963355","2"
"Min 1x per week","1990","in school","Female","43","0.720997276843017","0.6151707412677","0.826823812418334","2"
"Min 1x per week","1990","inadequately","Female","206","0.465035912333151","0.414687825040036","0.515383999626265","2"
"Min 1x per week","1990","general elemantary","Male","405","0.386856517350441","0.354437894697461","0.419275140003421","2"
"Min 1x per week","1990","general elemantary","Female","660","0.364808145240184","0.341272566826494","0.388343723653874","2"
"Min 1x per week","1990","middle vocational","Male","980","0.370754930053672","0.351687462881122","0.389822397226222","2"
"Min 1x per week","1990","middle vocational","Female","905","0.411030230017748","0.389921104090317","0.43213935594518","2"
"Min 1x per week","1990","vocational + Abi","Male","79","0.468757512268513","0.393072414424434","0.544442610112593","2"
"Min 1x per week","1990","vocational + Abi","Female","69","0.493749727069728","0.406797181631832","0.580702272507624","2"
"Min 1x per week","1990","higher vocational","Male","83","0.279260417224539","0.226898273894558","0.331622560554519","2"
"Min 1x per week","1990","higher vocational","Female","106","0.46512797378105","0.400806901862478","0.529449045699622","2"
"Min 1x per week","1990","higher education","Male","194","0.406616915380921","0.362209094386315","0.451024736375527","2"
"Min 1x per week","1990","higher education","Female","111","0.501153906599827","0.436395046193111","0.565912767006543","2"
"Never","1990","in school","Male","","","","","5"
"Never","1990","vocational + Abi","Female","2","","","","5"
"Never","1990","higher vocational","Male","6","","","","5"
"Never","1990","higher vocational","Female","5","","","","5"
"Never","1990","higher education","Male","6","","","","5"
"Never","1990","higher education","Female","2","","","","5"
"Never","1990","in school","Female","2","","","","5"
"Never","1990","inadequately","Male","10","","","","5"
"Never","1990","inadequately","Female","14","","","","5"
