"pli0080","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","1-pers.-HH","in school","1","","","","1"
"Daily","1990","1-pers.-HH","inadequately","8","","","","1"
"Daily","1990","1-pers.-HH","general elemantary","23","","","","1"
"Daily","1990","1-pers.-HH","middle vocational","41","0.0650018955407601","0.0429704025440594","0.0870333885374607","1"
"Daily","1990","1-pers.-HH","vocational + Abi","5","","","","1"
"Daily","1990","1-pers.-HH","higher vocational","3","","","","1"
"Daily","1990","1-pers.-HH","higher education","7","","","","1"
"Daily","1990","(Married) couple without C. ","in school","","","","","1"
"Daily","1990","(Married) couple without C. ","inadequately","4","","","","1"
"Daily","1990","(Married) couple without C. ","general elemantary","20","","","","1"
"Daily","1990","(Married) couple without C. ","middle vocational","35","0.0241503024992536","0.0156229116585766","0.0326776933399305","1"
"Daily","1990","(Married) couple without C. ","vocational + Abi","1","","","","1"
"Daily","1990","(Married) couple without C. ","higher vocational","3","","","","1"
"Daily","1990","(Married) couple without C. ","higher education","3","","","","1"
"Daily","1990","Single parent ","in school","1","","","","1"
"Daily","1990","Single parent ","inadequately","7","","","","1"
"Daily","1990","Single parent ","general elemantary","19","","","","1"
"Daily","1990","Single parent ","middle vocational","11","","","","1"
"Daily","1990","Single parent ","vocational + Abi","","","","","1"
"Daily","1990","Single parent ","higher vocational","2","","","","1"
"Daily","1990","Single parent ","higher education","","","","","1"
"Daily","1990","Couple + C. LE 16 ","in school","1","","","","1"
"Daily","1990","Couple + C. LE 16 ","inadequately","17","","","","1"
"Daily","1990","Couple + C. LE 16 ","general elemantary","35","0.0788789414218532","0.052529345662847","0.105228537180859","1"
"Daily","1990","Couple + C. LE 16 ","middle vocational","40","0.0314817284779484","0.0210964924335058","0.041866964522391","1"
"Daily","1990","Couple + C. LE 16 ","vocational + Abi","3","","","","1"
"Daily","1990","Couple + C. LE 16 ","higher vocational","3","","","","1"
"Daily","1990","Couple + C. LE 16 ","higher education","9","","","","1"
"Daily","1990","Couple + C. GT 16 ","in school","13","","","","1"
"Daily","1990","Couple + C. GT 16 ","inadequately","16","","","","1"
"Daily","1990","Couple + C. GT 16 ","general elemantary","63","0.0804418015760898","0.0580354895258679","0.102848113626312","1"
"Daily","1990","Couple + C. GT 16 ","middle vocational","62","0.0444622862687296","0.0315441912323382","0.057380381305121","1"
"Daily","1990","Couple + C. GT 16 ","vocational + Abi","4","","","","1"
"Daily","1990","Couple + C. GT 16 ","higher vocational","1","","","","1"
"Daily","1990","Couple + C. GT 16 ","higher education","3","","","","1"
"Daily","1990","Couple + C. LE and GT 16","in school","20","","","","1"
"Daily","1990","Couple + C. LE and GT 16","inadequately","15","","","","1"
"Daily","1990","Couple + C. LE and GT 16","general elemantary","40","0.146855973299832","0.106257130917331","0.187454815682333","1"
"Daily","1990","Couple + C. LE and GT 16","middle vocational","22","","","","1"
"Daily","1990","Couple + C. LE and GT 16","vocational + Abi","","","","","1"
"Daily","1990","Couple + C. LE and GT 16","higher vocational","","","","","1"
"Daily","1990","Couple + C. LE and GT 16","higher education","","","","","1"
"Min 1x per month","1990","Couple + C. LE and GT 16","vocational + Abi","5","","","","3"
"Min 1x per month","1990","Couple + C. LE and GT 16","middle vocational","93","0.327201505892399","0.275388001534933","0.379015010249865","3"
"Min 1x per month","1990","1-pers.-HH","in school","1","","","","3"
"Min 1x per month","1990","1-pers.-HH","inadequately","2","","","","3"
"Min 1x per month","1990","1-pers.-HH","general elemantary","72","0.267881424775683","0.218099313387296","0.317663536164069","3"
"Min 1x per month","1990","1-pers.-HH","middle vocational","102","0.198783131758607","0.163118285265484","0.23444797825173","3"
"Min 1x per month","1990","1-pers.-HH","vocational + Abi","9","","","","3"
"Min 1x per month","1990","1-pers.-HH","higher vocational","16","","","","3"
"Min 1x per month","1990","1-pers.-HH","higher education","28","","","","3"
"Min 1x per month","1990","(Married) couple without C. ","in school","","","","","3"
"Min 1x per month","1990","(Married) couple without C. ","inadequately","17","","","","3"
"Min 1x per month","1990","(Married) couple without C. ","general elemantary","163","0.332979856501361","0.293082497203715","0.372877215799006","3"
"Min 1x per month","1990","(Married) couple without C. ","middle vocational","420","0.351151624015395","0.324637189636491","0.377666058394299","3"
"Min 1x per month","1990","Single parent ","in school","1","","","","3"
"Min 1x per month","1990","Single parent ","inadequately","6","","","","3"
"Min 1x per month","1990","Single parent ","general elemantary","19","","","","3"
"Min 1x per month","1990","Single parent ","middle vocational","52","0.286015593175338","0.22400409465595","0.348027091694727","3"
"Min 1x per month","1990","Single parent ","vocational + Abi","2","","","","3"
"Min 1x per month","1990","Single parent ","higher vocational","8","","","","3"
"Min 1x per month","1990","Single parent ","higher education","5","","","","3"
"Min 1x per month","1990","Couple + C. LE 16 ","in school","","","","","3"
"Min 1x per month","1990","Couple + C. LE 16 ","inadequately","32","0.203642188951092","0.13919700585684","0.268087372045343","3"
"Min 1x per month","1990","Couple + C. LE 16 ","general elemantary","103","0.272778140324569","0.229239655710056","0.316316624939083","3"
"Min 1x per month","1990","Couple + C. LE 16 ","middle vocational","383","0.373838557761155","0.345063355482985","0.402613760039324","3"
"Min 1x per month","1990","Couple + C. LE 16 ","vocational + Abi","20","","","","3"
"Min 1x per month","1990","Couple + C. LE 16 ","higher vocational","57","0.38333930285865","0.30527189381231","0.46140671190499","3"
"Min 1x per month","1990","Couple + C. LE 16 ","higher education","81","0.407119144897783","0.337985142205471","0.476253147590094","3"
"Min 1x per month","1990","Couple + C. GT 16 ","in school","7","","","","3"
"Min 1x per month","1990","Couple + C. GT 16 ","inadequately","23","","","","3"
"Min 1x per month","1990","Couple + C. GT 16 ","general elemantary","129","0.273501938227679","0.236779009513317","0.310224866942041","3"
"Min 1x per month","1990","Couple + C. GT 16 ","middle vocational","284","0.303593251494927","0.274775757862735","0.332410745127119","3"
"Min 1x per month","1990","Couple + C. GT 16 ","vocational + Abi","12","","","","3"
"Min 1x per month","1990","Couple + C. GT 16 ","higher vocational","29","","","","3"
"Min 1x per month","1990","Couple + C. GT 16 ","higher education","42","0.382479233167293","0.292872925335615","0.472085540998971","3"
"Min 1x per month","1990","Couple + C. LE and GT 16","in school","13","","","","3"
"Min 1x per month","1990","Couple + C. LE and GT 16","inadequately","27","","","","3"
"Min 1x per month","1990","Couple + C. LE and GT 16","general elemantary","65","0.253271341159378","0.203390806481058","0.303151875837698","3"
"Min 1x per month","1990","Couple + C. LE and GT 16","higher vocational","9","","","","3"
"Min 1x per month","1990","Couple + C. LE and GT 16","higher education","6","","","","3"
"Min 1x per month","1990","(Married) couple without C. ","vocational + Abi","30","0.425420605632847","0.31708096719192","0.533760244073774","3"
"Min 1x per month","1990","(Married) couple without C. ","higher vocational","50","0.304554608987534","0.23210328158843","0.377005936386637","3"
"Min 1x per month","1990","(Married) couple without C. ","higher education","73","0.400768073421624","0.332509135529316","0.469027011313933","3"
"Min 1x per week","1990","1-pers.-HH","in school","1","","","","2"
"Min 1x per week","1990","1-pers.-HH","higher vocational","27","","","","2"
"Min 1x per week","1990","1-pers.-HH","inadequately","22","","","","2"
"Min 1x per week","1990","1-pers.-HH","higher education","65","0.578454905863491","0.486174706843662","0.670735104883321","2"
"Min 1x per week","1990","(Married) couple without C. ","in school","","","","","2"
"Min 1x per week","1990","Couple + C. LE and GT 16","middle vocational","134","0.364065123127067","0.310929145652713","0.41720110060142","2"
"Min 1x per week","1990","1-pers.-HH","general elemantary","132","0.389302749306864","0.334491712531593","0.444113786082136","2"
"Min 1x per week","1990","1-pers.-HH","middle vocational","228","0.482877055699513","0.438219932593759","0.527534178805266","2"
"Min 1x per week","1990","1-pers.-HH","vocational + Abi","21","","","","2"
"Min 1x per week","1990","(Married) couple without C. ","inadequately","38","0.547990489647094","0.431401008932458","0.66457997036173","2"
"Min 1x per week","1990","(Married) couple without C. ","higher education","83","0.390978289108135","0.32300970792373","0.458946870292541","2"
"Min 1x per week","1990","(Married) couple without C. ","general elemantary","188","0.306115937298769","0.267099094583607","0.345132780013931","2"
"Min 1x per week","1990","(Married) couple without C. ","middle vocational","496","0.35481803329278","0.32824094693994","0.38139511964562","2"
"Min 1x per week","1990","(Married) couple without C. ","vocational + Abi","35","0.370376181121238","0.264556804976978","0.476195557265497","2"
"Min 1x per week","1990","(Married) couple without C. ","higher vocational","57","0.373402635741837","0.297253458842281","0.449551812641393","2"
"Min 1x per week","1990","Single parent ","in school","7","","","","2"
"Min 1x per week","1990","Single parent ","inadequately","9","","","","2"
"Min 1x per week","1990","Single parent ","general elemantary","66","0.458274239714779","0.376609884210255","0.539938595219303","2"
"Min 1x per week","1990","Single parent ","middle vocational","96","0.455578616696742","0.387237470173637","0.523919763219847","2"
"Min 1x per week","1990","Single parent ","vocational + Abi","9","","","","2"
"Min 1x per week","1990","Single parent ","higher vocational","9","","","","2"
"Min 1x per week","1990","Single parent ","higher education","15","","","","2"
"Min 1x per week","1990","Couple + C. LE 16 ","in school","","","","","2"
"Min 1x per week","1990","Couple + C. LE 16 ","inadequately","78","0.482555653542831","0.402589171848342","0.562522135237319","2"
"Min 1x per week","1990","Couple + C. LE 16 ","general elemantary","199","0.427356000827843","0.37899755611437","0.475714445541316","2"
"Min 1x per week","1990","Couple + C. LE 16 ","middle vocational","436","0.36251009313114","0.33391905752415","0.39110112873813","2"
"Min 1x per week","1990","Couple + C. LE 16 ","vocational + Abi","40","0.495895249404555","0.381200897958177","0.610589600850933","2"
"Min 1x per week","1990","Couple + C. LE 16 ","higher vocational","57","0.365827086144197","0.288488410620933","0.443165761667462","2"
"Min 1x per week","1990","Couple + C. LE 16 ","higher education","74","0.394020800645007","0.325260833718958","0.462780767571057","2"
"Min 1x per week","1990","Couple + C. GT 16 ","in school","46","0.665667300216709","0.555934375134856","0.775400225298562","2"
"Min 1x per week","1990","Couple + C. GT 16 ","inadequately","90","0.562649511215568","0.483528214104488","0.641770808326648","2"
"Min 1x per week","1990","Couple + C. GT 16 ","general elemantary","240","0.358083804951709","0.318586143626694","0.397581466276724","2"
"Min 1x per week","1990","Couple + C. GT 16 ","middle vocational","383","0.360210477032897","0.330123718825747","0.390297235240047","2"
"Min 1x per week","1990","Couple + C. GT 16 ","vocational + Abi","24","","","","2"
"Min 1x per week","1990","Couple + C. GT 16 ","higher vocational","19","","","","2"
