"pli0080","year","bula_h","education","n","percent","lower_confidence","upper_confidence"
"Daily","1990","Schleswig-Holstein","lower secondary degree","8","","",""
"Daily","1990","Schleswig-Holstein","secondary school degree","2","","",""
"Daily","1990","Schleswig-Holstein","college entrance qualification","4","","",""
"Daily","1990","Schleswig-Holstein","Other degree","","","",""
"Daily","1990","Schleswig-Holstein","no degree/no degree yet","2","","",""
"Daily","1990","Hamburg","lower secondary degree","2","","",""
"Daily","1990","Hamburg","secondary school degree","3","","",""
"Daily","1990","Hamburg","college entrance qualification","","","",""
"Daily","1990","Hamburg","Other degree","2","","",""
"Daily","1990","Hamburg","no degree/no degree yet","1","","",""
"Daily","1990","Lower Saxony","lower secondary degree","24","","",""
"Daily","1990","Lower Saxony","secondary school degree","9","","",""
"Daily","1990","Lower Saxony","college entrance qualification","8","","",""
"Daily","1990","Lower Saxony","Other degree","4","","",""
"Daily","1990","Lower Saxony","no degree/no degree yet","7","","",""
"Daily","1990","Bremen","lower secondary degree","7","","",""
"Daily","1990","Bremen","secondary school degree","1","","",""
"Daily","1990","Bremen","college entrance qualification","1","","",""
"Daily","1990","Bremen","Other degree","2","","",""
"Daily","1990","Bremen","no degree/no degree yet","1","","",""
"Daily","1990","North Rhine-Westphalia","lower secondary degree","65","0.0469989583838026","0.0347936739973376","0.0592042427702676"
"Daily","1990","North Rhine-Westphalia","secondary school degree","24","","",""
"Daily","1990","North Rhine-Westphalia","college entrance qualification","18","","",""
"Daily","1990","North Rhine-Westphalia","Other degree","16","","",""
"Daily","1990","North Rhine-Westphalia","no degree/no degree yet","32","0.134578683223606","0.093489540001929","0.175667826445284"
"Daily","1990","Hesse","lower secondary degree","24","","",""
"Daily","1990","Hesse","secondary school degree","10","","",""
"Daily","1990","Hesse","college entrance qualification","8","","",""
"Daily","1990","Hesse","Other degree","13","","",""
"Daily","1990","Hesse","no degree/no degree yet","24","","",""
"Daily","1990","Rhineland-Palatinate,Saarland","lower secondary degree","27","","",""
"Daily","1990","Rhineland-Palatinate,Saarland","secondary school degree","1","","",""
"Daily","1990","Rhineland-Palatinate,Saarland","college entrance qualification","4","","",""
"Daily","1990","Rhineland-Palatinate,Saarland","Other degree","6","","",""
"Daily","1990","Rhineland-Palatinate,Saarland","no degree/no degree yet","5","","",""
"Daily","1990","Baden-Württemberg","lower secondary degree","60","0.0448663484429911","0.0308588834328138","0.0588738134531684"
"Daily","1990","Baden-Württemberg","secondary school degree","14","","",""
"Daily","1990","Baden-Württemberg","college entrance qualification","9","","",""
"Daily","1990","Baden-Württemberg","Other degree","26","","",""
"Daily","1990","Baden-Württemberg","no degree/no degree yet","34","0.20295496005423","0.148557363690903","0.257352556417557"
"Daily","1990","Bavaria","lower secondary degree","36","0.0406503814296958","0.0270255201332905","0.0542752427261011"
"Daily","1990","Bavaria","secondary school degree","6","","",""
"Daily","1990","Bavaria","college entrance qualification","10","","",""
"Daily","1990","Bavaria","Other degree","9","","",""
"Daily","1990","Bavaria","no degree/no degree yet","6","","",""
"Daily","1990","Berlin","lower secondary degree","3","","",""
"Daily","1990","Berlin","secondary school degree","10","","",""
"Daily","1990","Berlin","college entrance qualification","2","","",""
"Daily","1990","Berlin","Other degree","5","","",""
"Daily","1990","Berlin","no degree/no degree yet","7","","",""
"Daily","1990","Brandenburg","lower secondary degree","","","",""
"Daily","1990","Brandenburg","secondary school degree","","","",""
"Daily","1990","Brandenburg","college entrance qualification","","","",""
"Daily","1990","Brandenburg","Other degree","","","",""
"Daily","1990","Brandenburg","no degree/no degree yet","","","",""
"Daily","1990","Mecklenburg-Western Pomerania","lower secondary degree","","","",""
