"pli0080","year","bula_h","sex","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","Schleswig-Holstein","Male","11","","","","1"
"Daily","1990","Schleswig-Holstein","Female","6","","","","1"
"Daily","1990","Hamburg","Male","2","","","","1"
"Daily","1990","Hamburg","Female","6","","","","1"
"Daily","1990","Lower Saxony","Male","33","0.0512558035306767","0.0316301869005797","0.0708814201607738","1"
"Daily","1990","Lower Saxony","Female","24","","","","1"
"Daily","1990","Bremen","Male","5","","","","1"
"Daily","1990","Bremen","Female","7","","","","1"
"Daily","1990","North Rhine-Westphalia","Male","82","0.0525767947439283","0.0403019702106561","0.0648516192772005","1"
"Daily","1990","North Rhine-Westphalia","Female","81","0.0565334293194113","0.0439984039013782","0.0690684547374445","1"
"Daily","1990","Hesse","Male","46","0.0598163273573721","0.0388188909002801","0.0808137638144642","1"
"Daily","1990","Hesse","Female","35","0.0443982281323871","0.0261975809072441","0.0625988753575301","1"
"Daily","1990","Rhineland-Palatinate,Saarland","Male","21","","","","1"
"Daily","1990","Rhineland-Palatinate,Saarland","Female","24","","","","1"
"Daily","1990","Baden-Württemberg","Male","88","0.0599738152243348","0.0445043743938784","0.0754432560547912","1"
"Daily","1990","Baden-Württemberg","Female","57","0.0487798620622627","0.0346359339299533","0.062923790194572","1"
"Daily","1990","Bavaria","Male","40","0.0422589690719332","0.0282213618916466","0.0562965762522198","1"
"Daily","1990","Bavaria","Female","31","0.038174726668617","0.0250031161994747","0.0513463371377594","1"
"Daily","1990","Berlin","Male","15","","","","1"
"Daily","1990","Berlin","Female","13","","","","1"
"Daily","1990","Brandenburg","Male","","","","","1"
"Daily","1990","Brandenburg","Female","","","","","1"
"Daily","1990","Mecklenburg-Western Pomerania","Male","","","","","1"
"Daily","1990","Mecklenburg-Western Pomerania","Female","","","","","1"
"Daily","1990","Saxony","Male","","","","","1"
"Daily","1990","Saxony","Female","","","","","1"
"Daily","1990","Saxony-Anhalt","Male","","","","","1"
"Daily","1990","Saxony-Anhalt","Female","","","","","1"
"Daily","1990","Thuringia","Male","","","","","1"
"Daily","1990","Thuringia","Female","","","","","1"
"Min 1x per month","1990","Hamburg","Female","25","","","","3"
"Min 1x per month","1990","Saxony","Female","","","","","3"
"Min 1x per month","1990","Schleswig-Holstein","Female","48","0.356521350492868","0.278828419540646","0.43421428144509","3"
"Min 1x per month","1990","Hamburg","Male","24","","","","3"
"Min 1x per month","1990","Mecklenburg-Western Pomerania","Male","","","","","3"
"Min 1x per month","1990","Mecklenburg-Western Pomerania","Female","","","","","3"
"Min 1x per month","1990","Saxony","Male","","","","","3"
"Min 1x per month","1990","Schleswig-Holstein","Male","55","0.419141090829252","0.336517654284423","0.501764527374081","3"
"Min 1x per month","1990","Brandenburg","Female","","","","","3"
"Min 1x per month","1990","Thuringia","Female","","","","","3"
"Min 1x per month","1990","Saxony-Anhalt","Male","","","","","3"
"Min 1x per month","1990","Saxony-Anhalt","Female","","","","","3"
"Min 1x per month","1990","Thuringia","Male","","","","","3"
"Min 1x per month","1990","Lower Saxony","Male","144","0.313182088121789","0.271906194372506","0.354457981871072","3"
"Min 1x per month","1990","Lower Saxony","Female","141","0.297097487413675","0.256758808713565","0.337436166113786","3"
"Min 1x per month","1990","Bremen","Male","14","","","","3"
"Min 1x per month","1990","Bremen","Female","14","","","","3"
"Min 1x per month","1990","North Rhine-Westphalia","Male","366","0.3135820158986","0.288065808051052","0.339098223746149","3"
"Min 1x per month","1990","North Rhine-Westphalia","Female","373","0.309290424246031","0.284203912867737","0.334376935624324","3"
"Min 1x per month","1990","Hesse","Male","114","0.252134821913756","0.213686435179649","0.290583208647862","3"
"Min 1x per month","1990","Hesse","Female","124","0.263656125870947","0.224722503530514","0.302589748211379","3"
"Min 1x per month","1990","Rhineland-Palatinate,Saarland","Male","82","0.257344871870189","0.2095207586152","0.305168985125177","3"
"Min 1x per month","1990","Rhineland-Palatinate,Saarland","Female","95","0.28132357005605","0.234216745491909","0.328430394620192","3"
"Min 1x per month","1990","Baden-Württemberg","Male","240","0.304670380613636","0.274683293325948","0.334657467901325","3"
"Min 1x per month","1990","Baden-Württemberg","Female","240","0.299409255532732","0.269336442967231","0.329482068098233","3"
"Min 1x per month","1990","Bavaria","Male","250","0.321442538905936","0.288854773642664","0.354030304169209","3"
"Min 1x per month","1990","Bavaria","Female","243","0.301156990209461","0.269622261073862","0.332691719345061","3"
"Min 1x per month","1990","Berlin","Male","35","0.202902941575953","0.139591527052789","0.266214356099117","3"
"Min 1x per month","1990","Berlin","Female","46","0.278537091489112","0.211929766984749","0.345144415993476","3"
"Min 1x per month","1990","Brandenburg","Male","","","","","3"
"Min 1x per week","1990","Mecklenburg-Western Pomerania","Female","","","","","2"
"Min 1x per week","1990","Saxony","Male","","","","","2"
"Min 1x per week","1990","Saxony","Female","","","","","2"
"Min 1x per week","1990","Saxony-Anhalt","Male","","","","","2"
"Min 1x per week","1990","Saxony-Anhalt","Female","","","","","2"
"Min 1x per week","1990","Schleswig-Holstein","Male","38","0.26604684942065","0.192052077284722","0.340041621556578","2"
"Min 1x per week","1990","Schleswig-Holstein","Female","56","0.391625377748262","0.312449548377947","0.470801207118576","2"
"Min 1x per week","1990","Hamburg","Male","44","0.526351860804832","0.417616304525026","0.635087417084638","2"
"Min 1x per week","1990","Hamburg","Female","42","0.439683427365977","0.335385603563378","0.543981251168575","2"
"Min 1x per week","1990","Lower Saxony","Male","183","0.353174286764217","0.310637429674603","0.395711143853832","2"
"Min 1x per week","1990","Lower Saxony","Female","217","0.406949823465621","0.363584680415442","0.450314966515801","2"
"Min 1x per week","1990","Bremen","Male","18","","","","2"
"Min 1x per week","1990","Bremen","Female","24","","","","2"
"Min 1x per week","1990","North Rhine-Westphalia","Male","578","0.412114686635414","0.385043855996203","0.439185517274626","2"
"Min 1x per week","1990","North Rhine-Westphalia","Female","614","0.440750764924504","0.41380388221422","0.467697647634788","2"
"Min 1x per week","1990","Hesse","Male","209","0.386874703692164","0.343751617429339","0.429997789954989","2"
"Min 1x per week","1990","Hesse","Female","217","0.398847789790453","0.355580333999267","0.44211524558164","2"
"Min 1x per week","1990","Rhineland-Palatinate,Saarland","Male","133","0.397084294280632","0.343558240219739","0.450610348341525","2"
"Min 1x per week","1990","Thuringia","Male","","","","","2"
"Min 1x per week","1990","Thuringia","Female","","","","","2"
"Min 1x per week","1990","Brandenburg","Female","","","","","2"
"Min 1x per week","1990","Mecklenburg-Western Pomerania","Male","","","","","2"
"Min 1x per week","1990","Baden-Württemberg","Female","406","0.3975510266447","0.365416950904935","0.429685102384464","2"
"Min 1x per week","1990","Bavaria","Male","295","0.345142937475357","0.311970121250469","0.378315753700245","2"
"Min 1x per week","1990","Bavaria","Female","351","0.400721785732589","0.367036631497164","0.434406939968015","2"
"Min 1x per week","1990","Berlin","Male","70","0.446661434928124","0.368396551972327","0.52492631788392","2"
"Min 1x per week","1990","Rhineland-Palatinate,Saarland","Female","140","0.363348036121936","0.312960105932901","0.413735966310971","2"
"Min 1x per week","1990","Baden-Württemberg","Male","389","0.367454168108105","0.336043918356982","0.398864417859228","2"
"Min 1x per week","1990","Berlin","Female","77","0.404168271068282","0.33125335364025","0.477083188496314","2"
"Min 1x per week","1990","Brandenburg","Male","","","","","2"
"Never","1990","Mecklenburg-Western Pomerania","Female","","","","","5"
"Never","1990","Saxony","Male","","","","","5"
"Never","1990","Schleswig-Holstein","Female","6","","","","5"
"Never","1990","North Rhine-Westphalia","Male","21","","","","5"
"Never","1990","Schleswig-Holstein","Male","4","","","","5"
"Never","1990","Hamburg","Female","1","","","","5"
"Never","1990","Lower Saxony","Female","11","","","","5"
"Never","1990","Bremen","Male","","","","","5"
"Never","1990","Bremen","Female","2","","","","5"
"Never","1990","Saxony","Female","","","","","5"
"Never","1990","Hamburg","Male","3","","","","5"
"Never","1990","Lower Saxony","Male","9","","","","5"
"Never","1990","Brandenburg","Female","","","","","5"
