"pli0080","year","education","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Daily","1990","lower secondary degree","1-pers.-HH","41","0.071256807057277","0.0492723259340506","0.0932412881805033"
"Daily","1990","lower secondary degree","(Married) couple without C. ","41","0.0278309390325887","0.0188583082402572","0.0368035698249203"
"Daily","1990","lower secondary degree","Single parent ","22","","",""
"Daily","1990","lower secondary degree","Couple + C. LE 16 ","33","0.0305614739102429","0.0192721054750285","0.0418508423454574"
"Daily","1990","lower secondary degree","Couple + C. GT 16 ","62","0.0383796070881007","0.0261569091426932","0.0506023050335081"
"Daily","1990","lower secondary degree","Couple + C. LE and GT 16","34","0.0712146714152931","0.0438776594315455","0.0985516833990406"
"Daily","1990","secondary school degree","1-pers.-HH","9","","",""
"Daily","1990","secondary school degree","(Married) couple without C. ","6","","",""
"Daily","1990","secondary school degree","Single parent ","1","","",""
"Daily","1990","secondary school degree","Couple + C. LE 16 ","16","","",""
"Daily","1990","secondary school degree","Couple + C. GT 16 ","33","0.070570160136775","0.0442604382996049","0.096879881973945"
"Daily","1990","secondary school degree","Couple + C. LE and GT 16","12","","",""
"Daily","1990","college entrance qualification","1-pers.-HH","16","","",""
"Daily","1990","college entrance qualification","(Married) couple without C. ","3","","",""
"Daily","1990","college entrance qualification","Single parent ","4","","",""
"Daily","1990","college entrance qualification","Couple + C. LE 16 ","13","","",""
"Daily","1990","college entrance qualification","Couple + C. GT 16 ","21","","",""
"Daily","1990","college entrance qualification","Couple + C. LE and GT 16","3","","",""
"Daily","1990","Other degree","1-pers.-HH","8","","",""
"Daily","1990","Other degree","(Married) couple without C. ","13","","",""
"Daily","1990","Other degree","Single parent ","5","","",""
"Daily","1990","Other degree","Couple + C. LE 16 ","22","","",""
"Daily","1990","Other degree","Couple + C. GT 16 ","14","","",""
"Daily","1990","Other degree","Couple + C. LE and GT 16","11","","",""
"Daily","1990","no degree/no degree yet","1-pers.-HH","11","","",""
"Daily","1990","no degree/no degree yet","(Married) couple without C. ","3","","",""
"Daily","1990","no degree/no degree yet","Single parent ","6","","",""
"Daily","1990","no degree/no degree yet","Couple + C. LE 16 ","24","","",""
