"pli0080","year","education","pgisced97","n","percent","lower_confidence","upper_confidence"
"Daily","1990","lower secondary degree","in school","","","",""
"Daily","1990","lower secondary degree","inadequately","","","",""
"Daily","1990","lower secondary degree","general elemantary","139","0.0627412129874598","0.0508217759306816","0.0746606500442379"
"Daily","1990","lower secondary degree","middle vocational","108","0.0334199804128432","0.0266468964630634","0.040193064362623"
"Daily","1990","lower secondary degree","vocational + Abi","1","","",""
"Daily","1990","lower secondary degree","higher vocational","7","","",""
"Daily","1990","lower secondary degree","higher education","1","","",""
"Daily","1990","secondary school degree","in school","","","",""
"Daily","1990","secondary school degree","inadequately","","","",""
"Daily","1990","secondary school degree","general elemantary","37","0.0875617167990608","0.0583229029639389","0.116800530634183"
"Daily","1990","secondary school degree","middle vocational","39","0.0298117454297138","0.0197797976541747","0.0398436932052529"
"Daily","1990","secondary school degree","vocational + Abi","","","",""
"Daily","1990","secondary school degree","higher vocational","3","","",""
"Daily","1990","secondary school degree","higher education","1","","",""
"Daily","1990","college entrance qualification","in school","","","",""
"Daily","1990","college entrance qualification","inadequately","","","",""
"Daily","1990","college entrance qualification","general elemantary","","","",""
"Daily","1990","college entrance qualification","middle vocational","34","0.108563466792597","0.0721902260546744","0.14493670753052"
"Daily","1990","college entrance qualification","vocational + Abi","10","","",""
"Daily","1990","college entrance qualification","higher vocational","2","","",""
"Daily","1990","college entrance qualification","higher education","18","","",""
"Daily","1990","Other degree","in school","","","",""
"Daily","1990","Other degree","inadequately","2","","",""
"Daily","1990","Other degree","general elemantary","51","0.111254082109378","0.084356377100939","0.138151787117818"
"Daily","1990","Other degree","middle vocational","27","","",""
"Daily","1990","Other degree","vocational + Abi","2","","",""
"Daily","1990","Other degree","higher vocational","","","",""
"Daily","1990","Other degree","higher education","1","","",""
"Daily","1990","no degree/no degree yet","in school","39","0.189355777656655","0.128837079197214","0.249874476116097"
"Daily","1990","no degree/no degree yet","inadequately","68","0.118870685269501","0.0930179169840396","0.144723453554962"
"Daily","1990","no degree/no degree yet","general elemantary","","","",""
"Daily","1990","no degree/no degree yet","middle vocational","12","","",""
"Daily","1990","no degree/no degree yet","vocational + Abi","","","",""
"Daily","1990","no degree/no degree yet","higher vocational","","","",""
"Daily","1990","no degree/no degree yet","higher education","","","",""
"Min 1x per week","1990","lower secondary degree","in school","","","",""
"Min 1x per week","1990","lower secondary degree","inadequately","","","",""
"Min 1x per week","1990","lower secondary degree","general elemantary","578","0.327652969681457","0.30458266508039","0.350723274282524"
"Min 1x per week","1990","lower secondary degree","middle vocational","990","0.3584040394596","0.340333059066328","0.376475019852871"
"Min 1x per week","1990","lower secondary degree","vocational + Abi","1","","",""
"Min 1x per week","1990","lower secondary degree","higher vocational","67","0.298840112495827","0.23902859668722","0.358651628304435"
"Min 1x per week","1990","lower secondary degree","higher education","3","","",""
"Min 1x per week","1990","secondary school degree","in school","","","",""
"Min 1x per week","1990","secondary school degree","inadequately","","","",""
"Min 1x per week","1990","secondary school degree","general elemantary","197","0.512944205643294","0.461240069310451","0.564648341976137"
"Min 1x per week","1990","secondary school degree","middle vocational","475","0.40354252898212","0.37460256732397","0.432482490640269"
"Min 1x per week","1990","secondary school degree","vocational + Abi","","","",""
"Min 1x per week","1990","secondary school degree","higher vocational","62","0.396358282438563","0.321496569703303","0.471219995173823"
"Min 1x per week","1990","secondary school degree","higher education","23","","",""
"Min 1x per week","1990","college entrance qualification","in school","","","",""
"Min 1x per week","1990","college entrance qualification","inadequately","","","",""
