"pli0080","year","e11102","pgisced97","n","percent","lower_confidence","upper_confidence"
"Daily","1990","Not Employed","in school","36","0.183983955259477","0.121133129547404","0.24683478097155"
"Daily","1990","Not Employed","inadequately","30","0.147734605698358","0.105331223635789","0.190137987760927"
"Daily","1990","Not Employed","general elemantary","82","0.0548146640633999","0.0412708779110062","0.0683584502157935"
"Daily","1990","Not Employed","middle vocational","76","0.0451441993663956","0.0343606192481724","0.0559277794846188"
"Daily","1990","Not Employed","vocational + Abi","3","","",""
"Daily","1990","Not Employed","higher vocational","4","","",""
"Daily","1990","Not Employed","higher education","12","","",""
"Daily","1990","Employed","in school","3","","",""
"Daily","1990","Employed","inadequately","42","0.0935643288916558","0.0638101596363134","0.123318498146998"
"Daily","1990","Employed","general elemantary","145","0.087292515106543","0.0724485037627521","0.102136526450334"
"Daily","1990","Employed","middle vocational","148","0.0355838593398238","0.0290919345717061","0.0420757841079415"
"Daily","1990","Employed","vocational + Abi","10","","",""
"Daily","1990","Employed","higher vocational","8","","",""
"Daily","1990","Employed","higher education","11","","",""
"Min 1x per week","1990","Not Employed","in school","77","0.580483349306733","0.5004370703715","0.660529628241966"
"Min 1x per week","1990","Not Employed","inadequately","147","0.408226232900746","0.34949078832404","0.466961677477453"
"Min 1x per week","1990","Not Employed","general elemantary","414","0.341239777349464","0.31302824145326","0.369451313245669"
"Min 1x per week","1990","Not Employed","middle vocational","545","0.367149883926108","0.342113867602842","0.392185900249375"
"Min 1x per week","1990","Not Employed","vocational + Abi","42","0.425586056790552","0.320475869403614","0.53069624417749"
"Min 1x per week","1990","Not Employed","higher vocational","44","0.313024419936567","0.235655184128166","0.390393655744967"
"Min 1x per week","1990","Not Employed","higher education","51","0.404936630814465","0.321511401035496","0.488361860593435"
"Min 1x per week","1990","Employed","in school","5","","",""
"Min 1x per week","1990","Employed","inadequately","198","0.556621621521266","0.50586514417248","0.607378098870053"
"Min 1x per week","1990","Employed","general elemantary","651","0.405612113746364","0.379790260919786","0.431433966572942"
"Min 1x per week","1990","Employed","middle vocational","1340","0.402550169566939","0.38536414426323","0.419736194870648"
"Min 1x per week","1990","Employed","vocational + Abi","106","0.503232757325768","0.435447402343563","0.571018112307973"
"Min 1x per week","1990","Employed","higher vocational","145","0.38840087136183","0.33907145423119","0.43773028849247"
"Min 1x per week","1990","Employed","higher education","254","0.447342568622654","0.406379923210541","0.488305214034768"
"Min 1x per month","1990","Not Employed","in school","20","","",""
"Min 1x per month","1990","Not Employed","inadequately","51","0.204138784808894","0.155971364896392","0.252306204721397"
"Min 1x per month","1990","Not Employed","general elemantary","283","0.284124991034313","0.257289685753576","0.310960296315049"
"Min 1x per month","1990","Not Employed","middle vocational","445","0.300818583753082","0.276998660066203","0.32463850743996"
"Min 1x per month","1990","Not Employed","vocational + Abi","21","","",""
"Min 1x per month","1990","Not Employed","higher vocational","49","0.332956982873255","0.254328565802342","0.411585399944167"
"Min 1x per month","1990","Not Employed","higher education","40","0.29710274508373","0.219438428245253","0.374767061922206"
"Min 1x per month","1990","Employed","in school","5","","",""
"Min 1x per month","1990","Employed","inadequately","72","0.20927995530952","0.16771767445303","0.25084223616601"
"Min 1x per month","1990","Employed","general elemantary","313","0.266388376215056","0.24314026334776","0.289636489082352"
"Min 1x per month","1990","Employed","middle vocational","954","0.31810172907644","0.301780324572557","0.334423133580323"
"Min 1x per month","1990","Employed","vocational + Abi","60","0.308420993083853","0.245807517083443","0.371034469084263"
"Min 1x per month","1990","Employed","higher vocational","127","0.323783452720501","0.276424435760478","0.371142469680523"
"Min 1x per month","1990","Employed","higher education","202","0.363851160035307","0.324215953358641","0.403486366711973"
"Rarely","1990","Not Employed","in school","12","","",""
"Rarely","1990","Not Employed","inadequately","26","","",""
"Rarely","1990","Not Employed","general elemantary","253","0.254535903286061","0.228616731940033","0.28045507463209"
"Rarely","1990","Not Employed","middle vocational","305","0.23809741771518","0.215975632988362","0.260219202441999"
"Rarely","1990","Not Employed","vocational + Abi","16","","",""
"Rarely","1990","Not Employed","higher vocational","35","0.271045633602613","0.196883890937025","0.345207376268201"
"Rarely","1990","Not Employed","higher education","29","","",""
"Rarely","1990","Employed","in school","1","","",""
"Rarely","1990","Employed","inadequately","47","0.117165192605889","0.0843055215999777","0.1500248636118"
"Rarely","1990","Employed","general elemantary","234","0.210202116572883","0.188774518412993","0.231629714732773"
"Rarely","1990","Employed","middle vocational","636","0.225527940422246","0.210881982807067","0.240173898037425"
"Rarely","1990","Employed","vocational + Abi","29","","",""
"Rarely","1990","Employed","higher vocational","90","0.250583711788026","0.20672352870834","0.294443894867712"
"Rarely","1990","Employed","higher education","92","0.155044149720033","0.125225733271044","0.184862566169023"
"Never","1990","Not Employed","in school","1","","",""
"Never","1990","Not Employed","inadequately","15","","",""
"Never","1990","Not Employed","general elemantary","53","0.0652846642667621","0.0505859789056035","0.0799833496279207"
"Never","1990","Not Employed","middle vocational","53","0.048789915239234","0.0376007844273674","0.0599790460511007"
"Never","1990","Not Employed","vocational + Abi","3","","",""
"Never","1990","Not Employed","higher vocational","6","","",""
"Never","1990","Not Employed","higher education","1","","",""
"Never","1990","Employed","in school","1","","",""
"Never","1990","Employed","inadequately","9","","",""
"Never","1990","Employed","general elemantary","46","0.0305048783591536","0.0214610058607602","0.0395487508575471"
"Never","1990","Employed","middle vocational","50","0.0182363015945515","0.0135472329920164","0.0229253701970867"
"Never","1990","Employed","vocational + Abi","4","","",""
"Never","1990","Employed","higher vocational","5","","",""
"Never","1990","Employed","higher education","7","","",""
"Daily","1991","Not Employed","in school","","","",""
"Daily","1991","Not Employed","inadequately","","","",""
"Daily","1991","Not Employed","general elemantary","","","",""
"Daily","1991","Not Employed","middle vocational","","","",""
"Daily","1991","Not Employed","vocational + Abi","","","",""
"Daily","1991","Not Employed","higher vocational","","","",""
"Daily","1991","Not Employed","higher education","","","",""
"Daily","1991","Employed","in school","","","",""
"Daily","1991","Employed","inadequately","","","",""
"Daily","1991","Employed","general elemantary","","","",""
"Daily","1991","Employed","middle vocational","","","",""
"Daily","1991","Employed","vocational + Abi","","","",""
"Daily","1991","Employed","higher vocational","","","",""
