"pli0080","year","bula_h","migback","n","percent","lower_confidence","upper_confidence"
"Daily","1990","Schleswig-Holstein","no migration background","13","","",""
"Daily","1990","Schleswig-Holstein","direct migration background","3","","",""
"Daily","1990","Schleswig-Holstein","indirect migration background","1","","",""
"Daily","1990","Hamburg","no migration background","4","","",""
"Daily","1990","Hamburg","direct migration background","4","","",""
"Daily","1990","Hamburg","indirect migration background","","","",""
"Daily","1990","Lower Saxony","no migration background","39","0.0436691146586852","0.0295521464935841","0.0577860828237863"
"Daily","1990","Lower Saxony","direct migration background","13","","",""
"Daily","1990","Lower Saxony","indirect migration background","5","","",""
"Daily","1990","Bremen","no migration background","9","","",""
"Daily","1990","Bremen","direct migration background","3","","",""
"Daily","1990","Bremen","indirect migration background","","","",""
"Daily","1990","North Rhine-Westphalia","no migration background","80","0.0498330160559108","0.0398167063799412","0.0598493257318803"
"Daily","1990","North Rhine-Westphalia","direct migration background","68","0.0831810311899234","0.0623635256869084","0.103998536692938"
"Daily","1990","North Rhine-Westphalia","indirect migration background","15","","",""
"Daily","1990","Hesse","no migration background","29","","",""
"Daily","1990","Hesse","direct migration background","40","0.0900544929472766","0.0599352716970272","0.120173714197526"
"Daily","1990","Hesse","indirect migration background","12","","",""
"Daily","1990","Rhineland-Palatinate,Saarland","no migration background","24","","",""
"Daily","1990","Rhineland-Palatinate,Saarland","direct migration background","18","","",""
"Daily","1990","Rhineland-Palatinate,Saarland","indirect migration background","3","","",""
"Daily","1990","Baden-Württemberg","no migration background","47","0.0448633412588423","0.0322582272573419","0.0574684552603427"
"Daily","1990","Baden-Württemberg","direct migration background","79","0.0855587232342058","0.0646578741155179","0.106459572352894"
"Daily","1990","Baden-Württemberg","indirect migration background","19","","",""
"Daily","1990","Bavaria","no migration background","44","0.0369897572899161","0.0262392629752927","0.0477402516045395"
"Daily","1990","Bavaria","direct migration background","25","","",""
"Daily","1990","Bavaria","indirect migration background","2","","",""
"Daily","1990","Berlin","no migration background","14","","",""
"Daily","1990","Berlin","direct migration background","10","","",""
"Daily","1990","Berlin","indirect migration background","4","","",""
"Daily","1990","Brandenburg","no migration background","","","",""
"Daily","1990","Brandenburg","direct migration background","","","",""
"Daily","1990","Brandenburg","indirect migration background","","","",""
"Daily","1990","Mecklenburg-Western Pomerania","no migration background","","","",""
"Daily","1990","Mecklenburg-Western Pomerania","direct migration background","","","",""
"Daily","1990","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"Daily","1990","Saxony","no migration background","","","",""
"Daily","1990","Saxony","direct migration background","","","",""
"Daily","1990","Saxony","indirect migration background","","","",""
"Daily","1990","Saxony-Anhalt","no migration background","","","",""
"Daily","1990","Saxony-Anhalt","direct migration background","","","",""
"Daily","1990","Saxony-Anhalt","indirect migration background","","","",""
"Daily","1990","Thuringia","no migration background","","","",""
