"pli0080","year","migback","sex","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","no migration background","Male","151","0.0476001911346457","0.0402184518247656","0.0549819304445259","1"
"Daily","1990","no migration background","Female","152","0.0431640722496074","0.0363866137517483","0.0499415307474664","1"
"Daily","1990","direct migration background","Male","155","0.0871349499911314","0.0720286784987283","0.102241221483535","1"
"Daily","1990","direct migration background","Female","108","0.0762709010293978","0.0612717379084886","0.091270064150307","1"
"Daily","1990","indirect migration background","Male","37","0.148124589885204","0.0903062375254352","0.205942942244972","1"
"Daily","1990","indirect migration background","Female","24","","","","1"
"Min 1x per month","1990","no migration background","Female","1059","0.304122034904925","0.28878019626499","0.31946387354486","3"
"Min 1x per month","1990","no migration background","Male","1019","0.313294258572451","0.297213509951317","0.329375007193584","3"
"Min 1x per month","1990","direct migration background","Male","288","0.252433276655972","0.229165435760882","0.275701117551062","3"
"Min 1x per month","1990","direct migration background","Female","269","0.267632396997987","0.242614593240174","0.2926502007558","3"
"Min 1x per month","1990","indirect migration background","Male","17","","","","3"
"Min 1x per month","1990","indirect migration background","Female","21","","","","3"
"Min 1x per week","1990","no migration background","Female","1418","0.404508218776015","0.38814048753283","0.420875950019201","2"
"Min 1x per week","1990","no migration background","Male","1198","0.371491135663582","0.354738828132879","0.388243443194285","2"
"Min 1x per week","1990","direct migration background","Male","687","0.42758226398564","0.401083587405061","0.454080940566219","2"
"Min 1x per week","1990","direct migration background","Female","641","0.447401290916863","0.41930371671523","0.475498865118496","2"
"Min 1x per week","1990","indirect migration background","Male","72","0.504473155506085","0.423093337582614","0.585852973429556","2"
"Min 1x per week","1990","indirect migration background","Female","85","0.558858191780046","0.479133127709358","0.638583255850734","2"
"Never","1990","no migration background","Male","77","0.0269960284464099","0.0213771200660487","0.032614936826771","5"
"Never","1990","no migration background","Female","93","0.0342520727612369","0.0281866336729871","0.0403175118494867","5"
"Never","1990","direct migration background","Male","39","0.0402561446772077","0.0297280068263105","0.0507842825281049","5"
"Never","1990","direct migration background","Female","38","0.0456488152509423","0.0338541901508211","0.0574434403510635","5"
