"pli0080","year","education","sex","n","percent","lower_confidence","upper_confidence"
"Daily","1990","lower secondary degree","Male","141","0.046244320924549","0.0374019972749773","0.0550866445741208"
"Daily","1990","lower secondary degree","Female","115","0.0414590281313698","0.0334382939931045","0.0494797622696351"
"Daily","1990","secondary school degree","Male","34","0.0410770155697597","0.0262683866296141","0.0558856445099053"
"Daily","1990","secondary school degree","Female","46","0.0371322845105537","0.0253656733426063","0.048898895678501"
"Daily","1990","college entrance qualification","Male","33","0.0447133778146203","0.0298825885159396","0.0595441671133009"
"Daily","1990","college entrance qualification","Female","31","0.062463243574946","0.0403005893939571","0.0846258977559349"
"Daily","1990","Other degree","Male","49","0.089742009864689","0.0667575123158848","0.112726507413493"
"Daily","1990","Other degree","Female","34","0.0857461331427495","0.0588081722817647","0.112684094003734"
"Daily","1990","no degree/no degree yet","Male","71","0.171934557478485","0.133996926250963","0.209872188706007"
"Daily","1990","no degree/no degree yet","Female","48","0.117170786567186","0.0878432811397442","0.146498291994627"
"Min 1x per week","1990","lower secondary degree","Male","749","0.319830156034015","0.300192618555862","0.339467693512168"
"Min 1x per week","1990","lower secondary degree","Female","890","0.364649036976822","0.345282873050453","0.384015200903192"
"Min 1x per week","1990","secondary school degree","Male","298","0.405013535103725","0.368385648808466","0.441641421398984"
"Min 1x per week","1990","secondary school degree","Female","459","0.436175111801915","0.405315190322266","0.467035033281564"
"Min 1x per week","1990","college entrance qualification","Male","348","0.467408214325025","0.431604830074957","0.503211598575093"
"Min 1x per week","1990","college entrance qualification","Female","242","0.521531035588082","0.475781960607804","0.56728011056836"
"Min 1x per week","1990","Other degree","Male","321","0.494379463739095","0.454172856080606","0.534586071397584"
"Min 1x per week","1990","Other degree","Female","231","0.528479369419815","0.480452042962657","0.576506695876973"
"Min 1x per week","1990","no degree/no degree yet","Male","189","0.47644069912836","0.426224520687341","0.526656877569379"
"Min 1x per week","1990","no degree/no degree yet","Female","262","0.564326132097685","0.519112131088555","0.609540133106816"
"Min 1x per month","1990","lower secondary degree","Male","662","0.316723794687952","0.297137281474512","0.336310307901392"
"Min 1x per month","1990","lower secondary degree","Female","736","0.31601134490714","0.297305599969866","0.334717089844415"
"Min 1x per month","1990","secondary school degree","Male","221","0.320041920138281","0.285234803486174","0.354849036790388"
"Min 1x per month","1990","secondary school degree","Female","283","0.287992928209896","0.259813944868022","0.316171911551771"
"Min 1x per month","1990","college entrance qualification","Male","220","0.298953987074885","0.266102569539858","0.331805404609911"
"Min 1x per month","1990","college entrance qualification","Female","131","0.295799339980717","0.254000698553616","0.337597981407817"
"Min 1x per month","1990","Other degree","Male","139","0.26342963976799","0.228005908308968","0.298853371227012"
"Min 1x per month","1990","Other degree","Female","89","0.251032221770562","0.209314522929438","0.292749920611686"
"Min 1x per month","1990","no degree/no degree yet","Male","63","0.177272539582792","0.138874856265696","0.215670222899888"
"Min 1x per month","1990","no degree/no degree yet","Female","91","0.154726498492028","0.121749731227829","0.187703265756228"
"Rarely","1990","lower secondary degree","Male","547","0.280758750864527","0.2618386878104","0.299678813918654"
"Rarely","1990","lower secondary degree","Female","548","0.231715802768043","0.214739699881619","0.248691905654466"
"Rarely","1990","secondary school degree","Male","124","0.21014798179036","0.179749000960672","0.240546962620049"
"Rarely","1990","secondary school degree","Female","193","0.221048893779069","0.195226795657136","0.246870991901002"
"Rarely","1990","college entrance qualification","Male","135","0.174389699794295","0.147161016309894","0.201618383278696"
"Rarely","1990","college entrance qualification","Female","49","0.105701413025316","0.0775437231861185","0.133859102864513"
"Rarely","1990","Other degree","Male","66","0.130818163167264","0.103701002571655","0.157935323762874"
"Rarely","1990","Other degree","Female","44","0.107811125851965","0.0779721278819782","0.137650123821951"
"Rarely","1990","no degree/no degree yet","Male","46","0.142990184191315","0.107793455248317","0.178186913134313"
"Rarely","1990","no degree/no degree yet","Female","45","0.108710162599262","0.0803262897117858","0.137094035486738"
"Never","1990","lower secondary degree","Male","68","0.036442977488957","0.0285532087745326","0.0443327462033814"
"Never","1990","lower secondary degree","Female","84","0.0461647872166248","0.0377218936083693","0.0546076808248803"
"Never","1990","secondary school degree","Male","13","","",""
"Never","1990","secondary school degree","Female","11","","",""
"Never","1990","college entrance qualification","Male","10","","",""
"Never","1990","college entrance qualification","Female","5","","",""
"Never","1990","Other degree","Male","19","","",""
"Never","1990","Other degree","Female","17","","",""
"Never","1990","no degree/no degree yet","Male","11","","",""
"Never","1990","no degree/no degree yet","Female","16","","",""
"Daily","1991","lower secondary degree","Male","","","",""
"Daily","1991","lower secondary degree","Female","","","",""
"Daily","1991","secondary school degree","Male","","","",""
"Daily","1991","secondary school degree","Female","","","",""
"Daily","1991","college entrance qualification","Male","","","",""
"Daily","1991","college entrance qualification","Female","","","",""
"Daily","1991","Other degree","Male","","","",""
"Daily","1991","Other degree","Female","","","",""
"Daily","1991","no degree/no degree yet","Male","","","",""
"Daily","1991","no degree/no degree yet","Female","","","",""
"Min 1x per week","1991","lower secondary degree","Male","","","",""
"Min 1x per week","1991","lower secondary degree","Female","","","",""
"Min 1x per week","1991","secondary school degree","Male","","","",""
"Min 1x per week","1991","secondary school degree","Female","","","",""
"Min 1x per week","1991","college entrance qualification","Male","","","",""
"Min 1x per week","1991","college entrance qualification","Female","","","",""
"Min 1x per week","1991","Other degree","Male","","","",""
"Min 1x per week","1991","Other degree","Female","","","",""
