"pli0080","year","migback","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Daily","1990","no migration background","(0) in school","19","","",""
"Daily","1990","no migration background","(1a) inadequately completed","4","","",""
"Daily","1990","no migration background","(1b) general elementary school","72","0.0565308082681005","0.0437179135558049","0.069343702980396"
"Daily","1990","no migration background","(1c) basic vocational qualification","78","0.0324988652845439","0.025675117827366","0.0393226127417217"
"Daily","1990","no migration background","(2b) intermediate general qualification","27","","",""
"Daily","1990","no migration background","(2a) intermediate vocational","36","0.0261501129292147","0.0169349154823112","0.0353653103761182"
"Daily","1990","no migration background","(2c_gen) general maturity certificate","26","","",""
"Daily","1990","no migration background","(2c_voc) vocational maturity certificate","10","","",""
"Daily","1990","no migration background","(3a) lower tertiary education","6","","",""
"Daily","1990","no migration background","(3b) higher tertiary education","14","","",""
"Daily","1990","direct migration background","(0) in school","9","","",""
"Daily","1990","direct migration background","(1a) inadequately completed","77","0.140046780454788","0.112641660147408","0.167451900762168"
"Daily","1990","direct migration background","(1b) general elementary school","96","0.110219955080739","0.0886402613903251","0.131799648771152"
"Daily","1990","direct migration background","(1c) basic vocational qualification","50","0.0569569065113353","0.0379141013462745","0.0759997116763962"
"Daily","1990","direct migration background","(2b) intermediate general qualification","4","","",""
"Daily","1990","direct migration background","(2a) intermediate vocational","4","","",""
"Daily","1990","direct migration background","(2c_gen) general maturity certificate","8","","",""
"Daily","1990","direct migration background","(2c_voc) vocational maturity certificate","5","","",""
"Daily","1990","direct migration background","(3a) lower tertiary education","","","",""
"Daily","1990","direct migration background","(3b) higher tertiary education","2","","",""
"Daily","1990","indirect migration background","(0) in school","11","","",""
"Daily","1990","indirect migration background","(1a) inadequately completed","1","","",""
"Daily","1990","indirect migration background","(1b) general elementary school","24","","",""
"Daily","1990","indirect migration background","(1c) basic vocational qualification","9","","",""
"Daily","1990","indirect migration background","(2b) intermediate general qualification","6","","",""
"Daily","1990","indirect migration background","(2a) intermediate vocational","2","","",""
"Daily","1990","indirect migration background","(2c_gen) general maturity certificate","5","","",""
"Daily","1990","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"Daily","1990","indirect migration background","(3a) lower tertiary education","","","",""
"Daily","1990","indirect migration background","(3b) higher tertiary education","1","","",""
"Min 1x per week","1990","no migration background","(0) in school","57","0.554507678633293","0.457576990081524","0.651438367185062"
"Min 1x per week","1990","no migration background","(1a) inadequately completed","26","","",""
"Min 1x per week","1990","no migration background","(1b) general elementary school","410","0.319929821088756","0.29405096797108","0.345808674206431"
"Min 1x per week","1990","no migration background","(1c) basic vocational qualification","906","0.354039356678535","0.33563621770331","0.37244249565376"
"Min 1x per week","1990","no migration background","(2b) intermediate general qualification","146","0.506797618549905","0.4477079424631","0.56588729463671"
"Min 1x per week","1990","no migration background","(2a) intermediate vocational","476","0.402908596350861","0.374585187103812","0.431232005597909"
"Min 1x per week","1990","no migration background","(2c_gen) general maturity certificate","138","0.606070027109097","0.542922682998186","0.669217371220009"
"Min 1x per week","1990","no migration background","(2c_voc) vocational maturity certificate","140","0.466467427753158","0.409442393252991","0.523492462253324"
"Min 1x per week","1990","no migration background","(3a) lower tertiary education","88","0.414142412133924","0.347362501754616","0.480922322513231"
"Min 1x per week","1990","no migration background","(3b) higher tertiary education","179","0.469376103066125","0.420284554995961","0.518467651136289"
"Min 1x per week","1990","direct migration background","(0) in school","12","","",""
"Min 1x per week","1990","direct migration background","(1a) inadequately completed","338","0.543028413436641","0.503690292531816","0.582366534341466"
"Min 1x per week","1990","direct migration background","(1b) general elementary school","429","0.445732787604789","0.411481987959902","0.479983587249677"
"Min 1x per week","1990","direct migration background","(1c) basic vocational qualification","279","0.394105063244744","0.353954039168869","0.434256087320618"
"Min 1x per week","1990","direct migration background","(2b) intermediate general qualification","31","0.545598032051157","0.407585161723893","0.683610902378421"
"Min 1x per week","1990","direct migration background","(2a) intermediate vocational","42","0.332130978921374","0.237422986485853","0.426838971356895"
"Min 1x per week","1990","direct migration background","(2c_gen) general maturity certificate","54","0.573033427996522","0.471405209915808","0.674661646077236"
"Min 1x per week","1990","direct migration background","(2c_voc) vocational maturity certificate","62","0.507934444626881","0.414930382691341","0.60093850656242"
"Min 1x per week","1990","direct migration background","(3a) lower tertiary education","7","","",""
"Min 1x per week","1990","direct migration background","(3b) higher tertiary education","29","","",""
"Min 1x per week","1990","indirect migration background","(0) in school","13","","",""
"Min 1x per week","1990","indirect migration background","(1a) inadequately completed","8","","",""
"Min 1x per week","1990","indirect migration background","(1b) general elementary school","39","0.471300886368024","0.36580092883478","0.576800843901269"
"Min 1x per week","1990","indirect migration background","(1c) basic vocational qualification","30","0.418910672410073","0.293016900052924","0.544804444767223"
"Min 1x per week","1990","indirect migration background","(2b) intermediate general qualification","20","","",""
"Min 1x per week","1990","indirect migration background","(2a) intermediate vocational","16","","",""
"Min 1x per week","1990","indirect migration background","(2c_gen) general maturity certificate","13","","",""
"Min 1x per week","1990","indirect migration background","(2c_voc) vocational maturity certificate","3","","",""
"Min 1x per week","1990","indirect migration background","(3a) lower tertiary education","1","","",""
"Min 1x per week","1990","indirect migration background","(3b) higher tertiary education","1","","",""
"Min 1x per month","1990","no migration background","(0) in school","17","","",""
"Min 1x per month","1990","no migration background","(1a) inadequately completed","9","","",""
"Min 1x per month","1990","no migration background","(1b) general elementary school","364","0.301433237644572","0.275974297116764","0.326892178172381"
"Min 1x per month","1990","no migration background","(1c) basic vocational qualification","887","0.33027516830191","0.312176389705981","0.348373946897839"
"Min 1x per month","1990","no migration background","(2b) intermediate general qualification","61","0.248634427990799","0.197550060303324","0.299718795678273"
"Min 1x per month","1990","no migration background","(2a) intermediate vocational","393","0.321188730154125","0.294225214166697","0.348152246141553"
"Min 1x per month","1990","no migration background","(2c_gen) general maturity certificate","36","0.16406185461493","0.116201594677702","0.211922114552157"
"Min 1x per month","1990","no migration background","(2c_voc) vocational maturity certificate","86","0.304188459075236","0.251599859455493","0.356777058694978"
"Min 1x per month","1990","no migration background","(3a) lower tertiary education","77","0.364739140972639","0.299479875360626","0.429998406584653"
"Min 1x per month","1990","no migration background","(3b) higher tertiary education","133","0.324804830785028","0.278739017734981","0.370870643835074"
"Min 1x per month","1990","direct migration background","(0) in school","5","","",""
"Min 1x per month","1990","direct migration background","(1a) inadequately completed","117","0.165189784477283","0.135864434376427","0.194515134578139"
"Min 1x per month","1990","direct migration background","(1b) general elementary school","159","0.217883999595495","0.189437942003653","0.246330057187336"
"Min 1x per month","1990","direct migration background","(1c) basic vocational qualification","146","0.29584077764884","0.258338606513265","0.333342948784415"
"Min 1x per month","1990","direct migration background","(2b) intermediate general qualification","7","","",""
"Min 1x per month","1990","direct migration background","(2a) intermediate vocational","23","","",""
"Min 1x per month","1990","direct migration background","(2c_gen) general maturity certificate","22","","",""
"Min 1x per month","1990","direct migration background","(2c_voc) vocational maturity certificate","28","","",""
"Min 1x per month","1990","direct migration background","(3a) lower tertiary education","13","","",""
"Min 1x per month","1990","direct migration background","(3b) higher tertiary education","19","","",""
"Min 1x per month","1990","indirect migration background","(0) in school","3","","",""
"Min 1x per month","1990","indirect migration background","(1a) inadequately completed","4","","",""
"Min 1x per month","1990","indirect migration background","(1b) general elementary school","11","","",""
"Min 1x per month","1990","indirect migration background","(1c) basic vocational qualification","11","","",""
"Min 1x per month","1990","indirect migration background","(2b) intermediate general qualification","4","","",""
"Min 1x per month","1990","indirect migration background","(2a) intermediate vocational","","","",""
"Min 1x per month","1990","indirect migration background","(2c_gen) general maturity certificate","2","","",""
"Min 1x per month","1990","indirect migration background","(2c_voc) vocational maturity certificate","1","","",""
"Min 1x per month","1990","indirect migration background","(3a) lower tertiary education","","","",""
"Min 1x per month","1990","indirect migration background","(3b) higher tertiary education","","","",""
"Rarely","1990","no migration background","(0) in school","7","","",""
"Rarely","1990","no migration background","(1a) inadequately completed","10","","",""
"Rarely","1990","no migration background","(1b) general elementary school","345","0.266525917308257","0.241995614569665","0.291056220046849"
"Rarely","1990","no migration background","(1c) basic vocational qualification","655","0.252376070855227","0.235660208390679","0.269091933319775"
"Rarely","1990","no migration background","(2b) intermediate general qualification","37","0.138533786732246","0.0977038486415865","0.179363724822905"
"Rarely","1990","no migration background","(2a) intermediate vocational","232","0.229957392900837","0.205657580685089","0.254257205116585"
"Rarely","1990","no migration background","(2c_gen) general maturity certificate","27","","",""
"Rarely","1990","no migration background","(2c_voc) vocational maturity certificate","51","0.161456318424849","0.11939675175572","0.203515885093977"
"Rarely","1990","no migration background","(3a) lower tertiary education","35","0.166473881163511","0.11597199403382","0.216975768293202"
"Rarely","1990","no migration background","(3b) higher tertiary education","67","0.162708335278486","0.12640085397532","0.199015816581652"
"Rarely","1990","direct migration background","(0) in school","1","","",""
"Rarely","1990","direct migration background","(1a) inadequately completed","68","0.112043246488804","0.0871348090374667","0.136951683940142"
"Rarely","1990","direct migration background","(1b) general elementary school","89","0.169374658141314","0.143528224018859","0.19522109226377"
"Rarely","1990","direct migration background","(1c) basic vocational qualification","78","0.194043684559663","0.161550111829789","0.226537257289538"
"Rarely","1990","direct migration background","(2b) intermediate general qualification","6","","",""
"Rarely","1990","direct migration background","(2a) intermediate vocational","24","","",""
"Rarely","1990","direct migration background","(2c_gen) general maturity certificate","6","","",""
"Rarely","1990","direct migration background","(2c_voc) vocational maturity certificate","14","","",""
"Rarely","1990","direct migration background","(3a) lower tertiary education","7","","",""
"Rarely","1990","direct migration background","(3b) higher tertiary education","12","","",""
"Rarely","1990","indirect migration background","(0) in school","5","","",""
"Rarely","1990","indirect migration background","(1a) inadequately completed","1","","",""
"Rarely","1990","indirect migration background","(1b) general elementary school","11","","",""
"Rarely","1990","indirect migration background","(1c) basic vocational qualification","5","","",""
"Rarely","1990","indirect migration background","(2b) intermediate general qualification","4","","",""
"Rarely","1990","indirect migration background","(2a) intermediate vocational","","","",""
"Rarely","1990","indirect migration background","(2c_gen) general maturity certificate","1","","",""
"Rarely","1990","indirect migration background","(2c_voc) vocational maturity certificate","2","","",""
"Rarely","1990","indirect migration background","(3a) lower tertiary education","","","",""
"Rarely","1990","indirect migration background","(3b) higher tertiary education","","","",""
"Never","1990","no migration background","(0) in school","1","","",""
"Never","1990","no migration background","(1a) inadequately completed","7","","",""
"Never","1990","no migration background","(1b) general elementary school","57","0.0555802156903146","0.0428691064691874","0.0682913249114418"
"Never","1990","no migration background","(1c) basic vocational qualification","68","0.030810538879784","0.0241606085733127","0.0374604691862553"
"Never","1990","no migration background","(2b) intermediate general qualification","4","","",""
"Never","1990","no migration background","(2a) intermediate vocational","15","","",""
"Never","1990","no migration background","(2c_gen) general maturity certificate","3","","",""
"Never","1990","no migration background","(2c_voc) vocational maturity certificate","7","","",""
"Never","1990","no migration background","(3a) lower tertiary education","3","","",""
"Never","1990","no migration background","(3b) higher tertiary education","4","","",""
"Never","1990","direct migration background","(0) in school","","","",""
"Never","1990","direct migration background","(1a) inadequately completed","16","","",""
"Never","1990","direct migration background","(1b) general elementary school","36","0.0567885995776632","0.0408405003041321","0.0727366988511942"
"Never","1990","direct migration background","(1c) basic vocational qualification","16","","",""
"Never","1990","direct migration background","(2b) intermediate general qualification","2","","",""
"Never","1990","direct migration background","(2a) intermediate vocational","2","","",""
"Never","1990","direct migration background","(2c_gen) general maturity certificate","1","","",""
"Never","1990","direct migration background","(2c_voc) vocational maturity certificate","2","","",""
"Never","1990","direct migration background","(3a) lower tertiary education","","","",""
"Never","1990","direct migration background","(3b) higher tertiary education","1","","",""
"Never","1990","indirect migration background","(0) in school","1","","",""
"Never","1990","indirect migration background","(1a) inadequately completed","2","","",""
"Never","1990","indirect migration background","(1b) general elementary school","1","","",""
"Never","1990","indirect migration background","(1c) basic vocational qualification","4","","",""
"Never","1990","indirect migration background","(2b) intermediate general qualification","","","",""
"Never","1990","indirect migration background","(2a) intermediate vocational","","","",""
"Never","1990","indirect migration background","(2c_gen) general maturity certificate","","","",""
"Never","1990","indirect migration background","(2c_voc) vocational maturity certificate","1","","",""
"Never","1990","indirect migration background","(3a) lower tertiary education","","","",""
"Never","1990","indirect migration background","(3b) higher tertiary education","","","",""
"Daily","1991","no migration background","(0) in school","","","",""
"Daily","1991","no migration background","(1a) inadequately completed","","","",""
"Daily","1991","no migration background","(1b) general elementary school","","","",""
"Daily","1991","no migration background","(1c) basic vocational qualification","","","",""
"Daily","1991","no migration background","(2b) intermediate general qualification","","","",""
"Daily","1991","no migration background","(2a) intermediate vocational","","","",""
"Daily","1991","no migration background","(2c_gen) general maturity certificate","","","",""
"Daily","1991","no migration background","(2c_voc) vocational maturity certificate","","","",""
"Daily","1991","no migration background","(3a) lower tertiary education","","","",""
"Daily","1991","no migration background","(3b) higher tertiary education","","","",""
"Daily","1991","direct migration background","(0) in school","","","",""
"Daily","1991","direct migration background","(1a) inadequately completed","","","",""
"Daily","1991","direct migration background","(1b) general elementary school","","","",""
