"pli0080","year","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","in school","39","0.189355777656655","0.128837079197214","0.249874476116097","1"
"Daily","1990","inadequately","72","0.117817078258396","0.0927812581641267","0.142852898352665","1"
"Daily","1990","general elemantary","227","0.0696825005635457","0.0596496186198816","0.0797153825072099","1"
"Daily","1990","middle vocational","224","0.0390490865225588","0.0334217484660138","0.0446764245791039","1"
"Daily","1990","vocational + Abi","13","","","","1"
"Daily","1990","higher vocational","12","","","","1"
"Daily","1990","higher education","23","","","","1"
"Min 1x per month","1990","middle vocational","1399","0.311837304922989","0.298380047454773","0.325294562391205","3"
"Min 1x per month","1990","vocational + Abi","81","0.29371442251187","0.241651657300876","0.345777187722865","3"
"Min 1x per month","1990","higher education","242","0.349515186874866","0.314167491021442","0.384862882728291","3"
"Min 1x per month","1990","in school","25","","","","3"
"Min 1x per month","1990","inadequately","123","0.206978185280759","0.175516409662851","0.238439960898667","3"
"Min 1x per month","1990","general elemantary","596","0.276005454774094","0.258390776187891","0.293620133360297","3"
"Min 1x per month","1990","higher vocational","176","0.326730850809614","0.286144609091599","0.367317092527628","3"
"Min 1x per week","1990","inadequately","345","0.490183043401463","0.451362227850684","0.529003858952242","2"
"Min 1x per week","1990","middle vocational","1885","0.389719032626386","0.375551713222256","0.403886352030517","2"
"Min 1x per week","1990","vocational + Abi","148","0.480040961602561","0.422932805195575","0.537149118009548","2"
"Min 1x per week","1990","higher education","305","0.438234781018971","0.401452356872883","0.475017205165058","2"
"Min 1x per week","1990","in school","82","0.549854756605314","0.473006241757054","0.626703271453575","2"
"Min 1x per week","1990","general elemantary","1065","0.370708394943964","0.35167613227075","0.389740657617177","2"
"Min 1x per week","1990","higher vocational","189","0.364182887096717","0.322542449765967","0.405823324427466","2"
"Never","1990","higher education","8","","","","5"
"Never","1990","middle vocational","103","0.0293107207300708","0.0244106727826238","0.0342107686775178","5"
"Never","1990","vocational + Abi","7","","","","5"
"Never","1990","higher vocational","11","","","","5"
