"pli0080","year","education","migback","n","percent","lower_confidence","upper_confidence"
"Daily","1990","lower secondary degree","no migration background","149","0.0403102988929329","0.0340698283963381","0.0465507693895276"
"Daily","1990","lower secondary degree","direct migration background","76","0.0769788179327504","0.0554336005290125","0.0985240353364884"
"Daily","1990","lower secondary degree","indirect migration background","31","0.117658607472691","0.0635073163938513","0.171809898551532"
"Daily","1990","secondary school degree","no migration background","64","0.037756436620402","0.0280456314581905","0.0474672417826135"
"Daily","1990","secondary school degree","direct migration background","8","","",""
"Daily","1990","secondary school degree","indirect migration background","8","","",""
"Daily","1990","college entrance qualification","no migration background","53","0.0513182966493234","0.0380291684896699","0.064607424808977"
"Daily","1990","college entrance qualification","direct migration background","6","","",""
"Daily","1990","college entrance qualification","indirect migration background","5","","",""
"Daily","1990","Other degree","no migration background","2","","",""
"Daily","1990","Other degree","direct migration background","79","0.0921700831416966","0.0738431685047607","0.110496997778632"
"Daily","1990","Other degree","indirect migration background","2","","",""
"Daily","1990","no degree/no degree yet","no migration background","23","","",""
"Daily","1990","no degree/no degree yet","direct migration background","84","0.139288333477379","0.11239995634723","0.166176710607529"
"Daily","1990","no degree/no degree yet","indirect migration background","12","","",""
"Min 1x per week","1990","lower secondary degree","no migration background","1305","0.342457220069434","0.327401238370846","0.357513201768022"
"Min 1x per week","1990","lower secondary degree","direct migration background","270","0.355326299666932","0.316641256902322","0.394011342431542"
"Min 1x per week","1990","lower secondary degree","indirect migration background","64","0.434437789270097","0.351130572347601","0.517745006192592"
"Min 1x per week","1990","secondary school degree","no migration background","644","0.421774126500764","0.396614397375964","0.446933855625563"
"Min 1x per week","1990","secondary school degree","direct migration background","76","0.39226294296578","0.31386557954267","0.470660306388889"
"Min 1x per week","1990","secondary school degree","indirect migration background","37","0.785277270235988","0.674726778272759","0.895827762199217"
"Min 1x per week","1990","college entrance qualification","no migration background","520","0.495600274105843","0.465487324256525","0.525713223955161"
"Min 1x per week","1990","college entrance qualification","direct migration background","55","0.395527122581833","0.30767522335997","0.483379021803696"
"Min 1x per week","1990","college entrance qualification","indirect migration background","15","","",""
"Min 1x per week","1990","Other degree","no migration background","13","","",""
"Min 1x per week","1990","Other degree","direct migration background","532","0.540357597829333","0.508782638767575","0.571932556891091"
"Min 1x per week","1990","Other degree","indirect migration background","7","","",""
"Min 1x per week","1990","no degree/no degree yet","no migration background","83","0.511566509328192","0.433376361427278","0.589756657229107"
"Min 1x per week","1990","no degree/no degree yet","direct migration background","348","0.535645225713908","0.496915720244937","0.574374731182879"
"Min 1x per week","1990","no degree/no degree yet","indirect migration background","20","","",""
"Min 1x per month","1990","lower secondary degree","no migration background","1247","0.320954741760421","0.306142691855826","0.335766791665016"
"Min 1x per month","1990","lower secondary degree","direct migration background","131","0.271691061269026","0.235736423048908","0.307645699489144"
"Min 1x per month","1990","lower secondary degree","indirect migration background","20","","",""
"Min 1x per month","1990","secondary school degree","no migration background","470","0.307779870250887","0.284264086833223","0.331295653668551"
"Min 1x per month","1990","secondary school degree","direct migration background","30","0.244264258988597","0.175276839489026","0.313251678488169"
"Min 1x per month","1990","secondary school degree","indirect migration background","4","","",""
"Min 1x per month","1990","college entrance qualification","no migration background","308","0.290796245087193","0.263444816089997","0.318147674084389"
"Min 1x per month","1990","college entrance qualification","direct migration background","40","0.393368672867356","0.305600529266002","0.48113681646871"
"Min 1x per month","1990","college entrance qualification","indirect migration background","3","","",""
"Min 1x per month","1990","Other degree","no migration background","11","","",""
"Min 1x per month","1990","Other degree","direct migration background","215","0.238479430038824","0.211479763270724","0.265479096806925"
"Min 1x per month","1990","Other degree","indirect migration background","2","","",""
"Min 1x per month","1990","no degree/no degree yet","no migration background","26","","",""
"Min 1x per month","1990","no degree/no degree yet","direct migration background","121","0.17762313555583","0.147943156986263","0.207303114125396"
"Min 1x per month","1990","no degree/no degree yet","indirect migration background","7","","",""
"Rarely","1990","lower secondary degree","no migration background","991","0.257226122344244","0.243357613930886","0.271094630757601"
"Rarely","1990","lower secondary degree","direct migration background","88","0.219366351817089","0.185918512525098","0.252814191109081"
"Rarely","1990","lower secondary degree","indirect migration background","16","","",""
"Rarely","1990","secondary school degree","no migration background","282","0.213713502403483","0.192829024479735","0.234597980327231"
"Rarely","1990","secondary school degree","direct migration background","31","0.288685187635483","0.215924275708769","0.361446099562197"
"Rarely","1990","secondary school degree","indirect migration background","4","","",""
"Rarely","1990","college entrance qualification","no migration background","164","0.146577632369992","0.125275848559118","0.167879416180866"
"Rarely","1990","college entrance qualification","direct migration background","18","","",""
"Rarely","1990","college entrance qualification","indirect migration background","2","","",""
"Rarely","1990","Other degree","no migration background","11","","",""
"Rarely","1990","Other degree","direct migration background","98","0.108594510407852","0.0888823733508104","0.128306647464893"
"Rarely","1990","Other degree","indirect migration background","1","","",""
"Rarely","1990","no degree/no degree yet","no migration background","17","","",""
"Rarely","1990","no degree/no degree yet","direct migration background","68","0.109852922535789","0.0855692108642841","0.134136634207294"
"Rarely","1990","no degree/no degree yet","indirect migration background","6","","",""
"Never","1990","lower secondary degree","no migration background","124","0.0390516169329684","0.0329053212611729","0.0451979126047639"
"Never","1990","lower secondary degree","direct migration background","23","","",""
"Never","1990","lower secondary degree","indirect migration background","5","","",""
"Never","1990","secondary school degree","no migration background","20","","",""
"Never","1990","secondary school degree","direct migration background","4","","",""
"Never","1990","secondary school degree","indirect migration background","","","",""
