"pli0080","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence"
"Daily","1990","in school","Urban Area","33","0.189619806243125","0.1229992079212","0.25624040456505"
"Daily","1990","in school","Rural Area","6","","",""
"Daily","1990","inadequately","Urban Area","63","0.1222658674429","0.094986938224278","0.149544796661523"
"Daily","1990","inadequately","Rural Area","9","","",""
"Daily","1990","general elemantary","Urban Area","197","0.0773460503740994","0.06547397127188","0.0892181294763187"
"Daily","1990","general elemantary","Rural Area","30","0.046503581275261","0.0285594272720924","0.0644477352784296"
"Daily","1990","middle vocational","Urban Area","180","0.0403403763625742","0.0338771156256948","0.0468036370994536"
"Daily","1990","middle vocational","Rural Area","44","0.0347185054927762","0.0233265112667488","0.0461104997188036"
"Daily","1990","vocational + Abi","Urban Area","11","","",""
"Daily","1990","vocational + Abi","Rural Area","2","","",""
"Daily","1990","higher vocational","Urban Area","9","","",""
"Daily","1990","higher vocational","Rural Area","3","","",""
"Daily","1990","higher education","Urban Area","20","","",""
"Daily","1990","higher education","Rural Area","3","","",""
"Min 1x per week","1990","in school","Urban Area","66","0.543755465437933","0.459106252263932","0.628404678611934"
"Min 1x per week","1990","in school","Rural Area","16","","",""
"Min 1x per week","1990","inadequately","Urban Area","309","0.517744420520073","0.476135202610885","0.559353638429261"
"Min 1x per week","1990","inadequately","Rural Area","36","0.381943468407202","0.277417863679632","0.486469073134771"
"Min 1x per week","1990","general elemantary","Urban Area","865","0.382587331502875","0.3609879483245","0.404186714681249"
"Min 1x per week","1990","general elemantary","Rural Area","200","0.334779756318756","0.294565265151388","0.374994247486125"
"Min 1x per week","1990","middle vocational","Urban Area","1526","0.404264046206446","0.388143395910795","0.420384696502098"
"Min 1x per week","1990","middle vocational","Rural Area","359","0.340939620029916","0.311441550596044","0.370437689463789"
"Min 1x per week","1990","vocational + Abi","Urban Area","134","0.506975687257092","0.445370743568791","0.568580630945393"
"Min 1x per week","1990","vocational + Abi","Rural Area","14","","",""
"Min 1x per week","1990","higher vocational","Urban Area","152","0.364649658930465","0.317597494720341","0.411701823140589"
"Min 1x per week","1990","higher vocational","Rural Area","37","0.362489569524302","0.2730606453503","0.451918493698304"
"Min 1x per week","1990","higher education","Urban Area","267","0.450486322873616","0.410575472291969","0.490397173455262"
"Min 1x per week","1990","higher education","Rural Area","38","0.368534547889391","0.274915998835168","0.462153096943613"
"Min 1x per month","1990","in school","Urban Area","23","","",""
"Min 1x per month","1990","in school","Rural Area","2","","",""
"Min 1x per month","1990","inadequately","Urban Area","102","0.174228454991711","0.142643322123429","0.205813587859993"
"Min 1x per month","1990","inadequately","Rural Area","21","","",""
"Min 1x per month","1990","general elemantary","Urban Area","444","0.264100216705722","0.244508070885568","0.283692362525876"
"Min 1x per month","1990","general elemantary","Rural Area","152","0.312013644074906","0.272531842585408","0.351495445564404"
"Min 1x per month","1990","middle vocational","Urban Area","1060","0.302360723808053","0.287273781083557","0.317447666532549"
"Min 1x per month","1990","middle vocational","Rural Area","339","0.343618785061524","0.314065294984114","0.373172275138934"
"Min 1x per month","1990","vocational + Abi","Urban Area","64","0.278114537137927","0.222902493366543","0.333326580909311"
"Min 1x per month","1990","vocational + Abi","Rural Area","17","","",""
"Min 1x per month","1990","higher vocational","Urban Area","138","0.33963011846206","0.293335363305782","0.385924873618338"
"Min 1x per month","1990","higher vocational","Rural Area","38","0.279935918022474","0.196413802030526","0.363458034014423"
"Min 1x per month","1990","higher education","Urban Area","204","0.345370956154885","0.307229131370082","0.383512780939687"
"Min 1x per month","1990","higher education","Rural Area","38","0.373092125251482","0.279237018279939","0.466947232223026"
"Rarely","1990","in school","Urban Area","9","","",""
"Rarely","1990","in school","Rural Area","4","","",""
"Rarely","1990","inadequately","Urban Area","60","0.127145607175316","0.0994050749150865","0.154886139435546"
"Rarely","1990","inadequately","Rural Area","13","","",""
"Rarely","1990","general elemantary","Urban Area","360","0.224684481774697","0.206135756643216","0.243233206906178"
"Rarely","1990","general elemantary","Rural Area","127","0.263143761835923","0.225619843962945","0.300667679708901"
"Rarely","1990","middle vocational","Urban Area","708","0.222721104904622","0.209053506288735","0.236388703520508"
"Rarely","1990","middle vocational","Rural Area","233","0.254776209895938","0.227660870386034","0.281891549405842"
"Rarely","1990","vocational + Abi","Urban Area","38","0.138216018074135","0.0956888730958199","0.180743163052451"
"Rarely","1990","vocational + Abi","Rural Area","7","","",""
"Rarely","1990","higher vocational","Urban Area","94","0.240917976620261","0.199114344108604","0.282721609131918"
"Rarely","1990","higher vocational","Rural Area","31","0.316072258599529","0.229578473781593","0.402566043417465"
"Rarely","1990","higher education","Urban Area","101","0.161364316934911","0.131855530719822","0.190873103149999"
"Rarely","1990","higher education","Rural Area","20","","",""
"Never","1990","in school","Urban Area","2","","",""
"Never","1990","in school","Rural Area","","","",""
"Never","1990","inadequately","Urban Area","20","","",""
"Never","1990","inadequately","Rural Area","4","","",""
"Never","1990","general elemantary","Urban Area","79","0.0512819196426071","0.0414793708262885","0.0610844684589257"
"Never","1990","general elemantary","Rural Area","20","","",""
"Never","1990","middle vocational","Urban Area","86","0.0303137487183052","0.0246818020427052","0.0359456953939052"
"Never","1990","middle vocational","Rural Area","17","","",""
"Never","1990","vocational + Abi","Urban Area","6","","",""
"Never","1990","vocational + Abi","Rural Area","1","","",""
"Never","1990","higher vocational","Urban Area","9","","",""
"Never","1990","higher vocational","Rural Area","2","","",""
"Never","1990","higher education","Urban Area","5","","",""
"Never","1990","higher education","Rural Area","3","","",""
"Daily","1991","in school","Urban Area","","","",""
"Daily","1991","in school","Rural Area","","","",""
"Daily","1991","inadequately","Urban Area","","","",""
"Daily","1991","inadequately","Rural Area","","","",""
"Daily","1991","general elemantary","Urban Area","","","",""
"Daily","1991","general elemantary","Rural Area","","","",""
"Daily","1991","middle vocational","Urban Area","","","",""
"Daily","1991","middle vocational","Rural Area","","","",""
"Daily","1991","vocational + Abi","Urban Area","","","",""
