"pli0080","year","age_gr","sex","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","16-34 y.","Male","233","0.103458043338302","0.0896173113684017","0.117298775308203","1"
"Daily","1990","16-34 y.","Female","160","0.0803299960438686","0.0677209025643989","0.0929390895233384","1"
"Daily","1990","35-65 y.","Male","100","0.0268940346970852","0.0204258970498883","0.0333621723442821","1"
"Daily","1990","35-65 y.","Female","90","0.0233151471246539","0.0172525889519985","0.0293777052973093","1"
"Daily","1990","66 and older","Male","10","","","","1"
"Daily","1990","66 and older","Female","34","0.0552198454783368","0.0375378184186026","0.0729018725380709","1"
"Min 1x per month","1990","16-34 y.","Female","392","0.24773657813717","0.227709895266462","0.267763261007878","3"
"Min 1x per month","1990","16-34 y.","Male","368","0.211135872009446","0.192588869276461","0.22968287474243","3"
"Min 1x per month","1990","35-65 y.","Male","813","0.361969305317434","0.342754859458774","0.381183751176094","3"
"Min 1x per month","1990","35-65 y.","Female","797","0.363852896261696","0.344524255797572","0.383181536725819","3"
"Min 1x per month","1990","66 and older","Male","143","0.322223192900522","0.277369127318758","0.367077258482285","3"
"Min 1x per month","1990","66 and older","Female","160","0.229892147926162","0.197319210798332","0.262465085053992","3"
"Min 1x per week","1990","16-34 y.","Female","997","0.536114574347004","0.512979912724596","0.559249235969412","2"
"Min 1x per week","1990","16-34 y.","Male","1008","0.546816892665876","0.524193932193747","0.569439853138005","2"
"Min 1x per week","1990","35-65 y.","Male","851","0.30340790481145","0.285026702197055","0.321789107425845","2"
"Min 1x per week","1990","35-65 y.","Female","911","0.34096607955252","0.321921601056349","0.360010558048692","2"
"Min 1x per week","1990","66 and older","Male","98","0.236078841092788","0.195318964034406","0.276838718151171","2"
"Min 1x per week","1990","66 and older","Female","236","0.387629411526231","0.349912632347308","0.425346190705155","2"
"Never","1990","16-34 y.","Male","30","0.0111540108801084","0.0063812301896739","0.0159267915705428","5"
"Never","1990","16-34 y.","Female","19","","","","5"
"Never","1990","35-65 y.","Male","57","0.0257787570206963","0.0194425261988788","0.0321149878425139","5"
"Never","1990","35-65 y.","Female","65","0.0274747923031157","0.0209076374808602","0.0340419471253712","5"
"Never","1990","66 and older","Male","35","0.0873450779480681","0.0602461205582669","0.114444035337869","5"
"Never","1990","66 and older","Female","50","0.0874997933659759","0.0656252459768771","0.109374340755075","5"
"Rarely","1990","16-34 y.","Female","217","0.126560167163337","0.111136274381223","0.14198405994545","4"
"Rarely","1990","35-65 y.","Male","582","0.281949998153334","0.263959855898659","0.299940140408009","4"
"Rarely","1990","16-34 y.","Male","221","0.127435181106268","0.112280906997383","0.142589455215152","4"
"Rarely","1990","66 and older","Male","131","0.328797831859207","0.283708768741566","0.373886894976847","4"
"Rarely","1990","35-65 y.","Female","517","0.244391084758015","0.227126711031662","0.261655458484368","4"
"Rarely","1990","66 and older","Female","161","0.239758801703294","0.206707995597897","0.272809607808692","4"
"Daily","1991","16-34 y.","Male","","","","","1"
"Daily","1991","16-34 y.","Female","","","","","1"
"Daily","1991","35-65 y.","Male","","","","","1"
"Daily","1991","35-65 y.","Female","","","","","1"
"Daily","1991","66 and older","Male","","","","","1"
"Daily","1991","66 and older","Female","","","","","1"
"Min 1x per month","1991","16-34 y.","Female","","","","","3"
"Min 1x per month","1991","16-34 y.","Male","","","","","3"
"Min 1x per month","1991","35-65 y.","Male","","","","","3"
"Min 1x per month","1991","35-65 y.","Female","","","","","3"
"Min 1x per month","1991","66 and older","Male","","","","","3"
"Min 1x per month","1991","66 and older","Female","","","","","3"
"Min 1x per week","1991","16-34 y.","Male","","","","","2"
"Min 1x per week","1991","16-34 y.","Female","","","","","2"
"Min 1x per week","1991","35-65 y.","Male","","","","","2"
"Min 1x per week","1991","35-65 y.","Female","","","","","2"
"Min 1x per week","1991","66 and older","Male","","","","","2"
"Min 1x per week","1991","66 and older","Female","","","","","2"
"Never","1991","16-34 y.","Male","","","","","5"
"Never","1991","16-34 y.","Female","","","","","5"
"Never","1991","35-65 y.","Male","","","","","5"
"Never","1991","35-65 y.","Female","","","","","5"
"Never","1991","66 and older","Male","","","","","5"
"Never","1991","66 and older","Female","","","","","5"
"Rarely","1991","16-34 y.","Female","","","","","4"
"Rarely","1991","16-34 y.","Male","","","","","4"
"Rarely","1991","35-65 y.","Male","","","","","4"
"Rarely","1991","35-65 y.","Female","","","","","4"
"Rarely","1991","66 and older","Male","","","","","4"
"Rarely","1991","66 and older","Female","","","","","4"
"Daily","1992","16-34 y.","Male","","","","","1"
"Daily","1992","16-34 y.","Female","","","","","1"
"Daily","1992","35-65 y.","Male","","","","","1"
"Daily","1992","35-65 y.","Female","","","","","1"
"Daily","1992","66 and older","Male","","","","","1"
"Daily","1992","66 and older","Female","","","","","1"
"Min 1x per month","1992","16-34 y.","Female","","","","","3"
"Min 1x per month","1992","16-34 y.","Male","","","","","3"
"Min 1x per month","1992","35-65 y.","Male","","","","","3"
"Min 1x per month","1992","35-65 y.","Female","","","","","3"
"Min 1x per month","1992","66 and older","Male","","","","","3"
"Min 1x per month","1992","66 and older","Female","","","","","3"
"Min 1x per week","1992","16-34 y.","Male","","","","","2"
"Min 1x per week","1992","35-65 y.","Male","","","","","2"
"Min 1x per week","1992","16-34 y.","Female","","","","","2"
"Min 1x per week","1992","66 and older","Male","","","","","2"
"Min 1x per week","1992","35-65 y.","Female","","","","","2"
"Min 1x per week","1992","66 and older","Female","","","","","2"
"Never","1992","16-34 y.","Male","","","","","5"
"Never","1992","16-34 y.","Female","","","","","5"
"Never","1992","35-65 y.","Male","","","","","5"
"Never","1992","35-65 y.","Female","","","","","5"
"Never","1992","66 and older","Male","","","","","5"
"Never","1992","66 and older","Female","","","","","5"
"Rarely","1992","16-34 y.","Male","","","","","4"
"Rarely","1992","16-34 y.","Female","","","","","4"
"Rarely","1992","35-65 y.","Male","","","","","4"
"Rarely","1992","35-65 y.","Female","","","","","4"
"Rarely","1992","66 and older","Male","","","","","4"
"Rarely","1992","66 and older","Female","","","","","4"
"Daily","1993","16-34 y.","Male","","","","","1"
"Daily","1993","16-34 y.","Female","","","","","1"
"Daily","1993","35-65 y.","Male","","","","","1"
"Daily","1993","35-65 y.","Female","","","","","1"
"Daily","1993","66 and older","Male","","","","","1"
"Daily","1993","66 and older","Female","","","","","1"
"Min 1x per month","1993","16-34 y.","Male","","","","","3"
"Min 1x per month","1993","16-34 y.","Female","","","","","3"
"Min 1x per month","1993","35-65 y.","Male","","","","","3"
"Min 1x per month","1993","35-65 y.","Female","","","","","3"
"Min 1x per month","1993","66 and older","Male","","","","","3"
"Min 1x per month","1993","66 and older","Female","","","","","3"
"Min 1x per week","1993","16-34 y.","Male","","","","","2"
"Min 1x per week","1993","16-34 y.","Female","","","","","2"
"Min 1x per week","1993","35-65 y.","Male","","","","","2"
"Min 1x per week","1993","35-65 y.","Female","","","","","2"
"Min 1x per week","1993","66 and older","Male","","","","","2"
"Min 1x per week","1993","66 and older","Female","","","","","2"
"Never","1993","16-34 y.","Male","","","","","5"
"Never","1993","16-34 y.","Female","","","","","5"
"Never","1993","35-65 y.","Male","","","","","5"
"Never","1993","35-65 y.","Female","","","","","5"
"Never","1993","66 and older","Male","","","","","5"
"Never","1993","66 and older","Female","","","","","5"
"Rarely","1993","16-34 y.","Male","","","","","4"
"Rarely","1993","16-34 y.","Female","","","","","4"
"Rarely","1993","35-65 y.","Male","","","","","4"
"Rarely","1993","35-65 y.","Female","","","","","4"
"Rarely","1993","66 and older","Male","","","","","4"
"Rarely","1993","66 and older","Female","","","","","4"
"Daily","1994","16-34 y.","Male","","","","","1"
"Daily","1994","16-34 y.","Female","","","","","1"
"Daily","1994","35-65 y.","Male","","","","","1"
