"ple0098_v5","year","e11102","education","n","percent","lower_confidence","upper_confidence"
"Yes","1999","Not Employed","lower secondary degree","111","0.0500551567323533","0.0415278500795901","0.0585824633851165"
"Yes","1999","Not Employed","secondary school degree","68","0.118492388153465","0.0954695738315596","0.14151520247537"
"Yes","1999","Not Employed","college entrance qualification","43","0.158493552363869","0.122837760032422","0.194149344695315"
"Yes","1999","Not Employed","Other degree","3","","",""
"Yes","1999","Not Employed","no degree/no degree yet","17","","",""
"Yes","1999","Employed","lower secondary degree","197","0.0812891125528938","0.0709504952895958","0.0916277298161917"
"Yes","1999","Employed","secondary school degree","261","0.118025423303981","0.105924930503476","0.130125916104487"
"Yes","1999","Employed","college entrance qualification","189","0.185480478559579","0.164137096941156","0.206823860178001"
"Yes","1999","Employed","Other degree","11","","",""
"Yes","1999","Employed","no degree/no degree yet","11","","",""
"No","1999","Not Employed","lower secondary degree","2401","0.949944843267647","0.941417536614883","0.95847214992041"
"No","1999","Not Employed","secondary school degree","689","0.881507611846535","0.85848479752463","0.90453042616844"
"No","1999","Not Employed","college entrance qualification","360","0.841506447636131","0.805850655304685","0.877162239967578"
"No","1999","Not Employed","Other degree","324","0.972771089870419","0.955131248654527","0.990410931086312"
"No","1999","Not Employed","no degree/no degree yet","458","0.950747991585765","0.931287851285935","0.970208131885594"
"No","1999","Employed","lower secondary degree","2487","0.918710887447106","0.908372270183808","0.929049504710404"
"No","1999","Employed","secondary school degree","2470","0.881974576696019","0.869874083895513","0.894075069496524"
"No","1999","Employed","college entrance qualification","1085","0.814519521440422","0.793176139821999","0.835862903058844"
"No","1999","Employed","Other degree","571","0.971183960010733","0.957592863441531","0.984775056579936"
"No","1999","Employed","no degree/no degree yet","236","0.948877038394983","0.921409952503109","0.976344124286856"
"Yes","2000","Not Employed","lower secondary degree","201","0.0482725293187352","0.0421603022969892","0.0543847563404811"
"Yes","2000","Not Employed","secondary school degree","177","0.133575771236244","0.116313703404051","0.150837839068437"
"Yes","2000","Not Employed","college entrance qualification","123","0.149196279531716","0.125602923315084","0.172789635748349"
"Yes","2000","Not Employed","Other degree","17","","",""
"Yes","2000","Not Employed","no degree/no degree yet","18","","",""
"Yes","2000","Employed","lower secondary degree","383","0.0858455695023279","0.0778145170151967","0.0938766219894591"
"Yes","2000","Employed","secondary school degree","511","0.122819528069944","0.113493127561132","0.132145928578755"
"Yes","2000","Employed","college entrance qualification","407","0.172422367836915","0.157955266743508","0.186889468930321"
"Yes","2000","Employed","Other degree","21","","",""
"Yes","2000","Employed","no degree/no degree yet","19","","",""
"No","2000","Not Employed","lower secondary degree","4523","0.951727470681265","0.945615243659519","0.957839697703011"
"No","2000","Not Employed","secondary school degree","1315","0.866424228763756","0.849162160931563","0.883686296595949"
"No","2000","Not Employed","college entrance qualification","753","0.850803720468284","0.827210364251651","0.874397076684916"
"No","2000","Not Employed","Other degree","568","0.962232118557072","0.946784149365091","0.977680087749054"
"No","2000","Not Employed","no degree/no degree yet","571","0.965603137478923","0.950885124111397","0.980321150846449"
"No","2000","Employed","lower secondary degree","4291","0.914154430497672","0.906123378010541","0.922185482984803"
"No","2000","Employed","secondary school degree","4247","0.877180471930056","0.867854071421245","0.886506872438867"
"No","2000","Employed","college entrance qualification","2212","0.827577632163085","0.813110531069679","0.842044733256492"
"No","2000","Employed","Other degree","856","0.975521112108817","0.965293777326769","0.985748446890865"
"No","2000","Employed","no degree/no degree yet","221","0.920045955232544","0.885732263141637","0.954359647323452"
"Yes","2001","Not Employed","lower secondary degree","184","0.0468964190980258","0.0404493787933384","0.0533434594027132"
"Yes","2001","Not Employed","secondary school degree","152","0.132323745392104","0.114465665988249","0.150181824795959"
"Yes","2001","Not Employed","college entrance qualification","104","0.148250826468286","0.123672928308007","0.172828724628565"
"Yes","2001","Not Employed","Other degree","11","","",""
"Yes","2001","Not Employed","no degree/no degree yet","23","","",""
"Yes","2001","Employed","lower secondary degree","348","0.0912068151506903","0.0824422171830217","0.099971413118359"
"Yes","2001","Employed","secondary school degree","465","0.123129461354041","0.113397298948607","0.132861623759475"
"Yes","2001","Employed","college entrance qualification","408","0.179300142794182","0.164229973212874","0.194370312375489"
"Yes","2001","Employed","Other degree","16","","",""
"Yes","2001","Employed","no degree/no degree yet","14","","",""
"No","2001","Not Employed","lower secondary degree","3947","0.953103580901974","0.946656540597287","0.959550621206662"
"No","2001","Not Employed","secondary school degree","1231","0.867676254607896","0.849818175204041","0.885534334011751"
"No","2001","Not Employed","college entrance qualification","699","0.851749173531714","0.827171275371435","0.876327071691993"
"No","2001","Not Employed","Other degree","507","0.974069408932187","0.96038316199868","0.987755655865694"
"No","2001","Not Employed","no degree/no degree yet","519","0.956676180970533","0.939536833049237","0.97381552889183"
"No","2001","Employed","lower secondary degree","3797","0.90879318484931","0.900028586881641","0.917557782816978"
"No","2001","Employed","secondary school degree","3914","0.876870538645959","0.867138376240525","0.886602701051393"
"No","2001","Employed","college entrance qualification","2081","0.820699857205819","0.805629687624511","0.835770026787126"
"No","2001","Employed","Other degree","778","0.980188494378712","0.970495646854713","0.989881341902712"
"No","2001","Employed","no degree/no degree yet","213","0.919034714782493","0.883549246099754","0.954520183465231"
"Yes","2002","Not Employed","lower secondary degree","213","0.0543832848898621","0.0473714220327319","0.0613951477469924"
"Yes","2002","Not Employed","secondary school degree","202","0.143971844717186","0.125712435238804","0.162231254195567"
"Yes","2002","Not Employed","college entrance qualification","164","0.166593940344562","0.142196064703215","0.19099181598591"
"Yes","2002","Not Employed","Other degree","19","","",""
"Yes","2002","Not Employed","no degree/no degree yet","26","","",""
"Yes","2002","Employed","lower secondary degree","382","0.0982428571410529","0.0888373485259126","0.107648365756193"
