"ple0098_v5","year","migback","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"No","1999","indirect migration background","higher education","20","","","","2"
"No","1999","indirect migration background","middle vocational","191","0.925169006544427","0.888973774499027","0.961364238589827","2"
"No","1999","indirect migration background","higher vocational","14","","","","2"
"No","1999","indirect migration background","vocational + Abi","20","","","","2"
"No","1999","indirect migration background","general elemantary","184","0.958133245774019","0.929579388109946","0.986687103438091","2"
"No","1999","indirect migration background","inadequately","17","","","","2"
"No","1999","no migration background","in school","165","0.892811587522524","0.848354045525162","0.937269129519886","2"
"No","1999","no migration background","general elemantary","1485","0.94844182373067","0.937496485570383","0.959387161890957","2"
"No","1999","no migration background","higher vocational","564","0.897545064481502","0.873903069239189","0.921187059723815","2"
"No","1999","direct migration background","in school","24","","","","2"
"No","1999","direct migration background","middle vocational","738","0.944632955219373","0.928416399079851","0.960849511358896","2"
"No","1999","direct migration background","higher vocational","47","0.979437016567399","0.939701270592718","1.01917276254208","2"
"No","1999","direct migration background","higher education","151","0.902232928581212","0.856068744016433","0.948397113145991","2"
"No","1999","indirect migration background","in school","59","0.914934868953413","0.844925840493782","0.984943897413044","2"
"No","1999","no migration background","inadequately","65","0.961476661648134","0.915733627755535","1.00721969554073","2"
"No","1999","no migration background","middle vocational","4954","0.9011265649555","0.893176300626926","0.909076829284074","2"
"No","1999","no migration background","higher education","1181","0.834898717904548","0.815049629014869","0.854747806794227","2"
"No","1999","direct migration background","inadequately","335","0.997939176230185","0.993090190390727","1.00278816206964","2"
"No","1999","direct migration background","vocational + Abi","117","0.887019207671237","0.830844994778702","0.943193420563773","2"
"No","1999","no migration background","vocational + Abi","269","0.817257325183114","0.774782272061707","0.859732378304522","2"
"No","1999","direct migration background","general elemantary","596","0.978588605906429","0.967044716122578","0.990132495690279","2"
"Yes","1999","no migration background","in school","21","","","","1"
"Yes","1999","no migration background","inadequately","3","","","","1"
"Yes","1999","no migration background","general elemantary","83","0.0515581762693298","0.0406128381090429","0.0625035144296166","1"
"Yes","1999","no migration background","middle vocational","461","0.0988734350445001","0.090923170715926","0.106823699373074","1"
"Yes","1999","no migration background","vocational + Abi","49","0.182742674816886","0.140267621695478","0.225217727938293","1"
"Yes","1999","no migration background","higher vocational","68","0.102454935518498","0.0788129402761846","0.126096930760811","1"
"Yes","1999","no migration background","higher education","163","0.165101282095452","0.145252193205773","0.184950370985131","1"
"Yes","1999","direct migration background","in school","","","","","1"
"Yes","1999","direct migration background","inadequately","1","","","","1"
"Yes","1999","direct migration background","general elemantary","8","","","","1"
"Yes","1999","direct migration background","middle vocational","26","","","","1"
"Yes","1999","direct migration background","vocational + Abi","5","","","","1"
"Yes","1999","direct migration background","higher vocational","2","","","","1"
"Yes","1999","direct migration background","higher education","8","","","","1"
"Yes","1999","indirect migration background","in school","2","","","","1"
"Yes","1999","indirect migration background","inadequately","","","","","1"
"Yes","1999","indirect migration background","general elemantary","5","","","","1"
"Yes","1999","indirect migration background","middle vocational","12","","","","1"
"Yes","1999","indirect migration background","vocational + Abi","1","","","","1"
"Yes","1999","indirect migration background","higher vocational","2","","","","1"
"Yes","1999","indirect migration background","higher education","1","","","","1"
"No","2000","indirect migration background","higher education","36","0.851449702687857","0.745150471132434","0.95774893424328","2"
"No","2000","indirect migration background","general elemantary","245","0.938514199802399","0.908972255744427","0.968056143860371","2"
"No","2000","indirect migration background","higher vocational","33","0.923733068763605","0.837029250724726","1.01043688680248","2"
"No","2000","indirect migration background","inadequately","16","","","","2"
"No","2000","indirect migration background","middle vocational","309","0.916324925936622","0.886494675663526","0.946155176209719","2"
"No","2000","indirect migration background","vocational + Abi","37","0.982588886390015","0.9410020875895","1.02417568519053","2"
"No","2000","no migration background","in school","271","0.927785771657386","0.898147728760874","0.957423814553897","2"
"No","2000","no migration background","general elemantary","2241","0.950554874441374","0.941789620584374","0.959320128298373","2"
"No","2000","no migration background","middle vocational","9297","0.901532479199749","0.895760843249617","0.907304115149881","2"
"No","2000","no migration background","higher vocational","1274","0.888723217358201","0.872452463182089","0.904993971534312","2"
"No","2000","direct migration background","in school","56","0.966034477621843","0.919416915666785","1.0126520395769","2"
"No","2000","direct migration background","inadequately","281","0.988051825658376","0.975437434351111","1.00066621696564","2"
"No","2000","direct migration background","middle vocational","1144","0.960535188207944","0.949449808501519","0.971620567914369","2"
"No","2000","direct migration background","vocational + Abi","249","0.945745196541215","0.918316598205231","0.973173794877198","2"
"No","2000","direct migration background","higher vocational","170","0.941688912857406","0.907644825610582","0.975733000104229","2"
"No","2000","direct migration background","higher education","306","0.876029038127298","0.841000027670221","0.911058048584376","2"
"No","2000","indirect migration background","in school","60","0.919897925694651","0.852329477109526","0.987466374279776","2"
"No","2000","no migration background","inadequately","96","0.979266612006892","0.95105547017291","1.00747775384088","2"
"No","2000","no migration background","higher education","2003","0.814988510091626","0.79940124007307","0.830575780110183","2"
"No","2000","no migration background","vocational + Abi","609","0.838559810763454","0.811628259825481","0.865491361701427","2"
"No","2000","direct migration background","general elemantary","838","0.99194048838734","0.98590473516257","0.997976241612109","2"
"Yes","2000","no migration background","in school","22","","","","1"
"Yes","2000","no migration background","inadequately","2","","","","1"
"Yes","2000","no migration background","general elemantary","109","0.0494451255586264","0.0406798717016268","0.058210379415626","1"
