"ple0098_v5","year","age_gr","e11103","n","percent","lower_confidence","upper_confidence","value"
"No","1999","35-65 y.","Not Working","1768","0.92634987036921","0.914498555093361","0.93820118564506","2"
"No","1999","66 and older","Not Working","1532","0.931800220079271","0.919535949541831","0.94406449061671","2"
"No","1999","16-34 y.","Full Time","1838","0.899885319481715","0.886763546232648","0.913007092730783","2"
"No","1999","66 and older","Part Time","44","0.701226360398635","0.583429327932226","0.819023392865044","2"
"No","1999","66 and older","Full Time","6","","","","2"
"No","1999","16-34 y.","Part Time","1030","0.913728420013561","0.897218935849157","0.930237904177966","2"
"No","1999","16-34 y.","Not Working","1042","0.933564416657296","0.918853932966066","0.948274900348525","2"
"No","1999","35-65 y.","Full Time","2759","0.881717706554807","0.87026045427809","0.893174958831524","2"
"No","1999","35-65 y.","Part Time","1405","0.889498208261315","0.873850054570533","0.905146361952098","2"
"Yes","1999","16-34 y.","Full Time","172","0.100114680518284","0.0869929072692171","0.113236453767352","1"
"Yes","1999","16-34 y.","Part Time","81","0.0862715799864385","0.0697620958220343","0.102781064150843","1"
"Yes","1999","16-34 y.","Not Working","59","0.0664355833427043","0.0517250996514746","0.081146067033934","1"
"Yes","1999","35-65 y.","Full Time","293","0.118282293445193","0.106825041168476","0.12973954572191","1"
"Yes","1999","35-65 y.","Part Time","137","0.110501791738685","0.0948536380479023","0.126149945429467","1"
"Yes","1999","35-65 y.","Not Working","98","0.0736501296307897","0.0617988143549404","0.0855014449066391","1"
"Yes","1999","66 and older","Full Time","2","","","","1"
"Yes","1999","66 and older","Part Time","14","","","","1"
"Yes","1999","66 and older","Not Working","91","0.0681997799207292","0.0559355093832897","0.0804640504581686","1"
"No","2000","16-34 y.","Full Time","2735","0.897678670640705","0.886871394002377","0.908485947279033","2"
"No","2000","66 and older","Full Time","18","","","","2"
"No","2000","66 and older","Part Time","73","0.78906750964883","0.704781468260467","0.873353551037194","2"
"No","2000","66 and older","Not Working","3019","0.933423012444862","0.924807296083464","0.94203872880626","2"
"No","2000","35-65 y.","Not Working","3195","0.915135600999297","0.905825633746242","0.924445568252351","2"
"No","2000","16-34 y.","Part Time","1650","0.923052225168553","0.910688761688957","0.93541568864815","2"
"No","2000","16-34 y.","Not Working","1546","0.938869095257562","0.927270869772407","0.950467320742716","2"
"No","2000","35-65 y.","Full Time","4896","0.880710193092935","0.872133916280197","0.889286469905674","2"
"No","2000","35-65 y.","Part Time","2469","0.877361376310788","0.865152490098314","0.889570262523261","2"
"Yes","2000","16-34 y.","Full Time","286","0.102321329359295","0.0915140527209674","0.113128605997623","1"
"Yes","2000","16-34 y.","Part Time","135","0.0769477748314469","0.0645843113518505","0.0893112383110432","1"
"Yes","2000","16-34 y.","Not Working","93","0.0611309047424384","0.0495326792572838","0.0727291302275929","1"
"Yes","2000","35-65 y.","Full Time","591","0.119289806907065","0.110713530094327","0.127866083719803","1"
"Yes","2000","35-65 y.","Part Time","304","0.122638623689212","0.110429737476739","0.134847509901686","1"
"Yes","2000","35-65 y.","Not Working","247","0.0848643990007031","0.0755544317476487","0.0941743662537575","1"
"Yes","2000","66 and older","Full Time","10","","","","1"
"Yes","2000","66 and older","Part Time","17","","","","1"
"Yes","2000","66 and older","Not Working","197","0.0665769875551381","0.0579612711937397","0.0751927039165365","1"
"No","2001","66 and older","Part Time","96","0.86719859714335","0.803780623210971","0.930616571075728","2"
"No","2001","66 and older","Not Working","2825","0.931880606332582","0.922884303860179","0.940876908804986","2"
"No","2001","66 and older","Full Time","14","","","","2"
"No","2001","16-34 y.","Full Time","2375","0.901035912519299","0.889586366977459","0.912485458061138","2"
"No","2001","35-65 y.","Not Working","2788","0.922210780059963","0.912599167199381","0.931822392920546","2"
"No","2001","16-34 y.","Part Time","1488","0.908111774326589","0.894079745221103","0.922143803432075","2"
"No","2001","16-34 y.","Not Working","1338","0.932455066369969","0.919443118258456","0.945467014481481","2"
"No","2001","35-65 y.","Full Time","4467","0.867794014669187","0.85845116653554","0.877136862802833","2"
"No","2001","35-65 y.","Part Time","2396","0.886894783153788","0.874888018994688","0.898901547312888","2"
"Yes","2001","16-34 y.","Full Time","238","0.0989640874807014","0.0875145419388623","0.110413633022541","1"
"Yes","2001","16-34 y.","Part Time","140","0.0918882256734111","0.0778561965679246","0.105920254778898","1"
"Yes","2001","16-34 y.","Not Working","91","0.0675449336300315","0.0545329855185195","0.0805568817415435","1"
"Yes","2001","35-65 y.","Full Time","582","0.132205985330813","0.122863137197166","0.14154883346446","1"
"Yes","2001","35-65 y.","Part Time","277","0.113105216846212","0.101098452687112","0.125111981005312","1"
"Yes","2001","35-65 y.","Not Working","195","0.0777892199400367","0.0681776070794544","0.087400832800619","1"
"Yes","2001","66 and older","Full Time","2","","","","1"
"Yes","2001","66 and older","Part Time","14","","","","1"
"Yes","2001","66 and older","Not Working","188","0.0681193936674178","0.059123091195014","0.0771156961398215","1"
"No","2002","66 and older","Full Time","14","","","","2"
"No","2002","66 and older","Part Time","108","0.850766783874554","0.790210351301851","0.911323216447258","2"
"No","2002","66 and older","Not Working","2875","0.917587162374991","0.907957989317726","0.927216335432257","2"
"No","2002","16-34 y.","Full Time","2163","0.88138886518869","0.868554400757662","0.894223329619719","2"
"No","2002","35-65 y.","Not Working","2618","0.912608344725108","0.902313939832234","0.922902749617982","2"
"No","2002","16-34 y.","Part Time","1443","0.915901563014698","0.902306826734288","0.929496299295108","2"
"No","2002","16-34 y.","Not Working","1338","0.94168635331225","0.929549256363226","0.953823450261273","2"
"No","2002","35-65 y.","Full Time","4424","0.86805627869722","0.858809690728269","0.877302866666171","2"
"No","2002","35-65 y.","Part Time","2501","0.878886933485425","0.866977591297295","0.890796275673556","2"
"Yes","2002","16-34 y.","Full Time","275","0.11861113481131","0.105776670380281","0.131445599242338","1"
"Yes","2002","16-34 y.","Part Time","158","0.0840984369853022","0.0705037007048924","0.097693173265712","1"
"Yes","2002","16-34 y.","Not Working","94","0.0583136466877504","0.0461765497387271","0.0704507436367736","1"
"Yes","2002","35-65 y.","Full Time","722","0.13194372130278","0.122697133333829","0.141190309271731","1"
"Yes","2002","35-65 y.","Part Time","382","0.121113066514575","0.109203724326444","0.133022408702705","1"
"Yes","2002","35-65 y.","Not Working","273","0.0873916552748922","0.0770972503820179","0.0976860601677666","1"
