"ple0098_v5","year","education","migback","n","percent","lower_confidence","upper_confidence"
"Yes","1999","lower secondary degree","no migration background","285","0.0666943646515018","0.0593623687141478","0.0740263605888557"
"Yes","1999","lower secondary degree","direct migration background","16","","",""
"Yes","1999","lower secondary degree","indirect migration background","7","","",""
"Yes","1999","secondary school degree","no migration background","305","0.118223829109211","0.107063184159966","0.129384474058457"
"Yes","1999","secondary school degree","direct migration background","12","","",""
"Yes","1999","secondary school degree","indirect migration background","12","","",""
"Yes","1999","college entrance qualification","no migration background","220","0.189550224674299","0.169383304016364","0.209717145332233"
"Yes","1999","college entrance qualification","direct migration background","10","","",""
"Yes","1999","college entrance qualification","indirect migration background","2","","",""
"Yes","1999","Other degree","no migration background","3","","",""
"Yes","1999","Other degree","direct migration background","11","","",""
"Yes","1999","Other degree","indirect migration background","","","",""
"Yes","1999","no degree/no degree yet","no migration background","25","","",""
"Yes","1999","no degree/no degree yet","direct migration background","1","","",""
"Yes","1999","no degree/no degree yet","indirect migration background","2","","",""
"No","1999","lower secondary degree","no migration background","4163","0.933305635348498","0.925973639411144","0.940637631285852"
"No","1999","lower secondary degree","direct migration background","523","0.957822256844964","0.940853976159077","0.974790537530851"
"No","1999","lower secondary degree","indirect migration background","202","0.944740689185346","0.913764071887662","0.975717306483029"
"No","1999","secondary school degree","no migration background","2910","0.881776170890789","0.870615525941543","0.892936815840034"
"No","1999","secondary school degree","direct migration background","130","0.890529719423455","0.839175486891659","0.94188395195525"
"No","1999","secondary school degree","indirect migration background","119","0.871063327483297","0.813674739771039","0.928451915195554"
"No","1999","college entrance qualification","no migration background","1231","0.810449775325701","0.790282854667767","0.830616695983636"
"No","1999","college entrance qualification","direct migration background","134","0.856603070649134","0.799359517327014","0.913846623971254"
"No","1999","college entrance qualification","indirect migration background","80","0.99019400702345","0.968866155901439","1.01152185814546"
"No","1999","Other degree","no migration background","82","0.965303832304972","0.926398296798258","1.00420936781169"
"No","1999","Other degree","direct migration background","795","0.972269716762062","0.96093394475817","0.983605488765955"
"No","1999","Other degree","indirect migration background","18","","",""
"No","1999","no degree/no degree yet","no migration background","226","0.906444989542803","0.870419036180855","0.942470942904752"
"No","1999","no degree/no degree yet","direct migration background","397","0.998278807394564","0.994206437515715","1.00235117727341"
"No","1999","no degree/no degree yet","indirect migration background","71","0.923154511730414","0.862055660267698","0.98425336319313"
"Yes","2000","lower secondary degree","no migration background","548","0.0689885208336009","0.0635111458392211","0.0744658958279808"
