"plh0218","year","migback","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","no migration background","in school","59","0.133193303759079","0.10349945972905","0.162887147789109","1"
"1 Strongly disagree","2005","no migration background","inadequately","27","","","","1"
"1 Strongly disagree","2005","no migration background","general elemantary","707","0.457571733355865","0.433525973045852","0.481617493665878","1"
"1 Strongly disagree","2005","no migration background","middle vocational","4368","0.489090832227881","0.478776544998778","0.499405119456985","1"
"1 Strongly disagree","2005","no migration background","vocational + Abi","286","0.324395426114019","0.293305287012059","0.355485565215979","1"
"1 Strongly disagree","2005","no migration background","higher vocational","641","0.454650413494265","0.428359857449276","0.480940969539255","1"
"1 Strongly disagree","2005","no migration background","higher education","1536","0.407462249525316","0.391752422450474","0.423172076600158","1"
"1 Strongly disagree","2005","direct migration background","in school","12","","","","1"
"1 Strongly disagree","2005","direct migration background","inadequately","75","0.527878382024019","0.447176566413174","0.608580197634864","1"
"1 Strongly disagree","2005","direct migration background","general elemantary","289","0.54047796029747","0.499348718221525","0.581607202373415","1"
"1 Strongly disagree","2005","direct migration background","middle vocational","435","0.525232119070135","0.492011743981683","0.558452494158588","1"
"1 Strongly disagree","2005","direct migration background","vocational + Abi","116","0.547971881506191","0.481600160670931","0.61434360234145","1"
"1 Strongly disagree","2005","direct migration background","higher vocational","68","0.462476768686008","0.377420817471995","0.547532719900021","1"
"1 Strongly disagree","2005","direct migration background","higher education","176","0.510323953786039","0.45710998521148","0.563537922360597","1"
"1 Strongly disagree","2005","indirect migration background","in school","12","","","","1"
"1 Strongly disagree","2005","indirect migration background","inadequately","3","","","","1"
"1 Strongly disagree","2005","indirect migration background","general elemantary","60","0.354562073774783","0.284870193224724","0.424253954324841","1"
"1 Strongly disagree","2005","indirect migration background","middle vocational","126","0.298399638246748","0.249475577063502","0.347323699429994","1"
"1 Strongly disagree","2005","indirect migration background","vocational + Abi","12","","","","1"
"1 Strongly disagree","2005","indirect migration background","higher vocational","21","","","","1"
"1 Strongly disagree","2005","indirect migration background","higher education","25","","","","1"
"2 on scale 1-7 ","2005","indirect migration background","inadequately","","","","","2"
"2 on scale 1-7 ","2005","indirect migration background","in school","17","","","","2"
"2 on scale 1-7 ","2005","indirect migration background","middle vocational","75","0.269197727416587","0.221771990093488","0.316623464739685","2"
"2 on scale 1-7 ","2005","indirect migration background","general elemantary","36","0.171608915631918","0.116680580581799","0.226537250682038","2"
"2 on scale 1-7 ","2005","indirect migration background","higher education","18","","","","2"
