"plh0218","year","regtyp","sampreg","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Urban Area","West Germany","5132","0.435204435388915","0.426358928288768","0.444049942489062"
"1 Strongly disagree","2005","Urban Area","East Germany","803","0.478456317247563","0.455098691181798","0.501813943313328"
"1 Strongly disagree","2005","Rural Area","West Germany","1559","0.469682010472743","0.453266934471441","0.486097086474045"
"1 Strongly disagree","2005","Rural Area","East Germany","1635","0.494400835601193","0.477288071861164","0.511513599341221"
"2 on scale 1-7 ","2005","Urban Area","West Germany","2937","0.235294039061685","0.227726003911609","0.242862074211761"
"2 on scale 1-7 ","2005","Urban Area","East Germany","426","0.221022957274961","0.201621103266139","0.240424811283783"
"2 on scale 1-7 ","2005","Rural Area","West Germany","867","0.233347358058807","0.219435872242892","0.247258843874722"
"2 on scale 1-7 ","2005","Rural Area","East Germany","801","0.233855735137968","0.2193677940045","0.248343676271435"
"3 on scale 1-7 ","2005","Urban Area","West Germany","1354","0.11152400693595","0.10590787280707","0.117140141064829"
"3 on scale 1-7 ","2005","Urban Area","East Germany","170","0.0994163588249147","0.08542521684945","0.113407500800379"
"3 on scale 1-7 ","2005","Rural Area","West Germany","398","0.0965904014887742","0.0868745226402022","0.106306280337346"
"3 on scale 1-7 ","2005","Rural Area","East Germany","337","0.103992107503294","0.0935440996559995","0.114440115350589"
"4 on scale 1-7","2005","Urban Area","West Germany","1194","0.0973209334399289","0.092032826140438","0.10260904073942"
"4 on scale 1-7","2005","Urban Area","East Germany","171","0.0937639149835275","0.0801337613181253","0.10739406864893"
"4 on scale 1-7","2005","Rural Area","West Germany","317","0.0851163438830264","0.0759380455547927","0.0942946422112601"
"4 on scale 1-7","2005","Rural Area","East Germany","208","0.0691461297379394","0.0604624844406407","0.0778297750352381"
"5 on scale 1-7","2005","Urban Area","West Germany","826","0.0685257680245357","0.0640181945066017","0.0730333415424697"
"5 on scale 1-7","2005","Urban Area","East Germany","112","0.0626507830255561","0.0513195760513223","0.07398198999979"
"5 on scale 1-7","2005","Rural Area","West Germany","233","0.0635698252818393","0.0555449930166977","0.0715946575469809"
"5 on scale 1-7","2005","Rural Area","East Germany","166","0.0547196643563863","0.0469351879473881","0.0625041407653845"
"6 on scale 1-7","2005","Urban Area","West Germany","429","0.0346465626209255","0.0313836631708958","0.0379094620709551"
"6 on scale 1-7","2005","Urban Area","East Germany","52","0.0289437610954109","0.0211047390802351","0.0367827831105866"
"6 on scale 1-7","2005","Rural Area","West Germany","125","0.033451151733209","0.0275370308612964","0.0393652726051215"
"6 on scale 1-7","2005","Rural Area","East Germany","100","0.0345945412129565","0.0283394154554131","0.0408496669704999"
"7 Strongly agree","2005","Urban Area","West Germany","196","0.0174842545280603","0.0151458278351007","0.0198226812210199"
"7 Strongly agree","2005","Urban Area","East Germany","23","","",""
"7 Strongly agree","2005","Rural Area","West Germany","52","0.0182429090816012","0.0138411950400031","0.0226446231231992"
"7 Strongly agree","2005","Rural Area","East Germany","32","0.00929098645026354","0.0060071512552461","0.012574821645281"
"1 Strongly disagree","2006","Urban Area","West Germany","","","",""
"1 Strongly disagree","2006","Urban Area","East Germany","","","",""
"1 Strongly disagree","2006","Rural Area","West Germany","","","",""
"1 Strongly disagree","2006","Rural Area","East Germany","","","",""
"2 on scale 1-7 ","2006","Urban Area","West Germany","","","",""
"2 on scale 1-7 ","2006","Urban Area","East Germany","","","",""
"2 on scale 1-7 ","2006","Rural Area","West Germany","","","",""
"2 on scale 1-7 ","2006","Rural Area","East Germany","","","",""
"3 on scale 1-7 ","2006","Urban Area","West Germany","","","",""
"3 on scale 1-7 ","2006","Urban Area","East Germany","","","",""
"3 on scale 1-7 ","2006","Rural Area","West Germany","","","",""
"3 on scale 1-7 ","2006","Rural Area","East Germany","","","",""
"4 on scale 1-7","2006","Urban Area","West Germany","","","",""
"4 on scale 1-7","2006","Urban Area","East Germany","","","",""
"4 on scale 1-7","2006","Rural Area","West Germany","","","",""
"4 on scale 1-7","2006","Rural Area","East Germany","","","",""
"5 on scale 1-7","2006","Urban Area","West Germany","","","",""
"5 on scale 1-7","2006","Urban Area","East Germany","","","",""
"5 on scale 1-7","2006","Rural Area","West Germany","","","",""
"5 on scale 1-7","2006","Rural Area","East Germany","","","",""
"6 on scale 1-7","2006","Urban Area","West Germany","","","",""
"6 on scale 1-7","2006","Urban Area","East Germany","","","",""
"6 on scale 1-7","2006","Rural Area","West Germany","","","",""
"6 on scale 1-7","2006","Rural Area","East Germany","","","",""
"7 Strongly agree","2006","Urban Area","West Germany","","","",""
"7 Strongly agree","2006","Urban Area","East Germany","","","",""
"7 Strongly agree","2006","Rural Area","West Germany","","","",""
"7 Strongly agree","2006","Rural Area","East Germany","","","",""
"1 Strongly disagree","2007","Urban Area","West Germany","","","",""
"1 Strongly disagree","2007","Urban Area","East Germany","","","",""
"1 Strongly disagree","2007","Rural Area","West Germany","","","",""
"1 Strongly disagree","2007","Rural Area","East Germany","","","",""
"2 on scale 1-7 ","2007","Urban Area","West Germany","","","",""
"2 on scale 1-7 ","2007","Urban Area","East Germany","","","",""
"2 on scale 1-7 ","2007","Rural Area","West Germany","","","",""
"2 on scale 1-7 ","2007","Rural Area","East Germany","","","",""
"3 on scale 1-7 ","2007","Urban Area","West Germany","","","",""
"3 on scale 1-7 ","2007","Urban Area","East Germany","","","",""
"3 on scale 1-7 ","2007","Rural Area","West Germany","","","",""
"3 on scale 1-7 ","2007","Rural Area","East Germany","","","",""
"4 on scale 1-7","2007","Urban Area","West Germany","","","",""
"4 on scale 1-7","2007","Urban Area","East Germany","","","",""
"4 on scale 1-7","2007","Rural Area","West Germany","","","",""
"4 on scale 1-7","2007","Rural Area","East Germany","","","",""
"5 on scale 1-7","2007","Urban Area","West Germany","","","",""
"5 on scale 1-7","2007","Urban Area","East Germany","","","",""
"5 on scale 1-7","2007","Rural Area","West Germany","","","",""
"5 on scale 1-7","2007","Rural Area","East Germany","","","",""
"6 on scale 1-7","2007","Urban Area","West Germany","","","",""
"6 on scale 1-7","2007","Urban Area","East Germany","","","",""
"6 on scale 1-7","2007","Rural Area","West Germany","","","",""
"6 on scale 1-7","2007","Rural Area","East Germany","","","",""
"7 Strongly agree","2007","Urban Area","West Germany","","","",""
"7 Strongly agree","2007","Urban Area","East Germany","","","",""
"7 Strongly agree","2007","Rural Area","West Germany","","","",""
"7 Strongly agree","2007","Rural Area","East Germany","","","",""
"1 Strongly disagree","2008","Urban Area","West Germany","","","",""
"1 Strongly disagree","2008","Urban Area","East Germany","","","",""
"1 Strongly disagree","2008","Rural Area","West Germany","","","",""
"1 Strongly disagree","2008","Rural Area","East Germany","","","",""
"2 on scale 1-7 ","2008","Urban Area","West Germany","","","",""
"2 on scale 1-7 ","2008","Urban Area","East Germany","","","",""
"2 on scale 1-7 ","2008","Rural Area","West Germany","","","",""
"2 on scale 1-7 ","2008","Rural Area","East Germany","","","",""
"3 on scale 1-7 ","2008","Urban Area","West Germany","","","",""
"3 on scale 1-7 ","2008","Urban Area","East Germany","","","",""
"3 on scale 1-7 ","2008","Rural Area","West Germany","","","",""
"3 on scale 1-7 ","2008","Rural Area","East Germany","","","",""
"4 on scale 1-7","2008","Urban Area","West Germany","","","",""
"4 on scale 1-7","2008","Urban Area","East Germany","","","",""
"4 on scale 1-7","2008","Rural Area","West Germany","","","",""
